,¡æ∏Òƒ⁄µÂ,¡æ∏Ò∏Ì,≥Ø¬•,¡æ∞°
0,A329020,ø¿º«Ω∫≈Ê,20210812,8180
1,A329020,ø¿º«Ω∫≈Ê,20210811,8300
2,A329020,ø¿º«Ω∫≈Ê,20210810,7400
3,A329020,ø¿º«Ω∫≈Ê,20210809,7780
4,A329020,ø¿º«Ω∫≈Ê,20210806,7800
5,A329020,ø¿º«Ω∫≈Ê,20210805,7800
6,A329020,ø¿º«Ω∫≈Ê,20210804,7500
7,A329020,ø¿º«Ω∫≈Ê,20210803,6600
8,A329020,ø¿º«Ω∫≈Ê,20210802,6600
9,A329020,ø¿º«Ω∫≈Ê,20210730,6600
10,A329020,ø¿º«Ω∫≈Ê,20210729,6550
11,A329020,ø¿º«Ω∫≈Ê,20210728,6600
12,A329020,ø¿º«Ω∫≈Ê,20210727,6600
13,A329020,ø¿º«Ω∫≈Ê,20210726,6400
14,A329020,ø¿º«Ω∫≈Ê,20210723,6970
15,A329020,ø¿º«Ω∫≈Ê,20210722,6910
16,A329020,ø¿º«Ω∫≈Ê,20210721,6800
17,A329020,ø¿º«Ω∫≈Ê,20210720,6980
18,A329020,ø¿º«Ω∫≈Ê,20210719,6980
19,A329020,ø¿º«Ω∫≈Ê,20210716,7350
20,A329020,ø¿º«Ω∫≈Ê,20210715,6780
21,A329020,ø¿º«Ω∫≈Ê,20210714,6950
22,A329020,ø¿º«Ω∫≈Ê,20210713,6600
23,A329020,ø¿º«Ω∫≈Ê,20210712,6980
24,A329020,ø¿º«Ω∫≈Ê,20210709,7150
25,A329020,ø¿º«Ω∫≈Ê,20210708,6800
26,A329020,ø¿º«Ω∫≈Ê,20210707,7200
27,A329020,ø¿º«Ω∫≈Ê,20210706,6390
28,A329020,ø¿º«Ω∫≈Ê,20210705,7000
29,A329020,ø¿º«Ω∫≈Ê,20210702,7000
30,A329020,ø¿º«Ω∫≈Ê,20210701,8200
31,A329020,ø¿º«Ω∫≈Ê,20210630,8000
32,A329020,ø¿º«Ω∫≈Ê,20210629,9350
33,A329020,ø¿º«Ω∫≈Ê,20210628,9800
34,A329020,ø¿º«Ω∫≈Ê,20210625,9900
35,A329020,ø¿º«Ω∫≈Ê,20210624,9990
36,A329020,ø¿º«Ω∫≈Ê,20210623,9800
37,A329020,ø¿º«Ω∫≈Ê,20210622,9600
38,A329020,ø¿º«Ω∫≈Ê,20210621,9400
39,A329020,ø¿º«Ω∫≈Ê,20210618,10950
40,A329020,ø¿º«Ω∫≈Ê,20210617,10650
41,A329020,ø¿º«Ω∫≈Ê,20210616,10000
42,A329020,ø¿º«Ω∫≈Ê,20210615,9190
43,A329020,ø¿º«Ω∫≈Ê,20210614,9550
44,A329020,ø¿º«Ω∫≈Ê,20210611,8400
45,A329020,ø¿º«Ω∫≈Ê,20210610,8200
46,A329020,ø¿º«Ω∫≈Ê,20210609,7600
47,A329020,ø¿º«Ω∫≈Ê,20210608,7400
48,A329020,ø¿º«Ω∫≈Ê,20210607,8600
49,A329020,ø¿º«Ω∫≈Ê,20210604,8400
50,A329020,ø¿º«Ω∫≈Ê,20210603,8570
51,A329020,ø¿º«Ω∫≈Ê,20210602,7530
52,A329020,ø¿º«Ω∫≈Ê,20210601,7600
53,A329020,ø¿º«Ω∫≈Ê,20210531,6950
54,A329020,ø¿º«Ω∫≈Ê,20210528,6200
55,A329020,ø¿º«Ω∫≈Ê,20210527,5400
56,A329020,ø¿º«Ω∫≈Ê,20210526,5200
57,A329020,ø¿º«Ω∫≈Ê,20210525,5370
58,A329020,ø¿º«Ω∫≈Ê,20210524,5380
59,A329020,ø¿º«Ω∫≈Ê,20210521,5000
60,A329020,ø¿º«Ω∫≈Ê,20210520,5500
61,A329020,ø¿º«Ω∫≈Ê,20210518,5250
62,A329020,ø¿º«Ω∫≈Ê,20210517,5200
63,A329020,ø¿º«Ω∫≈Ê,20210514,5600
64,A329020,ø¿º«Ω∫≈Ê,20210513,5600
65,A329020,ø¿º«Ω∫≈Ê,20210512,5800
66,A329020,ø¿º«Ω∫≈Ê,20210511,5700
67,A329020,ø¿º«Ω∫≈Ê,20210510,5690
68,A329020,ø¿º«Ω∫≈Ê,20210507,5000
69,A329020,ø¿º«Ω∫≈Ê,20210506,4700
70,A329020,ø¿º«Ω∫≈Ê,20210504,4685
71,A329020,ø¿º«Ω∫≈Ê,20210503,4495
72,A329020,ø¿º«Ω∫≈Ê,20210430,5000
73,A329020,ø¿º«Ω∫≈Ê,20210429,4355
74,A329020,ø¿º«Ω∫≈Ê,20210428,4365
75,A329020,ø¿º«Ω∫≈Ê,20210427,4370
76,A329020,ø¿º«Ω∫≈Ê,20210426,4395
77,A329020,ø¿º«Ω∫≈Ê,20210423,4190
78,A329020,ø¿º«Ω∫≈Ê,20210422,4750
79,A329020,ø¿º«Ω∫≈Ê,20210421,4500
80,A329020,ø¿º«Ω∫≈Ê,20210420,5000
81,A329020,ø¿º«Ω∫≈Ê,20210419,5350
82,A329020,ø¿º«Ω∫≈Ê,20210416,6290
83,A329020,ø¿º«Ω∫≈Ê,20210415,6540
84,A329020,ø¿º«Ω∫≈Ê,20210414,6400
85,A329020,ø¿º«Ω∫≈Ê,20210413,6790
86,A329020,ø¿º«Ω∫≈Ê,20210412,6800
87,A329020,ø¿º«Ω∫≈Ê,20210409,6600
