,종목코드,종목명,날짜,종가
0,A110030,완도전복,20210812,1930
1,A110030,완도전복,20210811,1930
2,A110030,완도전복,20210810,2745
3,A110030,완도전복,20210809,2130
4,A110030,완도전복,20210806,3035
5,A110030,완도전복,20210805,2345
6,A110030,완도전복,20210804,2345
7,A110030,완도전복,20210803,2715
8,A110030,완도전복,20210802,2090
9,A110030,완도전복,20210730,2090
10,A110030,완도전복,20210729,2100
11,A110030,완도전복,20210728,1705
12,A110030,완도전복,20210727,1705
13,A110030,완도전복,20210726,1705
14,A110030,완도전복,20210723,1705
15,A110030,완도전복,20210722,1705
16,A110030,완도전복,20210721,1705
17,A110030,완도전복,20210720,1705
18,A110030,완도전복,20210719,1705
19,A110030,완도전복,20210716,1680
20,A110030,완도전복,20210715,1710
21,A110030,완도전복,20210714,1710
22,A110030,완도전복,20210713,1715
23,A110030,완도전복,20210712,1790
24,A110030,완도전복,20210709,1790
25,A110030,완도전복,20210708,1790
26,A110030,완도전복,20210707,1720
27,A110030,완도전복,20210706,1715
28,A110030,완도전복,20210705,2235
29,A110030,완도전복,20210702,2235
30,A110030,완도전복,20210701,2300
31,A110030,완도전복,20210630,2500
32,A110030,완도전복,20210629,2000
33,A110030,완도전복,20210628,2000
34,A110030,완도전복,20210625,2000
35,A110030,완도전복,20210624,2000
36,A110030,완도전복,20210623,2900
37,A110030,완도전복,20210622,2630
38,A110030,완도전복,20210621,3120
39,A110030,완도전복,20210618,4455
40,A110030,완도전복,20210617,4890
41,A110030,완도전복,20210616,3990
42,A110030,완도전복,20210615,3870
43,A110030,완도전복,20210614,2300
44,A110030,완도전복,20210611,3280
45,A110030,완도전복,20210610,2530
46,A110030,완도전복,20210609,2530
47,A110030,완도전복,20210608,2530
48,A110030,완도전복,20210607,2600
49,A110030,완도전복,20210604,2045
50,A110030,완도전복,20210603,2470
51,A110030,완도전복,20210602,2300
52,A110030,완도전복,20210601,3000
53,A110030,완도전복,20210531,2330
54,A110030,완도전복,20210528,1795
55,A110030,완도전복,20210527,1795
56,A110030,완도전복,20210526,1895
57,A110030,완도전복,20210525,1895
58,A110030,완도전복,20210524,1635
59,A110030,완도전복,20210521,2300
60,A110030,완도전복,20210520,2300
61,A110030,완도전복,20210518,2300
62,A110030,완도전복,20210517,2300
63,A110030,완도전복,20210514,1905
64,A110030,완도전복,20210513,1905
65,A110030,완도전복,20210512,1905
66,A110030,완도전복,20210511,1905
67,A110030,완도전복,20210510,1905
68,A110030,완도전복,20210507,1905
69,A110030,완도전복,20210506,1905
70,A110030,완도전복,20210504,1905
71,A110030,완도전복,20210503,1905
72,A110030,완도전복,20210430,1905
73,A110030,완도전복,20210429,1905
74,A110030,완도전복,20210428,1900
75,A110030,완도전복,20210427,2015
76,A110030,완도전복,20210426,2250
77,A110030,완도전복,20210423,2210
78,A110030,완도전복,20210422,2200
79,A110030,완도전복,20210421,2400
80,A110030,완도전복,20210420,2400
81,A110030,완도전복,20210419,2200
82,A110030,완도전복,20210416,2000
83,A110030,완도전복,20210415,2000
84,A110030,완도전복,20210414,2115
85,A110030,완도전복,20210413,1630
86,A110030,완도전복,20210412,1255
87,A110030,완도전복,20210409,1165
88,A110030,완도전복,20210408,1165
89,A110030,완도전복,20210407,1065
90,A110030,완도전복,20210406,1065
91,A110030,완도전복,20210405,988
92,A110030,완도전복,20210402,988
93,A110030,완도전복,20210401,988
94,A110030,완도전복,20210331,988
95,A110030,완도전복,20210330,988
96,A110030,완도전복,20210329,988
97,A110030,완도전복,20210326,988
98,A110030,완도전복,20210325,988
99,A110030,완도전복,20210324,951
100,A110030,완도전복,20210323,951
101,A110030,완도전복,20210322,951
102,A110030,완도전복,20210319,951
103,A110030,완도전복,20210318,960
104,A110030,완도전복,20210317,970
105,A110030,완도전복,20210316,980
106,A110030,완도전복,20210315,995
107,A110030,완도전복,20210312,1320
108,A110030,완도전복,20210311,1320
109,A110030,완도전복,20210310,1320
110,A110030,완도전복,20210309,1320
111,A110030,완도전복,20210308,1320
112,A110030,완도전복,20210305,1320
113,A110030,완도전복,20210304,1320
114,A110030,완도전복,20210303,1350
115,A110030,완도전복,20210302,1745
116,A110030,완도전복,20210226,1485
117,A110030,완도전복,20210225,1145
118,A110030,완도전복,20210224,1145
119,A110030,완도전복,20210223,1145
120,A110030,완도전복,20210222,1145
121,A110030,완도전복,20210219,1145
122,A110030,완도전복,20210218,1145
123,A110030,완도전복,20210217,1145
124,A110030,완도전복,20210216,1145
125,A110030,완도전복,20210215,1145
126,A110030,완도전복,20210210,1145
127,A110030,완도전복,20210209,1150
128,A110030,완도전복,20210208,1055
129,A110030,완도전복,20210205,1060
130,A110030,완도전복,20210204,1055
131,A110030,완도전복,20210203,1050
132,A110030,완도전복,20210202,1100
133,A110030,완도전복,20210201,1140
134,A110030,완도전복,20210129,1005
135,A110030,완도전복,20210128,1060
136,A110030,완도전복,20210127,1405
137,A110030,완도전복,20210126,1525
138,A110030,완도전복,20210125,1300
139,A110030,완도전복,20210122,1305
140,A110030,완도전복,20210121,1005
