,종목코드,종목명,날짜,종가
0,A046940,우원개발,20210812,7040
1,A046940,우원개발,20210811,7000
2,A046940,우원개발,20210810,7130
3,A046940,우원개발,20210809,7340
4,A046940,우원개발,20210806,7460
5,A046940,우원개발,20210805,7430
6,A046940,우원개발,20210804,7410
7,A046940,우원개발,20210803,7350
8,A046940,우원개발,20210802,7280
9,A046940,우원개발,20210730,7420
10,A046940,우원개발,20210729,7400
11,A046940,우원개발,20210728,7320
12,A046940,우원개발,20210727,7100
13,A046940,우원개발,20210726,6930
14,A046940,우원개발,20210723,7160
15,A046940,우원개발,20210722,7080
16,A046940,우원개발,20210721,7210
17,A046940,우원개발,20210720,7330
18,A046940,우원개발,20210719,7400
19,A046940,우원개발,20210716,7650
20,A046940,우원개발,20210715,7550
21,A046940,우원개발,20210714,7500
22,A046940,우원개발,20210713,7560
23,A046940,우원개발,20210712,7130
24,A046940,우원개발,20210709,6810
25,A046940,우원개발,20210708,6980
26,A046940,우원개발,20210707,7260
27,A046940,우원개발,20210706,7270
28,A046940,우원개발,20210705,7290
29,A046940,우원개발,20210702,7360
30,A046940,우원개발,20210701,7270
31,A046940,우원개발,20210630,7250
32,A046940,우원개발,20210629,7010
33,A046940,우원개발,20210628,7110
34,A046940,우원개발,20210625,7020
35,A046940,우원개발,20210624,6990
36,A046940,우원개발,20210623,7060
37,A046940,우원개발,20210622,7290
38,A046940,우원개발,20210621,7270
39,A046940,우원개발,20210618,7440
40,A046940,우원개발,20210617,7430
41,A046940,우원개발,20210616,7410
42,A046940,우원개발,20210615,7340
43,A046940,우원개발,20210614,7220
44,A046940,우원개발,20210611,7300
45,A046940,우원개발,20210610,7310
46,A046940,우원개발,20210609,7320
47,A046940,우원개발,20210608,7380
48,A046940,우원개발,20210607,7520
49,A046940,우원개발,20210604,7180
50,A046940,우원개발,20210603,7280
51,A046940,우원개발,20210602,7340
52,A046940,우원개발,20210601,7030
53,A046940,우원개발,20210531,6980
54,A046940,우원개발,20210528,6960
55,A046940,우원개발,20210527,7110
56,A046940,우원개발,20210526,6880
57,A046940,우원개발,20210525,6710
58,A046940,우원개발,20210524,6660
59,A046940,우원개발,20210521,6860
60,A046940,우원개발,20210520,6930
61,A046940,우원개발,20210518,6980
62,A046940,우원개발,20210517,7460
63,A046940,우원개발,20210514,7560
64,A046940,우원개발,20210513,7270
65,A046940,우원개발,20210512,7440
66,A046940,우원개발,20210511,7800
67,A046940,우원개발,20210510,7790
68,A046940,우원개발,20210507,7700
69,A046940,우원개발,20210506,7180
70,A046940,우원개발,20210504,6950
71,A046940,우원개발,20210503,6800
72,A046940,우원개발,20210430,6720
73,A046940,우원개발,20210429,6870
74,A046940,우원개발,20210428,6910
75,A046940,우원개발,20210427,7210
76,A046940,우원개발,20210426,7090
77,A046940,우원개발,20210423,7040
78,A046940,우원개발,20210422,7100
79,A046940,우원개발,20210421,7160
80,A046940,우원개발,20210420,6950
81,A046940,우원개발,20210419,6930
82,A046940,우원개발,20210416,6940
83,A046940,우원개발,20210415,6950
84,A046940,우원개발,20210414,6910
85,A046940,우원개발,20210413,6890
86,A046940,우원개발,20210412,6950
87,A046940,우원개발,20210409,6890
88,A046940,우원개발,20210408,6890
89,A046940,우원개발,20210407,7100
90,A046940,우원개발,20210406,7010
91,A046940,우원개발,20210405,6990
92,A046940,우원개발,20210402,7000
93,A046940,우원개발,20210401,7020
94,A046940,우원개발,20210331,7160
95,A046940,우원개발,20210330,7120
96,A046940,우원개발,20210329,6600
97,A046940,우원개발,20210326,6660
98,A046940,우원개발,20210325,6590
99,A046940,우원개발,20210324,6450
100,A046940,우원개발,20210323,6490
101,A046940,우원개발,20210322,6550
102,A046940,우원개발,20210319,6430
103,A046940,우원개발,20210318,6400
104,A046940,우원개발,20210317,6360
105,A046940,우원개발,20210316,6360
106,A046940,우원개발,20210315,6330
107,A046940,우원개발,20210312,6270
108,A046940,우원개발,20210311,6140
109,A046940,우원개발,20210310,6070
110,A046940,우원개발,20210309,6150
111,A046940,우원개발,20210308,6100
112,A046940,우원개발,20210305,5980
113,A046940,우원개발,20210304,6080
114,A046940,우원개발,20210303,6070
115,A046940,우원개발,20210302,5950
116,A046940,우원개발,20210226,6040
117,A046940,우원개발,20210225,6180
