,Á¾¸ñÄÚµå,Á¾¸ñ¸í,³¯Â¥,Á¾°¡
0,A076080,À£Å©·ÐÇÑÅØ,20210812,4090
1,A076080,À£Å©·ÐÇÑÅØ,20210811,4020
2,A076080,À£Å©·ÐÇÑÅØ,20210810,4095
3,A076080,À£Å©·ÐÇÑÅØ,20210809,4160
4,A076080,À£Å©·ÐÇÑÅØ,20210806,4270
5,A076080,À£Å©·ÐÇÑÅØ,20210805,4295
6,A076080,À£Å©·ÐÇÑÅØ,20210804,4265
7,A076080,À£Å©·ÐÇÑÅØ,20210803,4195
8,A076080,À£Å©·ÐÇÑÅØ,20210802,4155
9,A076080,À£Å©·ÐÇÑÅØ,20210730,4230
10,A076080,À£Å©·ÐÇÑÅØ,20210729,4440
11,A076080,À£Å©·ÐÇÑÅØ,20210728,4490
12,A076080,À£Å©·ÐÇÑÅØ,20210727,4400
13,A076080,À£Å©·ÐÇÑÅØ,20210726,4370
14,A076080,À£Å©·ÐÇÑÅØ,20210723,4540
15,A076080,À£Å©·ÐÇÑÅØ,20210722,4685
16,A076080,À£Å©·ÐÇÑÅØ,20210721,4855
17,A076080,À£Å©·ÐÇÑÅØ,20210720,4620
18,A076080,À£Å©·ÐÇÑÅØ,20210719,4670
19,A076080,À£Å©·ÐÇÑÅØ,20210716,4650
20,A076080,À£Å©·ÐÇÑÅØ,20210715,4750
21,A076080,À£Å©·ÐÇÑÅØ,20210714,4685
22,A076080,À£Å©·ÐÇÑÅØ,20210713,5010
23,A076080,À£Å©·ÐÇÑÅØ,20210712,4960
24,A076080,À£Å©·ÐÇÑÅØ,20210709,4605
25,A076080,À£Å©·ÐÇÑÅØ,20210708,4780
26,A076080,À£Å©·ÐÇÑÅØ,20210707,4650
27,A076080,À£Å©·ÐÇÑÅØ,20210706,4750
28,A076080,À£Å©·ÐÇÑÅØ,20210705,4790
29,A076080,À£Å©·ÐÇÑÅØ,20210702,4550
30,A076080,À£Å©·ÐÇÑÅØ,20210701,4785
31,A076080,À£Å©·ÐÇÑÅØ,20210630,4395
32,A076080,À£Å©·ÐÇÑÅØ,20210629,4355
33,A076080,À£Å©·ÐÇÑÅØ,20210628,4445
34,A076080,À£Å©·ÐÇÑÅØ,20210625,4440
35,A076080,À£Å©·ÐÇÑÅØ,20210624,4400
36,A076080,À£Å©·ÐÇÑÅØ,20210623,4595
37,A076080,À£Å©·ÐÇÑÅØ,20210622,4405
38,A076080,À£Å©·ÐÇÑÅØ,20210621,4150
39,A076080,À£Å©·ÐÇÑÅØ,20210618,4325
40,A076080,À£Å©·ÐÇÑÅØ,20210617,4445
41,A076080,À£Å©·ÐÇÑÅØ,20210616,4415
42,A076080,À£Å©·ÐÇÑÅØ,20210615,4410
43,A076080,À£Å©·ÐÇÑÅØ,20210614,4340
44,A076080,À£Å©·ÐÇÑÅØ,20210611,4370
45,A076080,À£Å©·ÐÇÑÅØ,20210610,4340
46,A076080,À£Å©·ÐÇÑÅØ,20210609,4440
47,A076080,À£Å©·ÐÇÑÅØ,20210608,4770
48,A076080,À£Å©·ÐÇÑÅØ,20210607,4150
49,A076080,À£Å©·ÐÇÑÅØ,20210604,4090
50,A076080,À£Å©·ÐÇÑÅØ,20210603,4170
51,A076080,À£Å©·ÐÇÑÅØ,20210602,4095
52,A076080,À£Å©·ÐÇÑÅØ,20210601,4190
53,A076080,À£Å©·ÐÇÑÅØ,20210531,4085
54,A076080,À£Å©·ÐÇÑÅØ,20210528,4080
55,A076080,À£Å©·ÐÇÑÅØ,20210527,4105
56,A076080,À£Å©·ÐÇÑÅØ,20210526,4105
57,A076080,À£Å©·ÐÇÑÅØ,20210525,3900
58,A076080,À£Å©·ÐÇÑÅØ,20210524,4015
59,A076080,À£Å©·ÐÇÑÅØ,20210521,4060
60,A076080,À£Å©·ÐÇÑÅØ,20210520,4105
61,A076080,À£Å©·ÐÇÑÅØ,20210518,3895
62,A076080,À£Å©·ÐÇÑÅØ,20210517,3800
63,A076080,À£Å©·ÐÇÑÅØ,20210514,3780
64,A076080,À£Å©·ÐÇÑÅØ,20210513,3900
65,A076080,À£Å©·ÐÇÑÅØ,20210512,4345
66,A076080,À£Å©·ÐÇÑÅØ,20210511,3900
67,A076080,À£Å©·ÐÇÑÅØ,20210510,3900
68,A076080,À£Å©·ÐÇÑÅØ,20210507,3900
69,A076080,À£Å©·ÐÇÑÅØ,20210506,3980
70,A076080,À£Å©·ÐÇÑÅØ,20210504,3785
