,종목코드,종목명,날짜,종가
0,A101730,위메이드맥스,20210812,5710
1,A101730,위메이드맥스,20210811,5580
2,A101730,위메이드맥스,20210810,5530
3,A101730,위메이드맥스,20210809,5420
4,A101730,위메이드맥스,20210806,5590
5,A101730,위메이드맥스,20210805,5690
6,A101730,위메이드맥스,20210804,5650
7,A101730,위메이드맥스,20210803,5520
8,A101730,위메이드맥스,20210802,5790
9,A101730,위메이드맥스,20210730,5780
10,A101730,위메이드맥스,20210729,5960
11,A101730,위메이드맥스,20210728,5770
12,A101730,위메이드맥스,20210727,5990
13,A101730,위메이드맥스,20210726,6000
14,A101730,위메이드맥스,20210723,6090
15,A101730,위메이드맥스,20210722,5940
16,A101730,위메이드맥스,20210721,5970
17,A101730,위메이드맥스,20210720,5930
18,A101730,위메이드맥스,20210719,6090
19,A101730,위메이드맥스,20210716,5980
20,A101730,위메이드맥스,20210715,5840
21,A101730,위메이드맥스,20210714,5820
22,A101730,위메이드맥스,20210713,5740
23,A101730,위메이드맥스,20210712,5780
24,A101730,위메이드맥스,20210709,5780
25,A101730,위메이드맥스,20210708,6000
26,A101730,위메이드맥스,20210707,6120
27,A101730,위메이드맥스,20210706,6110
28,A101730,위메이드맥스,20210705,6120
29,A101730,위메이드맥스,20210702,6180
30,A101730,위메이드맥스,20210701,6100
31,A101730,위메이드맥스,20210630,6050
32,A101730,위메이드맥스,20210629,5960
33,A101730,위메이드맥스,20210628,5780
34,A101730,위메이드맥스,20210625,5880
35,A101730,위메이드맥스,20210624,5830
36,A101730,위메이드맥스,20210623,5890
37,A101730,위메이드맥스,20210622,5900
38,A101730,위메이드맥스,20210621,6010
39,A101730,위메이드맥스,20210618,6260
40,A101730,위메이드맥스,20210617,6300
41,A101730,위메이드맥스,20210616,6300
42,A101730,위메이드맥스,20210615,6220
43,A101730,위메이드맥스,20210614,6210
44,A101730,위메이드맥스,20210611,6220
45,A101730,위메이드맥스,20210610,6120
46,A101730,위메이드맥스,20210609,6100
47,A101730,위메이드맥스,20210608,5980
48,A101730,위메이드맥스,20210607,5980
49,A101730,위메이드맥스,20210604,6030
50,A101730,위메이드맥스,20210603,6180
51,A101730,위메이드맥스,20210602,6080
52,A101730,위메이드맥스,20210601,5900
53,A101730,위메이드맥스,20210531,5980
54,A101730,위메이드맥스,20210528,5930
55,A101730,위메이드맥스,20210527,5540
56,A101730,위메이드맥스,20210526,5400
57,A101730,위메이드맥스,20210525,5510
58,A101730,위메이드맥스,20210524,5180
59,A101730,위메이드맥스,20210521,5260
60,A101730,위메이드맥스,20210520,5290
61,A101730,위메이드맥스,20210518,5420
62,A101730,위메이드맥스,20210517,5360
63,A101730,위메이드맥스,20210514,5500
64,A101730,위메이드맥스,20210513,5710
65,A101730,위메이드맥스,20210512,5760
66,A101730,위메이드맥스,20210511,5810
67,A101730,위메이드맥스,20210510,5860
68,A101730,위메이드맥스,20210507,5970
69,A101730,위메이드맥스,20210506,5400
70,A101730,위메이드맥스,20210504,5280
71,A101730,위메이드맥스,20210503,5210
72,A101730,위메이드맥스,20210430,5310
73,A101730,위메이드맥스,20210429,5210
74,A101730,위메이드맥스,20210428,5320
75,A101730,위메이드맥스,20210427,5100
76,A101730,위메이드맥스,20210426,5190
77,A101730,위메이드맥스,20210423,5230
78,A101730,위메이드맥스,20210422,5070
79,A101730,위메이드맥스,20210421,5150
80,A101730,위메이드맥스,20210420,5430
81,A101730,위메이드맥스,20210419,5710
82,A101730,위메이드맥스,20210416,6030
83,A101730,위메이드맥스,20210415,5980
84,A101730,위메이드맥스,20210414,6020
85,A101730,위메이드맥스,20210413,6300
86,A101730,위메이드맥스,20210412,6420
87,A101730,위메이드맥스,20210409,5950
88,A101730,위메이드맥스,20210408,5820
89,A101730,위메이드맥스,20210407,5720
90,A101730,위메이드맥스,20210406,6300
91,A101730,위메이드맥스,20210405,6050
92,A101730,위메이드맥스,20210402,7930
93,A101730,위메이드맥스,20210401,6910
94,A101730,위메이드맥스,20210331,6210
95,A101730,위메이드맥스,20210330,6180
96,A101730,위메이드맥스,20210329,5980
97,A101730,위메이드맥스,20210326,5350
98,A101730,위메이드맥스,20210325,5130
99,A101730,위메이드맥스,20210324,4910
100,A101730,위메이드맥스,20210323,4650
101,A101730,위메이드맥스,20210322,4325
102,A101730,위메이드맥스,20210319,4010
103,A101730,위메이드맥스,20210318,3970
104,A101730,위메이드맥스,20210317,4000
105,A101730,위메이드맥스,20210316,3765
106,A101730,위메이드맥스,20210315,3715
107,A101730,위메이드맥스,20210312,3470
108,A101730,위메이드맥스,20210311,3490
109,A101730,위메이드맥스,20210310,3490
110,A101730,위메이드맥스,20210309,3530
111,A101730,위메이드맥스,20210308,3490
112,A101730,위메이드맥스,20210305,3410
113,A101730,위메이드맥스,20210304,3350
114,A101730,위메이드맥스,20210303,3300
115,A101730,위메이드맥스,20210302,3265
116,A101730,위메이드맥스,20210226,3105
117,A101730,위메이드맥스,20210225,3250
118,A101730,위메이드맥스,20210224,3270
119,A101730,위메이드맥스,20210223,3460
120,A101730,위메이드맥스,20210222,3460
121,A101730,위메이드맥스,20210219,3640
122,A101730,위메이드맥스,20210218,3655
123,A101730,위메이드맥스,20210217,3725
124,A101730,위메이드맥스,20210216,3805
125,A101730,위메이드맥스,20210215,3850
126,A101730,위메이드맥스,20210210,3565
127,A101730,위메이드맥스,20210209,3340
128,A101730,위메이드맥스,20210208,3445
129,A101730,위메이드맥스,20210205,3400
130,A101730,위메이드맥스,20210204,3485
131,A101730,위메이드맥스,20210203,3325
132,A101730,위메이드맥스,20210202,3025
133,A101730,위메이드맥스,20210201,2975
134,A101730,위메이드맥스,20210129,2905
135,A101730,위메이드맥스,20210128,2960
136,A101730,위메이드맥스,20210127,2990
137,A101730,위메이드맥스,20210126,2995
138,A101730,위메이드맥스,20210125,3005
139,A101730,위메이드맥스,20210122,2990
140,A101730,위메이드맥스,20210121,2875
141,A101730,위메이드맥스,20210120,2695
142,A101730,위메이드맥스,20210119,2675
143,A101730,위메이드맥스,20210118,2680
144,A101730,위메이드맥스,20210115,2710
145,A101730,위메이드맥스,20210114,2705
146,A101730,위메이드맥스,20210113,2700
147,A101730,위메이드맥스,20210112,2745
148,A101730,위메이드맥스,20210111,2720
149,A101730,위메이드맥스,20210108,2695
150,A101730,위메이드맥스,20210107,2700
151,A101730,위메이드맥스,20210106,2865
152,A101730,위메이드맥스,20210105,2875
153,A101730,위메이드맥스,20210104,2895
154,A101730,위메이드맥스,20201230,2895
155,A101730,위메이드맥스,20201229,2890
156,A101730,위메이드맥스,20201228,2935
157,A101730,위메이드맥스,20201224,3010
158,A101730,위메이드맥스,20201223,2910
159,A101730,위메이드맥스,20201222,2900
160,A101730,위메이드맥스,20201221,3010
161,A101730,위메이드맥스,20201218,3050
162,A101730,위메이드맥스,20201217,2775
163,A101730,위메이드맥스,20201216,2735
164,A101730,위메이드맥스,20201215,2775
165,A101730,위메이드맥스,20201214,2990
166,A101730,위메이드맥스,20201211,3100
167,A101730,위메이드맥스,20201210,3235
168,A101730,위메이드맥스,20201209,3320
169,A101730,위메이드맥스,20201208,3300
170,A101730,위메이드맥스,20201207,3400
