,종목코드,종목명,날짜,종가
0,A299900,위지윅스튜디오,20210812,16950
1,A299900,위지윅스튜디오,20210811,16550
2,A299900,위지윅스튜디오,20210810,16550
3,A299900,위지윅스튜디오,20210809,17400
4,A299900,위지윅스튜디오,20210806,17600
5,A299900,위지윅스튜디오,20210805,17850
6,A299900,위지윅스튜디오,20210804,17850
7,A299900,위지윅스튜디오,20210803,16650
8,A299900,위지윅스튜디오,20210802,16200
9,A299900,위지윅스튜디오,20210730,16300
10,A299900,위지윅스튜디오,20210729,17600
11,A299900,위지윅스튜디오,20210728,18100
12,A299900,위지윅스튜디오,20210727,18700
13,A299900,위지윅스튜디오,20210726,19350
14,A299900,위지윅스튜디오,20210723,18050
15,A299900,위지윅스튜디오,20210722,17700
16,A299900,위지윅스튜디오,20210721,19350
17,A299900,위지윅스튜디오,20210720,19050
18,A299900,위지윅스튜디오,20210719,18800
19,A299900,위지윅스튜디오,20210716,18300
20,A299900,위지윅스튜디오,20210715,16800
21,A299900,위지윅스튜디오,20210714,16600
22,A299900,위지윅스튜디오,20210713,17000
23,A299900,위지윅스튜디오,20210712,16500
24,A299900,위지윅스튜디오,20210709,14850
25,A299900,위지윅스튜디오,20210708,15000
26,A299900,위지윅스튜디오,20210707,15000
27,A299900,위지윅스튜디오,20210706,15000
28,A299900,위지윅스튜디오,20210705,14650
29,A299900,위지윅스튜디오,20210702,14700
30,A299900,위지윅스튜디오,20210701,14250
31,A299900,위지윅스튜디오,20210630,13850
32,A299900,위지윅스튜디오,20210629,13900
33,A299900,위지윅스튜디오,20210628,13550
34,A299900,위지윅스튜디오,20210625,12600
35,A299900,위지윅스튜디오,20210624,12700
36,A299900,위지윅스튜디오,20210623,13400
37,A299900,위지윅스튜디오,20210622,12050
38,A299900,위지윅스튜디오,20210621,11600
39,A299900,위지윅스튜디오,20210618,12100
40,A299900,위지윅스튜디오,20210617,12200
41,A299900,위지윅스튜디오,20210616,12200
42,A299900,위지윅스튜디오,20210615,12350
43,A299900,위지윅스튜디오,20210614,12550
44,A299900,위지윅스튜디오,20210611,12450
45,A299900,위지윅스튜디오,20210610,12450
46,A299900,위지윅스튜디오,20210609,12600
47,A299900,위지윅스튜디오,20210608,11950
48,A299900,위지윅스튜디오,20210607,12200
49,A299900,위지윅스튜디오,20210604,11550
50,A299900,위지윅스튜디오,20210603,11750
51,A299900,위지윅스튜디오,20210602,11800
52,A299900,위지윅스튜디오,20210601,11850
53,A299900,위지윅스튜디오,20210531,11650
54,A299900,위지윅스튜디오,20210528,11900
55,A299900,위지윅스튜디오,20210527,12200
56,A299900,위지윅스튜디오,20210526,12100
57,A299900,위지윅스튜디오,20210525,11600
58,A299900,위지윅스튜디오,20210524,11600
59,A299900,위지윅스튜디오,20210521,11050
60,A299900,위지윅스튜디오,20210520,11100
61,A299900,위지윅스튜디오,20210518,10900
62,A299900,위지윅스튜디오,20210517,10950
63,A299900,위지윅스튜디오,20210514,10700
64,A299900,위지윅스튜디오,20210513,10350
65,A299900,위지윅스튜디오,20210512,10850
66,A299900,위지윅스튜디오,20210511,11050
67,A299900,위지윅스튜디오,20210510,11300
68,A299900,위지윅스튜디오,20210507,11200
69,A299900,위지윅스튜디오,20210506,11350
70,A299900,위지윅스튜디오,20210504,11350
71,A299900,위지윅스튜디오,20210503,11750
72,A299900,위지윅스튜디오,20210430,11750
73,A299900,위지윅스튜디오,20210429,11500
74,A299900,위지윅스튜디오,20210428,12050
75,A299900,위지윅스튜디오,20210427,11800
76,A299900,위지윅스튜디오,20210426,11800
77,A299900,위지윅스튜디오,20210423,12000
78,A299900,위지윅스튜디오,20210422,12400
79,A299900,위지윅스튜디오,20210421,12100
80,A299900,위지윅스튜디오,20210420,12650
81,A299900,위지윅스튜디오,20210419,12650
82,A299900,위지윅스튜디오,20210416,12950
83,A299900,위지윅스튜디오,20210415,13350
84,A299900,위지윅스튜디오,20210414,12950
85,A299900,위지윅스튜디오,20210413,12900
86,A299900,위지윅스튜디오,20210412,13400
87,A299900,위지윅스튜디오,20210409,12900
88,A299900,위지윅스튜디오,20210408,12600
89,A299900,위지윅스튜디오,20210407,12300
90,A299900,위지윅스튜디오,20210406,12800
91,A299900,위지윅스튜디오,20210405,13200
92,A299900,위지윅스튜디오,20210402,12650
93,A299900,위지윅스튜디오,20210401,12550
94,A299900,위지윅스튜디오,20210331,12850
95,A299900,위지윅스튜디오,20210330,13950
96,A299900,위지윅스튜디오,20210329,12100
97,A299900,위지윅스튜디오,20210326,11400
98,A299900,위지윅스튜디오,20210325,10800
99,A299900,위지윅스튜디오,20210324,10700
100,A299900,위지윅스튜디오,20210323,10250
101,A299900,위지윅스튜디오,20210322,10450
102,A299900,위지윅스튜디오,20210319,9780
103,A299900,위지윅스튜디오,20210318,9670
104,A299900,위지윅스튜디오,20210317,9800
105,A299900,위지윅스튜디오,20210316,10300
106,A299900,위지윅스튜디오,20210315,9400
107,A299900,위지윅스튜디오,20210312,9170
108,A299900,위지윅스튜디오,20210311,9070
109,A299900,위지윅스튜디오,20210310,9120
110,A299900,위지윅스튜디오,20210309,9210
111,A299900,위지윅스튜디오,20210308,9200
112,A299900,위지윅스튜디오,20210305,9270
113,A299900,위지윅스튜디오,20210304,9250
114,A299900,위지윅스튜디오,20210303,8880
115,A299900,위지윅스튜디오,20210302,8400
116,A299900,위지윅스튜디오,20210226,8210
117,A299900,위지윅스튜디오,20210225,8080
118,A299900,위지윅스튜디오,20210224,7700
119,A299900,위지윅스튜디오,20210223,7770
120,A299900,위지윅스튜디오,20210222,7880
121,A299900,위지윅스튜디오,20210219,8230
122,A299900,위지윅스튜디오,20210218,8380
123,A299900,위지윅스튜디오,20210217,8610
124,A299900,위지윅스튜디오,20210216,8740
125,A299900,위지윅스튜디오,20210215,8510
126,A299900,위지윅스튜디오,20210210,8850
127,A299900,위지윅스튜디오,20210209,8890
128,A299900,위지윅스튜디오,20210208,8770
129,A299900,위지윅스튜디오,20210205,9210
130,A299900,위지윅스튜디오,20210204,9420
131,A299900,위지윅스튜디오,20210203,9540
132,A299900,위지윅스튜디오,20210202,9810
133,A299900,위지윅스튜디오,20210201,9250
134,A299900,위지윅스튜디오,20210129,9050
135,A299900,위지윅스튜디오,20210128,9880
136,A299900,위지윅스튜디오,20210127,10100
137,A299900,위지윅스튜디오,20210126,9860
138,A299900,위지윅스튜디오,20210125,9460
139,A299900,위지윅스튜디오,20210122,9000
140,A299900,위지윅스튜디오,20210121,8620
141,A299900,위지윅스튜디오,20210120,8700
142,A299900,위지윅스튜디오,20210119,7900
143,A299900,위지윅스튜디오,20210118,7260
144,A299900,위지윅스튜디오,20210115,7290
145,A299900,위지윅스튜디오,20210114,7030
146,A299900,위지윅스튜디오,20210113,7280
147,A299900,위지윅스튜디오,20210112,7160
148,A299900,위지윅스튜디오,20210111,6450
149,A299900,위지윅스튜디오,20210108,6580
150,A299900,위지윅스튜디오,20210107,6610
151,A299900,위지윅스튜디오,20210106,6600
152,A299900,위지윅스튜디오,20210105,6570
153,A299900,위지윅스튜디오,20210104,6170
154,A299900,위지윅스튜디오,20201230,6320
155,A299900,위지윅스튜디오,20201229,5680
156,A299900,위지윅스튜디오,20201228,5500
157,A299900,위지윅스튜디오,20201224,5600
158,A299900,위지윅스튜디오,20201223,5490
159,A299900,위지윅스튜디오,20201222,5480
160,A299900,위지윅스튜디오,20201221,5630
161,A299900,위지윅스튜디오,20201218,5450
162,A299900,위지윅스튜디오,20201217,5260
163,A299900,위지윅스튜디오,20201216,5100
164,A299900,위지윅스튜디오,20201215,5010
165,A299900,위지윅스튜디오,20201214,5040
166,A299900,위지윅스튜디오,20201211,5030
167,A299900,위지윅스튜디오,20201210,4740
168,A299900,위지윅스튜디오,20201209,4635
169,A299900,위지윅스튜디오,20201208,4400
170,A299900,위지윅스튜디오,20201207,4380
171,A299900,위지윅스튜디오,20201204,4350
172,A299900,위지윅스튜디오,20201203,4440
173,A299900,위지윅스튜디오,20201202,4310
174,A299900,위지윅스튜디오,20201201,4305
175,A299900,위지윅스튜디오,20201130,4380
176,A299900,위지윅스튜디오,20201127,4435
177,A299900,위지윅스튜디오,20201126,4325
178,A299900,위지윅스튜디오,20201125,4330
179,A299900,위지윅스튜디오,20201124,4320
180,A299900,위지윅스튜디오,20201123,4300
181,A299900,위지윅스튜디오,20201120,4330
182,A299900,위지윅스튜디오,20201119,4280
183,A299900,위지윅스튜디오,20201118,4380
184,A299900,위지윅스튜디오,20201117,4360
185,A299900,위지윅스튜디오,20201116,4290
186,A299900,위지윅스튜디오,20201113,4285
187,A299900,위지윅스튜디오,20201112,4330
188,A299900,위지윅스튜디오,20201111,4270
189,A299900,위지윅스튜디오,20201110,4320
190,A299900,위지윅스튜디오,20201109,4200
191,A299900,위지윅스튜디오,20201106,4175
192,A299900,위지윅스튜디오,20201105,4180
193,A299900,위지윅스튜디오,20201104,4130
194,A299900,위지윅스튜디오,20201103,4115
195,A299900,위지윅스튜디오,20201102,4085
196,A299900,위지윅스튜디오,20201030,4100
197,A299900,위지윅스튜디오,20201029,4170
198,A299900,위지윅스튜디오,20201028,4160
199,A299900,위지윅스튜디오,20201027,4110
200,A299900,위지윅스튜디오,20201026,4120
201,A299900,위지윅스튜디오,20201023,4255
202,A299900,위지윅스튜디오,20201022,4270
203,A299900,위지윅스튜디오,20201021,4325
204,A299900,위지윅스튜디오,20201020,4285
205,A299900,위지윅스튜디오,20201019,4280
206,A299900,위지윅스튜디오,20201016,4375
207,A299900,위지윅스튜디오,20201015,4360
208,A299900,위지윅스튜디오,20201014,4440
209,A299900,위지윅스튜디오,20201013,4535
210,A299900,위지윅스튜디오,20201012,4560
211,A299900,위지윅스튜디오,20201008,4485
212,A299900,위지윅스튜디오,20201007,4465
213,A299900,위지윅스튜디오,20201006,4500
214,A299900,위지윅스튜디오,20201005,4380
215,A299900,위지윅스튜디오,20200929,4275
216,A299900,위지윅스튜디오,20200928,4300
217,A299900,위지윅스튜디오,20200925,4195
218,A299900,위지윅스튜디오,20200924,4170
219,A299900,위지윅스튜디오,20200923,4300
220,A299900,위지윅스튜디오,20200922,4260
221,A299900,위지윅스튜디오,20200921,4440
222,A299900,위지윅스튜디오,20200918,4645
223,A299900,위지윅스튜디오,20200917,4550
224,A299900,위지윅스튜디오,20200916,4620
225,A299900,위지윅스튜디오,20200915,4600
226,A299900,위지윅스튜디오,20200914,4595
227,A299900,위지윅스튜디오,20200911,4590
228,A299900,위지윅스튜디오,20200910,4595
229,A299900,위지윅스튜디오,20200909,4475
230,A299900,위지윅스튜디오,20200908,4550
231,A299900,위지윅스튜디오,20200907,4495
232,A299900,위지윅스튜디오,20200904,4395
233,A299900,위지윅스튜디오,20200903,4390
234,A299900,위지윅스튜디오,20200902,4280
235,A299900,위지윅스튜디오,20200901,4340
236,A299900,위지윅스튜디오,20200831,4390
237,A299900,위지윅스튜디오,20200828,4340
238,A299900,위지윅스튜디오,20200827,4330
239,A299900,위지윅스튜디오,20200826,4300
240,A299900,위지윅스튜디오,20200825,4355
241,A299900,위지윅스튜디오,20200824,4270
242,A299900,위지윅스튜디오,20200821,4065
243,A299900,위지윅스튜디오,20200820,3870
244,A299900,위지윅스튜디오,20200819,4145
245,A299900,위지윅스튜디오,20200818,4155
246,A299900,위지윅스튜디오,20200814,4420
247,A299900,위지윅스튜디오,20200813,4505
248,A299900,위지윅스튜디오,20200812,4415
249,A299900,위지윅스튜디오,20200811,4510
250,A299900,위지윅스튜디오,20200810,4500
251,A299900,위지윅스튜디오,20200807,4550
252,A299900,위지윅스튜디오,20200806,4665
253,A299900,위지윅스튜디오,20200805,4655
254,A299900,위지윅스튜디오,20200804,4660
255,A299900,위지윅스튜디오,20200803,4760
256,A299900,위지윅스튜디오,20200731,4720
257,A299900,위지윅스튜디오,20200730,4690
