,종목코드,종목명,날짜,종가
0,A086390,유니테스트,20210812,24800
1,A086390,유니테스트,20210811,25050
2,A086390,유니테스트,20210810,25700
3,A086390,유니테스트,20210809,25700
4,A086390,유니테스트,20210806,24550
5,A086390,유니테스트,20210805,24700
6,A086390,유니테스트,20210804,24050
7,A086390,유니테스트,20210803,23850
8,A086390,유니테스트,20210802,23450
9,A086390,유니테스트,20210730,23400
10,A086390,유니테스트,20210729,23750
11,A086390,유니테스트,20210728,23500
12,A086390,유니테스트,20210727,23850
13,A086390,유니테스트,20210726,23500
14,A086390,유니테스트,20210723,23600
15,A086390,유니테스트,20210722,23650
16,A086390,유니테스트,20210721,22500
17,A086390,유니테스트,20210720,22700
18,A086390,유니테스트,20210719,22450
19,A086390,유니테스트,20210716,22250
20,A086390,유니테스트,20210715,22350
21,A086390,유니테스트,20210714,22100
22,A086390,유니테스트,20210713,22200
23,A086390,유니테스트,20210712,21800
24,A086390,유니테스트,20210709,21850
25,A086390,유니테스트,20210708,22200
26,A086390,유니테스트,20210707,22100
27,A086390,유니테스트,20210706,22300
28,A086390,유니테스트,20210705,22300
29,A086390,유니테스트,20210702,22400
30,A086390,유니테스트,20210701,22400
31,A086390,유니테스트,20210630,22650
32,A086390,유니테스트,20210629,22000
33,A086390,유니테스트,20210628,21700
34,A086390,유니테스트,20210625,21500
35,A086390,유니테스트,20210624,20600
36,A086390,유니테스트,20210623,20750
37,A086390,유니테스트,20210622,20800
38,A086390,유니테스트,20210621,21200
39,A086390,유니테스트,20210618,21300
40,A086390,유니테스트,20210617,20550
41,A086390,유니테스트,20210616,20700
42,A086390,유니테스트,20210615,20800
43,A086390,유니테스트,20210614,20700
44,A086390,유니테스트,20210611,21100
45,A086390,유니테스트,20210610,20900
46,A086390,유니테스트,20210609,21100
47,A086390,유니테스트,20210608,21300
48,A086390,유니테스트,20210607,21500
49,A086390,유니테스트,20210604,21450
50,A086390,유니테스트,20210603,21350
51,A086390,유니테스트,20210602,20400
52,A086390,유니테스트,20210601,20300
53,A086390,유니테스트,20210531,20500
54,A086390,유니테스트,20210528,20250
55,A086390,유니테스트,20210527,20100
56,A086390,유니테스트,20210526,20750
57,A086390,유니테스트,20210525,20800
58,A086390,유니테스트,20210524,20900
59,A086390,유니테스트,20210521,21100
60,A086390,유니테스트,20210520,20900
61,A086390,유니테스트,20210518,21200
62,A086390,유니테스트,20210517,21300
63,A086390,유니테스트,20210514,21200
64,A086390,유니테스트,20210513,20550
65,A086390,유니테스트,20210512,21150
66,A086390,유니테스트,20210511,21900
67,A086390,유니테스트,20210510,22150
68,A086390,유니테스트,20210507,22250
69,A086390,유니테스트,20210506,22300
70,A086390,유니테스트,20210504,22450
71,A086390,유니테스트,20210503,22150
72,A086390,유니테스트,20210430,22850
73,A086390,유니테스트,20210429,23000
74,A086390,유니테스트,20210428,22650
75,A086390,유니테스트,20210427,23650
76,A086390,유니테스트,20210426,24150
77,A086390,유니테스트,20210423,24300
78,A086390,유니테스트,20210422,23750
79,A086390,유니테스트,20210421,24200
80,A086390,유니테스트,20210420,24900
81,A086390,유니테스트,20210419,24600
82,A086390,유니테스트,20210416,23650
83,A086390,유니테스트,20210415,23650
84,A086390,유니테스트,20210414,22900
85,A086390,유니테스트,20210413,22950
86,A086390,유니테스트,20210412,22700
87,A086390,유니테스트,20210409,22900
88,A086390,유니테스트,20210408,23300
89,A086390,유니테스트,20210407,23400
90,A086390,유니테스트,20210406,23100
91,A086390,유니테스트,20210405,23500
92,A086390,유니테스트,20210402,23100
93,A086390,유니테스트,20210401,22650
94,A086390,유니테스트,20210331,22100
95,A086390,유니테스트,20210330,22250
96,A086390,유니테스트,20210329,22100
97,A086390,유니테스트,20210326,22500
98,A086390,유니테스트,20210325,22550
99,A086390,유니테스트,20210324,22650
100,A086390,유니테스트,20210323,22300
101,A086390,유니테스트,20210322,23050
102,A086390,유니테스트,20210319,23250
103,A086390,유니테스트,20210318,23100
104,A086390,유니테스트,20210317,22550
105,A086390,유니테스트,20210316,22150
106,A086390,유니테스트,20210315,21750
107,A086390,유니테스트,20210312,21800
108,A086390,유니테스트,20210311,21200
109,A086390,유니테스트,20210310,21000
110,A086390,유니테스트,20210309,21500
111,A086390,유니테스트,20210308,22700
112,A086390,유니테스트,20210305,23850
113,A086390,유니테스트,20210304,24050
114,A086390,유니테스트,20210303,24550
115,A086390,유니테스트,20210302,24450
116,A086390,유니테스트,20210226,24200
117,A086390,유니테스트,20210225,24950
118,A086390,유니테스트,20210224,23350
119,A086390,유니테스트,20210223,24450
120,A086390,유니테스트,20210222,25050
121,A086390,유니테스트,20210219,24450
122,A086390,유니테스트,20210218,24550
123,A086390,유니테스트,20210217,24600
124,A086390,유니테스트,20210216,24950
125,A086390,유니테스트,20210215,25250
126,A086390,유니테스트,20210210,24900
127,A086390,유니테스트,20210209,24700
128,A086390,유니테스트,20210208,23650
129,A086390,유니테스트,20210205,24050
130,A086390,유니테스트,20210204,24300
131,A086390,유니테스트,20210203,23300
132,A086390,유니테스트,20210202,24000
133,A086390,유니테스트,20210201,24800
134,A086390,유니테스트,20210129,23950
135,A086390,유니테스트,20210128,24750
136,A086390,유니테스트,20210127,26000
137,A086390,유니테스트,20210126,27000
138,A086390,유니테스트,20210125,27750
139,A086390,유니테스트,20210122,27850
140,A086390,유니테스트,20210121,28500
141,A086390,유니테스트,20210120,28000
142,A086390,유니테스트,20210119,27150
143,A086390,유니테스트,20210118,26500
144,A086390,유니테스트,20210115,27700
145,A086390,유니테스트,20210114,28200
146,A086390,유니테스트,20210113,28500
147,A086390,유니테스트,20210112,28550
148,A086390,유니테스트,20210111,29200
149,A086390,유니테스트,20210108,26700
150,A086390,유니테스트,20210107,26200
151,A086390,유니테스트,20210106,26100
152,A086390,유니테스트,20210105,27350
153,A086390,유니테스트,20210104,28000
154,A086390,유니테스트,20201230,27200
155,A086390,유니테스트,20201229,26600
156,A086390,유니테스트,20201228,24750
157,A086390,유니테스트,20201224,24900
158,A086390,유니테스트,20201223,24050
159,A086390,유니테스트,20201222,23650
160,A086390,유니테스트,20201221,24400
161,A086390,유니테스트,20201218,24800
162,A086390,유니테스트,20201217,25550
163,A086390,유니테스트,20201216,24350
164,A086390,유니테스트,20201215,23900
165,A086390,유니테스트,20201214,23650
166,A086390,유니테스트,20201211,24050
167,A086390,유니테스트,20201210,23400
168,A086390,유니테스트,20201209,23650
169,A086390,유니테스트,20201208,22850
170,A086390,유니테스트,20201207,23200
171,A086390,유니테스트,20201204,23150
172,A086390,유니테스트,20201203,23700
173,A086390,유니테스트,20201202,24450
174,A086390,유니테스트,20201201,24100
175,A086390,유니테스트,20201130,24800
176,A086390,유니테스트,20201127,24800
177,A086390,유니테스트,20201126,25400
178,A086390,유니테스트,20201125,24900
179,A086390,유니테스트,20201124,25250
180,A086390,유니테스트,20201123,25100
181,A086390,유니테스트,20201120,25500
182,A086390,유니테스트,20201119,25450
183,A086390,유니테스트,20201118,25050
184,A086390,유니테스트,20201117,24600
185,A086390,유니테스트,20201116,24150
186,A086390,유니테스트,20201113,22550
187,A086390,유니테스트,20201112,22550
188,A086390,유니테스트,20201111,22550
189,A086390,유니테스트,20201110,23950
190,A086390,유니테스트,20201109,24650
191,A086390,유니테스트,20201106,23650
192,A086390,유니테스트,20201105,22700
193,A086390,유니테스트,20201104,21200
