,종목코드,종목명,날짜,종가
0,A264450,유비쿼스,20210812,24050
1,A264450,유비쿼스,20210811,23650
2,A264450,유비쿼스,20210810,23150
3,A264450,유비쿼스,20210809,23500
4,A264450,유비쿼스,20210806,23250
5,A264450,유비쿼스,20210805,23300
6,A264450,유비쿼스,20210804,22900
7,A264450,유비쿼스,20210803,22900
8,A264450,유비쿼스,20210802,23000
9,A264450,유비쿼스,20210730,23000
10,A264450,유비쿼스,20210729,23400
11,A264450,유비쿼스,20210728,23100
12,A264450,유비쿼스,20210727,23200
13,A264450,유비쿼스,20210726,23150
14,A264450,유비쿼스,20210723,23750
15,A264450,유비쿼스,20210722,23050
16,A264450,유비쿼스,20210721,23100
17,A264450,유비쿼스,20210720,23500
18,A264450,유비쿼스,20210719,24150
19,A264450,유비쿼스,20210716,24550
20,A264450,유비쿼스,20210715,25000
21,A264450,유비쿼스,20210714,24800
22,A264450,유비쿼스,20210713,24850
23,A264450,유비쿼스,20210712,24500
24,A264450,유비쿼스,20210709,24700
25,A264450,유비쿼스,20210708,25100
26,A264450,유비쿼스,20210707,25600
27,A264450,유비쿼스,20210706,26000
28,A264450,유비쿼스,20210705,24250
29,A264450,유비쿼스,20210702,23300
30,A264450,유비쿼스,20210701,23550
31,A264450,유비쿼스,20210630,24150
32,A264450,유비쿼스,20210629,23700
33,A264450,유비쿼스,20210628,23200
34,A264450,유비쿼스,20210625,23650
35,A264450,유비쿼스,20210624,23700
36,A264450,유비쿼스,20210623,23250
37,A264450,유비쿼스,20210622,23700
38,A264450,유비쿼스,20210621,24550
39,A264450,유비쿼스,20210618,24100
40,A264450,유비쿼스,20210617,23550
41,A264450,유비쿼스,20210616,22800
42,A264450,유비쿼스,20210615,23000
43,A264450,유비쿼스,20210614,22850
44,A264450,유비쿼스,20210611,22400
45,A264450,유비쿼스,20210610,21650
46,A264450,유비쿼스,20210609,21600
47,A264450,유비쿼스,20210608,21950
48,A264450,유비쿼스,20210607,22350
49,A264450,유비쿼스,20210604,22350
50,A264450,유비쿼스,20210603,22350
51,A264450,유비쿼스,20210602,21700
52,A264450,유비쿼스,20210601,21950
53,A264450,유비쿼스,20210531,22350
54,A264450,유비쿼스,20210528,22300
55,A264450,유비쿼스,20210527,21850
56,A264450,유비쿼스,20210526,21900
57,A264450,유비쿼스,20210525,21350
58,A264450,유비쿼스,20210524,21400
59,A264450,유비쿼스,20210521,21400
60,A264450,유비쿼스,20210520,21550
61,A264450,유비쿼스,20210518,20900
62,A264450,유비쿼스,20210517,20550
63,A264450,유비쿼스,20210514,20500
64,A264450,유비쿼스,20210513,20300
65,A264450,유비쿼스,20210512,20350
66,A264450,유비쿼스,20210511,20400
67,A264450,유비쿼스,20210510,20700
68,A264450,유비쿼스,20210507,20650
69,A264450,유비쿼스,20210506,20700
70,A264450,유비쿼스,20210504,20400
71,A264450,유비쿼스,20210503,20300
72,A264450,유비쿼스,20210430,20500
73,A264450,유비쿼스,20210429,20900
74,A264450,유비쿼스,20210428,20650
75,A264450,유비쿼스,20210427,21300
76,A264450,유비쿼스,20210426,21850
77,A264450,유비쿼스,20210423,21750
78,A264450,유비쿼스,20210422,22000
79,A264450,유비쿼스,20210421,22150
80,A264450,유비쿼스,20210420,22450
81,A264450,유비쿼스,20210419,22700
82,A264450,유비쿼스,20210416,21600
83,A264450,유비쿼스,20210415,21650
84,A264450,유비쿼스,20210414,21750
85,A264450,유비쿼스,20210413,21700
86,A264450,유비쿼스,20210412,21300
87,A264450,유비쿼스,20210409,21250
88,A264450,유비쿼스,20210408,21200
89,A264450,유비쿼스,20210407,21250
90,A264450,유비쿼스,20210406,21300
91,A264450,유비쿼스,20210405,21650
92,A264450,유비쿼스,20210402,21900
93,A264450,유비쿼스,20210401,22050
94,A264450,유비쿼스,20210331,21900
95,A264450,유비쿼스,20210330,22050
96,A264450,유비쿼스,20210329,22100
97,A264450,유비쿼스,20210326,22200
98,A264450,유비쿼스,20210325,22200
99,A264450,유비쿼스,20210324,22350
100,A264450,유비쿼스,20210323,22150
101,A264450,유비쿼스,20210322,22400
102,A264450,유비쿼스,20210319,22750
103,A264450,유비쿼스,20210318,21700
