,종목코드,종목명,날짜,종가
0,A024800,유성티엔에스,20210812,3360
1,A024800,유성티엔에스,20210811,3350
2,A024800,유성티엔에스,20210810,3370
3,A024800,유성티엔에스,20210809,3440
4,A024800,유성티엔에스,20210806,3500
5,A024800,유성티엔에스,20210805,3455
6,A024800,유성티엔에스,20210804,3420
7,A024800,유성티엔에스,20210803,3390
8,A024800,유성티엔에스,20210802,3475
9,A024800,유성티엔에스,20210730,3645
10,A024800,유성티엔에스,20210729,3690
11,A024800,유성티엔에스,20210728,3700
12,A024800,유성티엔에스,20210727,3775
13,A024800,유성티엔에스,20210726,3660
14,A024800,유성티엔에스,20210723,3740
15,A024800,유성티엔에스,20210722,3660
16,A024800,유성티엔에스,20210721,3655
17,A024800,유성티엔에스,20210720,3695
18,A024800,유성티엔에스,20210719,3750
19,A024800,유성티엔에스,20210716,3840
20,A024800,유성티엔에스,20210715,3825
21,A024800,유성티엔에스,20210714,3795
22,A024800,유성티엔에스,20210713,3855
23,A024800,유성티엔에스,20210712,3805
24,A024800,유성티엔에스,20210709,3785
25,A024800,유성티엔에스,20210708,3945
26,A024800,유성티엔에스,20210707,4005
27,A024800,유성티엔에스,20210706,4035
28,A024800,유성티엔에스,20210705,4045
29,A024800,유성티엔에스,20210702,4075
30,A024800,유성티엔에스,20210701,3980
31,A024800,유성티엔에스,20210630,3920
32,A024800,유성티엔에스,20210629,3875
33,A024800,유성티엔에스,20210628,3930
34,A024800,유성티엔에스,20210625,3940
35,A024800,유성티엔에스,20210624,3885
36,A024800,유성티엔에스,20210623,3910
37,A024800,유성티엔에스,20210622,4040
38,A024800,유성티엔에스,20210621,4020
39,A024800,유성티엔에스,20210618,3955
40,A024800,유성티엔에스,20210617,3985
41,A024800,유성티엔에스,20210616,4000
42,A024800,유성티엔에스,20210615,3885
43,A024800,유성티엔에스,20210614,3800
44,A024800,유성티엔에스,20210611,3815
45,A024800,유성티엔에스,20210610,3870
46,A024800,유성티엔에스,20210609,3880
47,A024800,유성티엔에스,20210608,3895
48,A024800,유성티엔에스,20210607,3910
49,A024800,유성티엔에스,20210604,3960
50,A024800,유성티엔에스,20210603,3920
51,A024800,유성티엔에스,20210602,3880
52,A024800,유성티엔에스,20210601,3840
53,A024800,유성티엔에스,20210531,3830
54,A024800,유성티엔에스,20210528,3840
55,A024800,유성티엔에스,20210527,3835
56,A024800,유성티엔에스,20210526,3790
57,A024800,유성티엔에스,20210525,3790
58,A024800,유성티엔에스,20210524,3750
59,A024800,유성티엔에스,20210521,3705
60,A024800,유성티엔에스,20210520,3860
61,A024800,유성티엔에스,20210518,3865
62,A024800,유성티엔에스,20210517,4050
63,A024800,유성티엔에스,20210514,4060
64,A024800,유성티엔에스,20210513,4090
65,A024800,유성티엔에스,20210512,4105
66,A024800,유성티엔에스,20210511,4190
67,A024800,유성티엔에스,20210510,4135
68,A024800,유성티엔에스,20210507,4160
69,A024800,유성티엔에스,20210506,4185
70,A024800,유성티엔에스,20210504,3990
71,A024800,유성티엔에스,20210503,4000
72,A024800,유성티엔에스,20210430,4170
73,A024800,유성티엔에스,20210429,4360
74,A024800,유성티엔에스,20210428,4030
75,A024800,유성티엔에스,20210427,4010
76,A024800,유성티엔에스,20210426,3900
77,A024800,유성티엔에스,20210423,3995
78,A024800,유성티엔에스,20210422,3770
79,A024800,유성티엔에스,20210421,3670
80,A024800,유성티엔에스,20210420,3735
81,A024800,유성티엔에스,20210419,3730
82,A024800,유성티엔에스,20210416,3620
83,A024800,유성티엔에스,20210415,3650
84,A024800,유성티엔에스,20210414,3645
85,A024800,유성티엔에스,20210413,3680
86,A024800,유성티엔에스,20210412,3750
87,A024800,유성티엔에스,20210409,3730
88,A024800,유성티엔에스,20210408,3705
89,A024800,유성티엔에스,20210407,3680
90,A024800,유성티엔에스,20210406,3650
91,A024800,유성티엔에스,20210405,3650
92,A024800,유성티엔에스,20210402,3595
93,A024800,유성티엔에스,20210401,3530
94,A024800,유성티엔에스,20210331,3580
95,A024800,유성티엔에스,20210330,3420
96,A024800,유성티엔에스,20210329,3460
97,A024800,유성티엔에스,20210326,3355
98,A024800,유성티엔에스,20210325,3440
99,A024800,유성티엔에스,20210324,3525
100,A024800,유성티엔에스,20210323,3415
101,A024800,유성티엔에스,20210322,3275
102,A024800,유성티엔에스,20210319,3250
103,A024800,유성티엔에스,20210318,3230
104,A024800,유성티엔에스,20210317,3285
105,A024800,유성티엔에스,20210316,3345
106,A024800,유성티엔에스,20210315,3280
107,A024800,유성티엔에스,20210312,3325
108,A024800,유성티엔에스,20210311,3350
109,A024800,유성티엔에스,20210310,3185
110,A024800,유성티엔에스,20210309,3150
111,A024800,유성티엔에스,20210308,3170
112,A024800,유성티엔에스,20210305,3110
113,A024800,유성티엔에스,20210304,3090
114,A024800,유성티엔에스,20210303,3080
115,A024800,유성티엔에스,20210302,3025
116,A024800,유성티엔에스,20210226,2970
117,A024800,유성티엔에스,20210225,3100
118,A024800,유성티엔에스,20210224,3010
119,A024800,유성티엔에스,20210223,3075
120,A024800,유성티엔에스,20210222,3130
121,A024800,유성티엔에스,20210219,3165
122,A024800,유성티엔에스,20210218,3240
123,A024800,유성티엔에스,20210217,3400
124,A024800,유성티엔에스,20210216,3150
125,A024800,유성티엔에스,20210215,3090
126,A024800,유성티엔에스,20210210,3020
127,A024800,유성티엔에스,20210209,2990
128,A024800,유성티엔에스,20210208,2975
129,A024800,유성티엔에스,20210205,3020
130,A024800,유성티엔에스,20210204,3020
131,A024800,유성티엔에스,20210203,3030
132,A024800,유성티엔에스,20210202,2985
133,A024800,유성티엔에스,20210201,2945
134,A024800,유성티엔에스,20210129,2930
135,A024800,유성티엔에스,20210128,3005
136,A024800,유성티엔에스,20210127,3085
137,A024800,유성티엔에스,20210126,3075
138,A024800,유성티엔에스,20210125,3170
139,A024800,유성티엔에스,20210122,3165
140,A024800,유성티엔에스,20210121,3205
141,A024800,유성티엔에스,20210120,3070
142,A024800,유성티엔에스,20210119,3110
143,A024800,유성티엔에스,20210118,3015
144,A024800,유성티엔에스,20210115,3030
145,A024800,유성티엔에스,20210114,3120
146,A024800,유성티엔에스,20210113,3125
147,A024800,유성티엔에스,20210112,3165
148,A024800,유성티엔에스,20210111,2985
149,A024800,유성티엔에스,20210108,3005
150,A024800,유성티엔에스,20210107,3065
151,A024800,유성티엔에스,20210106,3060
152,A024800,유성티엔에스,20210105,3100
153,A024800,유성티엔에스,20210104,2915
154,A024800,유성티엔에스,20201230,2950
155,A024800,유성티엔에스,20201229,2815
156,A024800,유성티엔에스,20201228,2740
157,A024800,유성티엔에스,20201224,2865
158,A024800,유성티엔에스,20201223,2915
159,A024800,유성티엔에스,20201222,2890
160,A024800,유성티엔에스,20201221,3045
161,A024800,유성티엔에스,20201218,3215
162,A024800,유성티엔에스,20201217,3175
163,A024800,유성티엔에스,20201216,3080
164,A024800,유성티엔에스,20201215,2815
165,A024800,유성티엔에스,20201214,2865
166,A024800,유성티엔에스,20201211,2925
167,A024800,유성티엔에스,20201210,2840
168,A024800,유성티엔에스,20201209,2815
169,A024800,유성티엔에스,20201208,2865
170,A024800,유성티엔에스,20201207,2825
171,A024800,유성티엔에스,20201204,2960
172,A024800,유성티엔에스,20201203,2645
173,A024800,유성티엔에스,20201202,2720
174,A024800,유성티엔에스,20201201,2695
175,A024800,유성티엔에스,20201130,2610
176,A024800,유성티엔에스,20201127,2510
177,A024800,유성티엔에스,20201126,2505
178,A024800,유성티엔에스,20201125,2500
179,A024800,유성티엔에스,20201124,2540
180,A024800,유성티엔에스,20201123,2565
181,A024800,유성티엔에스,20201120,2560
182,A024800,유성티엔에스,20201119,2545
183,A024800,유성티엔에스,20201118,2500
184,A024800,유성티엔에스,20201117,2530
185,A024800,유성티엔에스,20201116,2575
186,A024800,유성티엔에스,20201113,2560
187,A024800,유성티엔에스,20201112,2615
188,A024800,유성티엔에스,20201111,2630
189,A024800,유성티엔에스,20201110,2545
190,A024800,유성티엔에스,20201109,2445
191,A024800,유성티엔에스,20201106,2420
192,A024800,유성티엔에스,20201105,2470
193,A024800,유성티엔에스,20201104,2435
194,A024800,유성티엔에스,20201103,2490
195,A024800,유성티엔에스,20201102,2365
196,A024800,유성티엔에스,20201030,2330
197,A024800,유성티엔에스,20201029,2370
198,A024800,유성티엔에스,20201028,2380
199,A024800,유성티엔에스,20201027,2320
200,A024800,유성티엔에스,20201026,2370
201,A024800,유성티엔에스,20201023,2435
202,A024800,유성티엔에스,20201022,2430
203,A024800,유성티엔에스,20201021,2440
204,A024800,유성티엔에스,20201020,2375
205,A024800,유성티엔에스,20201019,2410
206,A024800,유성티엔에스,20201016,2440
207,A024800,유성티엔에스,20201015,2485
208,A024800,유성티엔에스,20201014,2495
