,종목코드,종목명,날짜,종가
0,A336060,유안타제5호스팩,20210812,2395
1,A336060,유안타제5호스팩,20210811,2360
2,A336060,유안타제5호스팩,20210810,2350
3,A336060,유안타제5호스팩,20210809,2345
4,A336060,유안타제5호스팩,20210806,2345
5,A336060,유안타제5호스팩,20210805,2260
6,A336060,유안타제5호스팩,20210804,2235
7,A336060,유안타제5호스팩,20210803,2215
8,A336060,유안타제5호스팩,20210802,2200
9,A336060,유안타제5호스팩,20210730,2185
10,A336060,유안타제5호스팩,20210729,2200
11,A336060,유안타제5호스팩,20210728,2220
12,A336060,유안타제5호스팩,20210727,2190
13,A336060,유안타제5호스팩,20210726,2205
14,A336060,유안타제5호스팩,20210723,2195
15,A336060,유안타제5호스팩,20210722,2175
16,A336060,유안타제5호스팩,20210721,2195
17,A336060,유안타제5호스팩,20210720,2190
18,A336060,유안타제5호스팩,20210719,2185
19,A336060,유안타제5호스팩,20210716,2185
20,A336060,유안타제5호스팩,20210715,2185
21,A336060,유안타제5호스팩,20210714,2195
22,A336060,유안타제5호스팩,20210713,2180
23,A336060,유안타제5호스팩,20210712,2165
24,A336060,유안타제5호스팩,20210709,2170
25,A336060,유안타제5호스팩,20210708,2185
26,A336060,유안타제5호스팩,20210707,2185
27,A336060,유안타제5호스팩,20210706,2180
28,A336060,유안타제5호스팩,20210705,2175
29,A336060,유안타제5호스팩,20210702,2170
30,A336060,유안타제5호스팩,20210701,2155
31,A336060,유안타제5호스팩,20210630,2155
32,A336060,유안타제5호스팩,20210629,2160
33,A336060,유안타제5호스팩,20210628,2145
34,A336060,유안타제5호스팩,20210625,2150
35,A336060,유안타제5호스팩,20210624,2150
36,A336060,유안타제5호스팩,20210623,2150
37,A336060,유안타제5호스팩,20210622,2140
38,A336060,유안타제5호스팩,20210621,2165
39,A336060,유안타제5호스팩,20210618,2165
40,A336060,유안타제5호스팩,20210617,2175
41,A336060,유안타제5호스팩,20210616,2190
42,A336060,유안타제5호스팩,20210615,2150
43,A336060,유안타제5호스팩,20210614,2170
44,A336060,유안타제5호스팩,20210611,2210
45,A336060,유안타제5호스팩,20210610,2185
46,A336060,유안타제5호스팩,20210609,2165
47,A336060,유안타제5호스팩,20210608,2120
48,A336060,유안타제5호스팩,20210607,2115
49,A336060,유안타제5호스팩,20210604,2120
50,A336060,유안타제5호스팩,20210603,2120
51,A336060,유안타제5호스팩,20210602,2130
52,A336060,유안타제5호스팩,20210601,2175
53,A336060,유안타제5호스팩,20210531,2310
54,A336060,유안타제5호스팩,20210528,2195
55,A336060,유안타제5호스팩,20210527,2170
56,A336060,유안타제5호스팩,20210526,2145
57,A336060,유안타제5호스팩,20210525,2120
58,A336060,유안타제5호스팩,20210524,2130
59,A336060,유안타제5호스팩,20210521,2130
60,A336060,유안타제5호스팩,20210520,2140
61,A336060,유안타제5호스팩,20210518,2135
62,A336060,유안타제5호스팩,20210517,2140
63,A336060,유안타제5호스팩,20210514,2140
64,A336060,유안타제5호스팩,20210513,2140
65,A336060,유안타제5호스팩,20210512,2145
66,A336060,유안타제5호스팩,20210511,2140
67,A336060,유안타제5호스팩,20210510,2135
68,A336060,유안타제5호스팩,20210507,2140
69,A336060,유안타제5호스팩,20210506,2140
70,A336060,유안타제5호스팩,20210504,2135
71,A336060,유안타제5호스팩,20210503,2130
72,A336060,유안타제5호스팩,20210430,2125
73,A336060,유안타제5호스팩,20210429,2115
74,A336060,유안타제5호스팩,20210428,2100
75,A336060,유안타제5호스팩,20210427,2120
76,A336060,유안타제5호스팩,20210426,2120
77,A336060,유안타제5호스팩,20210423,2110
78,A336060,유안타제5호스팩,20210422,2095
79,A336060,유안타제5호스팩,20210421,2125
80,A336060,유안타제5호스팩,20210420,2115
81,A336060,유안타제5호스팩,20210419,2115
82,A336060,유안타제5호스팩,20210416,2115
83,A336060,유안타제5호스팩,20210415,2110
84,A336060,유안타제5호스팩,20210414,2105
85,A336060,유안타제5호스팩,20210413,2110
86,A336060,유안타제5호스팩,20210412,2115
87,A336060,유안타제5호스팩,20210409,2110
88,A336060,유안타제5호스팩,20210408,2100
89,A336060,유안타제5호스팩,20210407,2090
90,A336060,유안타제5호스팩,20210406,2085
91,A336060,유안타제5호스팩,20210405,2080
92,A336060,유안타제5호스팩,20210402,2100
93,A336060,유안타제5호스팩,20210401,2090
94,A336060,유안타제5호스팩,20210331,2085
95,A336060,유안타제5호스팩,20210330,2080
96,A336060,유안타제5호스팩,20210329,2080
97,A336060,유안타제5호스팩,20210326,2080
98,A336060,유안타제5호스팩,20210325,2080
99,A336060,유안타제5호스팩,20210324,2080
100,A336060,유안타제5호스팩,20210323,2080
101,A336060,유안타제5호스팩,20210322,2080
102,A336060,유안타제5호스팩,20210319,2080
103,A336060,유안타제5호스팩,20210318,2080
104,A336060,유안타제5호스팩,20210317,2085
105,A336060,유안타제5호스팩,20210316,2085
106,A336060,유안타제5호스팩,20210315,2080
107,A336060,유안타제5호스팩,20210312,2080
108,A336060,유안타제5호스팩,20210311,2075
109,A336060,유안타제5호스팩,20210310,2075
110,A336060,유안타제5호스팩,20210309,2065
111,A336060,유안타제5호스팩,20210308,2065
112,A336060,유안타제5호스팩,20210305,2055
113,A336060,유안타제5호스팩,20210304,2085
114,A336060,유안타제5호스팩,20210303,2080
115,A336060,유안타제5호스팩,20210302,2080
116,A336060,유안타제5호스팩,20210226,2080
117,A336060,유안타제5호스팩,20210225,2080
118,A336060,유안타제5호스팩,20210224,2070
119,A336060,유안타제5호스팩,20210223,2070
120,A336060,유안타제5호스팩,20210222,2060
121,A336060,유안타제5호스팩,20210219,2060
122,A336060,유안타제5호스팩,20210218,2060
123,A336060,유안타제5호스팩,20210217,2060
124,A336060,유안타제5호스팩,20210216,2070
125,A336060,유안타제5호스팩,20210215,2080
126,A336060,유안타제5호스팩,20210210,2070
127,A336060,유안타제5호스팩,20210209,2070
128,A336060,유안타제5호스팩,20210208,2065
129,A336060,유안타제5호스팩,20210205,2060
130,A336060,유안타제5호스팩,20210204,2060
131,A336060,유안타제5호스팩,20210203,2060
132,A336060,유안타제5호스팩,20210202,2055
133,A336060,유안타제5호스팩,20210201,2070
134,A336060,유안타제5호스팩,20210129,2050
135,A336060,유안타제5호스팩,20210128,2055
136,A336060,유안타제5호스팩,20210127,2060
137,A336060,유안타제5호스팩,20210126,2060
138,A336060,유안타제5호스팩,20210125,2060
139,A336060,유안타제5호스팩,20210122,2060
140,A336060,유안타제5호스팩,20210121,2055
141,A336060,유안타제5호스팩,20210120,2060
142,A336060,유안타제5호스팩,20210119,2055
143,A336060,유안타제5호스팩,20210118,2060
144,A336060,유안타제5호스팩,20210115,2060
145,A336060,유안타제5호스팩,20210114,2060
146,A336060,유안타제5호스팩,20210113,2050
147,A336060,유안타제5호스팩,20210112,2050
148,A336060,유안타제5호스팩,20210111,2055
149,A336060,유안타제5호스팩,20210108,2045
150,A336060,유안타제5호스팩,20210107,2045
151,A336060,유안타제5호스팩,20210106,2060
152,A336060,유안타제5호스팩,20210105,2060
153,A336060,유안타제5호스팩,20210104,2045
154,A336060,유안타제5호스팩,20201230,2050
155,A336060,유안타제5호스팩,20201229,2040
156,A336060,유안타제5호스팩,20201228,2030
157,A336060,유안타제5호스팩,20201224,2050
158,A336060,유안타제5호스팩,20201223,2010
159,A336060,유안타제5호스팩,20201222,2010
160,A336060,유안타제5호스팩,20201221,2010
161,A336060,유안타제5호스팩,20201218,2005
162,A336060,유안타제5호스팩,20201217,2010
163,A336060,유안타제5호스팩,20201216,2000
164,A336060,유안타제5호스팩,20201215,2005
165,A336060,유안타제5호스팩,20201214,2000
166,A336060,유안타제5호스팩,20201211,2000
167,A336060,유안타제5호스팩,20201210,2000
168,A336060,유안타제5호스팩,20201209,2000
169,A336060,유안타제5호스팩,20201208,2000
170,A336060,유안타제5호스팩,20201207,2000
171,A336060,유안타제5호스팩,20201204,2005
172,A336060,유안타제5호스팩,20201203,2005
173,A336060,유안타제5호스팩,20201202,2005
174,A336060,유안타제5호스팩,20201201,2005
175,A336060,유안타제5호스팩,20201130,2005
176,A336060,유안타제5호스팩,20201127,2005
177,A336060,유안타제5호스팩,20201126,1995
178,A336060,유안타제5호스팩,20201125,2000
179,A336060,유안타제5호스팩,20201124,1995
180,A336060,유안타제5호스팩,20201123,2000
181,A336060,유안타제5호스팩,20201120,1995
182,A336060,유안타제5호스팩,20201119,1995
183,A336060,유안타제5호스팩,20201118,1995
184,A336060,유안타제5호스팩,20201117,1995
185,A336060,유안타제5호스팩,20201116,1995
186,A336060,유안타제5호스팩,20201113,1995
187,A336060,유안타제5호스팩,20201112,1995
188,A336060,유안타제5호스팩,20201111,1995
189,A336060,유안타제5호스팩,20201110,1995
190,A336060,유안타제5호스팩,20201109,1985
191,A336060,유안타제5호스팩,20201106,2000
192,A336060,유안타제5호스팩,20201105,2005
193,A336060,유안타제5호스팩,20201104,2005
194,A336060,유안타제5호스팩,20201103,2010
195,A336060,유안타제5호스팩,20201102,2010
196,A336060,유안타제5호스팩,20201030,2010
197,A336060,유안타제5호스팩,20201029,2010
198,A336060,유안타제5호스팩,20201028,2000
199,A336060,유안타제5호스팩,20201027,2005
200,A336060,유안타제5호스팩,20201026,2010
201,A336060,유안타제5호스팩,20201023,2010
202,A336060,유안타제5호스팩,20201022,2015
203,A336060,유안타제5호스팩,20201021,2015
204,A336060,유안타제5호스팩,20201020,2015
205,A336060,유안타제5호스팩,20201019,2010
206,A336060,유안타제5호스팩,20201016,2010
207,A336060,유안타제5호스팩,20201015,2010
208,A336060,유안타제5호스팩,20201014,2010
209,A336060,유안타제5호스팩,20201013,2000
210,A336060,유안타제5호스팩,20201012,2000
211,A336060,유안타제5호스팩,20201008,2000
212,A336060,유안타제5호스팩,20201007,1995
213,A336060,유안타제5호스팩,20201006,2000
214,A336060,유안타제5호스팩,20201005,2000
215,A336060,유안타제5호스팩,20200929,1995
216,A336060,유안타제5호스팩,20200928,1985
217,A336060,유안타제5호스팩,20200925,2000
218,A336060,유안타제5호스팩,20200924,2000
219,A336060,유안타제5호스팩,20200923,2000
220,A336060,유안타제5호스팩,20200922,1995
221,A336060,유안타제5호스팩,20200921,1995
222,A336060,유안타제5호스팩,20200918,2000
