,종목코드,종목명,날짜,종가
0,A263770,유에스티,20210812,5600
1,A263770,유에스티,20210811,5600
2,A263770,유에스티,20210810,5660
3,A263770,유에스티,20210809,5880
4,A263770,유에스티,20210806,5960
5,A263770,유에스티,20210805,5950
6,A263770,유에스티,20210804,5860
7,A263770,유에스티,20210803,5820
8,A263770,유에스티,20210802,5930
9,A263770,유에스티,20210730,6020
10,A263770,유에스티,20210729,6070
11,A263770,유에스티,20210728,6000
12,A263770,유에스티,20210727,6120
13,A263770,유에스티,20210726,6020
14,A263770,유에스티,20210723,6090
15,A263770,유에스티,20210722,6050
16,A263770,유에스티,20210721,5960
17,A263770,유에스티,20210720,6050
18,A263770,유에스티,20210719,6160
19,A263770,유에스티,20210716,6340
20,A263770,유에스티,20210715,6370
21,A263770,유에스티,20210714,6390
22,A263770,유에스티,20210713,6320
23,A263770,유에스티,20210712,6170
24,A263770,유에스티,20210709,6000
25,A263770,유에스티,20210708,6300
26,A263770,유에스티,20210707,6510
27,A263770,유에스티,20210706,6480
28,A263770,유에스티,20210705,6510
29,A263770,유에스티,20210702,6740
30,A263770,유에스티,20210701,6890
31,A263770,유에스티,20210630,6730
32,A263770,유에스티,20210629,6780
33,A263770,유에스티,20210628,6760
34,A263770,유에스티,20210625,6650
35,A263770,유에스티,20210624,6560
36,A263770,유에스티,20210623,6560
37,A263770,유에스티,20210622,6740
38,A263770,유에스티,20210621,6650
39,A263770,유에스티,20210618,6660
40,A263770,유에스티,20210617,6650
41,A263770,유에스티,20210616,6700
42,A263770,유에스티,20210615,6570
43,A263770,유에스티,20210614,6600
44,A263770,유에스티,20210611,6460
45,A263770,유에스티,20210610,6420
46,A263770,유에스티,20210609,6360
47,A263770,유에스티,20210608,6480
48,A263770,유에스티,20210607,6590
49,A263770,유에스티,20210604,6550
50,A263770,유에스티,20210603,6580
51,A263770,유에스티,20210602,6670
52,A263770,유에스티,20210601,6540
53,A263770,유에스티,20210531,6400
54,A263770,유에스티,20210528,6300
55,A263770,유에스티,20210527,6330
56,A263770,유에스티,20210526,6260
57,A263770,유에스티,20210525,6300
58,A263770,유에스티,20210524,6270
59,A263770,유에스티,20210521,6450
60,A263770,유에스티,20210520,6390
61,A263770,유에스티,20210518,6350
62,A263770,유에스티,20210517,6330
63,A263770,유에스티,20210514,6530
64,A263770,유에스티,20210513,6570
65,A263770,유에스티,20210512,6980
66,A263770,유에스티,20210511,7150
67,A263770,유에스티,20210510,6880
68,A263770,유에스티,20210507,6890
69,A263770,유에스티,20210506,7080
70,A263770,유에스티,20210504,6900
71,A263770,유에스티,20210503,6860
72,A263770,유에스티,20210430,7300
73,A263770,유에스티,20210429,6720
74,A263770,유에스티,20210428,6550
75,A263770,유에스티,20210427,6990
76,A263770,유에스티,20210426,6510
77,A263770,유에스티,20210423,6500
78,A263770,유에스티,20210422,6700
79,A263770,유에스티,20210421,6470
80,A263770,유에스티,20210420,6490
81,A263770,유에스티,20210419,6400
82,A263770,유에스티,20210416,6300
83,A263770,유에스티,20210415,6330
84,A263770,유에스티,20210414,6440
85,A263770,유에스티,20210413,6430
86,A263770,유에스티,20210412,6450
87,A263770,유에스티,20210409,6570
88,A263770,유에스티,20210408,6600
89,A263770,유에스티,20210407,6410
90,A263770,유에스티,20210406,6550
91,A263770,유에스티,20210405,6530
92,A263770,유에스티,20210402,6490
93,A263770,유에스티,20210401,6080
94,A263770,유에스티,20210331,6180
95,A263770,유에스티,20210330,6180
96,A263770,유에스티,20210329,5870
97,A263770,유에스티,20210326,5770
98,A263770,유에스티,20210325,5890
99,A263770,유에스티,20210324,6030
100,A263770,유에스티,20210323,5950
101,A263770,유에스티,20210322,6150
102,A263770,유에스티,20210319,5820
103,A263770,유에스티,20210318,5860
104,A263770,유에스티,20210317,5810
105,A263770,유에스티,20210316,5850
106,A263770,유에스티,20210315,5740
107,A263770,유에스티,20210312,5560
108,A263770,유에스티,20210311,5560
109,A263770,유에스티,20210310,5650
