,종목코드,종목명,날짜,종가
0,A008250,이건산업,20210812,14850
1,A008250,이건산업,20210811,14850
2,A008250,이건산업,20210810,15050
3,A008250,이건산업,20210809,15300
4,A008250,이건산업,20210806,15250
5,A008250,이건산업,20210805,15050
6,A008250,이건산업,20210804,14800
7,A008250,이건산업,20210803,14650
8,A008250,이건산업,20210802,14900
9,A008250,이건산업,20210730,15300
10,A008250,이건산업,20210729,15250
11,A008250,이건산업,20210728,14900
12,A008250,이건산업,20210727,15200
13,A008250,이건산업,20210726,14750
14,A008250,이건산업,20210723,14650
15,A008250,이건산업,20210722,14400
16,A008250,이건산업,20210721,14200
17,A008250,이건산업,20210720,14400
18,A008250,이건산업,20210719,14350
19,A008250,이건산업,20210716,14100
20,A008250,이건산업,20210715,14250
21,A008250,이건산업,20210714,14450
22,A008250,이건산업,20210713,14650
23,A008250,이건산업,20210712,14650
24,A008250,이건산업,20210709,14150
25,A008250,이건산업,20210708,14600
26,A008250,이건산업,20210707,14650
27,A008250,이건산업,20210706,14550
28,A008250,이건산업,20210705,13800
29,A008250,이건산업,20210702,13900
30,A008250,이건산업,20210701,13350
31,A008250,이건산업,20210630,13450
32,A008250,이건산업,20210629,13300
33,A008250,이건산업,20210628,13500
34,A008250,이건산업,20210625,13250
35,A008250,이건산업,20210624,13150
36,A008250,이건산업,20210623,13300
37,A008250,이건산업,20210622,13800
38,A008250,이건산업,20210621,13400
39,A008250,이건산업,20210618,13550
40,A008250,이건산업,20210617,14200
41,A008250,이건산업,20210616,14350
42,A008250,이건산업,20210615,14300
43,A008250,이건산업,20210614,14300
44,A008250,이건산업,20210611,14850
45,A008250,이건산업,20210610,14950
46,A008250,이건산업,20210609,14900
47,A008250,이건산업,20210608,15050
48,A008250,이건산업,20210607,15100
49,A008250,이건산업,20210604,15400
50,A008250,이건산업,20210603,15600
51,A008250,이건산업,20210602,15700
52,A008250,이건산업,20210601,15250
53,A008250,이건산업,20210531,15100
54,A008250,이건산업,20210528,15250
55,A008250,이건산업,20210527,15500
56,A008250,이건산업,20210526,15100
57,A008250,이건산업,20210525,15550
58,A008250,이건산업,20210524,14550
59,A008250,이건산업,20210521,15500
60,A008250,이건산업,20210520,15850
61,A008250,이건산업,20210518,16300
62,A008250,이건산업,20210517,16350
63,A008250,이건산업,20210514,14250
64,A008250,이건산업,20210513,13250
65,A008250,이건산업,20210512,14100
66,A008250,이건산업,20210511,14900
67,A008250,이건산업,20210510,14550
68,A008250,이건산업,20210507,14550
69,A008250,이건산업,20210506,13900
70,A008250,이건산업,20210504,13150
71,A008250,이건산업,20210503,13100
72,A008250,이건산업,20210430,14200
73,A008250,이건산업,20210429,13800
74,A008250,이건산업,20210428,13300
75,A008250,이건산업,20210427,13650
76,A008250,이건산업,20210426,12600
77,A008250,이건산업,20210423,12150
78,A008250,이건산업,20210422,12100
79,A008250,이건산업,20210421,12000
80,A008250,이건산업,20210420,12000
81,A008250,이건산업,20210419,11500
82,A008250,이건산업,20210416,11550
83,A008250,이건산업,20210415,10850
84,A008250,이건산업,20210414,10650
85,A008250,이건산업,20210413,10350
86,A008250,이건산업,20210412,10900
87,A008250,이건산업,20210409,10350
88,A008250,이건산업,20210408,10100
89,A008250,이건산업,20210407,10050
90,A008250,이건산업,20210406,9550
91,A008250,이건산업,20210405,9500
92,A008250,이건산업,20210402,9380
93,A008250,이건산업,20210401,9550
94,A008250,이건산업,20210331,9570
95,A008250,이건산업,20210330,9460
96,A008250,이건산업,20210329,9510
97,A008250,이건산업,20210326,9520
98,A008250,이건산업,20210325,9450
99,A008250,이건산업,20210324,9260
100,A008250,이건산업,20210323,9080
101,A008250,이건산업,20210322,9070
102,A008250,이건산업,20210319,9130
103,A008250,이건산업,20210318,9170
104,A008250,이건산업,20210317,9060
105,A008250,이건산업,20210316,9200
106,A008250,이건산업,20210315,9080
107,A008250,이건산업,20210312,9080
108,A008250,이건산업,20210311,8890
109,A008250,이건산업,20210310,8520
110,A008250,이건산업,20210309,8570
111,A008250,이건산업,20210308,8710
112,A008250,이건산업,20210305,8780
113,A008250,이건산업,20210304,8910
114,A008250,이건산업,20210303,9110
115,A008250,이건산업,20210302,9030
116,A008250,이건산업,20210226,8840
117,A008250,이건산업,20210225,9280
118,A008250,이건산업,20210224,9050
119,A008250,이건산업,20210223,9680
120,A008250,이건산업,20210222,10100
121,A008250,이건산업,20210219,10150
122,A008250,이건산업,20210218,10550
123,A008250,이건산업,20210217,10800
124,A008250,이건산업,20210216,10500
125,A008250,이건산업,20210215,10700
126,A008250,이건산업,20210210,10650
127,A008250,이건산업,20210209,10350
128,A008250,이건산업,20210208,10800
129,A008250,이건산업,20210205,10450
130,A008250,이건산업,20210204,10200
131,A008250,이건산업,20210203,10150
132,A008250,이건산업,20210202,9800
