,종목코드,종목명,날짜,종가
0,A039020,이건홀딩스,20210812,5120
1,A039020,이건홀딩스,20210811,5080
2,A039020,이건홀딩스,20210810,5100
3,A039020,이건홀딩스,20210809,5230
4,A039020,이건홀딩스,20210806,5290
5,A039020,이건홀딩스,20210805,5410
6,A039020,이건홀딩스,20210804,5480
7,A039020,이건홀딩스,20210803,5500
8,A039020,이건홀딩스,20210802,5400
9,A039020,이건홀딩스,20210730,5480
10,A039020,이건홀딩스,20210729,5720
11,A039020,이건홀딩스,20210728,5670
12,A039020,이건홀딩스,20210727,5880
13,A039020,이건홀딩스,20210726,5780
14,A039020,이건홀딩스,20210723,5820
15,A039020,이건홀딩스,20210722,5750
16,A039020,이건홀딩스,20210721,5770
17,A039020,이건홀딩스,20210720,5880
18,A039020,이건홀딩스,20210719,5940
19,A039020,이건홀딩스,20210716,6260
20,A039020,이건홀딩스,20210715,6350
21,A039020,이건홀딩스,20210714,6250
22,A039020,이건홀딩스,20210713,6410
23,A039020,이건홀딩스,20210712,6660
24,A039020,이건홀딩스,20210709,6140
25,A039020,이건홀딩스,20210708,6370
26,A039020,이건홀딩스,20210707,6700
27,A039020,이건홀딩스,20210706,7200
28,A039020,이건홀딩스,20210705,6860
29,A039020,이건홀딩스,20210702,6920
30,A039020,이건홀딩스,20210701,5680
31,A039020,이건홀딩스,20210630,5760
32,A039020,이건홀딩스,20210629,5840
33,A039020,이건홀딩스,20210628,5800
34,A039020,이건홀딩스,20210625,5260
35,A039020,이건홀딩스,20210624,5200
36,A039020,이건홀딩스,20210623,5290
37,A039020,이건홀딩스,20210622,5380
38,A039020,이건홀딩스,20210621,5250
39,A039020,이건홀딩스,20210618,5130
40,A039020,이건홀딩스,20210617,5210
41,A039020,이건홀딩스,20210616,5270
42,A039020,이건홀딩스,20210615,5150
43,A039020,이건홀딩스,20210614,5020
44,A039020,이건홀딩스,20210611,5010
45,A039020,이건홀딩스,20210610,5120
46,A039020,이건홀딩스,20210609,5100
47,A039020,이건홀딩스,20210608,5300
48,A039020,이건홀딩스,20210607,5280
49,A039020,이건홀딩스,20210604,5330
50,A039020,이건홀딩스,20210603,5450
51,A039020,이건홀딩스,20210602,5450
52,A039020,이건홀딩스,20210601,5110
53,A039020,이건홀딩스,20210531,5100
54,A039020,이건홀딩스,20210528,5090
55,A039020,이건홀딩스,20210527,5150
56,A039020,이건홀딩스,20210526,5160
57,A039020,이건홀딩스,20210525,5250
58,A039020,이건홀딩스,20210524,4920
59,A039020,이건홀딩스,20210521,5030
60,A039020,이건홀딩스,20210520,5120
61,A039020,이건홀딩스,20210518,5250
62,A039020,이건홀딩스,20210517,5230
63,A039020,이건홀딩스,20210514,5090
64,A039020,이건홀딩스,20210513,4935
65,A039020,이건홀딩스,20210512,5150
66,A039020,이건홀딩스,20210511,5380
67,A039020,이건홀딩스,20210510,5240
68,A039020,이건홀딩스,20210507,5350
69,A039020,이건홀딩스,20210506,5280
70,A039020,이건홀딩스,20210504,4830
71,A039020,이건홀딩스,20210503,4690
72,A039020,이건홀딩스,20210430,5010
73,A039020,이건홀딩스,20210429,5080
74,A039020,이건홀딩스,20210428,5000
75,A039020,이건홀딩스,20210427,5250
76,A039020,이건홀딩스,20210426,5090
77,A039020,이건홀딩스,20210423,5130
78,A039020,이건홀딩스,20210422,5300
79,A039020,이건홀딩스,20210421,5500
80,A039020,이건홀딩스,20210420,5350
81,A039020,이건홀딩스,20210419,5180
82,A039020,이건홀딩스,20210416,5250
83,A039020,이건홀딩스,20210415,5090
84,A039020,이건홀딩스,20210414,5320
85,A039020,이건홀딩스,20210413,5480
86,A039020,이건홀딩스,20210412,5260
87,A039020,이건홀딩스,20210409,4050
