,종목코드,종목명,날짜,종가
0,A067920,이글루시큐리티,20210812,7870
1,A067920,이글루시큐리티,20210811,7820
2,A067920,이글루시큐리티,20210810,7770
3,A067920,이글루시큐리티,20210809,8020
4,A067920,이글루시큐리티,20210806,8020
5,A067920,이글루시큐리티,20210805,8290
6,A067920,이글루시큐리티,20210804,8270
7,A067920,이글루시큐리티,20210803,8270
8,A067920,이글루시큐리티,20210802,8510
9,A067920,이글루시큐리티,20210730,8480
10,A067920,이글루시큐리티,20210729,8470
11,A067920,이글루시큐리티,20210728,8320
12,A067920,이글루시큐리티,20210727,8350
13,A067920,이글루시큐리티,20210726,8240
14,A067920,이글루시큐리티,20210723,8440
15,A067920,이글루시큐리티,20210722,8450
16,A067920,이글루시큐리티,20210721,8070
17,A067920,이글루시큐리티,20210720,8230
18,A067920,이글루시큐리티,20210719,8450
19,A067920,이글루시큐리티,20210716,8380
20,A067920,이글루시큐리티,20210715,8370
21,A067920,이글루시큐리티,20210714,8340
22,A067920,이글루시큐리티,20210713,8290
23,A067920,이글루시큐리티,20210712,8200
24,A067920,이글루시큐리티,20210709,8040
25,A067920,이글루시큐리티,20210708,7970
26,A067920,이글루시큐리티,20210707,7900
27,A067920,이글루시큐리티,20210706,7980
28,A067920,이글루시큐리티,20210705,7720
29,A067920,이글루시큐리티,20210702,7850
30,A067920,이글루시큐리티,20210701,7930
31,A067920,이글루시큐리티,20210630,7700
32,A067920,이글루시큐리티,20210629,7650
33,A067920,이글루시큐리티,20210628,7590
34,A067920,이글루시큐리티,20210625,7750
35,A067920,이글루시큐리티,20210624,7800
36,A067920,이글루시큐리티,20210623,7800
37,A067920,이글루시큐리티,20210622,7640
38,A067920,이글루시큐리티,20210621,7640
39,A067920,이글루시큐리티,20210618,7870
40,A067920,이글루시큐리티,20210617,7950
41,A067920,이글루시큐리티,20210616,7800
42,A067920,이글루시큐리티,20210615,7820
43,A067920,이글루시큐리티,20210614,7800
44,A067920,이글루시큐리티,20210611,7740
45,A067920,이글루시큐리티,20210610,7720
46,A067920,이글루시큐리티,20210609,7800
47,A067920,이글루시큐리티,20210608,7750
48,A067920,이글루시큐리티,20210607,7860
49,A067920,이글루시큐리티,20210604,7890
50,A067920,이글루시큐리티,20210603,7700
51,A067920,이글루시큐리티,20210602,7650
52,A067920,이글루시큐리티,20210601,7730
53,A067920,이글루시큐리티,20210531,7680
54,A067920,이글루시큐리티,20210528,7580
55,A067920,이글루시큐리티,20210527,7690
56,A067920,이글루시큐리티,20210526,7630
57,A067920,이글루시큐리티,20210525,7760
58,A067920,이글루시큐리티,20210524,7750
59,A067920,이글루시큐리티,20210521,7730
60,A067920,이글루시큐리티,20210520,7360
61,A067920,이글루시큐리티,20210518,7460
62,A067920,이글루시큐리티,20210517,7220
63,A067920,이글루시큐리티,20210514,7330
64,A067920,이글루시큐리티,20210513,7620
65,A067920,이글루시큐리티,20210512,7640
66,A067920,이글루시큐리티,20210511,7700
67,A067920,이글루시큐리티,20210510,7620
68,A067920,이글루시큐리티,20210507,7890
69,A067920,이글루시큐리티,20210506,7170
70,A067920,이글루시큐리티,20210504,7150
71,A067920,이글루시큐리티,20210503,7050
72,A067920,이글루시큐리티,20210430,6940
73,A067920,이글루시큐리티,20210429,7000
74,A067920,이글루시큐리티,20210428,7160
75,A067920,이글루시큐리티,20210427,7020
76,A067920,이글루시큐리티,20210426,6900
77,A067920,이글루시큐리티,20210423,6900
78,A067920,이글루시큐리티,20210422,6930
79,A067920,이글루시큐리티,20210421,6860
80,A067920,이글루시큐리티,20210420,6620
81,A067920,이글루시큐리티,20210419,6550
82,A067920,이글루시큐리티,20210416,6510
83,A067920,이글루시큐리티,20210415,6460
84,A067920,이글루시큐리티,20210414,6570
85,A067920,이글루시큐리티,20210413,6340
86,A067920,이글루시큐리티,20210412,6580
87,A067920,이글루시큐리티,20210409,6520
88,A067920,이글루시큐리티,20210408,6500
89,A067920,이글루시큐리티,20210407,6670
90,A067920,이글루시큐리티,20210406,6900
91,A067920,이글루시큐리티,20210405,6620
92,A067920,이글루시큐리티,20210402,6710
93,A067920,이글루시큐리티,20210401,6660
94,A067920,이글루시큐리티,20210331,6360
95,A067920,이글루시큐리티,20210330,6340
96,A067920,이글루시큐리티,20210329,6310
97,A067920,이글루시큐리티,20210326,6430
98,A067920,이글루시큐리티,20210325,6640
99,A067920,이글루시큐리티,20210324,6460
100,A067920,이글루시큐리티,20210323,6270
101,A067920,이글루시큐리티,20210322,6470
102,A067920,이글루시큐리티,20210319,6530
103,A067920,이글루시큐리티,20210318,6330
104,A067920,이글루시큐리티,20210317,6230
105,A067920,이글루시큐리티,20210316,6300
106,A067920,이글루시큐리티,20210315,6340
107,A067920,이글루시큐리티,20210312,6060
108,A067920,이글루시큐리티,20210311,5850
109,A067920,이글루시큐리티,20210310,5760
110,A067920,이글루시큐리티,20210309,5810
111,A067920,이글루시큐리티,20210308,5780
112,A067920,이글루시큐리티,20210305,5790
113,A067920,이글루시큐리티,20210304,5870
114,A067920,이글루시큐리티,20210303,5930
115,A067920,이글루시큐리티,20210302,5880
116,A067920,이글루시큐리티,20210226,5680
117,A067920,이글루시큐리티,20210225,5750
118,A067920,이글루시큐리티,20210224,5750
119,A067920,이글루시큐리티,20210223,5850
120,A067920,이글루시큐리티,20210222,5870
121,A067920,이글루시큐리티,20210219,6000
122,A067920,이글루시큐리티,20210218,6170
123,A067920,이글루시큐리티,20210217,6360
124,A067920,이글루시큐리티,20210216,6010
125,A067920,이글루시큐리티,20210215,5980
126,A067920,이글루시큐리티,20210210,5870
127,A067920,이글루시큐리티,20210209,5910
128,A067920,이글루시큐리티,20210208,6100
129,A067920,이글루시큐리티,20210205,5990
130,A067920,이글루시큐리티,20210204,6040
131,A067920,이글루시큐리티,20210203,6010
132,A067920,이글루시큐리티,20210202,4630
133,A067920,이글루시큐리티,20210201,4575
134,A067920,이글루시큐리티,20210129,4570
135,A067920,이글루시큐리티,20210128,4640
136,A067920,이글루시큐리티,20210127,4720
137,A067920,이글루시큐리티,20210126,4745
138,A067920,이글루시큐리티,20210125,4750
139,A067920,이글루시큐리티,20210122,4730
140,A067920,이글루시큐리티,20210121,4740
141,A067920,이글루시큐리티,20210120,4645
142,A067920,이글루시큐리티,20210119,4635
143,A067920,이글루시큐리티,20210118,4635
144,A067920,이글루시큐리티,20210115,4635
145,A067920,이글루시큐리티,20210114,4600
146,A067920,이글루시큐리티,20210113,4605
147,A067920,이글루시큐리티,20210112,4575
148,A067920,이글루시큐리티,20210111,4590
149,A067920,이글루시큐리티,20210108,4675
150,A067920,이글루시큐리티,20210107,4660
151,A067920,이글루시큐리티,20210106,4670
152,A067920,이글루시큐리티,20210105,4695
153,A067920,이글루시큐리티,20210104,4670
154,A067920,이글루시큐리티,20201230,4770
155,A067920,이글루시큐리티,20201229,4725
156,A067920,이글루시큐리티,20201228,4820
157,A067920,이글루시큐리티,20201224,4750
158,A067920,이글루시큐리티,20201223,4745
159,A067920,이글루시큐리티,20201222,4700
160,A067920,이글루시큐리티,20201221,4820
