,종목코드,종목명,날짜,종가
0,A349720,이베스트스팩5호,20210812,2245
1,A349720,이베스트스팩5호,20210811,2245
2,A349720,이베스트스팩5호,20210810,2225
3,A349720,이베스트스팩5호,20210809,2250
4,A349720,이베스트스팩5호,20210806,2295
5,A349720,이베스트스팩5호,20210805,2300
6,A349720,이베스트스팩5호,20210804,2395
7,A349720,이베스트스팩5호,20210803,2275
8,A349720,이베스트스팩5호,20210802,2210
9,A349720,이베스트스팩5호,20210730,2195
10,A349720,이베스트스팩5호,20210729,2195
11,A349720,이베스트스팩5호,20210728,2190
12,A349720,이베스트스팩5호,20210727,2190
13,A349720,이베스트스팩5호,20210726,2185
14,A349720,이베스트스팩5호,20210723,2185
15,A349720,이베스트스팩5호,20210722,2200
16,A349720,이베스트스팩5호,20210721,2215
17,A349720,이베스트스팩5호,20210720,2195
18,A349720,이베스트스팩5호,20210719,2205
19,A349720,이베스트스팩5호,20210716,2210
20,A349720,이베스트스팩5호,20210715,2210
21,A349720,이베스트스팩5호,20210714,2205
22,A349720,이베스트스팩5호,20210713,2200
23,A349720,이베스트스팩5호,20210712,2150
24,A349720,이베스트스팩5호,20210709,2145
25,A349720,이베스트스팩5호,20210708,2150
26,A349720,이베스트스팩5호,20210707,2145
27,A349720,이베스트스팩5호,20210706,2150
28,A349720,이베스트스팩5호,20210705,2160
29,A349720,이베스트스팩5호,20210702,2120
30,A349720,이베스트스팩5호,20210701,2115
31,A349720,이베스트스팩5호,20210630,2115
32,A349720,이베스트스팩5호,20210629,2120
33,A349720,이베스트스팩5호,20210628,2125
34,A349720,이베스트스팩5호,20210625,2130
35,A349720,이베스트스팩5호,20210624,2125
36,A349720,이베스트스팩5호,20210623,2125
37,A349720,이베스트스팩5호,20210622,2120
38,A349720,이베스트스팩5호,20210621,2155
39,A349720,이베스트스팩5호,20210618,2175
40,A349720,이베스트스팩5호,20210617,2125
41,A349720,이베스트스팩5호,20210616,2115
42,A349720,이베스트스팩5호,20210615,2120
43,A349720,이베스트스팩5호,20210614,2135
44,A349720,이베스트스팩5호,20210611,2105
45,A349720,이베스트스팩5호,20210610,2105
46,A349720,이베스트스팩5호,20210609,2125
47,A349720,이베스트스팩5호,20210608,2110
48,A349720,이베스트스팩5호,20210607,2125
49,A349720,이베스트스팩5호,20210604,2125
50,A349720,이베스트스팩5호,20210603,2150
51,A349720,이베스트스팩5호,20210602,2150
52,A349720,이베스트스팩5호,20210601,2205
53,A349720,이베스트스팩5호,20210531,2465
54,A349720,이베스트스팩5호,20210528,2230
55,A349720,이베스트스팩5호,20210527,2270
56,A349720,이베스트스팩5호,20210526,2175
57,A349720,이베스트스팩5호,20210525,2115
58,A349720,이베스트스팩5호,20210524,2105
59,A349720,이베스트스팩5호,20210521,2120
60,A349720,이베스트스팩5호,20210520,2130
61,A349720,이베스트스팩5호,20210518,2125
62,A349720,이베스트스팩5호,20210517,2115
