,종목코드,종목명,날짜,종가
0,A181340,이즈미디어,20210812,20950
1,A181340,이즈미디어,20210811,21150
2,A181340,이즈미디어,20210810,21900
3,A181340,이즈미디어,20210809,21900
4,A181340,이즈미디어,20210806,21350
5,A181340,이즈미디어,20210805,21600
6,A181340,이즈미디어,20210804,22000
7,A181340,이즈미디어,20210803,22050
8,A181340,이즈미디어,20210802,23350
9,A181340,이즈미디어,20210730,23300
10,A181340,이즈미디어,20210729,24000
11,A181340,이즈미디어,20210728,25050
12,A181340,이즈미디어,20210727,25750
13,A181340,이즈미디어,20210726,24800
14,A181340,이즈미디어,20210723,22700
15,A181340,이즈미디어,20210722,23550
16,A181340,이즈미디어,20210721,19850
17,A181340,이즈미디어,20210720,21000
18,A181340,이즈미디어,20210719,21750
19,A181340,이즈미디어,20210716,22400
20,A181340,이즈미디어,20210715,23950
21,A181340,이즈미디어,20210714,23950
22,A181340,이즈미디어,20210713,24200
23,A181340,이즈미디어,20210712,23800
24,A181340,이즈미디어,20210709,22250
25,A181340,이즈미디어,20210708,22500
26,A181340,이즈미디어,20210707,23000
27,A181340,이즈미디어,20210706,24150
28,A181340,이즈미디어,20210705,24500
29,A181340,이즈미디어,20210702,25600
30,A181340,이즈미디어,20210701,25500
31,A181340,이즈미디어,20210630,25100
32,A181340,이즈미디어,20210629,25800
33,A181340,이즈미디어,20210628,25500
34,A181340,이즈미디어,20210625,26500
35,A181340,이즈미디어,20210624,24400
36,A181340,이즈미디어,20210623,24150
37,A181340,이즈미디어,20210622,22700
38,A181340,이즈미디어,20210621,22500
39,A181340,이즈미디어,20210618,23100
40,A181340,이즈미디어,20210617,24000
41,A181340,이즈미디어,20210616,28000
42,A181340,이즈미디어,20210615,28650
43,A181340,이즈미디어,20210614,29900
44,A181340,이즈미디어,20210611,29250
45,A181340,이즈미디어,20210610,28400
46,A181340,이즈미디어,20210609,33000
47,A181340,이즈미디어,20210608,37050
48,A181340,이즈미디어,20210607,38150
49,A181340,이즈미디어,20210604,38200
50,A181340,이즈미디어,20210603,39650
51,A181340,이즈미디어,20210602,38000
52,A181340,이즈미디어,20210601,39000
53,A181340,이즈미디어,20210531,39150
54,A181340,이즈미디어,20210528,39300
55,A181340,이즈미디어,20210527,39050
56,A181340,이즈미디어,20210526,39050
57,A181340,이즈미디어,20210525,41000
58,A181340,이즈미디어,20210524,42650
59,A181340,이즈미디어,20210521,41000
60,A181340,이즈미디어,20210520,42950
61,A181340,이즈미디어,20210518,41250
62,A181340,이즈미디어,20210517,43050
63,A181340,이즈미디어,20210514,39900
64,A181340,이즈미디어,20210513,38200
65,A181340,이즈미디어,20210512,34350
66,A181340,이즈미디어,20210511,33000
67,A181340,이즈미디어,20210510,29700
68,A181340,이즈미디어,20210507,27800
69,A181340,이즈미디어,20210506,26500
70,A181340,이즈미디어,20210504,26550
71,A181340,이즈미디어,20210503,25500
72,A181340,이즈미디어,20210430,25850
73,A181340,이즈미디어,20210429,25900
74,A181340,이즈미디어,20210428,24000
75,A181340,이즈미디어,20210427,23550
76,A181340,이즈미디어,20210426,24200
77,A181340,이즈미디어,20210423,24150
78,A181340,이즈미디어,20210422,23900
79,A181340,이즈미디어,20210421,24350
80,A181340,이즈미디어,20210420,24350
81,A181340,이즈미디어,20210419,22600
82,A181340,이즈미디어,20210416,22400
83,A181340,이즈미디어,20210415,22400
84,A181340,이즈미디어,20210414,22400
85,A181340,이즈미디어,20210413,22200
86,A181340,이즈미디어,20210412,20400
87,A181340,이즈미디어,20210409,19050
88,A181340,이즈미디어,20210408,19200
89,A181340,이즈미디어,20210407,19200
90,A181340,이즈미디어,20210406,19500
91,A181340,이즈미디어,20210405,19850
92,A181340,이즈미디어,20210402,19150
93,A181340,이즈미디어,20210401,19400
94,A181340,이즈미디어,20210331,21200
95,A181340,이즈미디어,20210330,21500
96,A181340,이즈미디어,20210329,22200
97,A181340,이즈미디어,20210326,21800
98,A181340,이즈미디어,20210325,21300
99,A181340,이즈미디어,20210324,23100
100,A181340,이즈미디어,20210323,22800
101,A181340,이즈미디어,20210322,22400
102,A181340,이즈미디어,20210319,22200
103,A181340,이즈미디어,20210318,21950
104,A181340,이즈미디어,20210317,20100
105,A181340,이즈미디어,20210316,20200
106,A181340,이즈미디어,20210315,21150
107,A181340,이즈미디어,20210312,17550
108,A181340,이즈미디어,20210311,16650
109,A181340,이즈미디어,20210310,16950
110,A181340,이즈미디어,20210309,17300
111,A181340,이즈미디어,20210308,16950
112,A181340,이즈미디어,20210305,15900
113,A181340,이즈미디어,20210304,15650
114,A181340,이즈미디어,20210303,15600
115,A181340,이즈미디어,20210302,15550
116,A181340,이즈미디어,20210226,15400
117,A181340,이즈미디어,20210225,14700
118,A181340,이즈미디어,20210224,14000
119,A181340,이즈미디어,20210223,16050
120,A181340,이즈미디어,20210222,17100
121,A181340,이즈미디어,20210219,16700
122,A181340,이즈미디어,20210218,16700
123,A181340,이즈미디어,20210217,16450
124,A181340,이즈미디어,20210216,16150
125,A181340,이즈미디어,20210215,15850
126,A181340,이즈미디어,20210210,15700
127,A181340,이즈미디어,20210209,14800
128,A181340,이즈미디어,20210208,13300
129,A181340,이즈미디어,20210205,10250
130,A181340,이즈미디어,20210204,9880
131,A181340,이즈미디어,20210203,9880
132,A181340,이즈미디어,20210202,9620
133,A181340,이즈미디어,20210201,9780
134,A181340,이즈미디어,20210129,9850
135,A181340,이즈미디어,20210128,9410
136,A181340,이즈미디어,20210127,8900
137,A181340,이즈미디어,20210126,9210
138,A181340,이즈미디어,20210125,9060
139,A181340,이즈미디어,20210122,8320
140,A181340,이즈미디어,20210121,8250
141,A181340,이즈미디어,20210120,8330
142,A181340,이즈미디어,20210119,8000
143,A181340,이즈미디어,20210118,7510
144,A181340,이즈미디어,20210115,8200
145,A181340,이즈미디어,20210114,8580
146,A181340,이즈미디어,20210113,8460
147,A181340,이즈미디어,20210112,8000
148,A181340,이즈미디어,20210111,8350
149,A181340,이즈미디어,20210108,7690
150,A181340,이즈미디어,20210107,7020
151,A181340,이즈미디어,20210106,8080
152,A181340,이즈미디어,20210105,6820
153,A181340,이즈미디어,20210104,6500
154,A181340,이즈미디어,20201230,6690
155,A181340,이즈미디어,20201229,6500
156,A181340,이즈미디어,20201228,6160
157,A181340,이즈미디어,20201224,6060
158,A181340,이즈미디어,20201223,6210
159,A181340,이즈미디어,20201222,6550
160,A181340,이즈미디어,20201221,6910
161,A181340,이즈미디어,20201218,6730
162,A181340,이즈미디어,20201217,7160
163,A181340,이즈미디어,20201216,5890
164,A181340,이즈미디어,20201215,5730
165,A181340,이즈미디어,20201214,5830
166,A181340,이즈미디어,20201211,6060
167,A181340,이즈미디어,20201210,6110
168,A181340,이즈미디어,20201209,5730
169,A181340,이즈미디어,20201208,5710
170,A181340,이즈미디어,20201207,5320
171,A181340,이즈미디어,20201204,5620
172,A181340,이즈미디어,20201203,5250
173,A181340,이즈미디어,20201202,5910
174,A181340,이즈미디어,20201201,5280
175,A181340,이즈미디어,20201130,4485
176,A181340,이즈미디어,20201127,4355
177,A181340,이즈미디어,20201126,4370
178,A181340,이즈미디어,20201125,4220
179,A181340,이즈미디어,20201124,4330
180,A181340,이즈미디어,20201123,4480
181,A181340,이즈미디어,20201120,4545
182,A181340,이즈미디어,20201119,4300
183,A181340,이즈미디어,20201118,4255
184,A181340,이즈미디어,20201117,4210
185,A181340,이즈미디어,20201116,4255
186,A181340,이즈미디어,20201113,4275
187,A181340,이즈미디어,20201112,4420
188,A181340,이즈미디어,20201111,4200
189,A181340,이즈미디어,20201110,4025
190,A181340,이즈미디어,20201109,4030
191,A181340,이즈미디어,20201106,3960
192,A181340,이즈미디어,20201105,4070
193,A181340,이즈미디어,20201104,4000
194,A181340,이즈미디어,20201103,4160
195,A181340,이즈미디어,20201102,4315
196,A181340,이즈미디어,20201030,3950
197,A181340,이즈미디어,20201029,4255
198,A181340,이즈미디어,20201028,4255
199,A181340,이즈미디어,20201027,3900
200,A181340,이즈미디어,20201026,4110
201,A181340,이즈미디어,20201023,4400
202,A181340,이즈미디어,20201022,4145
203,A181340,이즈미디어,20201021,4285
204,A181340,이즈미디어,20201020,4120
205,A181340,이즈미디어,20201019,4235
206,A181340,이즈미디어,20201016,4330
207,A181340,이즈미디어,20201015,4530
208,A181340,이즈미디어,20201014,4480
209,A181340,이즈미디어,20201013,4685
210,A181340,이즈미디어,20201012,4660
211,A181340,이즈미디어,20201008,4530
212,A181340,이즈미디어,20201007,4350
213,A181340,이즈미디어,20201006,4325
214,A181340,이즈미디어,20201005,4395
215,A181340,이즈미디어,20200929,4510
216,A181340,이즈미디어,20200928,4700
217,A181340,이즈미디어,20200925,4050
218,A181340,이즈미디어,20200924,4050
219,A181340,이즈미디어,20200923,4020
220,A181340,이즈미디어,20200922,4275
221,A181340,이즈미디어,20200921,3740
222,A181340,이즈미디어,20200918,3810
223,A181340,이즈미디어,20200917,3520
224,A181340,이즈미디어,20200916,3450
225,A181340,이즈미디어,20200915,3475
226,A181340,이즈미디어,20200914,3480
227,A181340,이즈미디어,20200911,3430
228,A181340,이즈미디어,20200910,3465
229,A181340,이즈미디어,20200909,3290
230,A181340,이즈미디어,20200908,3360
231,A181340,이즈미디어,20200907,3425
232,A181340,이즈미디어,20200904,3330
233,A181340,이즈미디어,20200903,3420
234,A181340,이즈미디어,20200902,3530
235,A181340,이즈미디어,20200901,3530
236,A181340,이즈미디어,20200831,3455
237,A181340,이즈미디어,20200828,3550
238,A181340,이즈미디어,20200827,3565
239,A181340,이즈미디어,20200826,3805
240,A181340,이즈미디어,20200825,4075
241,A181340,이즈미디어,20200824,3655
242,A181340,이즈미디어,20200821,3555
243,A181340,이즈미디어,20200820,3445
244,A181340,이즈미디어,20200819,3550
245,A181340,이즈미디어,20200818,3340
246,A181340,이즈미디어,20200814,3690
247,A181340,이즈미디어,20200813,3750
248,A181340,이즈미디어,20200812,3680
249,A181340,이즈미디어,20200811,3735
250,A181340,이즈미디어,20200810,3370
251,A181340,이즈미디어,20200807,3235
252,A181340,이즈미디어,20200806,3240
253,A181340,이즈미디어,20200805,3115
254,A181340,이즈미디어,20200804,3130
255,A181340,이즈미디어,20200803,3100
256,A181340,이즈미디어,20200731,3110
257,A181340,이즈미디어,20200730,3180
258,A181340,이즈미디어,20200729,3150
259,A181340,이즈미디어,20200728,3130
260,A181340,이즈미디어,20200727,3085
261,A181340,이즈미디어,20200724,3005
262,A181340,이즈미디어,20200723,3105
263,A181340,이즈미디어,20200722,3170
264,A181340,이즈미디어,20200721,3110
265,A181340,이즈미디어,20200720,3165
266,A181340,이즈미디어,20200717,3150
267,A181340,이즈미디어,20200716,3060
268,A181340,이즈미디어,20200715,3100
269,A181340,이즈미디어,20200714,3065
270,A181340,이즈미디어,20200713,3065
271,A181340,이즈미디어,20200710,3090
272,A181340,이즈미디어,20200709,3185
273,A181340,이즈미디어,20200708,3145
274,A181340,이즈미디어,20200707,3120
275,A181340,이즈미디어,20200706,3025
276,A181340,이즈미디어,20200703,3095
277,A181340,이즈미디어,20200702,3100
278,A181340,이즈미디어,20200701,3070
279,A181340,이즈미디어,20200630,3125
280,A181340,이즈미디어,20200629,3010
281,A181340,이즈미디어,20200626,3085
282,A181340,이즈미디어,20200625,3090
283,A181340,이즈미디어,20200624,3180
284,A181340,이즈미디어,20200623,3015
285,A181340,이즈미디어,20200622,3140
286,A181340,이즈미디어,20200619,3095
287,A181340,이즈미디어,20200618,3095
288,A181340,이즈미디어,20200617,3095
289,A181340,이즈미디어,20200616,3095
290,A181340,이즈미디어,20200615,2835
291,A181340,이즈미디어,20200612,3330
292,A181340,이즈미디어,20200611,3435
293,A181340,이즈미디어,20200610,3625
294,A181340,이즈미디어,20200609,3620
295,A181340,이즈미디어,20200608,3670
296,A181340,이즈미디어,20200605,3650
297,A181340,이즈미디어,20200604,3670
298,A181340,이즈미디어,20200603,3740
299,A181340,이즈미디어,20200602,3600
300,A181340,이즈미디어,20200601,3595
301,A181340,이즈미디어,20200529,3560
302,A181340,이즈미디어,20200528,3575
303,A181340,이즈미디어,20200527,3665
304,A181340,이즈미디어,20200526,3615
305,A181340,이즈미디어,20200525,3510
306,A181340,이즈미디어,20200522,3435
307,A181340,이즈미디어,20200521,3550
308,A181340,이즈미디어,20200520,3580
309,A181340,이즈미디어,20200519,3450
310,A181340,이즈미디어,20200518,3380
311,A181340,이즈미디어,20200515,3400
312,A181340,이즈미디어,20200514,3480
313,A181340,이즈미디어,20200513,3420
314,A181340,이즈미디어,20200512,3460
315,A181340,이즈미디어,20200511,3565
316,A181340,이즈미디어,20200508,3605
317,A181340,이즈미디어,20200507,3485
318,A181340,이즈미디어,20200506,3460
319,A181340,이즈미디어,20200504,3365
320,A181340,이즈미디어,20200429,3470
321,A181340,이즈미디어,20200428,3425
322,A181340,이즈미디어,20200427,3370
323,A181340,이즈미디어,20200424,3300
324,A181340,이즈미디어,20200423,3440
325,A181340,이즈미디어,20200422,3375
326,A181340,이즈미디어,20200421,3340
327,A181340,이즈미디어,20200420,3535
328,A181340,이즈미디어,20200417,3405
329,A181340,이즈미디어,20200416,3305
330,A181340,이즈미디어,20200414,3310
331,A181340,이즈미디어,20200413,3075
332,A181340,이즈미디어,20200410,3250
333,A181340,이즈미디어,20200409,3265
334,A181340,이즈미디어,20200408,3245
335,A181340,이즈미디어,20200407,3030
336,A181340,이즈미디어,20200406,2930
337,A181340,이즈미디어,20200403,2820
338,A181340,이즈미디어,20200402,2820
339,A181340,이즈미디어,20200401,2605
340,A181340,이즈미디어,20200331,2855
341,A181340,이즈미디어,20200330,2910
342,A181340,이즈미디어,20200327,2920
343,A181340,이즈미디어,20200326,2595
344,A181340,이즈미디어,20200325,2390
345,A181340,이즈미디어,20200324,2185
346,A181340,이즈미디어,20200323,2070
347,A181340,이즈미디어,20200320,2265
348,A181340,이즈미디어,20200319,2145
349,A181340,이즈미디어,20200318,2785
350,A181340,이즈미디어,20200317,3010
351,A181340,이즈미디어,20200316,2950
352,A181340,이즈미디어,20200313,3060
353,A181340,이즈미디어,20200312,3550
354,A181340,이즈미디어,20200311,3740
355,A181340,이즈미디어,20200310,3930
356,A181340,이즈미디어,20200309,3910
357,A181340,이즈미디어,20200306,4230
358,A181340,이즈미디어,20200305,4405
359,A181340,이즈미디어,20200304,4260
360,A181340,이즈미디어,20200303,4135
361,A181340,이즈미디어,20200302,4080
362,A181340,이즈미디어,20200228,4030
363,A181340,이즈미디어,20200227,4560
364,A181340,이즈미디어,20200226,4815
