,종목코드,종목명,날짜,종가
0,A350520,이지스레지던스리츠,20210812,5100
1,A350520,이지스레지던스리츠,20210811,5070
2,A350520,이지스레지던스리츠,20210810,5090
3,A350520,이지스레지던스리츠,20210809,5110
4,A350520,이지스레지던스리츠,20210806,5110
5,A350520,이지스레지던스리츠,20210805,5090
6,A350520,이지스레지던스리츠,20210804,5080
7,A350520,이지스레지던스리츠,20210803,5080
8,A350520,이지스레지던스리츠,20210802,5100
9,A350520,이지스레지던스리츠,20210730,5100
10,A350520,이지스레지던스리츠,20210729,5100
11,A350520,이지스레지던스리츠,20210728,5090
12,A350520,이지스레지던스리츠,20210727,5110
13,A350520,이지스레지던스리츠,20210726,5120
14,A350520,이지스레지던스리츠,20210723,5130
15,A350520,이지스레지던스리츠,20210722,5150
16,A350520,이지스레지던스리츠,20210721,5130
17,A350520,이지스레지던스리츠,20210720,5110
18,A350520,이지스레지던스리츠,20210719,5150
19,A350520,이지스레지던스리츠,20210716,5130
20,A350520,이지스레지던스리츠,20210715,5090
21,A350520,이지스레지던스리츠,20210714,5050
22,A350520,이지스레지던스리츠,20210713,5070
23,A350520,이지스레지던스리츠,20210712,5040
24,A350520,이지스레지던스리츠,20210709,5030
25,A350520,이지스레지던스리츠,20210708,5060
26,A350520,이지스레지던스리츠,20210707,5080
27,A350520,이지스레지던스리츠,20210706,5100
28,A350520,이지스레지던스리츠,20210705,5110
29,A350520,이지스레지던스리츠,20210702,5080
30,A350520,이지스레지던스리츠,20210701,5080
31,A350520,이지스레지던스리츠,20210630,5080
32,A350520,이지스레지던스리츠,20210629,5120
33,A350520,이지스레지던스리츠,20210628,5200
34,A350520,이지스레지던스리츠,20210625,5190
35,A350520,이지스레지던스리츠,20210624,5200
36,A350520,이지스레지던스리츠,20210623,5210
37,A350520,이지스레지던스리츠,20210622,5170
38,A350520,이지스레지던스리츠,20210621,5190
39,A350520,이지스레지던스리츠,20210618,5170
40,A350520,이지스레지던스리츠,20210617,5160
41,A350520,이지스레지던스리츠,20210616,5180
42,A350520,이지스레지던스리츠,20210615,5210
43,A350520,이지스레지던스리츠,20210614,5240
44,A350520,이지스레지던스리츠,20210611,5240
45,A350520,이지스레지던스리츠,20210610,5230
46,A350520,이지스레지던스리츠,20210609,5240
47,A350520,이지스레지던스리츠,20210608,5210
48,A350520,이지스레지던스리츠,20210607,5260
49,A350520,이지스레지던스리츠,20210604,5250
50,A350520,이지스레지던스리츠,20210603,5280
51,A350520,이지스레지던스리츠,20210602,5330
52,A350520,이지스레지던스리츠,20210601,5260
53,A350520,이지스레지던스리츠,20210531,5220
54,A350520,이지스레지던스리츠,20210528,5180
55,A350520,이지스레지던스리츠,20210527,5140
56,A350520,이지스레지던스리츠,20210526,5120
57,A350520,이지스레지던스리츠,20210525,5120
58,A350520,이지스레지던스리츠,20210524,5080
59,A350520,이지스레지던스리츠,20210521,5070
60,A350520,이지스레지던스리츠,20210520,5070
61,A350520,이지스레지던스리츠,20210518,5050
62,A350520,이지스레지던스리츠,20210517,5060
