,종목코드,종목명,날짜,종가
0,A096040,이트론,20210812,701
1,A096040,이트론,20210811,696
2,A096040,이트론,20210810,703
3,A096040,이트론,20210809,677
4,A096040,이트론,20210806,697
5,A096040,이트론,20210805,703
6,A096040,이트론,20210804,700
7,A096040,이트론,20210803,670
8,A096040,이트론,20210802,692
9,A096040,이트론,20210730,689
10,A096040,이트론,20210729,712
11,A096040,이트론,20210728,712
12,A096040,이트론,20210727,723
13,A096040,이트론,20210726,723
14,A096040,이트론,20210723,748
15,A096040,이트론,20210722,750
16,A096040,이트론,20210721,763
17,A096040,이트론,20210720,778
18,A096040,이트론,20210719,780
19,A096040,이트론,20210716,780
20,A096040,이트론,20210715,786
21,A096040,이트론,20210714,788
22,A096040,이트론,20210713,800
23,A096040,이트론,20210712,802
24,A096040,이트론,20210709,812
25,A096040,이트론,20210708,793
26,A096040,이트론,20210707,804
27,A096040,이트론,20210706,803
28,A096040,이트론,20210705,806
29,A096040,이트론,20210702,810
30,A096040,이트론,20210701,819
31,A096040,이트론,20210630,826
32,A096040,이트론,20210629,793
33,A096040,이트론,20210628,823
34,A096040,이트론,20210625,780
35,A096040,이트론,20210624,780
36,A096040,이트론,20210623,785
37,A096040,이트론,20210622,775
38,A096040,이트론,20210621,754
39,A096040,이트론,20210618,765
40,A096040,이트론,20210617,789
41,A096040,이트론,20210616,801
42,A096040,이트론,20210615,808
43,A096040,이트론,20210614,799
44,A096040,이트론,20210611,801
45,A096040,이트론,20210610,807
46,A096040,이트론,20210609,812
47,A096040,이트론,20210608,816
48,A096040,이트론,20210607,849
49,A096040,이트론,20210604,836
50,A096040,이트론,20210603,819
51,A096040,이트론,20210602,813
52,A096040,이트론,20210601,822
53,A096040,이트론,20210531,817
54,A096040,이트론,20210528,839
55,A096040,이트론,20210527,836
56,A096040,이트론,20210526,893
57,A096040,이트론,20210525,780
58,A096040,이트론,20210524,801
59,A096040,이트론,20210521,820
60,A096040,이트론,20210520,830
61,A096040,이트론,20210518,811
62,A096040,이트론,20210517,827
63,A096040,이트론,20210514,833
64,A096040,이트론,20210513,875
65,A096040,이트론,20210512,881
66,A096040,이트론,20210511,842
67,A096040,이트론,20210510,903
68,A096040,이트론,20210507,912
69,A096040,이트론,20210506,930
70,A096040,이트론,20210504,974
71,A096040,이트론,20210503,1010
72,A096040,이트론,20210430,1005
73,A096040,이트론,20210429,988
74,A096040,이트론,20210428,1050
75,A096040,이트론,20210427,1030
76,A096040,이트론,20210426,820
77,A096040,이트론,20210423,1170
78,A096040,이트론,20210422,1070
79,A096040,이트론,20210421,826
80,A096040,이트론,20210420,715
81,A096040,이트론,20210419,699
82,A096040,이트론,20210416,693
83,A096040,이트론,20210415,769
84,A096040,이트론,20210414,745
85,A096040,이트론,20210413,709
86,A096040,이트론,20210412,546
87,A096040,이트론,20210409,544
88,A096040,이트론,20210408,549
89,A096040,이트론,20210407,559
90,A096040,이트론,20210406,564
91,A096040,이트론,20210405,651
92,A096040,이트론,20210402,674
93,A096040,이트론,20210401,677
94,A096040,이트론,20210331,692
95,A096040,이트론,20210330,692
96,A096040,이트론,20210329,728
97,A096040,이트론,20210326,675
98,A096040,이트론,20210325,683
99,A096040,이트론,20210324,702
100,A096040,이트론,20210323,702
101,A096040,이트론,20210322,731
102,A096040,이트론,20210319,772
103,A096040,이트론,20210318,791
104,A096040,이트론,20210317,776
105,A096040,이트론,20210316,800
106,A096040,이트론,20210315,721
107,A096040,이트론,20210312,750
108,A096040,이트론,20210311,736
109,A096040,이트론,20210310,735
110,A096040,이트론,20210309,774
111,A096040,이트론,20210308,895
112,A096040,이트론,20210305,689
113,A096040,이트론,20210304,687
114,A096040,이트론,20210303,656
115,A096040,이트론,20210302,668
116,A096040,이트론,20210226,514
117,A096040,이트론,20210225,634
118,A096040,이트론,20210224,750
119,A096040,이트론,20210223,865
120,A096040,이트론,20210222,882
121,A096040,이트론,20210219,834
122,A096040,이트론,20210218,735
123,A096040,이트론,20210217,1045
124,A096040,이트론,20210216,952
125,A096040,이트론,20210215,952
126,A096040,이트론,20210210,733
127,A096040,이트론,20210209,564
128,A096040,이트론,20210208,434
129,A096040,이트론,20210205,334
130,A096040,이트론,20210204,361
131,A096040,이트론,20210203,278
132,A096040,이트론,20210202,272
133,A096040,이트론,20210201,265
134,A096040,이트론,20210129,256
135,A096040,이트론,20210128,264
136,A096040,이트론,20210127,270
137,A096040,이트론,20210126,278
138,A096040,이트론,20210125,280
139,A096040,이트론,20210122,269
140,A096040,이트론,20210121,263
141,A096040,이트론,20210120,252
142,A096040,이트론,20210119,252
143,A096040,이트론,20210118,248
144,A096040,이트론,20210115,255
145,A096040,이트론,20210114,257
146,A096040,이트론,20210113,254
147,A096040,이트론,20210112,237
148,A096040,이트론,20210111,235
149,A096040,이트론,20210108,246
150,A096040,이트론,20210107,258
151,A096040,이트론,20210106,264
152,A096040,이트론,20210105,259
153,A096040,이트론,20210104,270
154,A096040,이트론,20201230,279
155,A096040,이트론,20201229,291
156,A096040,이트론,20201228,292
157,A096040,이트론,20201224,323
158,A096040,이트론,20201223,331
159,A096040,이트론,20201222,342
160,A096040,이트론,20201221,332
161,A096040,이트론,20201218,335
162,A096040,이트론,20201217,335
163,A096040,이트론,20201216,363
164,A096040,이트론,20201215,382
165,A096040,이트론,20201214,350
166,A096040,이트론,20201211,344
