,종목코드,종목명,날짜,종가
0,A037330,인지디스플레,20210812,3200
1,A037330,인지디스플레,20210811,3190
2,A037330,인지디스플레,20210810,3250
3,A037330,인지디스플레,20210809,3260
4,A037330,인지디스플레,20210806,3280
5,A037330,인지디스플레,20210805,3240
6,A037330,인지디스플레,20210804,3160
7,A037330,인지디스플레,20210803,3150
8,A037330,인지디스플레,20210802,3180
9,A037330,인지디스플레,20210730,3205
10,A037330,인지디스플레,20210729,3215
11,A037330,인지디스플레,20210728,3200
12,A037330,인지디스플레,20210727,3230
13,A037330,인지디스플레,20210726,3190
14,A037330,인지디스플레,20210723,3230
15,A037330,인지디스플레,20210722,3220
16,A037330,인지디스플레,20210721,3240
17,A037330,인지디스플레,20210720,3250
18,A037330,인지디스플레,20210719,3290
19,A037330,인지디스플레,20210716,3335
20,A037330,인지디스플레,20210715,3330
21,A037330,인지디스플레,20210714,3325
22,A037330,인지디스플레,20210713,3305
23,A037330,인지디스플레,20210712,3295
24,A037330,인지디스플레,20210709,3265
25,A037330,인지디스플레,20210708,3335
26,A037330,인지디스플레,20210707,3405
27,A037330,인지디스플레,20210706,3490
28,A037330,인지디스플레,20210705,3495
29,A037330,인지디스플레,20210702,3435
30,A037330,인지디스플레,20210701,3455
31,A037330,인지디스플레,20210630,3435
32,A037330,인지디스플레,20210629,3430
33,A037330,인지디스플레,20210628,3450
34,A037330,인지디스플레,20210625,3460
35,A037330,인지디스플레,20210624,3465
36,A037330,인지디스플레,20210623,3520
37,A037330,인지디스플레,20210622,3540
38,A037330,인지디스플레,20210621,3430
39,A037330,인지디스플레,20210618,3430
40,A037330,인지디스플레,20210617,3390
41,A037330,인지디스플레,20210616,3370
42,A037330,인지디스플레,20210615,3375
43,A037330,인지디스플레,20210614,3395
44,A037330,인지디스플레,20210611,3345
45,A037330,인지디스플레,20210610,3345
46,A037330,인지디스플레,20210609,3345
47,A037330,인지디스플레,20210608,3365
48,A037330,인지디스플레,20210607,3350
49,A037330,인지디스플레,20210604,3370
50,A037330,인지디스플레,20210603,3370
51,A037330,인지디스플레,20210602,3340
52,A037330,인지디스플레,20210601,3370
53,A037330,인지디스플레,20210531,3360
54,A037330,인지디스플레,20210528,3325
55,A037330,인지디스플레,20210527,3240
56,A037330,인지디스플레,20210526,3255
57,A037330,인지디스플레,20210525,3225
58,A037330,인지디스플레,20210524,3195
59,A037330,인지디스플레,20210521,3345
60,A037330,인지디스플레,20210520,3410
61,A037330,인지디스플레,20210518,3380
62,A037330,인지디스플레,20210517,3395
63,A037330,인지디스플레,20210514,3430
64,A037330,인지디스플레,20210513,3435
65,A037330,인지디스플레,20210512,3475
66,A037330,인지디스플레,20210511,3550
67,A037330,인지디스플레,20210510,3600
68,A037330,인지디스플레,20210507,3625
69,A037330,인지디스플레,20210506,3615
70,A037330,인지디스플레,20210504,3540
71,A037330,인지디스플레,20210503,3500
72,A037330,인지디스플레,20210430,3460
73,A037330,인지디스플레,20210429,3525
74,A037330,인지디스플레,20210428,3515
75,A037330,인지디스플레,20210427,3635
76,A037330,인지디스플레,20210426,3675
77,A037330,인지디스플레,20210423,3565
78,A037330,인지디스플레,20210422,3620
79,A037330,인지디스플레,20210421,3605
80,A037330,인지디스플레,20210420,3680
81,A037330,인지디스플레,20210419,3655
82,A037330,인지디스플레,20210416,3620
83,A037330,인지디스플레,20210415,3535
84,A037330,인지디스플레,20210414,3555
85,A037330,인지디스플레,20210413,3590
86,A037330,인지디스플레,20210412,3610
87,A037330,인지디스플레,20210409,3615
88,A037330,인지디스플레,20210408,3655
89,A037330,인지디스플레,20210407,3620
90,A037330,인지디스플레,20210406,3530
91,A037330,인지디스플레,20210405,3560
92,A037330,인지디스플레,20210402,3580
93,A037330,인지디스플레,20210401,3555
94,A037330,인지디스플레,20210331,3390
95,A037330,인지디스플레,20210330,3435
96,A037330,인지디스플레,20210329,3325
97,A037330,인지디스플레,20210326,3270
98,A037330,인지디스플레,20210325,3285
99,A037330,인지디스플레,20210324,3290
100,A037330,인지디스플레,20210323,3290
101,A037330,인지디스플레,20210322,3385
102,A037330,인지디스플레,20210319,3395
103,A037330,인지디스플레,20210318,3370
104,A037330,인지디스플레,20210317,3370
105,A037330,인지디스플레,20210316,3410
106,A037330,인지디스플레,20210315,3410
107,A037330,인지디스플레,20210312,3375
108,A037330,인지디스플레,20210311,3320
109,A037330,인지디스플레,20210310,3100
110,A037330,인지디스플레,20210309,3240
111,A037330,인지디스플레,20210308,3320
112,A037330,인지디스플레,20210305,3525
113,A037330,인지디스플레,20210304,3460
114,A037330,인지디스플레,20210303,3660
115,A037330,인지디스플레,20210302,3725
116,A037330,인지디스플레,20210226,3815
117,A037330,인지디스플레,20210225,3810
118,A037330,인지디스플레,20210224,3675
119,A037330,인지디스플레,20210223,3880
120,A037330,인지디스플레,20210222,4055
121,A037330,인지디스플레,20210219,4085
122,A037330,인지디스플레,20210218,4100
123,A037330,인지디스플레,20210217,4240
124,A037330,인지디스플레,20210216,4200
125,A037330,인지디스플레,20210215,3995
126,A037330,인지디스플레,20210210,3985
127,A037330,인지디스플레,20210209,3940
128,A037330,인지디스플레,20210208,3915
129,A037330,인지디스플레,20210205,4170
130,A037330,인지디스플레,20210204,4105
131,A037330,인지디스플레,20210203,4135
132,A037330,인지디스플레,20210202,4010
133,A037330,인지디스플레,20210201,3735
134,A037330,인지디스플레,20210129,3700
135,A037330,인지디스플레,20210128,3910
136,A037330,인지디스플레,20210127,4155
137,A037330,인지디스플레,20210126,4200
138,A037330,인지디스플레,20210125,3760
139,A037330,인지디스플레,20210122,3715
140,A037330,인지디스플레,20210121,3845
141,A037330,인지디스플레,20210120,3615
142,A037330,인지디스플레,20210119,3340
143,A037330,인지디스플레,20210118,3290
144,A037330,인지디스플레,20210115,3465
145,A037330,인지디스플레,20210114,3495
146,A037330,인지디스플레,20210113,3590
147,A037330,인지디스플레,20210112,3505
148,A037330,인지디스플레,20210111,3500
149,A037330,인지디스플레,20210108,3615
150,A037330,인지디스플레,20210107,3510
151,A037330,인지디스플레,20210106,3390
152,A037330,인지디스플레,20210105,3450
153,A037330,인지디스플레,20210104,3535
154,A037330,인지디스플레,20201230,3435
155,A037330,인지디스플레,20201229,3575
156,A037330,인지디스플레,20201228,3375
157,A037330,인지디스플레,20201224,3410
158,A037330,인지디스플레,20201223,3395
159,A037330,인지디스플레,20201222,3225
160,A037330,인지디스플레,20201221,3335
161,A037330,인지디스플레,20201218,3345
162,A037330,인지디스플레,20201217,3365
163,A037330,인지디스플레,20201216,3435
164,A037330,인지디스플레,20201215,3235
165,A037330,인지디스플레,20201214,3215
166,A037330,인지디스플레,20201211,3305
167,A037330,인지디스플레,20201210,3305
168,A037330,인지디스플레,20201209,3185
169,A037330,인지디스플레,20201208,3175
170,A037330,인지디스플레,20201207,3110
171,A037330,인지디스플레,20201204,3200
172,A037330,인지디스플레,20201203,3255
173,A037330,인지디스플레,20201202,3310
174,A037330,인지디스플레,20201201,3290
175,A037330,인지디스플레,20201130,3235
176,A037330,인지디스플레,20201127,3195
177,A037330,인지디스플레,20201126,3240
178,A037330,인지디스플레,20201125,3180
179,A037330,인지디스플레,20201124,3270
180,A037330,인지디스플레,20201123,3300
181,A037330,인지디스플레,20201120,3285
182,A037330,인지디스플레,20201119,3265
183,A037330,인지디스플레,20201118,3260
184,A037330,인지디스플레,20201117,3305
185,A037330,인지디스플레,20201116,3485
186,A037330,인지디스플레,20201113,3560
187,A037330,인지디스플레,20201112,3500
