,종목코드,종목명,날짜,종가
0,A034590,인천도시가스,20210812,28300
1,A034590,인천도시가스,20210811,28200
2,A034590,인천도시가스,20210810,28300
3,A034590,인천도시가스,20210809,28450
4,A034590,인천도시가스,20210806,28500
5,A034590,인천도시가스,20210805,28550
6,A034590,인천도시가스,20210804,28450
7,A034590,인천도시가스,20210803,28550
8,A034590,인천도시가스,20210802,28350
9,A034590,인천도시가스,20210730,28600
10,A034590,인천도시가스,20210729,28900
11,A034590,인천도시가스,20210728,28750
12,A034590,인천도시가스,20210727,28850
13,A034590,인천도시가스,20210726,28550
14,A034590,인천도시가스,20210723,28800
15,A034590,인천도시가스,20210722,28800
16,A034590,인천도시가스,20210721,28850
17,A034590,인천도시가스,20210720,28600
18,A034590,인천도시가스,20210719,28900
19,A034590,인천도시가스,20210716,29000
20,A034590,인천도시가스,20210715,29000
21,A034590,인천도시가스,20210714,28850
22,A034590,인천도시가스,20210713,28850
23,A034590,인천도시가스,20210712,28850
24,A034590,인천도시가스,20210709,28250
25,A034590,인천도시가스,20210708,28450
26,A034590,인천도시가스,20210707,28700
27,A034590,인천도시가스,20210706,28700
28,A034590,인천도시가스,20210705,28650
29,A034590,인천도시가스,20210702,28550
30,A034590,인천도시가스,20210701,28600
31,A034590,인천도시가스,20210630,28700
32,A034590,인천도시가스,20210629,28700
33,A034590,인천도시가스,20210628,28800
34,A034590,인천도시가스,20210625,28750
35,A034590,인천도시가스,20210624,28650
36,A034590,인천도시가스,20210623,28600
37,A034590,인천도시가스,20210622,28700
38,A034590,인천도시가스,20210621,28700
39,A034590,인천도시가스,20210618,28900
40,A034590,인천도시가스,20210617,28850
41,A034590,인천도시가스,20210616,28750
42,A034590,인천도시가스,20210615,28700
43,A034590,인천도시가스,20210614,28650
44,A034590,인천도시가스,20210611,28650
45,A034590,인천도시가스,20210610,28650
46,A034590,인천도시가스,20210609,28450
47,A034590,인천도시가스,20210608,28700
48,A034590,인천도시가스,20210607,28700
49,A034590,인천도시가스,20210604,28600
50,A034590,인천도시가스,20210603,28550
51,A034590,인천도시가스,20210602,28500
52,A034590,인천도시가스,20210601,28450
53,A034590,인천도시가스,20210531,28250
54,A034590,인천도시가스,20210528,28250
55,A034590,인천도시가스,20210527,28400
56,A034590,인천도시가스,20210526,28150
57,A034590,인천도시가스,20210525,28000
58,A034590,인천도시가스,20210524,28000
59,A034590,인천도시가스,20210521,28050
60,A034590,인천도시가스,20210520,28200
61,A034590,인천도시가스,20210518,28550
62,A034590,인천도시가스,20210517,27350
63,A034590,인천도시가스,20210514,27500
64,A034590,인천도시가스,20210513,27350
65,A034590,인천도시가스,20210512,27800
66,A034590,인천도시가스,20210511,28050
67,A034590,인천도시가스,20210510,27900
68,A034590,인천도시가스,20210507,27800
69,A034590,인천도시가스,20210506,27750
70,A034590,인천도시가스,20210504,27300
71,A034590,인천도시가스,20210503,27150
72,A034590,인천도시가스,20210430,27150
73,A034590,인천도시가스,20210429,27100
74,A034590,인천도시가스,20210428,27200
75,A034590,인천도시가스,20210427,27100
76,A034590,인천도시가스,20210426,27050
77,A034590,인천도시가스,20210423,27000
78,A034590,인천도시가스,20210422,26950
79,A034590,인천도시가스,20210421,26850
80,A034590,인천도시가스,20210420,27000
81,A034590,인천도시가스,20210419,26850
82,A034590,인천도시가스,20210416,26750
83,A034590,인천도시가스,20210415,26600
84,A034590,인천도시가스,20210414,26700
85,A034590,인천도시가스,20210413,26700
86,A034590,인천도시가스,20210412,26800
87,A034590,인천도시가스,20210409,26600
88,A034590,인천도시가스,20210408,26500
89,A034590,인천도시가스,20210407,26500
90,A034590,인천도시가스,20210406,26250
91,A034590,인천도시가스,20210405,26150
92,A034590,인천도시가스,20210402,25950
93,A034590,인천도시가스,20210401,25950
94,A034590,인천도시가스,20210331,25800
95,A034590,인천도시가스,20210330,25750
96,A034590,인천도시가스,20210329,25700
97,A034590,인천도시가스,20210326,25800
98,A034590,인천도시가스,20210325,25700
99,A034590,인천도시가스,20210324,25650
100,A034590,인천도시가스,20210323,25650
101,A034590,인천도시가스,20210322,25600
102,A034590,인천도시가스,20210319,25300
103,A034590,인천도시가스,20210318,25350
104,A034590,인천도시가스,20210317,25350
105,A034590,인천도시가스,20210316,25450
106,A034590,인천도시가스,20210315,25250
107,A034590,인천도시가스,20210312,25300
108,A034590,인천도시가스,20210311,25300
109,A034590,인천도시가스,20210310,25500
110,A034590,인천도시가스,20210309,25450
111,A034590,인천도시가스,20210308,25200
112,A034590,인천도시가스,20210305,25000
113,A034590,인천도시가스,20210304,25100
114,A034590,인천도시가스,20210303,24850
115,A034590,인천도시가스,20210302,24950
116,A034590,인천도시가스,20210226,24900
117,A034590,인천도시가스,20210225,24900
118,A034590,인천도시가스,20210224,24700
119,A034590,인천도시가스,20210223,25000
120,A034590,인천도시가스,20210222,25000
121,A034590,인천도시가스,20210219,24950
122,A034590,인천도시가스,20210218,24950
123,A034590,인천도시가스,20210217,24800
124,A034590,인천도시가스,20210216,24750
125,A034590,인천도시가스,20210215,24800
126,A034590,인천도시가스,20210210,24650
127,A034590,인천도시가스,20210209,24450
128,A034590,인천도시가스,20210208,24600
129,A034590,인천도시가스,20210205,24600
130,A034590,인천도시가스,20210204,24550
131,A034590,인천도시가스,20210203,24550
132,A034590,인천도시가스,20210202,24650
133,A034590,인천도시가스,20210201,24650
134,A034590,인천도시가스,20210129,24500
135,A034590,인천도시가스,20210128,24450
136,A034590,인천도시가스,20210127,24600
137,A034590,인천도시가스,20210126,24650
138,A034590,인천도시가스,20210125,24900
139,A034590,인천도시가스,20210122,24750
140,A034590,인천도시가스,20210121,24750
141,A034590,인천도시가스,20210120,24750
142,A034590,인천도시가스,20210119,24700
143,A034590,인천도시가스,20210118,24700
144,A034590,인천도시가스,20210115,24800
145,A034590,인천도시가스,20210114,24900
146,A034590,인천도시가스,20210113,24750
147,A034590,인천도시가스,20210112,24750
148,A034590,인천도시가스,20210111,24900
149,A034590,인천도시가스,20210108,24900
150,A034590,인천도시가스,20210107,24900
151,A034590,인천도시가스,20210106,24900
152,A034590,인천도시가스,20210105,24750
153,A034590,인천도시가스,20210104,24800
154,A034590,인천도시가스,20201230,25000
155,A034590,인천도시가스,20201229,25050
156,A034590,인천도시가스,20201228,26100
157,A034590,인천도시가스,20201224,26150
158,A034590,인천도시가스,20201223,26000
159,A034590,인천도시가스,20201222,26000
160,A034590,인천도시가스,20201221,26100
161,A034590,인천도시가스,20201218,25900
162,A034590,인천도시가스,20201217,25850
163,A034590,인천도시가스,20201216,25850
164,A034590,인천도시가스,20201215,25900
165,A034590,인천도시가스,20201214,25800
166,A034590,인천도시가스,20201211,25650
167,A034590,인천도시가스,20201210,25600
168,A034590,인천도시가스,20201209,25800
169,A034590,인천도시가스,20201208,25850
170,A034590,인천도시가스,20201207,25900
171,A034590,인천도시가스,20201204,25900
172,A034590,인천도시가스,20201203,25800
173,A034590,인천도시가스,20201202,25950
174,A034590,인천도시가스,20201201,25900
175,A034590,인천도시가스,20201130,25900
176,A034590,인천도시가스,20201127,26000
177,A034590,인천도시가스,20201126,26000
178,A034590,인천도시가스,20201125,26000
179,A034590,인천도시가스,20201124,26100
180,A034590,인천도시가스,20201123,26100
181,A034590,인천도시가스,20201120,25950
182,A034590,인천도시가스,20201119,26150
183,A034590,인천도시가스,20201118,26000
184,A034590,인천도시가스,20201117,26100
185,A034590,인천도시가스,20201116,26100
186,A034590,인천도시가스,20201113,26150
187,A034590,인천도시가스,20201112,26050
188,A034590,인천도시가스,20201111,26000
189,A034590,인천도시가스,20201110,25800
190,A034590,인천도시가스,20201109,25700
191,A034590,인천도시가스,20201106,25650
192,A034590,인천도시가스,20201105,25900
193,A034590,인천도시가스,20201104,25900
194,A034590,인천도시가스,20201103,25650
195,A034590,인천도시가스,20201102,25600
196,A034590,인천도시가스,20201030,25550
197,A034590,인천도시가스,20201029,25700
198,A034590,인천도시가스,20201028,25650
199,A034590,인천도시가스,20201027,25650
200,A034590,인천도시가스,20201026,25750
201,A034590,인천도시가스,20201023,25850
202,A034590,인천도시가스,20201022,25850
203,A034590,인천도시가스,20201021,25950
204,A034590,인천도시가스,20201020,25900
205,A034590,인천도시가스,20201019,26000
206,A034590,인천도시가스,20201016,25800
207,A034590,인천도시가스,20201015,25500
208,A034590,인천도시가스,20201014,25500
209,A034590,인천도시가스,20201013,25550
210,A034590,인천도시가스,20201012,25800
211,A034590,인천도시가스,20201008,25600
212,A034590,인천도시가스,20201007,25650
213,A034590,인천도시가스,20201006,25300
214,A034590,인천도시가스,20201005,25050
215,A034590,인천도시가스,20200929,24950
216,A034590,인천도시가스,20200928,24950
217,A034590,인천도시가스,20200925,24650
218,A034590,인천도시가스,20200924,24550
219,A034590,인천도시가스,20200923,24850
220,A034590,인천도시가스,20200922,24700
221,A034590,인천도시가스,20200921,25300
222,A034590,인천도시가스,20200918,25350
223,A034590,인천도시가스,20200917,25300
224,A034590,인천도시가스,20200916,25500
225,A034590,인천도시가스,20200915,26300
226,A034590,인천도시가스,20200914,24750
227,A034590,인천도시가스,20200911,24750
228,A034590,인천도시가스,20200910,24800
229,A034590,인천도시가스,20200909,24550
230,A034590,인천도시가스,20200908,24650
231,A034590,인천도시가스,20200907,24550
232,A034590,인천도시가스,20200904,24650
233,A034590,인천도시가스,20200903,24800
234,A034590,인천도시가스,20200902,24800
235,A034590,인천도시가스,20200901,24450
236,A034590,인천도시가스,20200831,24600
237,A034590,인천도시가스,20200828,24600
238,A034590,인천도시가스,20200827,24600
239,A034590,인천도시가스,20200826,24550
240,A034590,인천도시가스,20200825,24650
241,A034590,인천도시가스,20200824,24600
242,A034590,인천도시가스,20200821,24550
243,A034590,인천도시가스,20200820,24500
244,A034590,인천도시가스,20200819,24600
245,A034590,인천도시가스,20200818,24550
246,A034590,인천도시가스,20200814,24900
247,A034590,인천도시가스,20200813,24850
248,A034590,인천도시가스,20200812,24750
249,A034590,인천도시가스,20200811,24650
250,A034590,인천도시가스,20200810,24500
251,A034590,인천도시가스,20200807,24400
252,A034590,인천도시가스,20200806,24350
253,A034590,인천도시가스,20200805,24400
254,A034590,인천도시가스,20200804,24350
255,A034590,인천도시가스,20200803,24350
256,A034590,인천도시가스,20200731,24200
257,A034590,인천도시가스,20200730,24200
258,A034590,인천도시가스,20200729,24500
259,A034590,인천도시가스,20200728,24050
260,A034590,인천도시가스,20200727,24150
261,A034590,인천도시가스,20200724,24050
262,A034590,인천도시가스,20200723,24050
263,A034590,인천도시가스,20200722,24100
264,A034590,인천도시가스,20200721,24250
265,A034590,인천도시가스,20200720,24200
266,A034590,인천도시가스,20200717,24200
267,A034590,인천도시가스,20200716,24050
268,A034590,인천도시가스,20200715,24200
269,A034590,인천도시가스,20200714,24200
270,A034590,인천도시가스,20200713,24150
271,A034590,인천도시가스,20200710,24050
272,A034590,인천도시가스,20200709,24100
273,A034590,인천도시가스,20200708,24300
274,A034590,인천도시가스,20200707,24150
275,A034590,인천도시가스,20200706,24000
276,A034590,인천도시가스,20200703,24150
277,A034590,인천도시가스,20200702,24000
278,A034590,인천도시가스,20200701,24100
279,A034590,인천도시가스,20200630,23950
280,A034590,인천도시가스,20200629,23900
281,A034590,인천도시가스,20200626,24150
282,A034590,인천도시가스,20200625,24000
283,A034590,인천도시가스,20200624,24300
284,A034590,인천도시가스,20200623,24250
285,A034590,인천도시가스,20200622,24500
286,A034590,인천도시가스,20200619,24600
287,A034590,인천도시가스,20200618,24500
288,A034590,인천도시가스,20200617,24600
289,A034590,인천도시가스,20200616,24750
290,A034590,인천도시가스,20200615,24500
291,A034590,인천도시가스,20200612,25150
292,A034590,인천도시가스,20200611,25400
293,A034590,인천도시가스,20200610,25400
294,A034590,인천도시가스,20200609,25500
295,A034590,인천도시가스,20200608,25500
296,A034590,인천도시가스,20200605,25600
297,A034590,인천도시가스,20200604,25300
298,A034590,인천도시가스,20200603,25500
299,A034590,인천도시가스,20200602,25850
300,A034590,인천도시가스,20200601,25500
301,A034590,인천도시가스,20200529,25250
302,A034590,인천도시가스,20200528,25050
303,A034590,인천도시가스,20200527,25100
304,A034590,인천도시가스,20200526,24550
