,종목코드,종목명,날짜,종가
0,A211050,인카금융서비스,20210812,17000
1,A211050,인카금융서비스,20210811,16000
2,A211050,인카금융서비스,20210810,15800
3,A211050,인카금융서비스,20210809,15300
4,A211050,인카금융서비스,20210806,15450
5,A211050,인카금융서비스,20210805,15500
6,A211050,인카금융서비스,20210804,15450
7,A211050,인카금융서비스,20210803,15850
8,A211050,인카금융서비스,20210802,15400
9,A211050,인카금융서비스,20210730,14550
10,A211050,인카금융서비스,20210729,15550
11,A211050,인카금융서비스,20210728,14800
12,A211050,인카금융서비스,20210727,14900
13,A211050,인카금융서비스,20210726,14200
14,A211050,인카금융서비스,20210723,15900
15,A211050,인카금융서비스,20210722,14150
16,A211050,인카금융서비스,20210721,14100
17,A211050,인카금융서비스,20210720,14000
18,A211050,인카금융서비스,20210719,13500
19,A211050,인카금융서비스,20210716,12500
20,A211050,인카금융서비스,20210715,12250
21,A211050,인카금융서비스,20210714,12500
22,A211050,인카금융서비스,20210713,11750
23,A211050,인카금융서비스,20210712,12450
24,A211050,인카금융서비스,20210709,12100
25,A211050,인카금융서비스,20210708,12750
26,A211050,인카금융서비스,20210707,12850
27,A211050,인카금융서비스,20210706,12150
28,A211050,인카금융서비스,20210705,12400
29,A211050,인카금융서비스,20210702,12650
30,A211050,인카금융서비스,20210701,12700
31,A211050,인카금융서비스,20210630,11500
32,A211050,인카금융서비스,20210629,11000
33,A211050,인카금융서비스,20210628,10950
34,A211050,인카금융서비스,20210625,11300
35,A211050,인카금융서비스,20210624,12650
36,A211050,인카금융서비스,20210623,11400
37,A211050,인카금융서비스,20210622,11800
38,A211050,인카금융서비스,20210621,11950
39,A211050,인카금융서비스,20210618,11950
40,A211050,인카금융서비스,20210617,12500
41,A211050,인카금융서비스,20210616,11700
42,A211050,인카금융서비스,20210615,11750
43,A211050,인카금융서비스,20210614,11750
44,A211050,인카금융서비스,20210611,11800
45,A211050,인카금융서비스,20210610,11650
46,A211050,인카금융서비스,20210609,11000
47,A211050,인카금융서비스,20210608,11400
48,A211050,인카금융서비스,20210607,11000
49,A211050,인카금융서비스,20210604,11050
50,A211050,인카금융서비스,20210603,11500
51,A211050,인카금융서비스,20210602,11400
52,A211050,인카금융서비스,20210601,11450
53,A211050,인카금융서비스,20210531,11450
54,A211050,인카금융서비스,20210528,11600
55,A211050,인카금융서비스,20210527,11000
56,A211050,인카금융서비스,20210526,12000
57,A211050,인카금융서비스,20210525,13650
58,A211050,인카금융서비스,20210524,13000
59,A211050,인카금융서비스,20210521,13650
60,A211050,인카금융서비스,20210520,13900
61,A211050,인카금융서비스,20210518,12750
62,A211050,인카금융서비스,20210517,11900
63,A211050,인카금융서비스,20210514,12850
64,A211050,인카금융서비스,20210513,11350
65,A211050,인카금융서비스,20210512,11350
66,A211050,인카금융서비스,20210511,11400
67,A211050,인카금융서비스,20210510,11800
68,A211050,인카금융서비스,20210507,11800
69,A211050,인카금융서비스,20210506,11750
70,A211050,인카금융서비스,20210504,11000
71,A211050,인카금융서비스,20210503,12750
