,а╬╦Ядз╣Е,а╬╦Я╦М,Ё╞б╔,а╬╟║
0,A013090,юндл,20210812,1360
1,A013090,юндл,20210811,1350
2,A013090,юндл,20210810,1480
3,A013090,юндл,20210809,1685
4,A013090,юндл,20210806,1745
5,A013090,юндл,20210805,1500
6,A013090,юндл,20210804,1475
7,A013090,юндл,20210803,1405
8,A013090,юндл,20210802,1710
9,A013090,юндл,20210730,1505
10,A013090,юндл,20210729,1600
11,A013090,юндл,20210728,1700
12,A013090,юндл,20210727,1675
13,A013090,юндл,20210726,1690
14,A013090,юндл,20210723,1690
15,A013090,юндл,20210722,1305
16,A013090,юндл,20210721,1500
17,A013090,юндл,20210720,1265
18,A013090,юндл,20210719,1415
19,A013090,юндл,20210716,1500
20,A013090,юндл,20210715,1500
21,A013090,юндл,20210714,1495
22,A013090,юндл,20210713,1270
23,A013090,юндл,20210712,1640
24,A013090,юндл,20210709,1310
25,A013090,юндл,20210708,1355
26,A013090,юндл,20210707,1305
27,A013090,юндл,20210706,1615
28,A013090,юндл,20210705,1260
29,A013090,юндл,20210702,1280
30,A013090,юндл,20210701,1560
31,A013090,юндл,20210630,1200
32,A013090,юндл,20210629,1720
33,A013090,юндл,20210628,1340
34,A013090,юндл,20210625,1655
35,A013090,юндл,20210624,1780
36,A013090,юндл,20210623,1500
37,A013090,юндл,20210622,1875
38,A013090,юндл,20210621,1575
39,A013090,юндл,20210618,1570
40,A013090,юндл,20210617,1570
41,A013090,юндл,20210616,1570
42,A013090,юндл,20210615,1570
43,A013090,юндл,20210614,1575
44,A013090,юндл,20210611,1575
45,A013090,юндл,20210610,1595
46,A013090,юндл,20210609,1610
47,A013090,юндл,20210608,1615
48,A013090,юндл,20210607,1640
49,A013090,юндл,20210604,1645
50,A013090,юндл,20210603,1650
51,A013090,юндл,20210602,1730
52,A013090,юндл,20210601,1695
53,A013090,юндл,20210531,1730
54,A013090,юндл,20210528,1730
55,A013090,юндл,20210527,1730
56,A013090,юндл,20210526,1750
57,A013090,юндл,20210525,1765
58,A013090,юндл,20210524,1410
59,A013090,юндл,20210521,1720
60,A013090,юндл,20210520,1720
61,A013090,юндл,20210518,1675
62,A013090,юндл,20210517,1365
63,A013090,юндл,20210514,1875
64,A013090,юндл,20210513,1405
65,A013090,юндл,20210512,1745
66,A013090,юндл,20210511,1360
67,A013090,юндл,20210510,1360
68,A013090,юндл,20210507,1845
