,종목코드,종목명,날짜,종가
0,A035080,인터파크,20210812,8240
1,A035080,인터파크,20210811,8150
2,A035080,인터파크,20210810,8110
3,A035080,인터파크,20210809,8800
4,A035080,인터파크,20210806,9040
5,A035080,인터파크,20210805,9650
6,A035080,인터파크,20210804,9480
7,A035080,인터파크,20210803,9170
8,A035080,인터파크,20210802,9590
9,A035080,인터파크,20210730,8430
10,A035080,인터파크,20210729,8690
11,A035080,인터파크,20210728,8670
12,A035080,인터파크,20210727,8530
13,A035080,인터파크,20210726,8340
14,A035080,인터파크,20210723,8600
15,A035080,인터파크,20210722,8790
16,A035080,인터파크,20210721,7830
17,A035080,인터파크,20210720,8020
18,A035080,인터파크,20210719,8080
19,A035080,인터파크,20210716,8470
20,A035080,인터파크,20210715,9030
21,A035080,인터파크,20210714,9020
22,A035080,인터파크,20210713,6940
23,A035080,인터파크,20210712,5650
24,A035080,인터파크,20210709,5310
25,A035080,인터파크,20210708,5400
26,A035080,인터파크,20210707,5560
27,A035080,인터파크,20210706,5670
28,A035080,인터파크,20210705,5540
29,A035080,인터파크,20210702,5600
30,A035080,인터파크,20210701,5560
31,A035080,인터파크,20210630,5520
32,A035080,인터파크,20210629,5490
33,A035080,인터파크,20210628,5550
34,A035080,인터파크,20210625,5560
35,A035080,인터파크,20210624,5690
36,A035080,인터파크,20210623,5510
37,A035080,인터파크,20210622,5670
38,A035080,인터파크,20210621,5670
39,A035080,인터파크,20210618,5950
40,A035080,인터파크,20210617,6040
41,A035080,인터파크,20210616,5980
42,A035080,인터파크,20210615,5970
43,A035080,인터파크,20210614,6080
44,A035080,인터파크,20210611,6260
45,A035080,인터파크,20210610,6100
46,A035080,인터파크,20210609,6100
47,A035080,인터파크,20210608,6070
48,A035080,인터파크,20210607,6140
49,A035080,인터파크,20210604,6170
50,A035080,인터파크,20210603,6480
51,A035080,인터파크,20210602,6150
52,A035080,인터파크,20210601,5780
53,A035080,인터파크,20210531,5790
54,A035080,인터파크,20210528,5140
