,종목코드,종목명,날짜,종가
0,A000230,일동홀딩스,20210812,13500
1,A000230,일동홀딩스,20210811,13300
2,A000230,일동홀딩스,20210810,13400
3,A000230,일동홀딩스,20210809,13450
4,A000230,일동홀딩스,20210806,13450
5,A000230,일동홀딩스,20210805,13650
6,A000230,일동홀딩스,20210804,13750
7,A000230,일동홀딩스,20210803,13750
8,A000230,일동홀딩스,20210802,13500
9,A000230,일동홀딩스,20210730,13500
10,A000230,일동홀딩스,20210729,13500
11,A000230,일동홀딩스,20210728,13500
12,A000230,일동홀딩스,20210727,13550
13,A000230,일동홀딩스,20210726,13600
14,A000230,일동홀딩스,20210723,13450
15,A000230,일동홀딩스,20210722,13450
16,A000230,일동홀딩스,20210721,13450
17,A000230,일동홀딩스,20210720,13650
18,A000230,일동홀딩스,20210719,13650
19,A000230,일동홀딩스,20210716,13950
20,A000230,일동홀딩스,20210715,13850
21,A000230,일동홀딩스,20210714,13800
22,A000230,일동홀딩스,20210713,13950
23,A000230,일동홀딩스,20210712,13950
24,A000230,일동홀딩스,20210709,14050
25,A000230,일동홀딩스,20210708,14100
26,A000230,일동홀딩스,20210707,14150
27,A000230,일동홀딩스,20210706,14400
28,A000230,일동홀딩스,20210705,14550
29,A000230,일동홀딩스,20210702,14550
30,A000230,일동홀딩스,20210701,14700
31,A000230,일동홀딩스,20210630,14700
32,A000230,일동홀딩스,20210629,14400
33,A000230,일동홀딩스,20210628,14450
34,A000230,일동홀딩스,20210625,14200
35,A000230,일동홀딩스,20210624,14100
36,A000230,일동홀딩스,20210623,14100
37,A000230,일동홀딩스,20210622,14100
38,A000230,일동홀딩스,20210621,14350
39,A000230,일동홀딩스,20210618,14500
40,A000230,일동홀딩스,20210617,14550
41,A000230,일동홀딩스,20210616,14550
42,A000230,일동홀딩스,20210615,14400
43,A000230,일동홀딩스,20210614,14400
44,A000230,일동홀딩스,20210611,14500
45,A000230,일동홀딩스,20210610,14500
46,A000230,일동홀딩스,20210609,14500
47,A000230,일동홀딩스,20210608,14650
48,A000230,일동홀딩스,20210607,14600
49,A000230,일동홀딩스,20210604,14350
50,A000230,일동홀딩스,20210603,14100
51,A000230,일동홀딩스,20210602,14100
52,A000230,일동홀딩스,20210601,14050
53,A000230,일동홀딩스,20210531,14100
54,A000230,일동홀딩스,20210528,14050
55,A000230,일동홀딩스,20210527,14000
56,A000230,일동홀딩스,20210526,13700
57,A000230,일동홀딩스,20210525,13750
58,A000230,일동홀딩스,20210524,13550
59,A000230,일동홀딩스,20210521,13850
60,A000230,일동홀딩스,20210520,14100
61,A000230,일동홀딩스,20210518,13900
62,A000230,일동홀딩스,20210517,13900
63,A000230,일동홀딩스,20210514,14200
64,A000230,일동홀딩스,20210513,14100
65,A000230,일동홀딩스,20210512,14200
66,A000230,일동홀딩스,20210511,14400
67,A000230,일동홀딩스,20210510,14550
68,A000230,일동홀딩스,20210507,14600
69,A000230,일동홀딩스,20210506,14400
70,A000230,일동홀딩스,20210504,14400
71,A000230,일동홀딩스,20210503,14000
72,A000230,일동홀딩스,20210430,14050
73,A000230,일동홀딩스,20210429,14350
74,A000230,일동홀딩스,20210428,14500
75,A000230,일동홀딩스,20210427,15000
76,A000230,일동홀딩스,20210426,15200
77,A000230,일동홀딩스,20210423,15250
78,A000230,일동홀딩스,20210422,15200
79,A000230,일동홀딩스,20210421,15400
80,A000230,일동홀딩스,20210420,15350
81,A000230,일동홀딩스,20210419,15250
82,A000230,일동홀딩스,20210416,15300
83,A000230,일동홀딩스,20210415,15150
84,A000230,일동홀딩스,20210414,15100
85,A000230,일동홀딩스,20210413,14800
86,A000230,일동홀딩스,20210412,14700
87,A000230,일동홀딩스,20210409,14550
88,A000230,일동홀딩스,20210408,14700
89,A000230,일동홀딩스,20210407,14650
90,A000230,일동홀딩스,20210406,14600
91,A000230,일동홀딩스,20210405,15000
92,A000230,일동홀딩스,20210402,14800
93,A000230,일동홀딩스,20210401,14400
94,A000230,일동홀딩스,20210331,14350
95,A000230,일동홀딩스,20210330,14300
96,A000230,일동홀딩스,20210329,14150
97,A000230,일동홀딩스,20210326,14400
98,A000230,일동홀딩스,20210325,14550
99,A000230,일동홀딩스,20210324,14650
100,A000230,일동홀딩스,20210323,14300
101,A000230,일동홀딩스,20210322,14600
102,A000230,일동홀딩스,20210319,14700
103,A000230,일동홀딩스,20210318,14850
104,A000230,일동홀딩스,20210317,14850
105,A000230,일동홀딩스,20210316,14750
106,A000230,일동홀딩스,20210315,14150
107,A000230,일동홀딩스,20210312,14150
108,A000230,일동홀딩스,20210311,14100
109,A000230,일동홀딩스,20210310,14200
110,A000230,일동홀딩스,20210309,14250
111,A000230,일동홀딩스,20210308,14200
112,A000230,일동홀딩스,20210305,14300
113,A000230,일동홀딩스,20210304,14800
114,A000230,일동홀딩스,20210303,15000
115,A000230,일동홀딩스,20210302,15150
116,A000230,일동홀딩스,20210226,15100
117,A000230,일동홀딩스,20210225,15450
118,A000230,일동홀딩스,20210224,15250
119,A000230,일동홀딩스,20210223,15850
120,A000230,일동홀딩스,20210222,16000
121,A000230,일동홀딩스,20210219,16250
