,종목코드,종목명,날짜,종가
0,A007110,일신석재,20210812,2595
1,A007110,일신석재,20210811,2635
2,A007110,일신석재,20210810,2710
3,A007110,일신석재,20210809,2820
4,A007110,일신석재,20210806,3005
5,A007110,일신석재,20210805,2910
6,A007110,일신석재,20210804,3005
7,A007110,일신석재,20210803,2925
8,A007110,일신석재,20210802,2900
9,A007110,일신석재,20210730,3125
10,A007110,일신석재,20210729,3085
11,A007110,일신석재,20210728,2970
12,A007110,일신석재,20210727,3000
13,A007110,일신석재,20210726,2425
14,A007110,일신석재,20210723,2505
15,A007110,일신석재,20210722,2430
16,A007110,일신석재,20210721,2410
17,A007110,일신석재,20210720,2430
18,A007110,일신석재,20210719,2485
19,A007110,일신석재,20210716,2495
20,A007110,일신석재,20210715,2510
21,A007110,일신석재,20210714,2430
22,A007110,일신석재,20210713,2490
23,A007110,일신석재,20210712,2445
24,A007110,일신석재,20210709,2420
25,A007110,일신석재,20210708,2530
26,A007110,일신석재,20210707,2645
27,A007110,일신석재,20210706,2490
28,A007110,일신석재,20210705,2500
29,A007110,일신석재,20210702,2550
30,A007110,일신석재,20210701,2520
31,A007110,일신석재,20210630,2455
32,A007110,일신석재,20210629,2450
33,A007110,일신석재,20210628,2495
34,A007110,일신석재,20210625,2495
35,A007110,일신석재,20210624,2495
36,A007110,일신석재,20210623,2600
37,A007110,일신석재,20210622,2705
38,A007110,일신석재,20210621,2840
39,A007110,일신석재,20210618,2700
40,A007110,일신석재,20210617,2305
41,A007110,일신석재,20210616,2300
42,A007110,일신석재,20210615,2275
43,A007110,일신석재,20210614,2280
44,A007110,일신석재,20210611,2235
45,A007110,일신석재,20210610,2245
46,A007110,일신석재,20210609,2245
47,A007110,일신석재,20210608,2240
48,A007110,일신석재,20210607,2270
49,A007110,일신석재,20210604,2285
50,A007110,일신석재,20210603,2275
51,A007110,일신석재,20210602,2280
52,A007110,일신석재,20210601,2210
53,A007110,일신석재,20210531,2195
54,A007110,일신석재,20210528,2200
55,A007110,일신석재,20210527,2200
56,A007110,일신석재,20210526,2185
57,A007110,일신석재,20210525,2065
58,A007110,일신석재,20210524,2090
59,A007110,일신석재,20210521,2215
60,A007110,일신석재,20210520,2230
61,A007110,일신석재,20210518,2220
62,A007110,일신석재,20210517,2135
63,A007110,일신석재,20210514,2140
64,A007110,일신석재,20210513,2150
65,A007110,일신석재,20210512,2210
