,辆格内靛,辆格疙,朝楼,辆啊
0,A019540,老瘤抛农,20210812,4545
1,A019540,老瘤抛农,20210811,4485
2,A019540,老瘤抛农,20210810,4570
3,A019540,老瘤抛农,20210809,4660
4,A019540,老瘤抛农,20210806,4710
5,A019540,老瘤抛农,20210805,4710
6,A019540,老瘤抛农,20210804,4685
7,A019540,老瘤抛农,20210803,4585
8,A019540,老瘤抛农,20210802,4700
9,A019540,老瘤抛农,20210730,4795
10,A019540,老瘤抛农,20210729,4815
11,A019540,老瘤抛农,20210728,4850
12,A019540,老瘤抛农,20210727,4800
13,A019540,老瘤抛农,20210726,4780
14,A019540,老瘤抛农,20210723,4940
15,A019540,老瘤抛农,20210722,4985
16,A019540,老瘤抛农,20210721,5040
17,A019540,老瘤抛农,20210720,4985
18,A019540,老瘤抛农,20210719,5080
19,A019540,老瘤抛农,20210716,5280
20,A019540,老瘤抛农,20210715,5610
21,A019540,老瘤抛农,20210714,5090
22,A019540,老瘤抛农,20210713,5070
23,A019540,老瘤抛农,20210712,4965
24,A019540,老瘤抛农,20210709,4970
25,A019540,老瘤抛农,20210708,5050
26,A019540,老瘤抛农,20210707,5270
27,A019540,老瘤抛农,20210706,5010
28,A019540,老瘤抛农,20210705,5120
29,A019540,老瘤抛农,20210702,5090
30,A019540,老瘤抛农,20210701,5260
31,A019540,老瘤抛农,20210630,5100
32,A019540,老瘤抛农,20210629,5230
33,A019540,老瘤抛农,20210628,5160
34,A019540,老瘤抛农,20210625,5250
35,A019540,老瘤抛农,20210624,5210
36,A019540,老瘤抛农,20210623,5230
37,A019540,老瘤抛农,20210622,5410
38,A019540,老瘤抛农,20210621,5160
39,A019540,老瘤抛农,20210618,4860
40,A019540,老瘤抛农,20210617,4655
41,A019540,老瘤抛农,20210616,4625
42,A019540,老瘤抛农,20210615,4555
43,A019540,老瘤抛农,20210614,4555
44,A019540,老瘤抛农,20210611,4655
45,A019540,老瘤抛农,20210610,4720
46,A019540,老瘤抛农,20210609,4500
47,A019540,老瘤抛农,20210608,4460
48,A019540,老瘤抛农,20210607,4590
49,A019540,老瘤抛农,20210604,4435
50,A019540,老瘤抛农,20210603,4440
51,A019540,老瘤抛农,20210602,4375
52,A019540,老瘤抛农,20210601,4330
53,A019540,老瘤抛农,20210531,4330
54,A019540,老瘤抛农,20210528,4290
55,A019540,老瘤抛农,20210527,4215
56,A019540,老瘤抛农,20210526,4200
57,A019540,老瘤抛农,20210525,4190
58,A019540,老瘤抛农,20210524,4115
59,A019540,老瘤抛农,20210521,4180
60,A019540,老瘤抛农,20210520,4225
61,A019540,老瘤抛农,20210518,4100
62,A019540,老瘤抛农,20210517,4010
63,A019540,老瘤抛农,20210514,4070
64,A019540,老瘤抛农,20210513,4015
65,A019540,老瘤抛农,20210512,4095
66,A019540,老瘤抛农,20210511,4135
67,A019540,老瘤抛农,20210510,4195
68,A019540,老瘤抛农,20210507,4220
69,A019540,老瘤抛农,20210506,4240
70,A019540,老瘤抛农,20210504,4165
71,A019540,老瘤抛农,20210503,4160
72,A019540,老瘤抛农,20210430,4075
73,A019540,老瘤抛农,20210429,4060
74,A019540,老瘤抛农,20210428,4030
75,A019540,老瘤抛农,20210427,4170
76,A019540,老瘤抛农,20210426,4175
77,A019540,老瘤抛农,20210423,4220
78,A019540,老瘤抛农,20210422,4255
79,A019540,老瘤抛农,20210421,4150
80,A019540,老瘤抛农,20210420,4300
81,A019540,老瘤抛农,20210419,4255
82,A019540,老瘤抛农,20210416,4275
83,A019540,老瘤抛农,20210415,4340
84,A019540,老瘤抛农,20210414,4190
85,A019540,老瘤抛农,20210413,4230
86,A019540,老瘤抛农,20210412,4100
87,A019540,老瘤抛农,20210409,3890
88,A019540,老瘤抛农,20210408,3890
89,A019540,老瘤抛农,20210407,3880
90,A019540,老瘤抛农,20210406,3915
91,A019540,老瘤抛农,20210405,3935
92,A019540,老瘤抛农,20210402,3875
93,A019540,老瘤抛农,20210401,3900
94,A019540,老瘤抛农,20210331,3745
95,A019540,老瘤抛农,20210330,3725
96,A019540,老瘤抛农,20210329,3655
97,A019540,老瘤抛农,20210326,3695
98,A019540,老瘤抛农,20210325,3655
99,A019540,老瘤抛农,20210324,3685
100,A019540,老瘤抛农,20210323,3680
101,A019540,老瘤抛农,20210322,3745
102,A019540,老瘤抛农,20210319,3800
103,A019540,老瘤抛农,20210318,3785
104,A019540,老瘤抛农,20210317,3775
105,A019540,老瘤抛农,20210316,3820
106,A019540,老瘤抛农,20210315,3810
107,A019540,老瘤抛农,20210312,3800
108,A019540,老瘤抛农,20210311,3730
109,A019540,老瘤抛农,20210310,3650
110,A019540,老瘤抛农,20210309,3690
111,A019540,老瘤抛农,20210308,3765
112,A019540,老瘤抛农,20210305,3840
113,A019540,老瘤抛农,20210304,3765
114,A019540,老瘤抛农,20210303,3825
115,A019540,老瘤抛农,20210302,3740
116,A019540,老瘤抛农,20210226,3775
117,A019540,老瘤抛农,20210225,3840
118,A019540,老瘤抛农,20210224,3750
119,A019540,老瘤抛农,20210223,3985
120,A019540,老瘤抛农,20210222,3980
121,A019540,老瘤抛农,20210219,4050
122,A019540,老瘤抛农,20210218,4055
123,A019540,老瘤抛农,20210217,4170
124,A019540,老瘤抛农,20210216,4120
125,A019540,老瘤抛农,20210215,4195
126,A019540,老瘤抛农,20210210,4110
127,A019540,老瘤抛农,20210209,4070
128,A019540,老瘤抛农,20210208,4050
129,A019540,老瘤抛农,20210205,4195
130,A019540,老瘤抛农,20210204,4345
131,A019540,老瘤抛农,20210203,4190
132,A019540,老瘤抛农,20210202,4020
133,A019540,老瘤抛农,20210201,4020
134,A019540,老瘤抛农,20210129,3950
135,A019540,老瘤抛农,20210128,4145
136,A019540,老瘤抛农,20210127,4375
137,A019540,老瘤抛农,20210126,4360
138,A019540,老瘤抛农,20210125,4490
139,A019540,老瘤抛农,20210122,4450
140,A019540,老瘤抛农,20210121,4550
141,A019540,老瘤抛农,20210120,4295
142,A019540,老瘤抛农,20210119,4380
143,A019540,老瘤抛农,20210118,4035
144,A019540,老瘤抛农,20210115,4130
145,A019540,老瘤抛农,20210114,4295
146,A019540,老瘤抛农,20210113,4330
147,A019540,老瘤抛农,20210112,4200
148,A019540,老瘤抛农,20210111,4175
149,A019540,老瘤抛农,20210108,4370
150,A019540,老瘤抛农,20210107,4410
151,A019540,老瘤抛农,20210106,4145
152,A019540,老瘤抛农,20210105,4215
153,A019540,老瘤抛农,20210104,4300
154,A019540,老瘤抛农,20201230,4000
155,A019540,老瘤抛农,20201229,3880
156,A019540,老瘤抛农,20201228,3920
157,A019540,老瘤抛农,20201224,3955
158,A019540,老瘤抛农,20201223,4210
159,A019540,老瘤抛农,20201222,3710
160,A019540,老瘤抛农,20201221,3810
161,A019540,老瘤抛农,20201218,3805
162,A019540,老瘤抛农,20201217,3775
163,A019540,老瘤抛农,20201216,3790
164,A019540,老瘤抛农,20201215,3760
165,A019540,老瘤抛农,20201214,3810
166,A019540,老瘤抛农,20201211,3830
167,A019540,老瘤抛农,20201210,3770
168,A019540,老瘤抛农,20201209,3760
169,A019540,老瘤抛农,20201208,3710
170,A019540,老瘤抛农,20201207,3640
171,A019540,老瘤抛农,20201204,3710
172,A019540,老瘤抛农,20201203,3775
173,A019540,老瘤抛农,20201202,3910
174,A019540,老瘤抛农,20201201,3960
175,A019540,老瘤抛农,20201130,3985
176,A019540,老瘤抛农,20201127,3970
177,A019540,老瘤抛农,20201126,3980
178,A019540,老瘤抛农,20201125,3990
179,A019540,老瘤抛农,20201124,4040
180,A019540,老瘤抛农,20201123,3995
181,A019540,老瘤抛农,20201120,3995
182,A019540,老瘤抛农,20201119,3945
183,A019540,老瘤抛农,20201118,4000
184,A019540,老瘤抛农,20201117,4020
185,A019540,老瘤抛农,20201116,4145
186,A019540,老瘤抛农,20201113,4145
187,A019540,老瘤抛农,20201112,4170
188,A019540,老瘤抛农,20201111,4440
189,A019540,老瘤抛农,20201110,5160
190,A019540,老瘤抛农,20201109,4880
191,A019540,老瘤抛农,20201106,4530
192,A019540,老瘤抛农,20201105,5230
193,A019540,老瘤抛农,20201104,4700
194,A019540,老瘤抛农,20201103,4815
195,A019540,老瘤抛农,20201102,4855
196,A019540,老瘤抛农,20201030,4850
197,A019540,老瘤抛农,20201029,4880
198,A019540,老瘤抛农,20201028,4770
199,A019540,老瘤抛农,20201027,4450
200,A019540,老瘤抛农,20201026,4435
201,A019540,老瘤抛农,20201023,4600
202,A019540,老瘤抛农,20201022,4660
203,A019540,老瘤抛农,20201021,4795
204,A019540,老瘤抛农,20201020,4845
205,A019540,老瘤抛农,20201019,4780
206,A019540,老瘤抛农,20201016,4885
207,A019540,老瘤抛农,20201015,4930
208,A019540,老瘤抛农,20201014,4920
209,A019540,老瘤抛农,20201013,4805
210,A019540,老瘤抛农,20201012,4665
211,A019540,老瘤抛农,20201008,4715
212,A019540,老瘤抛农,20201007,4625
213,A019540,老瘤抛农,20201006,4580
214,A019540,老瘤抛农,20201005,4745
215,A019540,老瘤抛农,20200929,4445
216,A019540,老瘤抛农,20200928,4415
217,A019540,老瘤抛农,20200925,4435
218,A019540,老瘤抛农,20200924,4170
219,A019540,老瘤抛农,20200923,4465
220,A019540,老瘤抛农,20200922,4415
221,A019540,老瘤抛农,20200921,4260
222,A019540,老瘤抛农,20200918,4190
223,A019540,老瘤抛农,20200917,4400
224,A019540,老瘤抛农,20200916,4605
225,A019540,老瘤抛农,20200915,4105
226,A019540,老瘤抛农,20200914,4120
227,A019540,老瘤抛农,20200911,3910
228,A019540,老瘤抛农,20200910,3880
229,A019540,老瘤抛农,20200909,3920
230,A019540,老瘤抛农,20200908,3850
231,A019540,老瘤抛农,20200907,3965
232,A019540,老瘤抛农,20200904,3800
233,A019540,老瘤抛农,20200903,3810
234,A019540,老瘤抛农,20200902,3760
235,A019540,老瘤抛农,20200901,3715
236,A019540,老瘤抛农,20200831,3685
237,A019540,老瘤抛农,20200828,3670
238,A019540,老瘤抛农,20200827,3570
239,A019540,老瘤抛农,20200826,3705
240,A019540,老瘤抛农,20200825,3735
241,A019540,老瘤抛农,20200824,3510
242,A019540,老瘤抛农,20200821,3345
243,A019540,老瘤抛农,20200820,3245
244,A019540,老瘤抛农,20200819,3290
245,A019540,老瘤抛农,20200818,3270
246,A019540,老瘤抛农,20200814,3505
247,A019540,老瘤抛农,20200813,3640
248,A019540,老瘤抛农,20200812,3570
249,A019540,老瘤抛农,20200811,3685
250,A019540,老瘤抛农,20200810,3760
251,A019540,老瘤抛农,20200807,3760
252,A019540,老瘤抛农,20200806,3840
253,A019540,老瘤抛农,20200805,3905
254,A019540,老瘤抛农,20200804,3820
255,A019540,老瘤抛农,20200803,3870
256,A019540,老瘤抛农,20200731,3650
257,A019540,老瘤抛农,20200730,3720
258,A019540,老瘤抛农,20200729,3600
259,A019540,老瘤抛农,20200728,3690
260,A019540,老瘤抛农,20200727,3825
261,A019540,老瘤抛农,20200724,3570
262,A019540,老瘤抛农,20200723,3555
263,A019540,老瘤抛农,20200722,3620
264,A019540,老瘤抛农,20200721,3550
265,A019540,老瘤抛农,20200720,3580
266,A019540,老瘤抛农,20200717,3510
267,A019540,老瘤抛农,20200716,3485
268,A019540,老瘤抛农,20200715,3530
269,A019540,老瘤抛农,20200714,3330
270,A019540,老瘤抛农,20200713,3400
271,A019540,老瘤抛农,20200710,3225
272,A019540,老瘤抛农,20200709,3290
273,A019540,老瘤抛农,20200708,3335
274,A019540,老瘤抛农,20200707,3290
275,A019540,老瘤抛农,20200706,3395
276,A019540,老瘤抛农,20200703,3440
277,A019540,老瘤抛农,20200702,3440
278,A019540,老瘤抛农,20200701,3300
279,A019540,老瘤抛农,20200630,3330
280,A019540,老瘤抛农,20200629,3280
281,A019540,老瘤抛农,20200626,3455
282,A019540,老瘤抛农,20200625,3460
283,A019540,老瘤抛农,20200624,3565
284,A019540,老瘤抛农,20200623,3575
285,A019540,老瘤抛农,20200622,3500
286,A019540,老瘤抛农,20200619,3645
287,A019540,老瘤抛农,20200618,3215
288,A019540,老瘤抛农,20200617,3285
289,A019540,老瘤抛农,20200616,3300
290,A019540,老瘤抛农,20200615,3145
291,A019540,老瘤抛农,20200612,3510
292,A019540,老瘤抛农,20200611,3700
293,A019540,老瘤抛农,20200610,3865
294,A019540,老瘤抛农,20200609,3850
295,A019540,老瘤抛农,20200608,4030
296,A019540,老瘤抛农,20200605,3865
297,A019540,老瘤抛农,20200604,3585
298,A019540,老瘤抛农,20200603,3205
299,A019540,老瘤抛农,20200602,3335
300,A019540,老瘤抛农,20200601,3330
301,A019540,老瘤抛农,20200529,3070
302,A019540,老瘤抛农,20200528,3115
303,A019540,老瘤抛农,20200527,3260
304,A019540,老瘤抛农,20200526,3055
305,A019540,老瘤抛农,20200525,3015
306,A019540,老瘤抛农,20200522,3015
307,A019540,老瘤抛农,20200521,3090
308,A019540,老瘤抛农,20200520,3170
309,A019540,老瘤抛农,20200519,3085
310,A019540,老瘤抛农,20200518,2970
311,A019540,老瘤抛农,20200515,2945
312,A019540,老瘤抛农,20200514,2880
313,A019540,老瘤抛农,20200513,2880
314,A019540,老瘤抛农,20200512,2870
315,A019540,老瘤抛农,20200511,2920
316,A019540,老瘤抛农,20200508,2880
317,A019540,老瘤抛农,20200507,2850
318,A019540,老瘤抛农,20200506,2815
319,A019540,老瘤抛农,20200504,2830
320,A019540,老瘤抛农,20200429,2850
321,A019540,老瘤抛农,20200428,2800
322,A019540,老瘤抛农,20200427,2800
323,A019540,老瘤抛农,20200424,2745
