,종목코드,종목명,날짜,종가
0,A033240,자화전자,20210812,19300
1,A033240,자화전자,20210811,19550
2,A033240,자화전자,20210810,19850
3,A033240,자화전자,20210809,20400
4,A033240,자화전자,20210806,20500
5,A033240,자화전자,20210805,20100
6,A033240,자화전자,20210804,20100
7,A033240,자화전자,20210803,19900
8,A033240,자화전자,20210802,19750
9,A033240,자화전자,20210730,19800
10,A033240,자화전자,20210729,19900
11,A033240,자화전자,20210728,20050
12,A033240,자화전자,20210727,20350
13,A033240,자화전자,20210726,20200
14,A033240,자화전자,20210723,20650
15,A033240,자화전자,20210722,20350
16,A033240,자화전자,20210721,20500
17,A033240,자화전자,20210720,20750
18,A033240,자화전자,20210719,20550
19,A033240,자화전자,20210716,21400
20,A033240,자화전자,20210715,22000
21,A033240,자화전자,20210714,22650
22,A033240,자화전자,20210713,21750
23,A033240,자화전자,20210712,20650
24,A033240,자화전자,20210709,20800
25,A033240,자화전자,20210708,21000
26,A033240,자화전자,20210707,21750
27,A033240,자화전자,20210706,21950
28,A033240,자화전자,20210705,21500
29,A033240,자화전자,20210702,21400
30,A033240,자화전자,20210701,21950
31,A033240,자화전자,20210630,22350
32,A033240,자화전자,20210629,21400
33,A033240,자화전자,20210628,21700
34,A033240,자화전자,20210625,21550
35,A033240,자화전자,20210624,21350
36,A033240,자화전자,20210623,21900
37,A033240,자화전자,20210622,21700
38,A033240,자화전자,20210621,21900
39,A033240,자화전자,20210618,21550
40,A033240,자화전자,20210617,20700
41,A033240,자화전자,20210616,20550
42,A033240,자화전자,20210615,21050
43,A033240,자화전자,20210614,20900
44,A033240,자화전자,20210611,21250
45,A033240,자화전자,20210610,21900
46,A033240,자화전자,20210609,21600
47,A033240,자화전자,20210608,20800
48,A033240,자화전자,20210607,21100
49,A033240,자화전자,20210604,21350
50,A033240,자화전자,20210603,21450
51,A033240,자화전자,20210602,19050
52,A033240,자화전자,20210601,19050
53,A033240,자화전자,20210531,18900
54,A033240,자화전자,20210528,19100
55,A033240,자화전자,20210527,19150
56,A033240,자화전자,20210526,19050
