,종목코드,종목명,날짜,종가
0,A122310,제노레이,20210812,10250
1,A122310,제노레이,20210811,10250
2,A122310,제노레이,20210810,10350
3,A122310,제노레이,20210809,10250
4,A122310,제노레이,20210806,10250
5,A122310,제노레이,20210805,10300
6,A122310,제노레이,20210804,10250
7,A122310,제노레이,20210803,10200
8,A122310,제노레이,20210802,10100
9,A122310,제노레이,20210730,10050
10,A122310,제노레이,20210729,10250
11,A122310,제노레이,20210728,10150
12,A122310,제노레이,20210727,10250
13,A122310,제노레이,20210726,10200
14,A122310,제노레이,20210723,10150
15,A122310,제노레이,20210722,10100
16,A122310,제노레이,20210721,10050
17,A122310,제노레이,20210720,10200
18,A122310,제노레이,20210719,10250
19,A122310,제노레이,20210716,10400
20,A122310,제노레이,20210715,10500
21,A122310,제노레이,20210714,10500
22,A122310,제노레이,20210713,10400
23,A122310,제노레이,20210712,10350
24,A122310,제노레이,20210709,10400
25,A122310,제노레이,20210708,10600
26,A122310,제노레이,20210707,10800
27,A122310,제노레이,20210706,10850
28,A122310,제노레이,20210705,10900
29,A122310,제노레이,20210702,10900
30,A122310,제노레이,20210701,10900
31,A122310,제노레이,20210630,10700
32,A122310,제노레이,20210629,10550
33,A122310,제노레이,20210628,10650
34,A122310,제노레이,20210625,10650
35,A122310,제노레이,20210624,10600
36,A122310,제노레이,20210623,10800
37,A122310,제노레이,20210622,10700
38,A122310,제노레이,20210621,10850
39,A122310,제노레이,20210618,10450
40,A122310,제노레이,20210617,10500
41,A122310,제노레이,20210616,10450
42,A122310,제노레이,20210615,10450
43,A122310,제노레이,20210614,10450
44,A122310,제노레이,20210611,10400
45,A122310,제노레이,20210610,10450
46,A122310,제노레이,20210609,10300
47,A122310,제노레이,20210608,10500
48,A122310,제노레이,20210607,10450
49,A122310,제노레이,20210604,10500
50,A122310,제노레이,20210603,10550
51,A122310,제노레이,20210602,10650
52,A122310,제노레이,20210601,10400
53,A122310,제노레이,20210531,10350
54,A122310,제노레이,20210528,10400
55,A122310,제노레이,20210527,10500
56,A122310,제노레이,20210526,10500
57,A122310,제노레이,20210525,10300
58,A122310,제노레이,20210524,10300
59,A122310,제노레이,20210521,10400
60,A122310,제노레이,20210520,10350
61,A122310,제노레이,20210518,10200
62,A122310,제노레이,20210517,10200
63,A122310,제노레이,20210514,10400
64,A122310,제노레이,20210513,10450
65,A122310,제노레이,20210512,10500
66,A122310,제노레이,20210511,10600
67,A122310,제노레이,20210510,10750
68,A122310,제노레이,20210507,10900
69,A122310,제노레이,20210506,10700
70,A122310,제노레이,20210504,10650
71,A122310,제노레이,20210503,10500
72,A122310,제노레이,20210430,10450
