,종목코드,종목명,날짜,종가
0,A187420,제노포커스,20210812,9280
1,A187420,제노포커스,20210811,9000
2,A187420,제노포커스,20210810,8860
3,A187420,제노포커스,20210809,8990
4,A187420,제노포커스,20210806,9400
5,A187420,제노포커스,20210805,9050
6,A187420,제노포커스,20210804,9080
7,A187420,제노포커스,20210803,8720
8,A187420,제노포커스,20210802,8670
9,A187420,제노포커스,20210730,8630
10,A187420,제노포커스,20210729,8840
11,A187420,제노포커스,20210728,8820
12,A187420,제노포커스,20210727,9000
13,A187420,제노포커스,20210726,9070
14,A187420,제노포커스,20210723,9270
15,A187420,제노포커스,20210722,8980
16,A187420,제노포커스,20210721,8900
17,A187420,제노포커스,20210720,9090
18,A187420,제노포커스,20210719,9420
19,A187420,제노포커스,20210716,9560
20,A187420,제노포커스,20210715,9840
21,A187420,제노포커스,20210714,9910
22,A187420,제노포커스,20210713,10450
23,A187420,제노포커스,20210712,10650
24,A187420,제노포커스,20210709,9900
25,A187420,제노포커스,20210708,10350
26,A187420,제노포커스,20210707,10050
27,A187420,제노포커스,20210706,9570
28,A187420,제노포커스,20210705,9660
29,A187420,제노포커스,20210702,10150
30,A187420,제노포커스,20210701,10250
31,A187420,제노포커스,20210630,10100
32,A187420,제노포커스,20210629,7770
33,A187420,제노포커스,20210628,7750
34,A187420,제노포커스,20210625,7810
35,A187420,제노포커스,20210624,7690
36,A187420,제노포커스,20210623,7880
37,A187420,제노포커스,20210622,7600
38,A187420,제노포커스,20210621,7670
39,A187420,제노포커스,20210618,7620
40,A187420,제노포커스,20210617,7260
41,A187420,제노포커스,20210616,7280
42,A187420,제노포커스,20210615,7200
43,A187420,제노포커스,20210614,7260
44,A187420,제노포커스,20210611,7320
45,A187420,제노포커스,20210610,7300
46,A187420,제노포커스,20210609,7250
47,A187420,제노포커스,20210608,7500
48,A187420,제노포커스,20210607,7650
49,A187420,제노포커스,20210604,7700
50,A187420,제노포커스,20210603,7820
51,A187420,제노포커스,20210602,7710
52,A187420,제노포커스,20210601,7820
53,A187420,제노포커스,20210531,7990
54,A187420,제노포커스,20210528,7950
55,A187420,제노포커스,20210527,7860
56,A187420,제노포커스,20210526,7860
57,A187420,제노포커스,20210525,7880
58,A187420,제노포커스,20210524,7880
59,A187420,제노포커스,20210521,8270
60,A187420,제노포커스,20210520,8320
61,A187420,제노포커스,20210518,8400
62,A187420,제노포커스,20210517,8950
63,A187420,제노포커스,20210514,9250
64,A187420,제노포커스,20210513,9150
65,A187420,제노포커스,20210512,9240
66,A187420,제노포커스,20210511,9430
67,A187420,제노포커스,20210510,9010
68,A187420,제노포커스,20210507,9010
69,A187420,제노포커스,20210506,9240
70,A187420,제노포커스,20210504,9010
71,A187420,제노포커스,20210503,9120
72,A187420,제노포커스,20210430,9370
73,A187420,제노포커스,20210429,10000
74,A187420,제노포커스,20210428,10200
75,A187420,제노포커스,20210427,8900
76,A187420,제노포커스,20210426,9310
77,A187420,제노포커스,20210423,9340
78,A187420,제노포커스,20210422,8350
79,A187420,제노포커스,20210421,8060
80,A187420,제노포커스,20210420,8250
81,A187420,제노포커스,20210419,8190
82,A187420,제노포커스,20210416,8340
83,A187420,제노포커스,20210415,8430
84,A187420,제노포커스,20210414,8630
85,A187420,제노포커스,20210413,8590
86,A187420,제노포커스,20210412,8650
87,A187420,제노포커스,20210409,8000
88,A187420,제노포커스,20210408,8000
89,A187420,제노포커스,20210407,7890
90,A187420,제노포커스,20210406,7590
91,A187420,제노포커스,20210405,7570
92,A187420,제노포커스,20210402,7840
93,A187420,제노포커스,20210401,7920
94,A187420,제노포커스,20210331,7630
95,A187420,제노포커스,20210330,7550
96,A187420,제노포커스,20210329,7690
97,A187420,제노포커스,20210326,8100
98,A187420,제노포커스,20210325,7500
99,A187420,제노포커스,20210324,7730
100,A187420,제노포커스,20210323,7950
101,A187420,제노포커스,20210322,7000
102,A187420,제노포커스,20210319,7230
103,A187420,제노포커스,20210318,7250
104,A187420,제노포커스,20210317,7350
105,A187420,제노포커스,20210316,7330
106,A187420,제노포커스,20210315,7210
107,A187420,제노포커스,20210312,7190
108,A187420,제노포커스,20210311,7070
109,A187420,제노포커스,20210310,6860
110,A187420,제노포커스,20210309,6800
111,A187420,제노포커스,20210308,7030
112,A187420,제노포커스,20210305,7440
113,A187420,제노포커스,20210304,7510
114,A187420,제노포커스,20210303,7640
115,A187420,제노포커스,20210302,7590
116,A187420,제노포커스,20210226,7230
117,A187420,제노포커스,20210225,7700
118,A187420,제노포커스,20210224,7700
119,A187420,제노포커스,20210223,8050
120,A187420,제노포커스,20210222,8290
121,A187420,제노포커스,20210219,8540
122,A187420,제노포커스,20210218,8740
123,A187420,제노포커스,20210217,8180
124,A187420,제노포커스,20210216,8180
125,A187420,제노포커스,20210215,8390
126,A187420,제노포커스,20210210,8110
127,A187420,제노포커스,20210209,8130
128,A187420,제노포커스,20210208,8060
129,A187420,제노포커스,20210205,8060
130,A187420,제노포커스,20210204,8210
131,A187420,제노포커스,20210203,8280
132,A187420,제노포커스,20210202,8520
133,A187420,제노포커스,20210201,8350
134,A187420,제노포커스,20210129,7780
135,A187420,제노포커스,20210128,8110
136,A187420,제노포커스,20210127,8600
137,A187420,제노포커스,20210126,8890
138,A187420,제노포커스,20210125,9070
139,A187420,제노포커스,20210122,8790
140,A187420,제노포커스,20210121,9100
141,A187420,제노포커스,20210120,9140
142,A187420,제노포커스,20210119,8850
143,A187420,제노포커스,20210118,8800
144,A187420,제노포커스,20210115,9160
145,A187420,제노포커스,20210114,9660
146,A187420,제노포커스,20210113,9670
147,A187420,제노포커스,20210112,9940
148,A187420,제노포커스,20210111,10300
149,A187420,제노포커스,20210108,12050
150,A187420,제노포커스,20210107,13000
151,A187420,제노포커스,20210106,12500
152,A187420,제노포커스,20210105,12350
153,A187420,제노포커스,20210104,12000
154,A187420,제노포커스,20201230,11000
155,A187420,제노포커스,20201229,10900
156,A187420,제노포커스,20201228,10450
157,A187420,제노포커스,20201224,10250
158,A187420,제노포커스,20201223,10400
159,A187420,제노포커스,20201222,10600
160,A187420,제노포커스,20201221,9900
161,A187420,제노포커스,20201218,10250
162,A187420,제노포커스,20201217,10150
163,A187420,제노포커스,20201216,9990
164,A187420,제노포커스,20201215,9420
165,A187420,제노포커스,20201214,9300
166,A187420,제노포커스,20201211,9620
167,A187420,제노포커스,20201210,9300
168,A187420,제노포커스,20201209,9230
169,A187420,제노포커스,20201208,9640
170,A187420,제노포커스,20201207,10150
171,A187420,제노포커스,20201204,9760
172,A187420,제노포커스,20201203,10050
173,A187420,제노포커스,20201202,10100
174,A187420,제노포커스,20201201,9670
175,A187420,제노포커스,20201130,9980
176,A187420,제노포커스,20201127,10300
177,A187420,제노포커스,20201126,9630
178,A187420,제노포커스,20201125,9310
179,A187420,제노포커스,20201124,9920
180,A187420,제노포커스,20201123,9900
181,A187420,제노포커스,20201120,10400
182,A187420,제노포커스,20201119,9640
183,A187420,제노포커스,20201118,9470
184,A187420,제노포커스,20201117,8990
185,A187420,제노포커스,20201116,9950
186,A187420,제노포커스,20201113,9930
187,A187420,제노포커스,20201112,9860
188,A187420,제노포커스,20201111,9900
189,A187420,제노포커스,20201110,11700
190,A187420,제노포커스,20201109,13250
191,A187420,제노포커스,20201106,12700
192,A187420,제노포커스,20201105,13150
193,A187420,제노포커스,20201104,12800
194,A187420,제노포커스,20201103,12700
195,A187420,제노포커스,20201102,12950
196,A187420,제노포커스,20201030,12100
197,A187420,제노포커스,20201029,12650
198,A187420,제노포커스,20201028,12400
199,A187420,제노포커스,20201027,12300
200,A187420,제노포커스,20201026,11350
201,A187420,제노포커스,20201023,13500
202,A187420,제노포커스,20201022,13300
203,A187420,제노포커스,20201021,14200
204,A187420,제노포커스,20201020,14000
205,A187420,제노포커스,20201019,14400
206,A187420,제노포커스,20201016,13950
207,A187420,제노포커스,20201015,14050
208,A187420,제노포커스,20201014,14650
209,A187420,제노포커스,20201013,15300
210,A187420,제노포커스,20201012,15800
211,A187420,제노포커스,20201008,15700
212,A187420,제노포커스,20201007,15700
213,A187420,제노포커스,20201006,15800
214,A187420,제노포커스,20201005,15950
215,A187420,제노포커스,20200929,14500
216,A187420,제노포커스,20200928,14000
217,A187420,제노포커스,20200925,15000
218,A187420,제노포커스,20200924,17350
219,A187420,제노포커스,20200923,17350
220,A187420,제노포커스,20200922,16900
221,A187420,제노포커스,20200921,15700
222,A187420,제노포커스,20200918,15000
223,A187420,제노포커스,20200917,14400
224,A187420,제노포커스,20200916,14800
225,A187420,제노포커스,20200915,14000
226,A187420,제노포커스,20200914,14550
227,A187420,제노포커스,20200911,14350
228,A187420,제노포커스,20200910,14000
229,A187420,제노포커스,20200909,13400
230,A187420,제노포커스,20200908,13700
231,A187420,제노포커스,20200907,14500
232,A187420,제노포커스,20200904,13900
233,A187420,제노포커스,20200903,14100
234,A187420,제노포커스,20200902,14050
235,A187420,제노포커스,20200901,14500
236,A187420,제노포커스,20200831,13550
237,A187420,제노포커스,20200828,16300
238,A187420,제노포커스,20200827,12550
239,A187420,제노포커스,20200826,9680
240,A187420,제노포커스,20200825,7450
241,A187420,제노포커스,20200824,7600
242,A187420,제노포커스,20200821,7000
243,A187420,제노포커스,20200820,6580
244,A187420,제노포커스,20200819,6910
245,A187420,제노포커스,20200818,6430
246,A187420,제노포커스,20200814,6720
247,A187420,제노포커스,20200813,6750
248,A187420,제노포커스,20200812,6850
249,A187420,제노포커스,20200811,7190
250,A187420,제노포커스,20200810,7280
251,A187420,제노포커스,20200807,7530
252,A187420,제노포커스,20200806,7300
253,A187420,제노포커스,20200805,7680
254,A187420,제노포커스,20200804,6620
255,A187420,제노포커스,20200803,6420
256,A187420,제노포커스,20200731,6230
257,A187420,제노포커스,20200730,6290
258,A187420,제노포커스,20200729,6210
259,A187420,제노포커스,20200728,5950
260,A187420,제노포커스,20200727,6020
261,A187420,제노포커스,20200724,5900
262,A187420,제노포커스,20200723,6050
263,A187420,제노포커스,20200722,5650
264,A187420,제노포커스,20200721,5550
265,A187420,제노포커스,20200720,5510
266,A187420,제노포커스,20200717,5670
267,A187420,제노포커스,20200716,5560
268,A187420,제노포커스,20200715,5630
269,A187420,제노포커스,20200714,5790
270,A187420,제노포커스,20200713,5830
271,A187420,제노포커스,20200710,5850
272,A187420,제노포커스,20200709,5400
273,A187420,제노포커스,20200708,5360
274,A187420,제노포커스,20200707,5330
275,A187420,제노포커스,20200706,5330
276,A187420,제노포커스,20200703,5320
277,A187420,제노포커스,20200702,5170
