,Á¾¸ñÄÚµå,Á¾¸ñ¸í,³¯Â¥,Á¾°¡
0,A147830,Á¦·æ»ê¾÷,20210812,7180
1,A147830,Á¦·æ»ê¾÷,20210811,7190
2,A147830,Á¦·æ»ê¾÷,20210810,7540
3,A147830,Á¦·æ»ê¾÷,20210809,7760
4,A147830,Á¦·æ»ê¾÷,20210806,7900
5,A147830,Á¦·æ»ê¾÷,20210805,7660
6,A147830,Á¦·æ»ê¾÷,20210804,7630
7,A147830,Á¦·æ»ê¾÷,20210803,7500
8,A147830,Á¦·æ»ê¾÷,20210802,7700
9,A147830,Á¦·æ»ê¾÷,20210730,8100
10,A147830,Á¦·æ»ê¾÷,20210729,8110
11,A147830,Á¦·æ»ê¾÷,20210728,8020
12,A147830,Á¦·æ»ê¾÷,20210727,7980
13,A147830,Á¦·æ»ê¾÷,20210726,7690
14,A147830,Á¦·æ»ê¾÷,20210723,7840
15,A147830,Á¦·æ»ê¾÷,20210722,7850
16,A147830,Á¦·æ»ê¾÷,20210721,7900
17,A147830,Á¦·æ»ê¾÷,20210720,8000
18,A147830,Á¦·æ»ê¾÷,20210719,8110
19,A147830,Á¦·æ»ê¾÷,20210716,8280
20,A147830,Á¦·æ»ê¾÷,20210715,8120
21,A147830,Á¦·æ»ê¾÷,20210714,7740
22,A147830,Á¦·æ»ê¾÷,20210713,7750
23,A147830,Á¦·æ»ê¾÷,20210712,7780
24,A147830,Á¦·æ»ê¾÷,20210709,7920
25,A147830,Á¦·æ»ê¾÷,20210708,7930
26,A147830,Á¦·æ»ê¾÷,20210707,8280
27,A147830,Á¦·æ»ê¾÷,20210706,8430
28,A147830,Á¦·æ»ê¾÷,20210705,8540
29,A147830,Á¦·æ»ê¾÷,20210702,9100
30,A147830,Á¦·æ»ê¾÷,20210701,9290
31,A147830,Á¦·æ»ê¾÷,20210630,9290
32,A147830,Á¦·æ»ê¾÷,20210629,9380
33,A147830,Á¦·æ»ê¾÷,20210628,9360
34,A147830,Á¦·æ»ê¾÷,20210625,8780
35,A147830,Á¦·æ»ê¾÷,20210624,8710
36,A147830,Á¦·æ»ê¾÷,20210623,9100
37,A147830,Á¦·æ»ê¾÷,20210622,9520
38,A147830,Á¦·æ»ê¾÷,20210621,9630
39,A147830,Á¦·æ»ê¾÷,20210618,9140
40,A147830,Á¦·æ»ê¾÷,20210617,8800
41,A147830,Á¦·æ»ê¾÷,20210616,8500
42,A147830,Á¦·æ»ê¾÷,20210615,8400
43,A147830,Á¦·æ»ê¾÷,20210614,8300
44,A147830,Á¦·æ»ê¾÷,20210611,8360
45,A147830,Á¦·æ»ê¾÷,20210610,7950
46,A147830,Á¦·æ»ê¾÷,20210609,8180
47,A147830,Á¦·æ»ê¾÷,20210608,8630
