,辆格内靛,辆格疙,朝楼,辆啊
0,A079370,力快胶,20210812,24900
1,A079370,力快胶,20210811,25100
2,A079370,力快胶,20210810,27500
3,A079370,力快胶,20210809,27750
4,A079370,力快胶,20210806,27450
5,A079370,力快胶,20210805,27450
6,A079370,力快胶,20210804,27450
7,A079370,力快胶,20210803,27150
8,A079370,力快胶,20210802,26950
9,A079370,力快胶,20210730,26550
10,A079370,力快胶,20210729,26950
11,A079370,力快胶,20210728,26950
12,A079370,力快胶,20210727,26800
13,A079370,力快胶,20210726,26600
14,A079370,力快胶,20210723,26900
15,A079370,力快胶,20210722,27500
16,A079370,力快胶,20210721,26650
17,A079370,力快胶,20210720,27000
18,A079370,力快胶,20210719,26800
19,A079370,力快胶,20210716,26450
20,A079370,力快胶,20210715,27100
21,A079370,力快胶,20210714,27000
22,A079370,力快胶,20210713,26900
23,A079370,力快胶,20210712,27000
24,A079370,力快胶,20210709,25800
25,A079370,力快胶,20210708,25300
26,A079370,力快胶,20210707,25250
27,A079370,力快胶,20210706,23800
28,A079370,力快胶,20210705,23300
29,A079370,力快胶,20210702,23400
30,A079370,力快胶,20210701,23650
31,A079370,力快胶,20210630,23750
32,A079370,力快胶,20210629,23400
33,A079370,力快胶,20210628,23400
34,A079370,力快胶,20210625,22800
35,A079370,力快胶,20210624,23450
36,A079370,力快胶,20210623,23450
37,A079370,力快胶,20210622,24000
38,A079370,力快胶,20210621,24250
39,A079370,力快胶,20210618,24850
40,A079370,力快胶,20210617,24550
41,A079370,力快胶,20210616,24050
42,A079370,力快胶,20210615,24050
43,A079370,力快胶,20210614,24100
44,A079370,力快胶,20210611,24200
45,A079370,力快胶,20210610,24200
46,A079370,力快胶,20210609,24550
47,A079370,力快胶,20210608,24950
48,A079370,力快胶,20210607,25200
49,A079370,力快胶,20210604,25400
50,A079370,力快胶,20210603,25850
51,A079370,力快胶,20210602,24800
52,A079370,力快胶,20210601,24950
53,A079370,力快胶,20210531,25150
54,A079370,力快胶,20210528,25150
55,A079370,力快胶,20210527,25400
56,A079370,力快胶,20210526,25350
57,A079370,力快胶,20210525,24700
58,A079370,力快胶,20210524,24650
59,A079370,力快胶,20210521,26100
60,A079370,力快胶,20210520,26650
61,A079370,力快胶,20210518,26450
62,A079370,力快胶,20210517,26300
63,A079370,力快胶,20210514,27050
64,A079370,力快胶,20210513,26300
65,A079370,力快胶,20210512,27600
66,A079370,力快胶,20210511,27900
67,A079370,力快胶,20210510,29400
68,A079370,力快胶,20210507,28750
69,A079370,力快胶,20210506,28850
70,A079370,力快胶,20210504,28500
71,A079370,力快胶,20210503,27950
72,A079370,力快胶,20210430,27700
73,A079370,力快胶,20210429,27750
74,A079370,力快胶,20210428,28450
75,A079370,力快胶,20210427,30400
76,A079370,力快胶,20210426,31000
77,A079370,力快胶,20210423,30850
78,A079370,力快胶,20210422,31200
79,A079370,力快胶,20210421,31400
80,A079370,力快胶,20210420,31950
81,A079370,力快胶,20210419,32650
82,A079370,力快胶,20210416,30950
83,A079370,力快胶,20210415,29050
84,A079370,力快胶,20210414,28700
85,A079370,力快胶,20210413,28900
86,A079370,力快胶,20210412,28750
87,A079370,力快胶,20210409,29050
88,A079370,力快胶,20210408,28600
89,A079370,力快胶,20210407,28950
90,A079370,力快胶,20210406,29450
91,A079370,力快胶,20210405,29900
92,A079370,力快胶,20210402,28200
93,A079370,力快胶,20210401,27000
94,A079370,力快胶,20210331,26450
95,A079370,力快胶,20210330,27350
96,A079370,力快胶,20210329,27750
97,A079370,力快胶,20210326,27900
98,A079370,力快胶,20210325,28250
99,A079370,力快胶,20210324,28850
100,A079370,力快胶,20210323,28050
101,A079370,力快胶,20210322,28550
102,A079370,力快胶,20210319,27900
103,A079370,力快胶,20210318,28250
104,A079370,力快胶,20210317,28050
105,A079370,力快胶,20210316,28500
106,A079370,力快胶,20210315,28200
107,A079370,力快胶,20210312,28900
108,A079370,力快胶,20210311,28700
109,A079370,力快胶,20210310,27300
110,A079370,力快胶,20210309,27050
111,A079370,力快胶,20210308,28250
112,A079370,力快胶,20210305,28950
113,A079370,力快胶,20210304,30000
114,A079370,力快胶,20210303,31550
115,A079370,力快胶,20210302,31950
116,A079370,力快胶,20210226,29050
117,A079370,力快胶,20210225,29900
118,A079370,力快胶,20210224,28000
119,A079370,力快胶,20210223,28800
120,A079370,力快胶,20210222,29250
121,A079370,力快胶,20210219,27900
122,A079370,力快胶,20210218,27700
123,A079370,力快胶,20210217,27900
124,A079370,力快胶,20210216,28650
125,A079370,力快胶,20210215,27600
126,A079370,力快胶,20210210,26800
127,A079370,力快胶,20210209,27000
128,A079370,力快胶,20210208,27000
129,A079370,力快胶,20210205,28600
130,A079370,力快胶,20210204,28300
131,A079370,力快胶,20210203,29200
132,A079370,力快胶,20210202,26950
133,A079370,力快胶,20210201,26800
134,A079370,力快胶,20210129,27000
135,A079370,力快胶,20210128,27250
136,A079370,力快胶,20210127,28000
137,A079370,力快胶,20210126,27450
138,A079370,力快胶,20210125,27400
139,A079370,力快胶,20210122,25050
140,A079370,力快胶,20210121,25350
141,A079370,力快胶,20210120,25650
142,A079370,力快胶,20210119,26050
143,A079370,力快胶,20210118,23800
144,A079370,力快胶,20210115,25300
145,A079370,力快胶,20210114,26050
146,A079370,力快胶,20210113,25900
147,A079370,力快胶,20210112,26000
148,A079370,力快胶,20210111,26050
149,A079370,力快胶,20210108,26750
150,A079370,力快胶,20210107,27050
151,A079370,力快胶,20210106,26850
152,A079370,力快胶,20210105,27750
153,A079370,力快胶,20210104,28100
154,A079370,力快胶,20201230,28900
155,A079370,力快胶,20201229,29000
156,A079370,力快胶,20201228,27750
157,A079370,力快胶,20201224,25900
158,A079370,力快胶,20201223,25600
159,A079370,力快胶,20201222,25200
160,A079370,力快胶,20201221,26000
161,A079370,力快胶,20201218,27000
162,A079370,力快胶,20201217,28000
163,A079370,力快胶,20201216,27200
164,A079370,力快胶,20201215,27400
165,A079370,力快胶,20201214,27700
166,A079370,力快胶,20201211,27300
167,A079370,力快胶,20201210,26600
168,A079370,力快胶,20201209,26750
169,A079370,力快胶,20201208,25500
170,A079370,力快胶,20201207,25000
171,A079370,力快胶,20201204,25750
172,A079370,力快胶,20201203,26000
173,A079370,力快胶,20201202,26200
174,A079370,力快胶,20201201,24250
175,A079370,力快胶,20201130,24650
176,A079370,力快胶,20201127,25100
177,A079370,力快胶,20201126,24850
178,A079370,力快胶,20201125,23700
179,A079370,力快胶,20201124,24350
180,A079370,力快胶,20201123,22900
181,A079370,力快胶,20201120,22900
182,A079370,力快胶,20201119,22750
183,A079370,力快胶,20201118,22850
184,A079370,力快胶,20201117,21600
185,A079370,力快胶,20201116,20400
186,A079370,力快胶,20201113,19750
187,A079370,力快胶,20201112,20450
188,A079370,力快胶,20201111,20300
189,A079370,力快胶,20201110,20900
190,A079370,力快胶,20201109,19600
191,A079370,力快胶,20201106,19350
192,A079370,力快胶,20201105,19550
