,종목코드,종목명,날짜,종가
0,A287410,제이시스메디칼,20210812,8480
1,A287410,제이시스메디칼,20210811,8050
2,A287410,제이시스메디칼,20210810,8710
3,A287410,제이시스메디칼,20210809,8900
4,A287410,제이시스메디칼,20210806,8830
5,A287410,제이시스메디칼,20210805,9040
6,A287410,제이시스메디칼,20210804,8900
7,A287410,제이시스메디칼,20210803,8900
8,A287410,제이시스메디칼,20210802,8300
9,A287410,제이시스메디칼,20210730,7090
10,A287410,제이시스메디칼,20210729,6900
11,A287410,제이시스메디칼,20210728,6900
12,A287410,제이시스메디칼,20210727,7020
13,A287410,제이시스메디칼,20210726,6810
14,A287410,제이시스메디칼,20210723,7010
15,A287410,제이시스메디칼,20210722,6910
16,A287410,제이시스메디칼,20210721,6750
17,A287410,제이시스메디칼,20210720,6830
18,A287410,제이시스메디칼,20210719,7090
19,A287410,제이시스메디칼,20210716,7020
20,A287410,제이시스메디칼,20210715,6900
21,A287410,제이시스메디칼,20210714,6770
22,A287410,제이시스메디칼,20210713,6600
23,A287410,제이시스메디칼,20210712,6240
24,A287410,제이시스메디칼,20210709,6190
25,A287410,제이시스메디칼,20210708,6200
26,A287410,제이시스메디칼,20210707,6090
27,A287410,제이시스메디칼,20210706,6000
28,A287410,제이시스메디칼,20210705,6020
29,A287410,제이시스메디칼,20210702,5950
30,A287410,제이시스메디칼,20210701,6060
31,A287410,제이시스메디칼,20210630,6140
32,A287410,제이시스메디칼,20210629,6130
33,A287410,제이시스메디칼,20210628,6140
34,A287410,제이시스메디칼,20210625,6350
35,A287410,제이시스메디칼,20210624,6410
36,A287410,제이시스메디칼,20210623,6330
37,A287410,제이시스메디칼,20210622,6540
38,A287410,제이시스메디칼,20210621,6400
39,A287410,제이시스메디칼,20210618,6420
40,A287410,제이시스메디칼,20210617,6480
41,A287410,제이시스메디칼,20210616,6310
42,A287410,제이시스메디칼,20210615,6170
43,A287410,제이시스메디칼,20210614,5990
44,A287410,제이시스메디칼,20210611,6070
45,A287410,제이시스메디칼,20210610,5900
46,A287410,제이시스메디칼,20210609,5600
47,A287410,제이시스메디칼,20210608,5540
48,A287410,제이시스메디칼,20210607,5540
49,A287410,제이시스메디칼,20210604,5460
50,A287410,제이시스메디칼,20210603,5360
51,A287410,제이시스메디칼,20210602,5430
52,A287410,제이시스메디칼,20210601,5630
53,A287410,제이시스메디칼,20210531,5750
54,A287410,제이시스메디칼,20210528,5630
55,A287410,제이시스메디칼,20210527,5650
56,A287410,제이시스메디칼,20210526,5570
57,A287410,제이시스메디칼,20210525,5610
58,A287410,제이시스메디칼,20210524,5190
59,A287410,제이시스메디칼,20210521,5220
60,A287410,제이시스메디칼,20210520,4910
61,A287410,제이시스메디칼,20210518,4995
62,A287410,제이시스메디칼,20210517,4640
63,A287410,제이시스메디칼,20210514,4650
64,A287410,제이시스메디칼,20210513,4570
65,A287410,제이시스메디칼,20210512,4560
66,A287410,제이시스메디칼,20210511,4660
67,A287410,제이시스메디칼,20210510,4750
68,A287410,제이시스메디칼,20210507,4700
