,종목코드,종목명,날짜,종가
0,A126880,제이엔케이히터,20210812,6580
1,A126880,제이엔케이히터,20210811,6520
2,A126880,제이엔케이히터,20210810,6620
3,A126880,제이엔케이히터,20210809,6680
4,A126880,제이엔케이히터,20210806,6760
5,A126880,제이엔케이히터,20210805,6720
6,A126880,제이엔케이히터,20210804,6530
7,A126880,제이엔케이히터,20210803,6490
8,A126880,제이엔케이히터,20210802,6590
9,A126880,제이엔케이히터,20210730,6640
10,A126880,제이엔케이히터,20210729,6770
11,A126880,제이엔케이히터,20210728,6710
12,A126880,제이엔케이히터,20210727,6800
13,A126880,제이엔케이히터,20210726,6730
14,A126880,제이엔케이히터,20210723,6850
15,A126880,제이엔케이히터,20210722,6910
16,A126880,제이엔케이히터,20210721,6950
17,A126880,제이엔케이히터,20210720,6900
18,A126880,제이엔케이히터,20210719,7060
19,A126880,제이엔케이히터,20210716,6970
20,A126880,제이엔케이히터,20210715,7010
21,A126880,제이엔케이히터,20210714,6770
22,A126880,제이엔케이히터,20210713,6820
23,A126880,제이엔케이히터,20210712,6710
24,A126880,제이엔케이히터,20210709,6650
25,A126880,제이엔케이히터,20210708,6700
26,A126880,제이엔케이히터,20210707,6870
27,A126880,제이엔케이히터,20210706,6980
28,A126880,제이엔케이히터,20210705,6950
29,A126880,제이엔케이히터,20210702,6940
30,A126880,제이엔케이히터,20210701,6950
31,A126880,제이엔케이히터,20210630,6980
32,A126880,제이엔케이히터,20210629,7010
33,A126880,제이엔케이히터,20210628,7060
34,A126880,제이엔케이히터,20210625,7040
35,A126880,제이엔케이히터,20210624,7090
36,A126880,제이엔케이히터,20210623,7230
37,A126880,제이엔케이히터,20210622,7390
38,A126880,제이엔케이히터,20210621,7330
39,A126880,제이엔케이히터,20210618,7390
40,A126880,제이엔케이히터,20210617,7120
41,A126880,제이엔케이히터,20210616,7160
42,A126880,제이엔케이히터,20210615,7270
43,A126880,제이엔케이히터,20210614,7230
44,A126880,제이엔케이히터,20210611,7270
45,A126880,제이엔케이히터,20210610,7000
46,A126880,제이엔케이히터,20210609,7040
47,A126880,제이엔케이히터,20210608,7200
48,A126880,제이엔케이히터,20210607,6980
49,A126880,제이엔케이히터,20210604,6920
50,A126880,제이엔케이히터,20210603,6790
51,A126880,제이엔케이히터,20210602,6760
52,A126880,제이엔케이히터,20210601,6730
53,A126880,제이엔케이히터,20210531,6760
54,A126880,제이엔케이히터,20210528,6610
55,A126880,제이엔케이히터,20210527,6470
56,A126880,제이엔케이히터,20210526,6500
57,A126880,제이엔케이히터,20210525,6470
58,A126880,제이엔케이히터,20210524,6310
59,A126880,제이엔케이히터,20210521,6560
60,A126880,제이엔케이히터,20210520,6550
61,A126880,제이엔케이히터,20210518,6580
62,A126880,제이엔케이히터,20210517,6520
63,A126880,제이엔케이히터,20210514,6620
64,A126880,제이엔케이히터,20210513,6770
65,A126880,제이엔케이히터,20210512,6980
66,A126880,제이엔케이히터,20210511,7060
67,A126880,제이엔케이히터,20210510,7100
68,A126880,제이엔케이히터,20210507,7090
69,A126880,제이엔케이히터,20210506,7050
70,A126880,제이엔케이히터,20210504,7010
71,A126880,제이엔케이히터,20210503,7220
72,A126880,제이엔케이히터,20210430,7220
73,A126880,제이엔케이히터,20210429,7220
74,A126880,제이엔케이히터,20210428,7290
75,A126880,제이엔케이히터,20210427,7460
76,A126880,제이엔케이히터,20210426,7590
77,A126880,제이엔케이히터,20210423,7680
78,A126880,제이엔케이히터,20210422,7790
79,A126880,제이엔케이히터,20210421,7720
80,A126880,제이엔케이히터,20210420,7870
81,A126880,제이엔케이히터,20210419,7760
82,A126880,제이엔케이히터,20210416,7710
83,A126880,제이엔케이히터,20210415,7730
84,A126880,제이엔케이히터,20210414,7440
85,A126880,제이엔케이히터,20210413,7440
86,A126880,제이엔케이히터,20210412,7350
87,A126880,제이엔케이히터,20210409,7420
