,종목코드,종목명,날짜,종가
0,A094970,제이엠티,20210812,4420
1,A094970,제이엠티,20210811,4435
2,A094970,제이엠티,20210810,4665
3,A094970,제이엠티,20210809,4690
4,A094970,제이엠티,20210806,4770
5,A094970,제이엠티,20210805,4700
6,A094970,제이엠티,20210804,4510
7,A094970,제이엠티,20210803,4520
8,A094970,제이엠티,20210802,4545
9,A094970,제이엠티,20210730,4590
10,A094970,제이엠티,20210729,4405
11,A094970,제이엠티,20210728,4450
12,A094970,제이엠티,20210727,4550
13,A094970,제이엠티,20210726,4630
14,A094970,제이엠티,20210723,4755
15,A094970,제이엠티,20210722,4615
16,A094970,제이엠티,20210721,4460
17,A094970,제이엠티,20210720,4530
18,A094970,제이엠티,20210719,4445
19,A094970,제이엠티,20210716,4480
20,A094970,제이엠티,20210715,4600
21,A094970,제이엠티,20210714,4580
22,A094970,제이엠티,20210713,4400
23,A094970,제이엠티,20210712,3970
24,A094970,제이엠티,20210709,3900
25,A094970,제이엠티,20210708,3985
26,A094970,제이엠티,20210707,4150
27,A094970,제이엠티,20210706,4200
28,A094970,제이엠티,20210705,4105
29,A094970,제이엠티,20210702,4090
30,A094970,제이엠티,20210701,4210
31,A094970,제이엠티,20210630,4240
32,A094970,제이엠티,20210629,4065
33,A094970,제이엠티,20210628,4100
34,A094970,제이엠티,20210625,4025
35,A094970,제이엠티,20210624,4020
36,A094970,제이엠티,20210623,4100
37,A094970,제이엠티,20210622,4120
38,A094970,제이엠티,20210621,3905
39,A094970,제이엠티,20210618,3925
40,A094970,제이엠티,20210617,3910
41,A094970,제이엠티,20210616,3860
42,A094970,제이엠티,20210615,3930
43,A094970,제이엠티,20210614,3940
44,A094970,제이엠티,20210611,3950
45,A094970,제이엠티,20210610,3875
46,A094970,제이엠티,20210609,3950
47,A094970,제이엠티,20210608,4000
48,A094970,제이엠티,20210607,3935
49,A094970,제이엠티,20210604,3930
50,A094970,제이엠티,20210603,3945
51,A094970,제이엠티,20210602,3830
52,A094970,제이엠티,20210601,3770
53,A094970,제이엠티,20210531,3755
54,A094970,제이엠티,20210528,3680
55,A094970,제이엠티,20210527,3670
56,A094970,제이엠티,20210526,3525
57,A094970,제이엠티,20210525,3430
58,A094970,제이엠티,20210524,3430
59,A094970,제이엠티,20210521,3620
60,A094970,제이엠티,20210520,3625
61,A094970,제이엠티,20210518,3575
62,A094970,제이엠티,20210517,3555
63,A094970,제이엠티,20210514,3640
64,A094970,제이엠티,20210513,3590
65,A094970,제이엠티,20210512,3715
66,A094970,제이엠티,20210511,3830
67,A094970,제이엠티,20210510,3795
68,A094970,제이엠티,20210507,3825
69,A094970,제이엠티,20210506,3820
70,A094970,제이엠티,20210504,3770
71,A094970,제이엠티,20210503,3755
72,A094970,제이엠티,20210430,3670
73,A094970,제이엠티,20210429,3725
74,A094970,제이엠티,20210428,3630
75,A094970,제이엠티,20210427,3760
76,A094970,제이엠티,20210426,3815
77,A094970,제이엠티,20210423,3815
78,A094970,제이엠티,20210422,3850
79,A094970,제이엠티,20210421,3790
80,A094970,제이엠티,20210420,3860
