,종목코드,종목명,날짜,종가
0,A033340,좋은사람들,20210812,1055
1,A033340,좋은사람들,20210811,1055
2,A033340,좋은사람들,20210810,1055
3,A033340,좋은사람들,20210809,1055
4,A033340,좋은사람들,20210806,1055
5,A033340,좋은사람들,20210805,1055
6,A033340,좋은사람들,20210804,1055
7,A033340,좋은사람들,20210803,1055
8,A033340,좋은사람들,20210802,1055
9,A033340,좋은사람들,20210730,1055
10,A033340,좋은사람들,20210729,1055
11,A033340,좋은사람들,20210728,1055
12,A033340,좋은사람들,20210727,1055
13,A033340,좋은사람들,20210726,1055
14,A033340,좋은사람들,20210723,1055
15,A033340,좋은사람들,20210722,1055
16,A033340,좋은사람들,20210721,1055
17,A033340,좋은사람들,20210720,1055
18,A033340,좋은사람들,20210719,1055
19,A033340,좋은사람들,20210716,1055
20,A033340,좋은사람들,20210715,1055
21,A033340,좋은사람들,20210714,1055
22,A033340,좋은사람들,20210713,1055
23,A033340,좋은사람들,20210712,1055
24,A033340,좋은사람들,20210709,1055
25,A033340,좋은사람들,20210708,1055
26,A033340,좋은사람들,20210707,1055
27,A033340,좋은사람들,20210706,1055
28,A033340,좋은사람들,20210705,1055
29,A033340,좋은사람들,20210702,1055
30,A033340,좋은사람들,20210701,1055
31,A033340,좋은사람들,20210630,1055
32,A033340,좋은사람들,20210629,1055
33,A033340,좋은사람들,20210628,1055
34,A033340,좋은사람들,20210625,1055
35,A033340,좋은사람들,20210624,1055
36,A033340,좋은사람들,20210623,1055
37,A033340,좋은사람들,20210622,1055
38,A033340,좋은사람들,20210621,1055
39,A033340,좋은사람들,20210618,1055
40,A033340,좋은사람들,20210617,1055
41,A033340,좋은사람들,20210616,1055
42,A033340,좋은사람들,20210615,1055
43,A033340,좋은사람들,20210614,1055
44,A033340,좋은사람들,20210611,1055
45,A033340,좋은사람들,20210610,1055
46,A033340,좋은사람들,20210609,1055
47,A033340,좋은사람들,20210608,1055
48,A033340,좋은사람들,20210607,1055
49,A033340,좋은사람들,20210604,1055
50,A033340,좋은사람들,20210603,1055
51,A033340,좋은사람들,20210602,1055
52,A033340,좋은사람들,20210601,1055
53,A033340,좋은사람들,20210531,1055
54,A033340,좋은사람들,20210528,1055
55,A033340,좋은사람들,20210527,1055
56,A033340,좋은사람들,20210526,1055
57,A033340,좋은사람들,20210525,1055
58,A033340,좋은사람들,20210524,1055
59,A033340,좋은사람들,20210521,1055
60,A033340,좋은사람들,20210520,1055
61,A033340,좋은사람들,20210518,1055
62,A033340,좋은사람들,20210517,1055
63,A033340,좋은사람들,20210514,1055
64,A033340,좋은사람들,20210513,1055
65,A033340,좋은사람들,20210512,1055
66,A033340,좋은사람들,20210511,1055
67,A033340,좋은사람들,20210510,1055
68,A033340,좋은사람들,20210507,1055
69,A033340,좋은사람들,20210506,1055
70,A033340,좋은사람들,20210504,1055
71,A033340,좋은사람들,20210503,1055
72,A033340,좋은사람들,20210430,1055
73,A033340,좋은사람들,20210429,1055
74,A033340,좋은사람들,20210428,1055
75,A033340,좋은사람들,20210427,1055
76,A033340,좋은사람들,20210426,1055
77,A033340,좋은사람들,20210423,1055
78,A033340,좋은사람들,20210422,1055
79,A033340,좋은사람들,20210421,1055
80,A033340,좋은사람들,20210420,1055
81,A033340,좋은사람들,20210419,1055
82,A033340,좋은사람들,20210416,1055
83,A033340,좋은사람들,20210415,1055
84,A033340,좋은사람들,20210414,1055
85,A033340,좋은사람들,20210413,1055
86,A033340,좋은사람들,20210412,1055
87,A033340,좋은사람들,20210409,1055
88,A033340,좋은사람들,20210408,1055
89,A033340,좋은사람들,20210407,1055
90,A033340,좋은사람들,20210406,1055
91,A033340,좋은사람들,20210405,1055
92,A033340,좋은사람들,20210402,1055
93,A033340,좋은사람들,20210401,1055
94,A033340,좋은사람들,20210331,1055
95,A033340,좋은사람들,20210330,1055
96,A033340,좋은사람들,20210329,1055
97,A033340,좋은사람들,20210326,1055
98,A033340,좋은사람들,20210325,1055
99,A033340,좋은사람들,20210324,1055
100,A033340,좋은사람들,20210323,1055
101,A033340,좋은사람들,20210322,1055
102,A033340,좋은사람들,20210319,1065
103,A033340,좋은사람들,20210318,1060
104,A033340,좋은사람들,20210317,1075
105,A033340,좋은사람들,20210316,1085
106,A033340,좋은사람들,20210315,1120
107,A033340,좋은사람들,20210312,1070
108,A033340,좋은사람들,20210311,1060
109,A033340,좋은사람들,20210310,1040
110,A033340,좋은사람들,20210309,1055
111,A033340,좋은사람들,20210308,1080
112,A033340,좋은사람들,20210305,1085
