,¡æ∏Òƒ⁄µÂ,¡æ∏Ò∏Ì,≥Ø¬•,¡æ∞°
0,A072020,¡ﬂæ”πÈΩ≈,20210812,17050
1,A072020,¡ﬂæ”πÈΩ≈,20210811,17050
2,A072020,¡ﬂæ”πÈΩ≈,20210810,17200
3,A072020,¡ﬂæ”πÈΩ≈,20210809,17550
4,A072020,¡ﬂæ”πÈΩ≈,20210806,17400
5,A072020,¡ﬂæ”πÈΩ≈,20210805,17450
6,A072020,¡ﬂæ”πÈΩ≈,20210804,17400
7,A072020,¡ﬂæ”πÈΩ≈,20210803,17400
8,A072020,¡ﬂæ”πÈΩ≈,20210802,17300
9,A072020,¡ﬂæ”πÈΩ≈,20210730,17200
10,A072020,¡ﬂæ”πÈΩ≈,20210729,17150
11,A072020,¡ﬂæ”πÈΩ≈,20210728,17200
12,A072020,¡ﬂæ”πÈΩ≈,20210727,17200
13,A072020,¡ﬂæ”πÈΩ≈,20210726,16950
14,A072020,¡ﬂæ”πÈΩ≈,20210723,17050
15,A072020,¡ﬂæ”πÈΩ≈,20210722,17250
16,A072020,¡ﬂæ”πÈΩ≈,20210721,17500
17,A072020,¡ﬂæ”πÈΩ≈,20210720,17600
18,A072020,¡ﬂæ”πÈΩ≈,20210719,17650
19,A072020,¡ﬂæ”πÈΩ≈,20210716,17800
20,A072020,¡ﬂæ”πÈΩ≈,20210715,18100
21,A072020,¡ﬂæ”πÈΩ≈,20210714,18000
22,A072020,¡ﬂæ”πÈΩ≈,20210713,18000
23,A072020,¡ﬂæ”πÈΩ≈,20210712,18200
24,A072020,¡ﬂæ”πÈΩ≈,20210709,18200
25,A072020,¡ﬂæ”πÈΩ≈,20210708,17900
26,A072020,¡ﬂæ”πÈΩ≈,20210707,18350
27,A072020,¡ﬂæ”πÈΩ≈,20210706,18350
28,A072020,¡ﬂæ”πÈΩ≈,20210705,18250
29,A072020,¡ﬂæ”πÈΩ≈,20210702,18450
30,A072020,¡ﬂæ”πÈΩ≈,20210701,19150
31,A072020,¡ﬂæ”πÈΩ≈,20210630,19300
32,A072020,¡ﬂæ”πÈΩ≈,20210629,18950
33,A072020,¡ﬂæ”πÈΩ≈,20210628,19050
34,A072020,¡ﬂæ”πÈΩ≈,20210625,18900
35,A072020,¡ﬂæ”πÈΩ≈,20210624,19150
36,A072020,¡ﬂæ”πÈΩ≈,20210623,18900
37,A072020,¡ﬂæ”πÈΩ≈,20210622,18900
38,A072020,¡ﬂæ”πÈΩ≈,20210621,18850
39,A072020,¡ﬂæ”πÈΩ≈,20210618,19100
40,A072020,¡ﬂæ”πÈΩ≈,20210617,18650
41,A072020,¡ﬂæ”πÈΩ≈,20210616,18650
42,A072020,¡ﬂæ”πÈΩ≈,20210615,18900
43,A072020,¡ﬂæ”πÈΩ≈,20210614,19100
44,A072020,¡ﬂæ”πÈΩ≈,20210611,18700
45,A072020,¡ﬂæ”πÈΩ≈,20210610,18600
46,A072020,¡ﬂæ”πÈΩ≈,20210609,19150
47,A072020,¡ﬂæ”πÈΩ≈,20210608,19000
48,A072020,¡ﬂæ”πÈΩ≈,20210607,19000
49,A072020,¡ﬂæ”πÈΩ≈,20210604,19050
50,A072020,¡ﬂæ”πÈΩ≈,20210603,18900
51,A072020,¡ﬂæ”πÈΩ≈,20210602,18700
52,A072020,¡ﬂæ”πÈΩ≈,20210601,18050
53,A072020,¡ﬂæ”πÈΩ≈,20210531,17650
54,A072020,¡ﬂæ”πÈΩ≈,20210528,17500
55,A072020,¡ﬂæ”πÈΩ≈,20210527,17450
56,A072020,¡ﬂæ”πÈΩ≈,20210526,17600
57,A072020,¡ﬂæ”πÈΩ≈,20210525,17350
58,A072020,¡ﬂæ”πÈΩ≈,20210524,17250
59,A072020,¡ﬂæ”πÈΩ≈,20210521,17850
60,A072020,¡ﬂæ”πÈΩ≈,20210520,18100
61,A072020,¡ﬂæ”πÈΩ≈,20210518,18000
62,A072020,¡ﬂæ”πÈΩ≈,20210517,17850
63,A072020,¡ﬂæ”πÈΩ≈,20210514,17900
64,A072020,¡ﬂæ”πÈΩ≈,20210513,18050
65,A072020,¡ﬂæ”πÈΩ≈,20210512,17850
66,A072020,¡ﬂæ”πÈΩ≈,20210511,18150
67,A072020,¡ﬂæ”πÈΩ≈,20210510,18250
68,A072020,¡ﬂæ”πÈΩ≈,20210507,18250
69,A072020,¡ﬂæ”πÈΩ≈,20210506,18300
70,A072020,¡ﬂæ”πÈΩ≈,20210504,18000
71,A072020,¡ﬂæ”πÈΩ≈,20210503,17850
72,A072020,¡ﬂæ”πÈΩ≈,20210430,18100
73,A072020,¡ﬂæ”πÈΩ≈,20210429,17900
74,A072020,¡ﬂæ”πÈΩ≈,20210428,18000
75,A072020,¡ﬂæ”πÈΩ≈,20210427,18500
76,A072020,¡ﬂæ”πÈΩ≈,20210426,18600
77,A072020,¡ﬂæ”πÈΩ≈,20210423,18200
78,A072020,¡ﬂæ”πÈΩ≈,20210422,18000
79,A072020,¡ﬂæ”πÈΩ≈,20210421,18050
80,A072020,¡ﬂæ”πÈΩ≈,20210420,18500
81,A072020,¡ﬂæ”πÈΩ≈,20210419,18100
82,A072020,¡ﬂæ”πÈΩ≈,20210416,18200
83,A072020,¡ﬂæ”πÈΩ≈,20210415,18200
84,A072020,¡ﬂæ”πÈΩ≈,20210414,18650
85,A072020,¡ﬂæ”πÈΩ≈,20210413,18600
86,A072020,¡ﬂæ”πÈΩ≈,20210412,18850
87,A072020,¡ﬂæ”πÈΩ≈,20210409,19300
88,A072020,¡ﬂæ”πÈΩ≈,20210408,18500
89,A072020,¡ﬂæ”πÈΩ≈,20210407,18650
90,A072020,¡ﬂæ”πÈΩ≈,20210406,18300
91,A072020,¡ﬂæ”πÈΩ≈,20210405,18600
92,A072020,¡ﬂæ”πÈΩ≈,20210402,18350
93,A072020,¡ﬂæ”πÈΩ≈,20210401,18400
94,A072020,¡ﬂæ”πÈΩ≈,20210331,17750
95,A072020,¡ﬂæ”πÈΩ≈,20210330,18500
96,A072020,¡ﬂæ”πÈΩ≈,20210329,18250
97,A072020,¡ﬂæ”πÈΩ≈,20210326,18850
98,A072020,¡ﬂæ”πÈΩ≈,20210325,19250
99,A072020,¡ﬂæ”πÈΩ≈,20210324,17600
100,A072020,¡ﬂæ”πÈΩ≈,20210323,17700
101,A072020,¡ﬂæ”πÈΩ≈,20210322,17600
102,A072020,¡ﬂæ”πÈΩ≈,20210319,16800
103,A072020,¡ﬂæ”πÈΩ≈,20210318,17200
104,A072020,¡ﬂæ”πÈΩ≈,20210317,17200
105,A072020,¡ﬂæ”πÈΩ≈,20210316,16750
106,A072020,¡ﬂæ”πÈΩ≈,20210315,15650
107,A072020,¡ﬂæ”πÈΩ≈,20210312,15750
108,A072020,¡ﬂæ”πÈΩ≈,20210311,15750
109,A072020,¡ﬂæ”πÈΩ≈,20210310,15600
110,A072020,¡ﬂæ”πÈΩ≈,20210309,15550
111,A072020,¡ﬂæ”πÈΩ≈,20210308,15700
112,A072020,¡ﬂæ”πÈΩ≈,20210305,15800
113,A072020,¡ﬂæ”πÈΩ≈,20210304,16000
114,A072020,¡ﬂæ”πÈΩ≈,20210303,15800
115,A072020,¡ﬂæ”πÈΩ≈,20210302,15650
116,A072020,¡ﬂæ”πÈΩ≈,20210226,15800
117,A072020,¡ﬂæ”πÈΩ≈,20210225,16150
118,A072020,¡ﬂæ”πÈΩ≈,20210224,16250
119,A072020,¡ﬂæ”πÈΩ≈,20210223,16450
120,A072020,¡ﬂæ”πÈΩ≈,20210222,16500
121,A072020,¡ﬂæ”πÈΩ≈,20210219,16600
122,A072020,¡ﬂæ”πÈΩ≈,20210218,16600
123,A072020,¡ﬂæ”πÈΩ≈,20210217,16700
124,A072020,¡ﬂæ”πÈΩ≈,20210216,16650
125,A072020,¡ﬂæ”πÈΩ≈,20210215,16700
126,A072020,¡ﬂæ”πÈΩ≈,20210210,16650
127,A072020,¡ﬂæ”πÈΩ≈,20210209,16550
128,A072020,¡ﬂæ”πÈΩ≈,20210208,16600
129,A072020,¡ﬂæ”πÈΩ≈,20210205,16650
130,A072020,¡ﬂæ”πÈΩ≈,20210204,16700
131,A072020,¡ﬂæ”πÈΩ≈,20210203,16800
132,A072020,¡ﬂæ”πÈΩ≈,20210202,16800
133,A072020,¡ﬂæ”πÈΩ≈,20210201,16750
134,A072020,¡ﬂæ”πÈΩ≈,20210129,16700
135,A072020,¡ﬂæ”πÈΩ≈,20210128,16950
136,A072020,¡ﬂæ”πÈΩ≈,20210127,17100
137,A072020,¡ﬂæ”πÈΩ≈,20210126,17200
