,종목코드,종목명,날짜,종가
0,A078650,지나인제약,20210812,1495
1,A078650,지나인제약,20210811,1535
2,A078650,지나인제약,20210810,1625
3,A078650,지나인제약,20210809,1560
4,A078650,지나인제약,20210806,1640
5,A078650,지나인제약,20210805,1650
6,A078650,지나인제약,20210804,1685
7,A078650,지나인제약,20210803,1540
8,A078650,지나인제약,20210802,1690
9,A078650,지나인제약,20210730,1615
10,A078650,지나인제약,20210729,1280
11,A078650,지나인제약,20210728,1240
12,A078650,지나인제약,20210727,1255
13,A078650,지나인제약,20210726,1260
14,A078650,지나인제약,20210723,1325
15,A078650,지나인제약,20210722,1365
16,A078650,지나인제약,20210721,1325
17,A078650,지나인제약,20210720,1410
18,A078650,지나인제약,20210719,1380
19,A078650,지나인제약,20210716,1445
20,A078650,지나인제약,20210715,1520
21,A078650,지나인제약,20210714,1555
22,A078650,지나인제약,20210713,1540
23,A078650,지나인제약,20210712,1535
24,A078650,지나인제약,20210709,1545
25,A078650,지나인제약,20210708,1565
26,A078650,지나인제약,20210707,1600
27,A078650,지나인제약,20210706,1620
28,A078650,지나인제약,20210705,1690
29,A078650,지나인제약,20210702,1520
30,A078650,지나인제약,20210701,1680
31,A078650,지나인제약,20210630,1830
32,A078650,지나인제약,20210629,1905
33,A078650,지나인제약,20210628,1915
34,A078650,지나인제약,20210625,2020
35,A078650,지나인제약,20210624,2100
36,A078650,지나인제약,20210623,2090
37,A078650,지나인제약,20210622,2100
38,A078650,지나인제약,20210621,2360
39,A078650,지나인제약,20210618,2410
40,A078650,지나인제약,20210617,2440
41,A078650,지나인제약,20210616,2410
42,A078650,지나인제약,20210615,2635
43,A078650,지나인제약,20210614,2440
44,A078650,지나인제약,20210611,2350
45,A078650,지나인제약,20210610,2300
46,A078650,지나인제약,20210609,2400
47,A078650,지나인제약,20210608,2430
48,A078650,지나인제약,20210607,2550
49,A078650,지나인제약,20210604,2570
50,A078650,지나인제약,20210603,2260
51,A078650,지나인제약,20210602,2235
52,A078650,지나인제약,20210601,2320
53,A078650,지나인제약,20210531,2400
54,A078650,지나인제약,20210528,2210
55,A078650,지나인제약,20210527,2115
56,A078650,지나인제약,20210526,1815
57,A078650,지나인제약,20210525,1820
58,A078650,지나인제약,20210524,1790
59,A078650,지나인제약,20210521,1815
60,A078650,지나인제약,20210520,1750
61,A078650,지나인제약,20210518,1645
62,A078650,지나인제약,20210517,1645
63,A078650,지나인제약,20210514,1405
64,A078650,지나인제약,20210513,1290
65,A078650,지나인제약,20210512,1245
66,A078650,지나인제약,20210511,1125
67,A078650,지나인제약,20210510,1165
68,A078650,지나인제약,20210507,1210
69,A078650,지나인제약,20210506,1190
70,A078650,지나인제약,20210504,1225
71,A078650,지나인제약,20210503,1255
72,A078650,지나인제약,20210430,1310
73,A078650,지나인제약,20210429,1285
74,A078650,지나인제약,20210428,1285
75,A078650,지나인제약,20210427,1300
76,A078650,지나인제약,20210426,1335
77,A078650,지나인제약,20210423,1400
78,A078650,지나인제약,20210422,1380
79,A078650,지나인제약,20210421,1425
80,A078650,지나인제약,20210420,1340
81,A078650,지나인제약,20210419,1350
82,A078650,지나인제약,20210416,1175
83,A078650,지나인제약,20210415,1145
84,A078650,지나인제약,20210414,1155
85,A078650,지나인제약,20210413,1175
86,A078650,지나인제약,20210412,1175
87,A078650,지나인제약,20210409,1070
88,A078650,지나인제약,20210408,1040
89,A078650,지나인제약,20210407,1105
90,A078650,지나인제약,20210406,1045
91,A078650,지나인제약,20210405,973
92,A078650,지나인제약,20210402,1335
93,A078650,지나인제약,20210401,1260
94,A078650,지나인제약,20210331,1150
95,A078650,지나인제약,20210330,1140
96,A078650,지나인제약,20210329,1125
97,A078650,지나인제약,20210326,1030
98,A078650,지나인제약,20210325,981
99,A078650,지나인제약,20210324,971
100,A078650,지나인제약,20210323,985
101,A078650,지나인제약,20210322,960
102,A078650,지나인제약,20210319,942
103,A078650,지나인제약,20210318,933
104,A078650,지나인제약,20210317,930
105,A078650,지나인제약,20210316,960
106,A078650,지나인제약,20210315,965
107,A078650,지나인제약,20210312,934
108,A078650,지나인제약,20210311,917
109,A078650,지나인제약,20210310,918
110,A078650,지나인제약,20210309,919
111,A078650,지나인제약,20210308,920
112,A078650,지나인제약,20210305,900
113,A078650,지나인제약,20210304,906
114,A078650,지나인제약,20210303,906
115,A078650,지나인제약,20210302,875
116,A078650,지나인제약,20210226,862
117,A078650,지나인제약,20210225,885
118,A078650,지나인제약,20210224,884
119,A078650,지나인제약,20210223,914
120,A078650,지나인제약,20210222,958
121,A078650,지나인제약,20210219,906
122,A078650,지나인제약,20210218,907
123,A078650,지나인제약,20210217,889
124,A078650,지나인제약,20210216,889
125,A078650,지나인제약,20210215,888
126,A078650,지나인제약,20210210,878
127,A078650,지나인제약,20210209,891
128,A078650,지나인제약,20210208,882
129,A078650,지나인제약,20210205,885
130,A078650,지나인제약,20210204,894
131,A078650,지나인제약,20210203,910
132,A078650,지나인제약,20210202,903
133,A078650,지나인제약,20210201,890
134,A078650,지나인제약,20210129,882
135,A078650,지나인제약,20210128,904
136,A078650,지나인제약,20210127,931
137,A078650,지나인제약,20210126,975
138,A078650,지나인제약,20210125,934
139,A078650,지나인제약,20210122,927
140,A078650,지나인제약,20210121,938
141,A078650,지나인제약,20210120,940
142,A078650,지나인제약,20210119,958
143,A078650,지나인제약,20210118,959
144,A078650,지나인제약,20210115,963
145,A078650,지나인제약,20210114,997
146,A078650,지나인제약,20210113,1010
147,A078650,지나인제약,20210112,983
148,A078650,지나인제약,20210111,981
149,A078650,지나인제약,20210108,1000
150,A078650,지나인제약,20210107,1020
151,A078650,지나인제약,20210106,1025
152,A078650,지나인제약,20210105,1005
153,A078650,지나인제약,20210104,995
154,A078650,지나인제약,20201230,1005
155,A078650,지나인제약,20201229,955
156,A078650,지나인제약,20201228,924
157,A078650,지나인제약,20201224,950
158,A078650,지나인제약,20201223,940
159,A078650,지나인제약,20201222,990
160,A078650,지나인제약,20201221,1010
161,A078650,지나인제약,20201218,1015
162,A078650,지나인제약,20201217,1035
163,A078650,지나인제약,20201216,1035
164,A078650,지나인제약,20201215,1025
165,A078650,지나인제약,20201214,1035
166,A078650,지나인제약,20201211,1070
167,A078650,지나인제약,20201210,1050
168,A078650,지나인제약,20201209,1050
169,A078650,지나인제약,20201208,1050
170,A078650,지나인제약,20201207,1030
171,A078650,지나인제약,20201204,1090
172,A078650,지나인제약,20201203,1125
173,A078650,지나인제약,20201202,1015
174,A078650,지나인제약,20201201,958
175,A078650,지나인제약,20201130,924
176,A078650,지나인제약,20201127,922
177,A078650,지나인제약,20201126,913
178,A078650,지나인제약,20201125,915
179,A078650,지나인제약,20201124,915
180,A078650,지나인제약,20201123,908
181,A078650,지나인제약,20201120,904
182,A078650,지나인제약,20201119,846
183,A078650,지나인제약,20201118,810
184,A078650,지나인제약,20201117,799
185,A078650,지나인제약,20201116,803
186,A078650,지나인제약,20201113,816
187,A078650,지나인제약,20201112,826
188,A078650,지나인제약,20201111,823
189,A078650,지나인제약,20201110,818
190,A078650,지나인제약,20201109,819
191,A078650,지나인제약,20201106,812
192,A078650,지나인제약,20201105,820
193,A078650,지나인제약,20201104,812
194,A078650,지나인제약,20201103,830
195,A078650,지나인제약,20201102,835
196,A078650,지나인제약,20201030,809
197,A078650,지나인제약,20201029,769
198,A078650,지나인제약,20201028,776
199,A078650,지나인제약,20201027,778
200,A078650,지나인제약,20201026,777
201,A078650,지나인제약,20201023,793
202,A078650,지나인제약,20201022,799
203,A078650,지나인제약,20201021,820
204,A078650,지나인제약,20201020,806
205,A078650,지나인제약,20201019,826
206,A078650,지나인제약,20201016,847
207,A078650,지나인제약,20201015,863
208,A078650,지나인제약,20201014,879
209,A078650,지나인제약,20201013,908
210,A078650,지나인제약,20201012,908
211,A078650,지나인제약,20201008,920
212,A078650,지나인제약,20201007,929
213,A078650,지나인제약,20201006,923
214,A078650,지나인제약,20201005,917
215,A078650,지나인제약,20200929,932
216,A078650,지나인제약,20200928,852
217,A078650,지나인제약,20200925,810
218,A078650,지나인제약,20200924,812
219,A078650,지나인제약,20200923,815
220,A078650,지나인제약,20200922,811
221,A078650,지나인제약,20200921,810
222,A078650,지나인제약,20200918,834
223,A078650,지나인제약,20200917,833
224,A078650,지나인제약,20200916,825
225,A078650,지나인제약,20200915,838
226,A078650,지나인제약,20200914,837
227,A078650,지나인제약,20200911,793
228,A078650,지나인제약,20200910,800
229,A078650,지나인제약,20200909,792
230,A078650,지나인제약,20200908,793
231,A078650,지나인제약,20200907,780
232,A078650,지나인제약,20200904,754
233,A078650,지나인제약,20200903,758
234,A078650,지나인제약,20200902,764
235,A078650,지나인제약,20200901,734
236,A078650,지나인제약,20200831,724
237,A078650,지나인제약,20200828,711
238,A078650,지나인제약,20200827,700
239,A078650,지나인제약,20200826,725
240,A078650,지나인제약,20200825,723
241,A078650,지나인제약,20200824,711
242,A078650,지나인제약,20200821,683
243,A078650,지나인제약,20200820,682
244,A078650,지나인제약,20200819,677
245,A078650,지나인제약,20200818,668
246,A078650,지나인제약,20200814,719
247,A078650,지나인제약,20200813,728
248,A078650,지나인제약,20200812,698
249,A078650,지나인제약,20200811,783
250,A078650,지나인제약,20200810,972
251,A078650,지나인제약,20200807,977
252,A078650,지나인제약,20200806,981
253,A078650,지나인제약,20200805,972
254,A078650,지나인제약,20200804,946
255,A078650,지나인제약,20200803,946
256,A078650,지나인제약,20200731,968
257,A078650,지나인제약,20200730,990
258,A078650,지나인제약,20200729,1003
259,A078650,지나인제약,20200728,1033
260,A078650,지나인제약,20200727,977
261,A078650,지나인제약,20200724,981
262,A078650,지나인제약,20200723,985
263,A078650,지나인제약,20200722,1003
264,A078650,지나인제약,20200721,981
265,A078650,지나인제약,20200720,985
266,A078650,지나인제약,20200717,959
267,A078650,지나인제약,20200716,955
268,A078650,지나인제약,20200715,977
269,A078650,지나인제약,20200714,950
270,A078650,지나인제약,20200713,950
271,A078650,지나인제약,20200710,959
272,A078650,지나인제약,20200709,959
273,A078650,지나인제약,20200708,942
274,A078650,지나인제약,20200707,946
275,A078650,지나인제약,20200706,942
276,A078650,지나인제약,20200703,933
277,A078650,지나인제약,20200702,937
278,A078650,지나인제약,20200701,933
279,A078650,지나인제약,20200630,937
280,A078650,지나인제약,20200629,942
281,A078650,지나인제약,20200626,963
282,A078650,지나인제약,20200625,946
283,A078650,지나인제약,20200624,968
284,A078650,지나인제약,20200623,950
285,A078650,지나인제약,20200622,950
286,A078650,지나인제약,20200619,959
287,A078650,지나인제약,20200618,950
288,A078650,지나인제약,20200617,946
289,A078650,지나인제약,20200616,950
290,A078650,지나인제약,20200615,902
291,A078650,지나인제약,20200612,1003
292,A078650,지나인제약,20200611,1046
293,A078650,지나인제약,20200610,1059
294,A078650,지나인제약,20200609,1073
295,A078650,지나인제약,20200608,1064
296,A078650,지나인제약,20200605,1064
297,A078650,지나인제약,20200604,1086
298,A078650,지나인제약,20200603,1042
299,A078650,지나인제약,20200602,1046
300,A078650,지나인제약,20200601,1051
301,A078650,지나인제약,20200529,1046
302,A078650,지나인제약,20200528,1055
303,A078650,지나인제약,20200527,1077
304,A078650,지나인제약,20200526,1090
305,A078650,지나인제약,20200525,1059
306,A078650,지나인제약,20200522,977
307,A078650,지나인제약,20200521,1011
308,A078650,지나인제약,20200520,1033
309,A078650,지나인제약,20200519,985
310,A078650,지나인제약,20200518,929
311,A078650,지나인제약,20200515,990
312,A078650,지나인제약,20200514,990
313,A078650,지나인제약,20200513,1011
314,A078650,지나인제약,20200512,994
315,A078650,지나인제약,20200511,1038
316,A078650,지나인제약,20200508,1042
317,A078650,지나인제약,20200507,1046
318,A078650,지나인제약,20200506,981
319,A078650,지나인제약,20200504,968
320,A078650,지나인제약,20200429,972
321,A078650,지나인제약,20200428,977
322,A078650,지나인제약,20200427,972
323,A078650,지나인제약,20200424,963
324,A078650,지나인제약,20200423,977
325,A078650,지나인제약,20200422,994
326,A078650,지나인제약,20200421,968
327,A078650,지나인제약,20200420,1016
328,A078650,지나인제약,20200417,1003
329,A078650,지나인제약,20200416,994
330,A078650,지나인제약,20200414,972
331,A078650,지나인제약,20200413,920
332,A078650,지나인제약,20200410,968
333,A078650,지나인제약,20200409,990
334,A078650,지나인제약,20200408,981
335,A078650,지나인제약,20200407,977
336,A078650,지나인제약,20200406,942
337,A078650,지나인제약,20200403,868
338,A078650,지나인제약,20200402,885
339,A078650,지나인제약,20200401,868
340,A078650,지나인제약,20200331,868
341,A078650,지나인제약,20200330,831
342,A078650,지나인제약,20200327,808
343,A078650,지나인제약,20200326,820
344,A078650,지나인제약,20200325,773
345,A078650,지나인제약,20200324,715
346,A078650,지나인제약,20200323,657
347,A078650,지나인제약,20200320,725
348,A078650,지나인제약,20200319,693
349,A078650,지나인제약,20200318,811
350,A078650,지나인제약,20200317,866
351,A078650,지나인제약,20200316,898
352,A078650,지나인제약,20200313,972
353,A078650,지나인제약,20200312,1055
354,A078650,지나인제약,20200311,1173
355,A078650,지나인제약,20200310,1273
356,A078650,지나인제약,20200309,1203
357,A078650,지나인제약,20200306,1299
358,A078650,지나인제약,20200305,1343
359,A078650,지나인제약,20200304,1347
360,A078650,지나인제약,20200303,1308
361,A078650,지나인제약,20200302,1282
362,A078650,지나인제약,20200228,1238
363,A078650,지나인제약,20200227,1356
364,A078650,지나인제약,20200226,1408
