,종목코드,종목명,날짜,종가
0,A270520,지엔원에너지,20210812,3855
1,A270520,지엔원에너지,20210811,3910
2,A270520,지엔원에너지,20210810,3980
3,A270520,지엔원에너지,20210809,4120
4,A270520,지엔원에너지,20210806,4120
5,A270520,지엔원에너지,20210805,4155
6,A270520,지엔원에너지,20210804,4155
7,A270520,지엔원에너지,20210803,4020
8,A270520,지엔원에너지,20210802,3860
9,A270520,지엔원에너지,20210730,3820
10,A270520,지엔원에너지,20210729,4060
11,A270520,지엔원에너지,20210728,4200
12,A270520,지엔원에너지,20210727,4260
13,A270520,지엔원에너지,20210726,4315
14,A270520,지엔원에너지,20210723,4485
15,A270520,지엔원에너지,20210722,4480
16,A270520,지엔원에너지,20210721,4595
17,A270520,지엔원에너지,20210720,4605
18,A270520,지엔원에너지,20210719,4565
19,A270520,지엔원에너지,20210716,4540
20,A270520,지엔원에너지,20210715,4520
21,A270520,지엔원에너지,20210714,4580
22,A270520,지엔원에너지,20210713,4745
23,A270520,지엔원에너지,20210712,4700
24,A270520,지엔원에너지,20210709,4695
25,A270520,지엔원에너지,20210708,4695
26,A270520,지엔원에너지,20210707,4850
27,A270520,지엔원에너지,20210706,4940
28,A270520,지엔원에너지,20210705,4950
29,A270520,지엔원에너지,20210702,5010
30,A270520,지엔원에너지,20210701,4990
31,A270520,지엔원에너지,20210630,5090
32,A270520,지엔원에너지,20210629,4795
33,A270520,지엔원에너지,20210628,4745
34,A270520,지엔원에너지,20210625,4785
35,A270520,지엔원에너지,20210624,4740
36,A270520,지엔원에너지,20210623,4700
37,A270520,지엔원에너지,20210622,4800
38,A270520,지엔원에너지,20210621,4790
39,A270520,지엔원에너지,20210618,4815
40,A270520,지엔원에너지,20210617,4975
41,A270520,지엔원에너지,20210616,5210
42,A270520,지엔원에너지,20210615,4940
43,A270520,지엔원에너지,20210614,4750
44,A270520,지엔원에너지,20210611,4850
45,A270520,지엔원에너지,20210610,5000
46,A270520,지엔원에너지,20210609,5010
47,A270520,지엔원에너지,20210608,5010
48,A270520,지엔원에너지,20210607,4875
49,A270520,지엔원에너지,20210604,4755
50,A270520,지엔원에너지,20210603,4745
