,종목코드,종목명,날짜,종가
0,A035000,지투알,20210812,6470
1,A035000,지투알,20210811,6460
2,A035000,지투알,20210810,6570
3,A035000,지투알,20210809,6590
4,A035000,지투알,20210806,6590
5,A035000,지투알,20210805,6550
6,A035000,지투알,20210804,6550
7,A035000,지투알,20210803,6540
8,A035000,지투알,20210802,6570
9,A035000,지투알,20210730,6580
10,A035000,지투알,20210729,6610
11,A035000,지투알,20210728,6580
12,A035000,지투알,20210727,6620
13,A035000,지투알,20210726,6620
14,A035000,지투알,20210723,6670
15,A035000,지투알,20210722,6520
16,A035000,지투알,20210721,6520
17,A035000,지투알,20210720,6520
18,A035000,지투알,20210719,6630
19,A035000,지투알,20210716,6710
20,A035000,지투알,20210715,6720
21,A035000,지투알,20210714,6640
22,A035000,지투알,20210713,6710
23,A035000,지투알,20210712,6700
24,A035000,지투알,20210709,6700
25,A035000,지투알,20210708,6750
26,A035000,지투알,20210707,6870
27,A035000,지투알,20210706,6920
28,A035000,지투알,20210705,6890
29,A035000,지투알,20210702,6890
30,A035000,지투알,20210701,6930
31,A035000,지투알,20210630,6940
32,A035000,지투알,20210629,6900
33,A035000,지투알,20210628,6890
34,A035000,지투알,20210625,6830
35,A035000,지투알,20210624,6770
36,A035000,지투알,20210623,6810
37,A035000,지투알,20210622,6810
38,A035000,지투알,20210621,6850
39,A035000,지투알,20210618,6890
40,A035000,지투알,20210617,6830
41,A035000,지투알,20210616,6800
42,A035000,지투알,20210615,6920
43,A035000,지투알,20210614,7030
44,A035000,지투알,20210611,7060
45,A035000,지투알,20210610,6940
46,A035000,지투알,20210609,6920
47,A035000,지투알,20210608,6920
48,A035000,지투알,20210607,6880
49,A035000,지투알,20210604,6740
50,A035000,지투알,20210603,6770
51,A035000,지투알,20210602,6790
52,A035000,지투알,20210601,6770
53,A035000,지투알,20210531,6760
54,A035000,지투알,20210528,6650
55,A035000,지투알,20210527,6620
56,A035000,지투알,20210526,6640
57,A035000,지투알,20210525,6650
58,A035000,지투알,20210524,6650
59,A035000,지투알,20210521,6610
60,A035000,지투알,20210520,6760
61,A035000,지투알,20210518,6800
62,A035000,지투알,20210517,6580
63,A035000,지투알,20210514,6670
64,A035000,지투알,20210513,6630
65,A035000,지투알,20210512,6620
66,A035000,지투알,20210511,6840
67,A035000,지투알,20210510,6910
68,A035000,지투알,20210507,6830
69,A035000,지투알,20210506,6770
70,A035000,지투알,20210504,6760
71,A035000,지투알,20210503,6760
72,A035000,지투알,20210430,6870
73,A035000,지투알,20210429,6700
74,A035000,지투알,20210428,6410
75,A035000,지투알,20210427,6530
76,A035000,지투알,20210426,6480
77,A035000,지투알,20210423,6250
78,A035000,지투알,20210422,6240
79,A035000,지투알,20210421,6100
80,A035000,지투알,20210420,6150
81,A035000,지투알,20210419,6200
82,A035000,지투알,20210416,6250
83,A035000,지투알,20210415,6190
84,A035000,지투알,20210414,6200
85,A035000,지투알,20210413,6170
86,A035000,지투알,20210412,6160
87,A035000,지투알,20210409,6020
88,A035000,지투알,20210408,6040
89,A035000,지투알,20210407,6020
90,A035000,지투알,20210406,5950
91,A035000,지투알,20210405,5920
92,A035000,지투알,20210402,5900
93,A035000,지투알,20210401,5840
94,A035000,지투알,20210331,5770
95,A035000,지투알,20210330,5700
96,A035000,지투알,20210329,5670
97,A035000,지투알,20210326,5570
98,A035000,지투알,20210325,5520
99,A035000,지투알,20210324,5500
100,A035000,지투알,20210323,5510
101,A035000,지투알,20210322,5590
102,A035000,지투알,20210319,5670
103,A035000,지투알,20210318,5690
104,A035000,지투알,20210317,5610
105,A035000,지투알,20210316,5580
106,A035000,지투알,20210315,5540
107,A035000,지투알,20210312,5500
108,A035000,지투알,20210311,5290
109,A035000,지투알,20210310,5230
110,A035000,지투알,20210309,5240
111,A035000,지투알,20210308,5220
