,종목코드,종목명,날짜,종가
0,A219750,지티지웰니스,20210812,3975
1,A219750,지티지웰니스,20210811,3895
2,A219750,지티지웰니스,20210810,3855
3,A219750,지티지웰니스,20210809,3780
4,A219750,지티지웰니스,20210806,3910
5,A219750,지티지웰니스,20210805,4000
6,A219750,지티지웰니스,20210804,3985
7,A219750,지티지웰니스,20210803,3950
8,A219750,지티지웰니스,20210802,4120
9,A219750,지티지웰니스,20210730,4155
10,A219750,지티지웰니스,20210729,4295
11,A219750,지티지웰니스,20210728,4230
12,A219750,지티지웰니스,20210727,4230
13,A219750,지티지웰니스,20210726,4200
14,A219750,지티지웰니스,20210723,4210
15,A219750,지티지웰니스,20210722,4150
16,A219750,지티지웰니스,20210721,4330
17,A219750,지티지웰니스,20210720,4155
18,A219750,지티지웰니스,20210719,4155
19,A219750,지티지웰니스,20210716,4220
20,A219750,지티지웰니스,20210715,4245
21,A219750,지티지웰니스,20210714,4255
22,A219750,지티지웰니스,20210713,4265
23,A219750,지티지웰니스,20210712,4265
24,A219750,지티지웰니스,20210709,4195
25,A219750,지티지웰니스,20210708,4320
26,A219750,지티지웰니스,20210707,4575
27,A219750,지티지웰니스,20210706,4730
28,A219750,지티지웰니스,20210705,4730
29,A219750,지티지웰니스,20210702,4445
30,A219750,지티지웰니스,20210701,4340
31,A219750,지티지웰니스,20210630,4455
32,A219750,지티지웰니스,20210629,4480
33,A219750,지티지웰니스,20210628,4570
34,A219750,지티지웰니스,20210625,4535
35,A219750,지티지웰니스,20210624,4510
36,A219750,지티지웰니스,20210623,4560
37,A219750,지티지웰니스,20210622,4725
38,A219750,지티지웰니스,20210621,4925
39,A219750,지티지웰니스,20210618,4920
40,A219750,지티지웰니스,20210617,4795
41,A219750,지티지웰니스,20210616,4880
42,A219750,지티지웰니스,20210615,5030
43,A219750,지티지웰니스,20210614,5150
44,A219750,지티지웰니스,20210611,4955
45,A219750,지티지웰니스,20210610,4725
46,A219750,지티지웰니스,20210609,4230
47,A219750,지티지웰니스,20210608,4290
48,A219750,지티지웰니스,20210607,4510
49,A219750,지티지웰니스,20210604,4695
50,A219750,지티지웰니스,20210603,4610
51,A219750,지티지웰니스,20210602,4705
52,A219750,지티지웰니스,20210601,4760
53,A219750,지티지웰니스,20210531,4805
54,A219750,지티지웰니스,20210528,4820
55,A219750,지티지웰니스,20210527,4810
56,A219750,지티지웰니스,20210526,4905
57,A219750,지티지웰니스,20210525,4785
58,A219750,지티지웰니스,20210524,4770
59,A219750,지티지웰니스,20210521,5170
60,A219750,지티지웰니스,20210520,5330
61,A219750,지티지웰니스,20210518,5340
62,A219750,지티지웰니스,20210517,5460
63,A219750,지티지웰니스,20210514,5710
64,A219750,지티지웰니스,20210513,5950
65,A219750,지티지웰니스,20210512,5760
66,A219750,지티지웰니스,20210511,5900
67,A219750,지티지웰니스,20210510,5400
68,A219750,지티지웰니스,20210507,5160
69,A219750,지티지웰니스,20210506,5130
70,A219750,지티지웰니스,20210504,5100
71,A219750,지티지웰니스,20210503,5040
72,A219750,지티지웰니스,20210430,5220
73,A219750,지티지웰니스,20210429,5590
74,A219750,지티지웰니스,20210428,5850
75,A219750,지티지웰니스,20210427,5830
76,A219750,지티지웰니스,20210426,5850
77,A219750,지티지웰니스,20210423,5950
78,A219750,지티지웰니스,20210422,5800
79,A219750,지티지웰니스,20210421,5860
80,A219750,지티지웰니스,20210420,5980
81,A219750,지티지웰니스,20210419,5980
82,A219750,지티지웰니스,20210416,6230
83,A219750,지티지웰니스,20210415,6340
84,A219750,지티지웰니스,20210414,6150
85,A219750,지티지웰니스,20210413,6250
86,A219750,지티지웰니스,20210412,6160
87,A219750,지티지웰니스,20210409,6070
88,A219750,지티지웰니스,20210408,6020
89,A219750,지티지웰니스,20210407,5920
90,A219750,지티지웰니스,20210406,6040
91,A219750,지티지웰니스,20210405,5920
92,A219750,지티지웰니스,20210402,6050
93,A219750,지티지웰니스,20210401,6100
94,A219750,지티지웰니스,20210331,6080
95,A219750,지티지웰니스,20210330,6220
96,A219750,지티지웰니스,20210329,6040
97,A219750,지티지웰니스,20210326,6280
98,A219750,지티지웰니스,20210325,6100
99,A219750,지티지웰니스,20210324,6230
100,A219750,지티지웰니스,20210323,6200
101,A219750,지티지웰니스,20210322,5970
102,A219750,지티지웰니스,20210319,5780
103,A219750,지티지웰니스,20210318,6200
104,A219750,지티지웰니스,20210317,6100
105,A219750,지티지웰니스,20210316,6660
106,A219750,지티지웰니스,20210315,6920
107,A219750,지티지웰니스,20210312,7050
108,A219750,지티지웰니스,20210311,6980
109,A219750,지티지웰니스,20210310,6980
110,A219750,지티지웰니스,20210309,7010
111,A219750,지티지웰니스,20210308,7210
112,A219750,지티지웰니스,20210305,7550
113,A219750,지티지웰니스,20210304,7060
114,A219750,지티지웰니스,20210303,7280
115,A219750,지티지웰니스,20210302,7700
116,A219750,지티지웰니스,20210226,6720
117,A219750,지티지웰니스,20210225,7290
118,A219750,지티지웰니스,20210224,7700
119,A219750,지티지웰니스,20210223,8130
120,A219750,지티지웰니스,20210222,8120
121,A219750,지티지웰니스,20210219,8720
122,A219750,지티지웰니스,20210218,8680
123,A219750,지티지웰니스,20210217,8250
124,A219750,지티지웰니스,20210216,8410
125,A219750,지티지웰니스,20210215,8990
126,A219750,지티지웰니스,20210210,8050
127,A219750,지티지웰니스,20210209,7650
128,A219750,지티지웰니스,20210208,8700
129,A219750,지티지웰니스,20210205,9490
130,A219750,지티지웰니스,20210204,10350
131,A219750,지티지웰니스,20210203,10250
132,A219750,지티지웰니스,20210202,10650
133,A219750,지티지웰니스,20210201,10700
134,A219750,지티지웰니스,20210129,10750
135,A219750,지티지웰니스,20210128,10700
