,종목코드,종목명,날짜,종가
0,A088790,진도,20210812,4200
1,A088790,진도,20210811,4240
2,A088790,진도,20210810,4245
3,A088790,진도,20210809,4380
4,A088790,진도,20210806,4435
5,A088790,진도,20210805,4520
6,A088790,진도,20210804,4480
7,A088790,진도,20210803,4380
8,A088790,진도,20210802,4630
9,A088790,진도,20210730,4810
10,A088790,진도,20210729,4770
11,A088790,진도,20210728,4735
12,A088790,진도,20210727,4805
13,A088790,진도,20210726,4710
14,A088790,진도,20210723,4465
15,A088790,진도,20210722,4445
16,A088790,진도,20210721,4425
17,A088790,진도,20210720,4575
18,A088790,진도,20210719,4505
19,A088790,진도,20210716,4595
20,A088790,진도,20210715,4695
21,A088790,진도,20210714,4630
22,A088790,진도,20210713,4850
23,A088790,진도,20210712,4785
24,A088790,진도,20210709,4665
25,A088790,진도,20210708,4735
26,A088790,진도,20210707,4830
27,A088790,진도,20210706,4865
28,A088790,진도,20210705,4785
29,A088790,진도,20210702,4910
30,A088790,진도,20210701,5100
31,A088790,진도,20210630,5200
32,A088790,진도,20210629,5310
33,A088790,진도,20210628,5660
34,A088790,진도,20210625,5700
35,A088790,진도,20210624,5930
36,A088790,진도,20210623,5560
37,A088790,진도,20210622,5700
38,A088790,진도,20210621,5790
39,A088790,진도,20210618,6040
40,A088790,진도,20210617,6150
41,A088790,진도,20210616,6120
42,A088790,진도,20210615,5280
43,A088790,진도,20210614,5310
44,A088790,진도,20210611,5350
45,A088790,진도,20210610,5300
46,A088790,진도,20210609,5740
47,A088790,진도,20210608,5620
48,A088790,진도,20210607,5620
49,A088790,진도,20210604,5800
50,A088790,진도,20210603,5900
51,A088790,진도,20210602,5940
52,A088790,진도,20210601,5910
53,A088790,진도,20210531,5720
54,A088790,진도,20210528,5710
55,A088790,진도,20210527,5530
56,A088790,진도,20210526,5500
57,A088790,진도,20210525,5330
58,A088790,진도,20210524,5330
59,A088790,진도,20210521,5280
60,A088790,진도,20210520,5520
61,A088790,진도,20210518,5460
62,A088790,진도,20210517,5450
63,A088790,진도,20210514,5360
