,종목코드,종목명,날짜,종가
0,A010640,진양폴리,20210812,3875
1,A010640,진양폴리,20210811,3855
2,A010640,진양폴리,20210810,3970
3,A010640,진양폴리,20210809,4035
4,A010640,진양폴리,20210806,4030
5,A010640,진양폴리,20210805,4055
6,A010640,진양폴리,20210804,4040
7,A010640,진양폴리,20210803,3995
8,A010640,진양폴리,20210802,4025
9,A010640,진양폴리,20210730,3955
10,A010640,진양폴리,20210729,4000
11,A010640,진양폴리,20210728,3900
12,A010640,진양폴리,20210727,3850
13,A010640,진양폴리,20210726,3825
14,A010640,진양폴리,20210723,3940
15,A010640,진양폴리,20210722,3865
16,A010640,진양폴리,20210721,3905
17,A010640,진양폴리,20210720,3860
18,A010640,진양폴리,20210719,3925
19,A010640,진양폴리,20210716,4015
20,A010640,진양폴리,20210715,3995
21,A010640,진양폴리,20210714,4050
22,A010640,진양폴리,20210713,4080
23,A010640,진양폴리,20210712,4065
24,A010640,진양폴리,20210709,3900
25,A010640,진양폴리,20210708,3960
26,A010640,진양폴리,20210707,4145
27,A010640,진양폴리,20210706,4165
28,A010640,진양폴리,20210705,4180
29,A010640,진양폴리,20210702,4080
30,A010640,진양폴리,20210701,4150
31,A010640,진양폴리,20210630,4130
32,A010640,진양폴리,20210629,4130
33,A010640,진양폴리,20210628,4115
34,A010640,진양폴리,20210625,4075
35,A010640,진양폴리,20210624,4095
36,A010640,진양폴리,20210623,4085
37,A010640,진양폴리,20210622,4025
38,A010640,진양폴리,20210621,4030
39,A010640,진양폴리,20210618,4030
40,A010640,진양폴리,20210617,4080
41,A010640,진양폴리,20210616,4040
42,A010640,진양폴리,20210615,4090
43,A010640,진양폴리,20210614,4070
44,A010640,진양폴리,20210611,4000
45,A010640,진양폴리,20210610,4010
46,A010640,진양폴리,20210609,3970
47,A010640,진양폴리,20210608,3980
48,A010640,진양폴리,20210607,4030
49,A010640,진양폴리,20210604,3885
50,A010640,진양폴리,20210603,3875
51,A010640,진양폴리,20210602,3840
52,A010640,진양폴리,20210601,3840
53,A010640,진양폴리,20210531,3840
54,A010640,진양폴리,20210528,3830
55,A010640,진양폴리,20210527,3735
56,A010640,진양폴리,20210526,3755
57,A010640,진양폴리,20210525,3725
58,A010640,진양폴리,20210524,3670
59,A010640,진양폴리,20210521,3765
60,A010640,진양폴리,20210520,3785
61,A010640,진양폴리,20210518,3745
62,A010640,진양폴리,20210517,3700
