,종목코드,종목명,날짜,종가
0,A006380,카프로,20210812,4500
1,A006380,카프로,20210811,4575
2,A006380,카프로,20210810,4570
3,A006380,카프로,20210809,4660
4,A006380,카프로,20210806,4725
5,A006380,카프로,20210805,4745
6,A006380,카프로,20210804,4725
7,A006380,카프로,20210803,4700
8,A006380,카프로,20210802,4750
9,A006380,카프로,20210730,4710
10,A006380,카프로,20210729,4650
11,A006380,카프로,20210728,4655
12,A006380,카프로,20210727,4680
13,A006380,카프로,20210726,4650
14,A006380,카프로,20210723,4735
15,A006380,카프로,20210722,4735
16,A006380,카프로,20210721,4720
17,A006380,카프로,20210720,4805
18,A006380,카프로,20210719,4890
19,A006380,카프로,20210716,5000
20,A006380,카프로,20210715,4970
21,A006380,카프로,20210714,4980
22,A006380,카프로,20210713,4920
23,A006380,카프로,20210712,4895
24,A006380,카프로,20210709,4800
25,A006380,카프로,20210708,5030
26,A006380,카프로,20210707,5200
27,A006380,카프로,20210706,5350
28,A006380,카프로,20210705,5330
29,A006380,카프로,20210702,5450
30,A006380,카프로,20210701,5050
31,A006380,카프로,20210630,4975
32,A006380,카프로,20210629,4995
33,A006380,카프로,20210628,5060
34,A006380,카프로,20210625,5040
35,A006380,카프로,20210624,4995
36,A006380,카프로,20210623,4945
37,A006380,카프로,20210622,5050
38,A006380,카프로,20210621,5100
39,A006380,카프로,20210618,5000
40,A006380,카프로,20210617,4955
41,A006380,카프로,20210616,4960
42,A006380,카프로,20210615,4695
43,A006380,카프로,20210614,4680
44,A006380,카프로,20210611,4640
45,A006380,카프로,20210610,4530
46,A006380,카프로,20210609,4530
47,A006380,카프로,20210608,4645
48,A006380,카프로,20210607,4775
49,A006380,카프로,20210604,4775
50,A006380,카프로,20210603,4780
51,A006380,카프로,20210602,4695
52,A006380,카프로,20210601,4610
53,A006380,카프로,20210531,4590
54,A006380,카프로,20210528,4625
55,A006380,카프로,20210527,4455
56,A006380,카프로,20210526,4515
57,A006380,카프로,20210525,4560
58,A006380,카프로,20210524,4455
59,A006380,카프로,20210521,4555
60,A006380,카프로,20210520,4630
61,A006380,카프로,20210518,4790
62,A006380,카프로,20210517,4800
63,A006380,카프로,20210514,4860
64,A006380,카프로,20210513,5050
65,A006380,카프로,20210512,5080
66,A006380,카프로,20210511,5390
67,A006380,카프로,20210510,5410
68,A006380,카프로,20210507,5290
69,A006380,카프로,20210506,5420
70,A006380,카프로,20210504,5200
71,A006380,카프로,20210503,4980
72,A006380,카프로,20210430,5100
73,A006380,카프로,20210429,5270
74,A006380,카프로,20210428,4795
75,A006380,카프로,20210427,4935
76,A006380,카프로,20210426,5020
77,A006380,카프로,20210423,4995
78,A006380,카프로,20210422,5010
79,A006380,카프로,20210421,4910
80,A006380,카프로,20210420,4250
81,A006380,카프로,20210419,3915
82,A006380,카프로,20210416,3895
83,A006380,카프로,20210415,3825
84,A006380,카프로,20210414,3745
85,A006380,카프로,20210413,3710
86,A006380,카프로,20210412,3755
87,A006380,카프로,20210409,3790
88,A006380,카프로,20210408,3800
