,а╬╦Ядз╣Е,а╬╦Я╦М,Ё╞б╔,а╬╟║
0,A263700,ди╬Н╥╕╫╨,20210812,9680
1,A263700,ди╬Н╥╕╫╨,20210811,9650
2,A263700,ди╬Н╥╕╫╨,20210810,9640
3,A263700,ди╬Н╥╕╫╨,20210809,9720
4,A263700,ди╬Н╥╕╫╨,20210806,9830
5,A263700,ди╬Н╥╕╫╨,20210805,9910
6,A263700,ди╬Н╥╕╫╨,20210804,9830
7,A263700,ди╬Н╥╕╫╨,20210803,9660
8,A263700,ди╬Н╥╕╫╨,20210802,9960
9,A263700,ди╬Н╥╕╫╨,20210730,9990
10,A263700,ди╬Н╥╕╫╨,20210729,9980
11,A263700,ди╬Н╥╕╫╨,20210728,9980
12,A263700,ди╬Н╥╕╫╨,20210727,10050
13,A263700,ди╬Н╥╕╫╨,20210726,10000
14,A263700,ди╬Н╥╕╫╨,20210723,10300
15,A263700,ди╬Н╥╕╫╨,20210722,10300
16,A263700,ди╬Н╥╕╫╨,20210721,10400
17,A263700,ди╬Н╥╕╫╨,20210720,10350
18,A263700,ди╬Н╥╕╫╨,20210719,10400
19,A263700,ди╬Н╥╕╫╨,20210716,10300
20,A263700,ди╬Н╥╕╫╨,20210715,10450
21,A263700,ди╬Н╥╕╫╨,20210714,10600
22,A263700,ди╬Н╥╕╫╨,20210713,10750
23,A263700,ди╬Н╥╕╫╨,20210712,10800
24,A263700,ди╬Н╥╕╫╨,20210709,10500
25,A263700,ди╬Н╥╕╫╨,20210708,10450
26,A263700,ди╬Н╥╕╫╨,20210707,10250
27,A263700,ди╬Н╥╕╫╨,20210706,10150
28,A263700,ди╬Н╥╕╫╨,20210705,10200
29,A263700,ди╬Н╥╕╫╨,20210702,10200
30,A263700,ди╬Н╥╕╫╨,20210701,10300
31,A263700,ди╬Н╥╕╫╨,20210630,10250
32,A263700,ди╬Н╥╕╫╨,20210629,10100
33,A263700,ди╬Н╥╕╫╨,20210628,10050
34,A263700,ди╬Н╥╕╫╨,20210625,9990
35,A263700,ди╬Н╥╕╫╨,20210624,10050
36,A263700,ди╬Н╥╕╫╨,20210623,10300
37,A263700,ди╬Н╥╕╫╨,20210622,10750
38,A263700,ди╬Н╥╕╫╨,20210621,10750
39,A263700,ди╬Н╥╕╫╨,20210618,10700
40,A263700,ди╬Н╥╕╫╨,20210617,10800
41,A263700,ди╬Н╥╕╫╨,20210616,10950
42,A263700,ди╬Н╥╕╫╨,20210615,10650
43,A263700,ди╬Н╥╕╫╨,20210614,10600
44,A263700,ди╬Н╥╕╫╨,20210611,10550
45,A263700,ди╬Н╥╕╫╨,20210610,10550
46,A263700,ди╬Н╥╕╫╨,20210609,10600
47,A263700,ди╬Н╥╕╫╨,20210608,10500
48,A263700,ди╬Н╥╕╫╨,20210607,10950
49,A263700,ди╬Н╥╕╫╨,20210604,10800
50,A263700,ди╬Н╥╕╫╨,20210603,10400
51,A263700,ди╬Н╥╕╫╨,20210602,10700
52,A263700,ди╬Н╥╕╫╨,20210601,10200
53,A263700,ди╬Н╥╕╫╨,20210531,10300
54,A263700,ди╬Н╥╕╫╨,20210528,10050
55,A263700,ди╬Н╥╕╫╨,20210527,10200
56,A263700,ди╬Н╥╕╫╨,20210526,10200
57,A263700,ди╬Н╥╕╫╨,20210525,10050
58,A263700,ди╬Н╥╕╫╨,20210524,10150
59,A263700,ди╬Н╥╕╫╨,20210521,9790
60,A263700,ди╬Н╥╕╫╨,20210520,9870
61,A263700,ди╬Н╥╕╫╨,20210518,9650
62,A263700,ди╬Н╥╕╫╨,20210517,9610
63,A263700,ди╬Н╥╕╫╨,20210514,9240
