,종목코드,종목명,날짜,종가
0,A330990,케이비제19호스팩,20210812,2215
1,A330990,케이비제19호스팩,20210811,2225
2,A330990,케이비제19호스팩,20210810,2245
3,A330990,케이비제19호스팩,20210809,2260
4,A330990,케이비제19호스팩,20210806,2260
5,A330990,케이비제19호스팩,20210805,2235
6,A330990,케이비제19호스팩,20210804,2250
7,A330990,케이비제19호스팩,20210803,2215
8,A330990,케이비제19호스팩,20210802,2210
9,A330990,케이비제19호스팩,20210730,2200
10,A330990,케이비제19호스팩,20210729,2200
11,A330990,케이비제19호스팩,20210728,2200
12,A330990,케이비제19호스팩,20210727,2210
13,A330990,케이비제19호스팩,20210726,2215
14,A330990,케이비제19호스팩,20210723,2215
15,A330990,케이비제19호스팩,20210722,2215
16,A330990,케이비제19호스팩,20210721,2230
17,A330990,케이비제19호스팩,20210720,2210
18,A330990,케이비제19호스팩,20210719,2210
19,A330990,케이비제19호스팩,20210716,2210
20,A330990,케이비제19호스팩,20210715,2195
21,A330990,케이비제19호스팩,20210714,2190
22,A330990,케이비제19호스팩,20210713,2190
23,A330990,케이비제19호스팩,20210712,2170
24,A330990,케이비제19호스팩,20210709,2165
25,A330990,케이비제19호스팩,20210708,2180
26,A330990,케이비제19호스팩,20210707,2175
27,A330990,케이비제19호스팩,20210706,2170
28,A330990,케이비제19호스팩,20210705,2155
29,A330990,케이비제19호스팩,20210702,2135
30,A330990,케이비제19호스팩,20210701,2120
31,A330990,케이비제19호스팩,20210630,2115
32,A330990,케이비제19호스팩,20210629,2130
33,A330990,케이비제19호스팩,20210628,2120
34,A330990,케이비제19호스팩,20210625,2125
35,A330990,케이비제19호스팩,20210624,2120
36,A330990,케이비제19호스팩,20210623,2110
37,A330990,케이비제19호스팩,20210622,2130
38,A330990,케이비제19호스팩,20210621,2135
39,A330990,케이비제19호스팩,20210618,2150
40,A330990,케이비제19호스팩,20210617,2120
41,A330990,케이비제19호스팩,20210616,2110
42,A330990,케이비제19호스팩,20210615,2120
43,A330990,케이비제19호스팩,20210614,2120
44,A330990,케이비제19호스팩,20210611,2120
45,A330990,케이비제19호스팩,20210610,2100
46,A330990,케이비제19호스팩,20210609,2115
47,A330990,케이비제19호스팩,20210608,2100
48,A330990,케이비제19호스팩,20210607,2105
49,A330990,케이비제19호스팩,20210604,2100
50,A330990,케이비제19호스팩,20210603,2140
51,A330990,케이비제19호스팩,20210602,2140
52,A330990,케이비제19호스팩,20210601,2185
53,A330990,케이비제19호스팩,20210531,2595
54,A330990,케이비제19호스팩,20210528,2195
55,A330990,케이비제19호스팩,20210527,2185
56,A330990,케이비제19호스팩,20210526,2130
57,A330990,케이비제19호스팩,20210525,2135
58,A330990,케이비제19호스팩,20210524,2115
59,A330990,케이비제19호스팩,20210521,2115
60,A330990,케이비제19호스팩,20210520,2110
61,A330990,케이비제19호스팩,20210518,2110
62,A330990,케이비제19호스팩,20210517,2130
63,A330990,케이비제19호스팩,20210514,2130
64,A330990,케이비제19호스팩,20210513,2115
65,A330990,케이비제19호스팩,20210512,2080
66,A330990,케이비제19호스팩,20210511,2075
67,A330990,케이비제19호스팩,20210510,2110
68,A330990,케이비제19호스팩,20210507,2115
69,A330990,케이비제19호스팩,20210506,2115
70,A330990,케이비제19호스팩,20210504,2135
71,A330990,케이비제19호스팩,20210503,2125
72,A330990,케이비제19호스팩,20210430,2115
73,A330990,케이비제19호스팩,20210429,2110
74,A330990,케이비제19호스팩,20210428,2110
75,A330990,케이비제19호스팩,20210427,2125
76,A330990,케이비제19호스팩,20210426,2115
77,A330990,케이비제19호스팩,20210423,2110
78,A330990,케이비제19호스팩,20210422,2110
79,A330990,케이비제19호스팩,20210421,2110
80,A330990,케이비제19호스팩,20210420,2125
81,A330990,케이비제19호스팩,20210419,2125
82,A330990,케이비제19호스팩,20210416,2115
83,A330990,케이비제19호스팩,20210415,2100
84,A330990,케이비제19호스팩,20210414,2100
85,A330990,케이비제19호스팩,20210413,2100
86,A330990,케이비제19호스팩,20210412,2100
87,A330990,케이비제19호스팩,20210409,2100
88,A330990,케이비제19호스팩,20210408,2100
89,A330990,케이비제19호스팩,20210407,2090
90,A330990,케이비제19호스팩,20210406,2090
91,A330990,케이비제19호스팩,20210405,2090
92,A330990,케이비제19호스팩,20210402,2090
93,A330990,케이비제19호스팩,20210401,2090
94,A330990,케이비제19호스팩,20210331,2090
95,A330990,케이비제19호스팩,20210330,2090
96,A330990,케이비제19호스팩,20210329,2090
97,A330990,케이비제19호스팩,20210326,2080
98,A330990,케이비제19호스팩,20210325,2080
99,A330990,케이비제19호스팩,20210324,2085
100,A330990,케이비제19호스팩,20210323,2080
101,A330990,케이비제19호스팩,20210322,2080
102,A330990,케이비제19호스팩,20210319,2085
103,A330990,케이비제19호스팩,20210318,2090
104,A330990,케이비제19호스팩,20210317,2095
105,A330990,케이비제19호스팩,20210316,2085
106,A330990,케이비제19호스팩,20210315,2085
107,A330990,케이비제19호스팩,20210312,2080
108,A330990,케이비제19호스팩,20210311,2075
109,A330990,케이비제19호스팩,20210310,2085
110,A330990,케이비제19호스팩,20210309,2080
111,A330990,케이비제19호스팩,20210308,2080
112,A330990,케이비제19호스팩,20210305,2085
113,A330990,케이비제19호스팩,20210304,2090
114,A330990,케이비제19호스팩,20210303,2085
115,A330990,케이비제19호스팩,20210302,2085
116,A330990,케이비제19호스팩,20210226,2075
117,A330990,케이비제19호스팩,20210225,2070
118,A330990,케이비제19호스팩,20210224,2075
119,A330990,케이비제19호스팩,20210223,2080
120,A330990,케이비제19호스팩,20210222,2075
121,A330990,케이비제19호스팩,20210219,2080
122,A330990,케이비제19호스팩,20210218,2085
123,A330990,케이비제19호스팩,20210217,2080
124,A330990,케이비제19호스팩,20210216,2080
125,A330990,케이비제19호스팩,20210215,2080
126,A330990,케이비제19호스팩,20210210,2085
127,A330990,케이비제19호스팩,20210209,2085
128,A330990,케이비제19호스팩,20210208,2090
129,A330990,케이비제19호스팩,20210205,2080
130,A330990,케이비제19호스팩,20210204,2080
131,A330990,케이비제19호스팩,20210203,2075
132,A330990,케이비제19호스팩,20210202,2070
133,A330990,케이비제19호스팩,20210201,2075
134,A330990,케이비제19호스팩,20210129,2075
135,A330990,케이비제19호스팩,20210128,2075
136,A330990,케이비제19호스팩,20210127,2075
137,A330990,케이비제19호스팩,20210126,2070
138,A330990,케이비제19호스팩,20210125,2070
139,A330990,케이비제19호스팩,20210122,2065
140,A330990,케이비제19호스팩,20210121,2060
141,A330990,케이비제19호스팩,20210120,2065
142,A330990,케이비제19호스팩,20210119,2060
143,A330990,케이비제19호스팩,20210118,2065
144,A330990,케이비제19호스팩,20210115,2065
145,A330990,케이비제19호스팩,20210114,2065
146,A330990,케이비제19호스팩,20210113,2065
147,A330990,케이비제19호스팩,20210112,2060
148,A330990,케이비제19호스팩,20210111,2060
149,A330990,케이비제19호스팩,20210108,2065
150,A330990,케이비제19호스팩,20210107,2065
151,A330990,케이비제19호스팩,20210106,2050
152,A330990,케이비제19호스팩,20210105,2055
153,A330990,케이비제19호스팩,20210104,2040
154,A330990,케이비제19호스팩,20201230,2045
155,A330990,케이비제19호스팩,20201229,2045
156,A330990,케이비제19호스팩,20201228,2050
157,A330990,케이비제19호스팩,20201224,2050
158,A330990,케이비제19호스팩,20201223,2050
159,A330990,케이비제19호스팩,20201222,2045
160,A330990,케이비제19호스팩,20201221,2040
161,A330990,케이비제19호스팩,20201218,2035
162,A330990,케이비제19호스팩,20201217,2050
163,A330990,케이비제19호스팩,20201216,2045
164,A330990,케이비제19호스팩,20201215,2035
165,A330990,케이비제19호스팩,20201214,2030
166,A330990,케이비제19호스팩,20201211,2020
167,A330990,케이비제19호스팩,20201210,2020
168,A330990,케이비제19호스팩,20201209,2020
169,A330990,케이비제19호스팩,20201208,2025
170,A330990,케이비제19호스팩,20201207,2025
171,A330990,케이비제19호스팩,20201204,2010
172,A330990,케이비제19호스팩,20201203,2015
173,A330990,케이비제19호스팩,20201202,2015
174,A330990,케이비제19호스팩,20201201,2020
175,A330990,케이비제19호스팩,20201130,2020
176,A330990,케이비제19호스팩,20201127,2015
177,A330990,케이비제19호스팩,20201126,2015
178,A330990,케이비제19호스팩,20201125,2015
179,A330990,케이비제19호스팩,20201124,2015
180,A330990,케이비제19호스팩,20201123,2020
181,A330990,케이비제19호스팩,20201120,2010
182,A330990,케이비제19호스팩,20201119,2010
183,A330990,케이비제19호스팩,20201118,2010
184,A330990,케이비제19호스팩,20201117,2010
185,A330990,케이비제19호스팩,20201116,2015
186,A330990,케이비제19호스팩,20201113,2015
187,A330990,케이비제19호스팩,20201112,2015
188,A330990,케이비제19호스팩,20201111,2020
189,A330990,케이비제19호스팩,20201110,2020
190,A330990,케이비제19호스팩,20201109,2010
191,A330990,케이비제19호스팩,20201106,2005
192,A330990,케이비제19호스팩,20201105,2005
193,A330990,케이비제19호스팩,20201104,2000
194,A330990,케이비제19호스팩,20201103,2005
195,A330990,케이비제19호스팩,20201102,2010
196,A330990,케이비제19호스팩,20201030,2010
197,A330990,케이비제19호스팩,20201029,2010
198,A330990,케이비제19호스팩,20201028,2005
199,A330990,케이비제19호스팩,20201027,2020
200,A330990,케이비제19호스팩,20201026,2020
201,A330990,케이비제19호스팩,20201023,2020
202,A330990,케이비제19호스팩,20201022,2020
203,A330990,케이비제19호스팩,20201021,2020
204,A330990,케이비제19호스팩,20201020,2015
205,A330990,케이비제19호스팩,20201019,2020
206,A330990,케이비제19호스팩,20201016,2020
207,A330990,케이비제19호스팩,20201015,2020
208,A330990,케이비제19호스팩,20201014,2020
209,A330990,케이비제19호스팩,20201013,2015
210,A330990,케이비제19호스팩,20201012,2000
211,A330990,케이비제19호스팩,20201008,2000
212,A330990,케이비제19호스팩,20201007,2005
213,A330990,케이비제19호스팩,20201006,2010
214,A330990,케이비제19호스팩,20201005,2010
215,A330990,케이비제19호스팩,20200929,2010
216,A330990,케이비제19호스팩,20200928,2005
217,A330990,케이비제19호스팩,20200925,2000
218,A330990,케이비제19호스팩,20200924,2010
219,A330990,케이비제19호스팩,20200923,2015
220,A330990,케이비제19호스팩,20200922,2005
221,A330990,케이비제19호스팩,20200921,2010
222,A330990,케이비제19호스팩,20200918,2010
223,A330990,케이비제19호스팩,20200917,2010
224,A330990,케이비제19호스팩,20200916,2015
225,A330990,케이비제19호스팩,20200915,2015
226,A330990,케이비제19호스팩,20200914,2010
227,A330990,케이비제19호스팩,20200911,2000
228,A330990,케이비제19호스팩,20200910,2015
229,A330990,케이비제19호스팩,20200909,2000
230,A330990,케이비제19호스팩,20200908,2010
231,A330990,케이비제19호스팩,20200907,2015
232,A330990,케이비제19호스팩,20200904,2010
233,A330990,케이비제19호스팩,20200903,2005
234,A330990,케이비제19호스팩,20200902,1995
235,A330990,케이비제19호스팩,20200901,2000
236,A330990,케이비제19호스팩,20200831,2000
237,A330990,케이비제19호스팩,20200828,1995
238,A330990,케이비제19호스팩,20200827,2000
239,A330990,케이비제19호스팩,20200826,2000
240,A330990,케이비제19호스팩,20200825,2000
241,A330990,케이비제19호스팩,20200824,1995
242,A330990,케이비제19호스팩,20200821,2010
243,A330990,케이비제19호스팩,20200820,2015
244,A330990,케이비제19호스팩,20200819,2015
245,A330990,케이비제19호스팩,20200818,2020
246,A330990,케이비제19호스팩,20200814,2020
247,A330990,케이비제19호스팩,20200813,2020
248,A330990,케이비제19호스팩,20200812,2010
249,A330990,케이비제19호스팩,20200811,2020
250,A330990,케이비제19호스팩,20200810,2025
251,A330990,케이비제19호스팩,20200807,2020
252,A330990,케이비제19호스팩,20200806,2005
253,A330990,케이비제19호스팩,20200805,2000
254,A330990,케이비제19호스팩,20200804,2015
255,A330990,케이비제19호스팩,20200803,2020
256,A330990,케이비제19호스팩,20200731,2025
257,A330990,케이비제19호스팩,20200730,2025
258,A330990,케이비제19호스팩,20200729,2025
259,A330990,케이비제19호스팩,20200728,2025
260,A330990,케이비제19호스팩,20200727,2025
261,A330990,케이비제19호스팩,20200724,2020
262,A330990,케이비제19호스팩,20200723,2025
263,A330990,케이비제19호스팩,20200722,2025
264,A330990,케이비제19호스팩,20200721,2010
265,A330990,케이비제19호스팩,20200720,2025
266,A330990,케이비제19호스팩,20200717,2025
267,A330990,케이비제19호스팩,20200716,2030
268,A330990,케이비제19호스팩,20200715,2030
269,A330990,케이비제19호스팩,20200714,2025
270,A330990,케이비제19호스팩,20200713,2025
271,A330990,케이비제19호스팩,20200710,2025
272,A330990,케이비제19호스팩,20200709,2015
273,A330990,케이비제19호스팩,20200708,2025
274,A330990,케이비제19호스팩,20200707,2010
275,A330990,케이비제19호스팩,20200706,2010
276,A330990,케이비제19호스팩,20200703,2030
277,A330990,케이비제19호스팩,20200702,2020
278,A330990,케이비제19호스팩,20200701,2020
279,A330990,케이비제19호스팩,20200630,2020
280,A330990,케이비제19호스팩,20200629,2005
281,A330990,케이비제19호스팩,20200626,2015
282,A330990,케이비제19호스팩,20200625,2015
283,A330990,케이비제19호스팩,20200624,2020
284,A330990,케이비제19호스팩,20200623,2010
285,A330990,케이비제19호스팩,20200622,2010
286,A330990,케이비제19호스팩,20200619,2020
287,A330990,케이비제19호스팩,20200618,2025
288,A330990,케이비제19호스팩,20200617,2020
289,A330990,케이비제19호스팩,20200616,2030
290,A330990,케이비제19호스팩,20200615,2020
291,A330990,케이비제19호스팩,20200612,2020
292,A330990,케이비제19호스팩,20200611,2020
293,A330990,케이비제19호스팩,20200610,2005
294,A330990,케이비제19호스팩,20200609,2025
295,A330990,케이비제19호스팩,20200608,2020
296,A330990,케이비제19호스팩,20200605,2010
297,A330990,케이비제19호스팩,20200604,2010
298,A330990,케이비제19호스팩,20200603,2015
299,A330990,케이비제19호스팩,20200602,2015
300,A330990,케이비제19호스팩,20200601,2015
301,A330990,케이비제19호스팩,20200529,2010
302,A330990,케이비제19호스팩,20200528,2010
303,A330990,케이비제19호스팩,20200527,2015
304,A330990,케이비제19호스팩,20200526,2015
305,A330990,케이비제19호스팩,20200525,2010
306,A330990,케이비제19호스팩,20200522,2020
307,A330990,케이비제19호스팩,20200521,2015
308,A330990,케이비제19호스팩,20200520,2015
309,A330990,케이비제19호스팩,20200519,2015
310,A330990,케이비제19호스팩,20200518,2010
311,A330990,케이비제19호스팩,20200515,2010
312,A330990,케이비제19호스팩,20200514,2025
313,A330990,케이비제19호스팩,20200513,2020
314,A330990,케이비제19호스팩,20200512,2020
315,A330990,케이비제19호스팩,20200511,2020
316,A330990,케이비제19호스팩,20200508,2010
317,A330990,케이비제19호스팩,20200507,2000
