,종목코드,종목명,날짜,종가
0,A105330,케이엔더블유,20210812,9200
1,A105330,케이엔더블유,20210811,9130
2,A105330,케이엔더블유,20210810,9350
3,A105330,케이엔더블유,20210809,9370
4,A105330,케이엔더블유,20210806,9370
5,A105330,케이엔더블유,20210805,9390
6,A105330,케이엔더블유,20210804,9410
7,A105330,케이엔더블유,20210803,9340
8,A105330,케이엔더블유,20210802,9340
9,A105330,케이엔더블유,20210730,9330
10,A105330,케이엔더블유,20210729,9400
11,A105330,케이엔더블유,20210728,9250
12,A105330,케이엔더블유,20210727,9450
13,A105330,케이엔더블유,20210726,9490
14,A105330,케이엔더블유,20210723,9640
15,A105330,케이엔더블유,20210722,9570
16,A105330,케이엔더블유,20210721,9340
17,A105330,케이엔더블유,20210720,9550
18,A105330,케이엔더블유,20210719,9660
19,A105330,케이엔더블유,20210716,9690
20,A105330,케이엔더블유,20210715,9520
21,A105330,케이엔더블유,20210714,9580
22,A105330,케이엔더블유,20210713,9400
23,A105330,케이엔더블유,20210712,9230
24,A105330,케이엔더블유,20210709,9400
25,A105330,케이엔더블유,20210708,9360
26,A105330,케이엔더블유,20210707,9430
27,A105330,케이엔더블유,20210706,9530
28,A105330,케이엔더블유,20210705,9390
29,A105330,케이엔더블유,20210702,8980
30,A105330,케이엔더블유,20210701,9160
31,A105330,케이엔더블유,20210630,9130
32,A105330,케이엔더블유,20210629,9230
33,A105330,케이엔더블유,20210628,9100
34,A105330,케이엔더블유,20210625,9390
35,A105330,케이엔더블유,20210624,9470
36,A105330,케이엔더블유,20210623,9650
37,A105330,케이엔더블유,20210622,9930
38,A105330,케이엔더블유,20210621,9950
39,A105330,케이엔더블유,20210618,10050
40,A105330,케이엔더블유,20210617,9950
41,A105330,케이엔더블유,20210616,9970
42,A105330,케이엔더블유,20210615,10000
43,A105330,케이엔더블유,20210614,9530
44,A105330,케이엔더블유,20210611,9540
45,A105330,케이엔더블유,20210610,9680
46,A105330,케이엔더블유,20210609,9450
47,A105330,케이엔더블유,20210608,9360
48,A105330,케이엔더블유,20210607,9370
49,A105330,케이엔더블유,20210604,8810
50,A105330,케이엔더블유,20210603,8790
