,종목코드,종목명,날짜,종가
0,A347140,케이프이에스제4호,20210812,2310
1,A347140,케이프이에스제4호,20210811,2310
2,A347140,케이프이에스제4호,20210810,2300
3,A347140,케이프이에스제4호,20210809,2340
4,A347140,케이프이에스제4호,20210806,2340
5,A347140,케이프이에스제4호,20210805,2305
6,A347140,케이프이에스제4호,20210804,2380
7,A347140,케이프이에스제4호,20210803,2370
8,A347140,케이프이에스제4호,20210802,2445
9,A347140,케이프이에스제4호,20210730,2425
10,A347140,케이프이에스제4호,20210729,2440
11,A347140,케이프이에스제4호,20210728,2290
12,A347140,케이프이에스제4호,20210727,2215
13,A347140,케이프이에스제4호,20210726,2215
14,A347140,케이프이에스제4호,20210723,2230
15,A347140,케이프이에스제4호,20210722,2235
16,A347140,케이프이에스제4호,20210721,2230
17,A347140,케이프이에스제4호,20210720,2260
18,A347140,케이프이에스제4호,20210719,2235
19,A347140,케이프이에스제4호,20210716,2220
20,A347140,케이프이에스제4호,20210715,2230
21,A347140,케이프이에스제4호,20210714,2240
22,A347140,케이프이에스제4호,20210713,2240
23,A347140,케이프이에스제4호,20210712,2210
24,A347140,케이프이에스제4호,20210709,2200
25,A347140,케이프이에스제4호,20210708,2210
26,A347140,케이프이에스제4호,20210707,2205
27,A347140,케이프이에스제4호,20210706,2185
28,A347140,케이프이에스제4호,20210705,2245
29,A347140,케이프이에스제4호,20210702,2190
30,A347140,케이프이에스제4호,20210701,2190
31,A347140,케이프이에스제4호,20210630,2170
32,A347140,케이프이에스제4호,20210629,2195
33,A347140,케이프이에스제4호,20210628,2195
34,A347140,케이프이에스제4호,20210625,2185
35,A347140,케이프이에스제4호,20210624,2220
36,A347140,케이프이에스제4호,20210623,2195
37,A347140,케이프이에스제4호,20210622,2250
38,A347140,케이프이에스제4호,20210621,2345
39,A347140,케이프이에스제4호,20210618,2350
40,A347140,케이프이에스제4호,20210617,2295
41,A347140,케이프이에스제4호,20210616,2285
42,A347140,케이프이에스제4호,20210615,2260
43,A347140,케이프이에스제4호,20210614,2300
44,A347140,케이프이에스제4호,20210611,2245
45,A347140,케이프이에스제4호,20210610,2260
46,A347140,케이프이에스제4호,20210609,2265
47,A347140,케이프이에스제4호,20210608,2245
48,A347140,케이프이에스제4호,20210607,2255
49,A347140,케이프이에스제4호,20210604,2255
50,A347140,케이프이에스제4호,20210603,2315
51,A347140,케이프이에스제4호,20210602,2280
52,A347140,케이프이에스제4호,20210601,2420
53,A347140,케이프이에스제4호,20210531,2805
54,A347140,케이프이에스제4호,20210528,2450
55,A347140,케이프이에스제4호,20210527,2560
56,A347140,케이프이에스제4호,20210526,2465
57,A347140,케이프이에스제4호,20210525,2300
58,A347140,케이프이에스제4호,20210524,2330
59,A347140,케이프이에스제4호,20210521,2225
60,A347140,케이프이에스제4호,20210520,2195
61,A347140,케이프이에스제4호,20210518,2235
62,A347140,케이프이에스제4호,20210517,2230
63,A347140,케이프이에스제4호,20210514,2255
64,A347140,케이프이에스제4호,20210513,2260
65,A347140,케이프이에스제4호,20210512,2225
66,A347140,케이프이에스제4호,20210511,2230
67,A347140,케이프이에스제4호,20210510,2225
68,A347140,케이프이에스제4호,20210507,2255
69,A347140,케이프이에스제4호,20210506,2265
70,A347140,케이프이에스제4호,20210504,2255
71,A347140,케이프이에스제4호,20210503,2430
72,A347140,케이프이에스제4호,20210430,2550
73,A347140,케이프이에스제4호,20210429,2375
74,A347140,케이프이에스제4호,20210428,2525
75,A347140,케이프이에스제4호,20210427,2905
76,A347140,케이프이에스제4호,20210426,2235
77,A347140,케이프이에스제4호,20210423,2145
78,A347140,케이프이에스제4호,20210422,2070
79,A347140,케이프이에스제4호,20210421,2075
80,A347140,케이프이에스제4호,20210420,2075
81,A347140,케이프이에스제4호,20210419,2080
82,A347140,케이프이에스제4호,20210416,2080
83,A347140,케이프이에스제4호,20210415,2080
