,종목코드,종목명,날짜,종가
0,A256940,케이피에스,20210812,16000
1,A256940,케이피에스,20210811,16050
2,A256940,케이피에스,20210810,16350
3,A256940,케이피에스,20210809,16150
4,A256940,케이피에스,20210806,16350
5,A256940,케이피에스,20210805,16050
6,A256940,케이피에스,20210804,15900
7,A256940,케이피에스,20210803,16100
8,A256940,케이피에스,20210802,16350
9,A256940,케이피에스,20210730,16500
10,A256940,케이피에스,20210729,16300
11,A256940,케이피에스,20210728,16600
12,A256940,케이피에스,20210727,17050
13,A256940,케이피에스,20210726,15950
14,A256940,케이피에스,20210723,15700
15,A256940,케이피에스,20210722,15700
16,A256940,케이피에스,20210721,15900
17,A256940,케이피에스,20210720,15900
18,A256940,케이피에스,20210719,16400
19,A256940,케이피에스,20210716,16650
20,A256940,케이피에스,20210715,16600
21,A256940,케이피에스,20210714,16550
22,A256940,케이피에스,20210713,16850
23,A256940,케이피에스,20210712,16600
24,A256940,케이피에스,20210709,16500
25,A256940,케이피에스,20210708,16950
26,A256940,케이피에스,20210707,17700
27,A256940,케이피에스,20210706,17750
28,A256940,케이피에스,20210705,17800
29,A256940,케이피에스,20210702,17150
30,A256940,케이피에스,20210701,17500
31,A256940,케이피에스,20210630,17600
32,A256940,케이피에스,20210629,17400
33,A256940,케이피에스,20210628,17350
34,A256940,케이피에스,20210625,17700
35,A256940,케이피에스,20210624,18300
36,A256940,케이피에스,20210623,18650
37,A256940,케이피에스,20210622,18950
38,A256940,케이피에스,20210621,18400
39,A256940,케이피에스,20210618,18300
40,A256940,케이피에스,20210617,17400
41,A256940,케이피에스,20210616,17250
42,A256940,케이피에스,20210615,16950
43,A256940,케이피에스,20210614,17500
44,A256940,케이피에스,20210611,17500
45,A256940,케이피에스,20210610,17350
46,A256940,케이피에스,20210609,17250
47,A256940,케이피에스,20210608,17200
48,A256940,케이피에스,20210607,17600
49,A256940,케이피에스,20210604,17600
50,A256940,케이피에스,20210603,18000
51,A256940,케이피에스,20210602,17450
52,A256940,케이피에스,20210601,17850
53,A256940,케이피에스,20210531,18050
54,A256940,케이피에스,20210528,18250
55,A256940,케이피에스,20210527,17750
56,A256940,케이피에스,20210526,17550
57,A256940,케이피에스,20210525,17850
58,A256940,케이피에스,20210524,16100
59,A256940,케이피에스,20210521,16000
60,A256940,케이피에스,20210520,16250
61,A256940,케이피에스,20210518,15700
62,A256940,케이피에스,20210517,14550
63,A256940,케이피에스,20210514,14550
64,A256940,케이피에스,20210513,14300
65,A256940,케이피에스,20210512,14100
66,A256940,케이피에스,20210511,14350
67,A256940,케이피에스,20210510,14300
68,A256940,케이피에스,20210507,14550
69,A256940,케이피에스,20210506,14500
70,A256940,케이피에스,20210504,14650
71,A256940,케이피에스,20210503,14800
72,A256940,케이피에스,20210430,14600
73,A256940,케이피에스,20210429,14250
74,A256940,케이피에스,20210428,14000
75,A256940,케이피에스,20210427,14300
76,A256940,케이피에스,20210426,14600
77,A256940,케이피에스,20210423,14600
78,A256940,케이피에스,20210422,14300
79,A256940,케이피에스,20210421,14100
80,A256940,케이피에스,20210420,14500
81,A256940,케이피에스,20210419,14600
82,A256940,케이피에스,20210416,14950
83,A256940,케이피에스,20210415,14850
84,A256940,케이피에스,20210414,14950
85,A256940,케이피에스,20210413,15200
86,A256940,케이피에스,20210412,14850
87,A256940,케이피에스,20210409,14700
88,A256940,케이피에스,20210408,14600
89,A256940,케이피에스,20210407,15000
90,A256940,케이피에스,20210406,15100
91,A256940,케이피에스,20210405,15100
92,A256940,케이피에스,20210402,14900
93,A256940,케이피에스,20210401,14750
94,A256940,케이피에스,20210331,14800
95,A256940,케이피에스,20210330,15250
96,A256940,케이피에스,20210329,15300
97,A256940,케이피에스,20210326,15150
98,A256940,케이피에스,20210325,15000
99,A256940,케이피에스,20210324,15450
100,A256940,케이피에스,20210323,15650
101,A256940,케이피에스,20210322,15700
102,A256940,케이피에스,20210319,16000
103,A256940,케이피에스,20210318,16050
104,A256940,케이피에스,20210317,16450
105,A256940,케이피에스,20210316,16450
106,A256940,케이피에스,20210315,15900
107,A256940,케이피에스,20210312,15850
108,A256940,케이피에스,20210311,15200
109,A256940,케이피에스,20210310,14850
110,A256940,케이피에스,20210309,15050
111,A256940,케이피에스,20210308,15300
112,A256940,케이피에스,20210305,14600
113,A256940,케이피에스,20210304,14800
114,A256940,케이피에스,20210303,15200
115,A256940,케이피에스,20210302,14700
116,A256940,케이피에스,20210226,15000
117,A256940,케이피에스,20210225,15750
118,A256940,케이피에스,20210224,15350
119,A256940,케이피에스,20210223,15700
120,A256940,케이피에스,20210222,16150
121,A256940,케이피에스,20210219,15800
122,A256940,케이피에스,20210218,16400
123,A256940,케이피에스,20210217,16300
124,A256940,케이피에스,20210216,16950
125,A256940,케이피에스,20210215,18050
126,A256940,케이피에스,20210210,18300
127,A256940,케이피에스,20210209,18700
128,A256940,케이피에스,20210208,19050
129,A256940,케이피에스,20210205,18300
130,A256940,케이피에스,20210204,17850
131,A256940,케이피에스,20210203,17900
132,A256940,케이피에스,20210202,18200
