,종목코드,종목명,날짜,종가
0,A274090,켄코아에어로스페이스,20210812,16550
1,A274090,켄코아에어로스페이스,20210811,15850
2,A274090,켄코아에어로스페이스,20210810,16150
3,A274090,켄코아에어로스페이스,20210809,16700
4,A274090,켄코아에어로스페이스,20210806,17000
5,A274090,켄코아에어로스페이스,20210805,16850
6,A274090,켄코아에어로스페이스,20210804,16650
7,A274090,켄코아에어로스페이스,20210803,16550
8,A274090,켄코아에어로스페이스,20210802,16750
9,A274090,켄코아에어로스페이스,20210730,16800
10,A274090,켄코아에어로스페이스,20210729,16850
11,A274090,켄코아에어로스페이스,20210728,16500
12,A274090,켄코아에어로스페이스,20210727,17000
13,A274090,켄코아에어로스페이스,20210726,16800
14,A274090,켄코아에어로스페이스,20210723,16750
15,A274090,켄코아에어로스페이스,20210722,16450
16,A274090,켄코아에어로스페이스,20210721,16550
17,A274090,켄코아에어로스페이스,20210720,17600
18,A274090,켄코아에어로스페이스,20210719,19300
19,A274090,켄코아에어로스페이스,20210716,19550
20,A274090,켄코아에어로스페이스,20210715,18650
21,A274090,켄코아에어로스페이스,20210714,18650
22,A274090,켄코아에어로스페이스,20210713,18250
23,A274090,켄코아에어로스페이스,20210712,18200
24,A274090,켄코아에어로스페이스,20210709,19150
25,A274090,켄코아에어로스페이스,20210708,18600
26,A274090,켄코아에어로스페이스,20210707,21550
27,A274090,켄코아에어로스페이스,20210706,20000
28,A274090,켄코아에어로스페이스,20210705,18850
29,A274090,켄코아에어로스페이스,20210702,17450
30,A274090,켄코아에어로스페이스,20210701,17350
31,A274090,켄코아에어로스페이스,20210630,17450
32,A274090,켄코아에어로스페이스,20210629,17400
33,A274090,켄코아에어로스페이스,20210628,16800
34,A274090,켄코아에어로스페이스,20210625,17000
35,A274090,켄코아에어로스페이스,20210624,17050
36,A274090,켄코아에어로스페이스,20210623,16550
37,A274090,켄코아에어로스페이스,20210622,16650
38,A274090,켄코아에어로스페이스,20210621,16100
39,A274090,켄코아에어로스페이스,20210618,16550
40,A274090,켄코아에어로스페이스,20210617,16300
41,A274090,켄코아에어로스페이스,20210616,16550
42,A274090,켄코아에어로스페이스,20210615,16500
43,A274090,켄코아에어로스페이스,20210614,16250
44,A274090,켄코아에어로스페이스,20210611,16600
45,A274090,켄코아에어로스페이스,20210610,16300
46,A274090,켄코아에어로스페이스,20210609,16850
47,A274090,켄코아에어로스페이스,20210608,16350
48,A274090,켄코아에어로스페이스,20210607,16000
49,A274090,켄코아에어로스페이스,20210604,15450
50,A274090,켄코아에어로스페이스,20210603,15350
51,A274090,켄코아에어로스페이스,20210602,15200
52,A274090,켄코아에어로스페이스,20210601,15600
53,A274090,켄코아에어로스페이스,20210531,14900
54,A274090,켄코아에어로스페이스,20210528,15500
55,A274090,켄코아에어로스페이스,20210527,15300
56,A274090,켄코아에어로스페이스,20210526,15250
57,A274090,켄코아에어로스페이스,20210525,15350
58,A274090,켄코아에어로스페이스,20210524,14400
59,A274090,켄코아에어로스페이스,20210521,13900
60,A274090,켄코아에어로스페이스,20210520,13500
61,A274090,켄코아에어로스페이스,20210518,13300
62,A274090,켄코아에어로스페이스,20210517,13100
63,A274090,켄코아에어로스페이스,20210514,13050
64,A274090,켄코아에어로스페이스,20210513,12950
65,A274090,켄코아에어로스페이스,20210512,13400
66,A274090,켄코아에어로스페이스,20210511,13900
67,A274090,켄코아에어로스페이스,20210510,14100
68,A274090,켄코아에어로스페이스,20210507,13200
69,A274090,켄코아에어로스페이스,20210506,13200
70,A274090,켄코아에어로스페이스,20210504,13100
71,A274090,켄코아에어로스페이스,20210503,13350
72,A274090,켄코아에어로스페이스,20210430,13500
73,A274090,켄코아에어로스페이스,20210429,13350
74,A274090,켄코아에어로스페이스,20210428,13550
75,A274090,켄코아에어로스페이스,20210427,13700
76,A274090,켄코아에어로스페이스,20210426,14150
77,A274090,켄코아에어로스페이스,20210423,14350
78,A274090,켄코아에어로스페이스,20210422,14300
79,A274090,켄코아에어로스페이스,20210421,14250
80,A274090,켄코아에어로스페이스,20210420,13900
81,A274090,켄코아에어로스페이스,20210419,14300
82,A274090,켄코아에어로스페이스,20210416,13000
83,A274090,켄코아에어로스페이스,20210415,13000
84,A274090,켄코아에어로스페이스,20210414,13300
85,A274090,켄코아에어로스페이스,20210413,13300
86,A274090,켄코아에어로스페이스,20210412,13450
87,A274090,켄코아에어로스페이스,20210409,13650
88,A274090,켄코아에어로스페이스,20210408,13700
89,A274090,켄코아에어로스페이스,20210407,13700
90,A274090,켄코아에어로스페이스,20210406,13900
91,A274090,켄코아에어로스페이스,20210405,14450
92,A274090,켄코아에어로스페이스,20210402,14000
93,A274090,켄코아에어로스페이스,20210401,13900
94,A274090,켄코아에어로스페이스,20210331,14150
95,A274090,켄코아에어로스페이스,20210330,14400
96,A274090,켄코아에어로스페이스,20210329,14700
97,A274090,켄코아에어로스페이스,20210326,15200
98,A274090,켄코아에어로스페이스,20210325,13800
99,A274090,켄코아에어로스페이스,20210324,14350
100,A274090,켄코아에어로스페이스,20210323,14800
101,A274090,켄코아에어로스페이스,20210322,15750
102,A274090,켄코아에어로스페이스,20210319,16400
103,A274090,켄코아에어로스페이스,20210318,17800
104,A274090,켄코아에어로스페이스,20210317,17250
105,A274090,켄코아에어로스페이스,20210316,17400
106,A274090,켄코아에어로스페이스,20210315,16900
107,A274090,켄코아에어로스페이스,20210312,15800
108,A274090,켄코아에어로스페이스,20210311,15900
109,A274090,켄코아에어로스페이스,20210310,14850
110,A274090,켄코아에어로스페이스,20210309,15500
111,A274090,켄코아에어로스페이스,20210308,15150
112,A274090,켄코아에어로스페이스,20210305,16000
113,A274090,켄코아에어로스페이스,20210304,16400
114,A274090,켄코아에어로스페이스,20210303,17300
115,A274090,켄코아에어로스페이스,20210302,15950
116,A274090,켄코아에어로스페이스,20210226,16350
117,A274090,켄코아에어로스페이스,20210225,17850
118,A274090,켄코아에어로스페이스,20210224,17200
119,A274090,켄코아에어로스페이스,20210223,18350
120,A274090,켄코아에어로스페이스,20210222,16400
121,A274090,켄코아에어로스페이스,20210219,12650
122,A274090,켄코아에어로스페이스,20210218,12750
123,A274090,켄코아에어로스페이스,20210217,11900
124,A274090,켄코아에어로스페이스,20210216,12650
125,A274090,켄코아에어로스페이스,20210215,13100
126,A274090,켄코아에어로스페이스,20210210,12550
127,A274090,켄코아에어로스페이스,20210209,12450
128,A274090,켄코아에어로스페이스,20210208,12650
129,A274090,켄코아에어로스페이스,20210205,13650
130,A274090,켄코아에어로스페이스,20210204,13350
131,A274090,켄코아에어로스페이스,20210203,12500
132,A274090,켄코아에어로스페이스,20210202,12450
133,A274090,켄코아에어로스페이스,20210201,11950
134,A274090,켄코아에어로스페이스,20210129,11800
135,A274090,켄코아에어로스페이스,20210128,11650
136,A274090,켄코아에어로스페이스,20210127,12350
137,A274090,켄코아에어로스페이스,20210126,13050
138,A274090,켄코아에어로스페이스,20210125,12600
139,A274090,켄코아에어로스페이스,20210122,12200
140,A274090,켄코아에어로스페이스,20210121,13250
141,A274090,켄코아에어로스페이스,20210120,11600
142,A274090,켄코아에어로스페이스,20210119,10450
143,A274090,켄코아에어로스페이스,20210118,10600
144,A274090,켄코아에어로스페이스,20210115,8510
145,A274090,켄코아에어로스페이스,20210114,8470
146,A274090,켄코아에어로스페이스,20210113,8380
147,A274090,켄코아에어로스페이스,20210112,8050
148,A274090,켄코아에어로스페이스,20210111,8050
149,A274090,켄코아에어로스페이스,20210108,8070
150,A274090,켄코아에어로스페이스,20210107,8370
151,A274090,켄코아에어로스페이스,20210106,8120
152,A274090,켄코아에어로스페이스,20210105,8200
153,A274090,켄코아에어로스페이스,20210104,8200
154,A274090,켄코아에어로스페이스,20201230,8070
155,A274090,켄코아에어로스페이스,20201229,7900
156,A274090,켄코아에어로스페이스,20201228,7770
157,A274090,켄코아에어로스페이스,20201224,7920
158,A274090,켄코아에어로스페이스,20201223,7940
159,A274090,켄코아에어로스페이스,20201222,8030
160,A274090,켄코아에어로스페이스,20201221,8190
161,A274090,켄코아에어로스페이스,20201218,8130
162,A274090,켄코아에어로스페이스,20201217,8140
163,A274090,켄코아에어로스페이스,20201216,8320
164,A274090,켄코아에어로스페이스,20201215,8280
165,A274090,켄코아에어로스페이스,20201214,8380
166,A274090,켄코아에어로스페이스,20201211,8680
167,A274090,켄코아에어로스페이스,20201210,8700
168,A274090,켄코아에어로스페이스,20201209,8450
169,A274090,켄코아에어로스페이스,20201208,8300
170,A274090,켄코아에어로스페이스,20201207,8500
171,A274090,켄코아에어로스페이스,20201204,8700
172,A274090,켄코아에어로스페이스,20201203,8370
173,A274090,켄코아에어로스페이스,20201202,8450
174,A274090,켄코아에어로스페이스,20201201,8520
175,A274090,켄코아에어로스페이스,20201130,8200
176,A274090,켄코아에어로스페이스,20201127,8480
177,A274090,켄코아에어로스페이스,20201126,8190
178,A274090,켄코아에어로스페이스,20201125,8380
179,A274090,켄코아에어로스페이스,20201124,8520
180,A274090,켄코아에어로스페이스,20201123,8570
181,A274090,켄코아에어로스페이스,20201120,8570
182,A274090,켄코아에어로스페이스,20201119,8690
183,A274090,켄코아에어로스페이스,20201118,8900
184,A274090,켄코아에어로스페이스,20201117,8700
185,A274090,켄코아에어로스페이스,20201116,8900
186,A274090,켄코아에어로스페이스,20201113,8560
187,A274090,켄코아에어로스페이스,20201112,8380
188,A274090,켄코아에어로스페이스,20201111,8110
189,A274090,켄코아에어로스페이스,20201110,7650
190,A274090,켄코아에어로스페이스,20201109,7160
191,A274090,켄코아에어로스페이스,20201106,7120
192,A274090,켄코아에어로스페이스,20201105,7150
193,A274090,켄코아에어로스페이스,20201104,7010
194,A274090,켄코아에어로스페이스,20201103,7110
195,A274090,켄코아에어로스페이스,20201102,6700
196,A274090,켄코아에어로스페이스,20201030,6740
197,A274090,켄코아에어로스페이스,20201029,6950
198,A274090,켄코아에어로스페이스,20201028,6820
199,A274090,켄코아에어로스페이스,20201027,6710
200,A274090,켄코아에어로스페이스,20201026,6730
201,A274090,켄코아에어로스페이스,20201023,6890
202,A274090,켄코아에어로스페이스,20201022,6890
203,A274090,켄코아에어로스페이스,20201021,6970
204,A274090,켄코아에어로스페이스,20201020,7100
