,辆格内靛,辆格疙,朝楼,辆啊
0,A040470,内府酒2000,20210812,850
1,A040470,内府酒2000,20210811,850
2,A040470,内府酒2000,20210810,1190
3,A040470,内府酒2000,20210809,1660
4,A040470,内府酒2000,20210806,1365
5,A040470,内府酒2000,20210805,1950
6,A040470,内府酒2000,20210804,1950
7,A040470,内府酒2000,20210803,1950
8,A040470,内府酒2000,20210802,1950
9,A040470,内府酒2000,20210730,2615
10,A040470,内府酒2000,20210729,2615
11,A040470,内府酒2000,20210728,2615
12,A040470,内府酒2000,20210727,2615
13,A040470,内府酒2000,20210726,2615
14,A040470,内府酒2000,20210723,2015
15,A040470,内府酒2000,20210722,2015
16,A040470,内府酒2000,20210721,2015
17,A040470,内府酒2000,20210720,2015
18,A040470,内府酒2000,20210719,2015
19,A040470,内府酒2000,20210716,2015
20,A040470,内府酒2000,20210715,2015
21,A040470,内府酒2000,20210714,2015
22,A040470,内府酒2000,20210713,2085
23,A040470,内府酒2000,20210712,2230
24,A040470,内府酒2000,20210709,2500
25,A040470,内府酒2000,20210708,2110
26,A040470,内府酒2000,20210707,2475
27,A040470,内府酒2000,20210706,1905
28,A040470,内府酒2000,20210705,1905
29,A040470,内府酒2000,20210702,1905
30,A040470,内府酒2000,20210701,1905
31,A040470,内府酒2000,20210630,1905
32,A040470,内府酒2000,20210629,1905
33,A040470,内府酒2000,20210628,1905
34,A040470,内府酒2000,20210625,1905
35,A040470,内府酒2000,20210624,1905
36,A040470,内府酒2000,20210623,2295
37,A040470,内府酒2000,20210622,1900
38,A040470,内府酒2000,20210621,1900
39,A040470,内府酒2000,20210618,1900
40,A040470,内府酒2000,20210617,2000
41,A040470,内府酒2000,20210616,2095
42,A040470,内府酒2000,20210615,2095
43,A040470,内府酒2000,20210614,2990
44,A040470,内府酒2000,20210611,2300
45,A040470,内府酒2000,20210610,2300
46,A040470,内府酒2000,20210609,2300
47,A040470,内府酒2000,20210608,2050
48,A040470,内府酒2000,20210607,2050
49,A040470,内府酒2000,20210604,2050
50,A040470,内府酒2000,20210603,2050
51,A040470,内府酒2000,20210602,2050
52,A040470,内府酒2000,20210601,2050
53,A040470,内府酒2000,20210531,2925
54,A040470,内府酒2000,20210528,2250
55,A040470,内府酒2000,20210527,2250
56,A040470,内府酒2000,20210526,2250
57,A040470,内府酒2000,20210525,2250
58,A040470,内府酒2000,20210524,2250
59,A040470,内府酒2000,20210521,2250
60,A040470,内府酒2000,20210520,2250
61,A040470,内府酒2000,20210518,2450
62,A040470,内府酒2000,20210517,2450
63,A040470,内府酒2000,20210514,2995
64,A040470,内府酒2000,20210513,3120
65,A040470,内府酒2000,20210512,3120
66,A040470,内府酒2000,20210511,3120
67,A040470,内府酒2000,20210510,2400
68,A040470,内府酒2000,20210507,2400
69,A040470,内府酒2000,20210506,2400
70,A040470,内府酒2000,20210504,2400
71,A040470,内府酒2000,20210503,2400
72,A040470,内府酒2000,20210430,2400
73,A040470,内府酒2000,20210429,2400
74,A040470,内府酒2000,20210428,2660
75,A040470,内府酒2000,20210427,2050
76,A040470,内府酒2000,20210426,2925
77,A040470,内府酒2000,20210423,2925
78,A040470,内府酒2000,20210422,2250
79,A040470,内府酒2000,20210421,2250
80,A040470,内府酒2000,20210420,2250
81,A040470,内府酒2000,20210419,2250
82,A040470,内府酒2000,20210416,2250
83,A040470,内府酒2000,20210415,2250
84,A040470,内府酒2000,20210414,2250
85,A040470,内府酒2000,20210413,2000
86,A040470,内府酒2000,20210412,1750
87,A040470,内府酒2000,20210409,1750
88,A040470,内府酒2000,20210408,2500
89,A040470,内府酒2000,20210407,2215
90,A040470,内府酒2000,20210406,2300
91,A040470,内府酒2000,20210405,2325
92,A040470,内府酒2000,20210402,2325
93,A040470,内府酒2000,20210401,1800
94,A040470,内府酒2000,20210331,1800
95,A040470,内府酒2000,20210330,1800
96,A040470,内府酒2000,20210329,1555
97,A040470,内府酒2000,20210326,2215
98,A040470,内府酒2000,20210325,2455
99,A040470,内府酒2000,20210324,1890
100,A040470,内府酒2000,20210323,2700
101,A040470,内府酒2000,20210322,2095
102,A040470,内府酒2000,20210319,1385
103,A040470,内府酒2000,20210318,1975
104,A040470,内府酒2000,20210317,1985
105,A040470,内府酒2000,20210316,2000
106,A040470,内府酒2000,20210315,1880
107,A040470,内府酒2000,20210312,1890
108,A040470,内府酒2000,20210311,1995
109,A040470,内府酒2000,20210310,2000
110,A040470,内府酒2000,20210309,1750
111,A040470,内府酒2000,20210308,1750
112,A040470,内府酒2000,20210305,1750
113,A040470,内府酒2000,20210304,1750
114,A040470,内府酒2000,20210303,1750
115,A040470,内府酒2000,20210302,1350
116,A040470,内府酒2000,20210226,1350
117,A040470,内府酒2000,20210225,1350
118,A040470,内府酒2000,20210224,1040
119,A040470,内府酒2000,20210223,1485
120,A040470,内府酒2000,20210222,1485
121,A040470,内府酒2000,20210219,1485
122,A040470,内府酒2000,20210218,1485
123,A040470,内府酒2000,20210217,1450
124,A040470,内府酒2000,20210216,1885
125,A040470,内府酒2000,20210215,1450
126,A040470,内府酒2000,20210210,1450
127,A040470,内府酒2000,20210209,1450
128,A040470,内府酒2000,20210208,2055
129,A040470,内府酒2000,20210205,2055
130,A040470,内府酒2000,20210204,2055
131,A040470,内府酒2000,20210203,2055
132,A040470,内府酒2000,20210202,2080
133,A040470,内府酒2000,20210201,1600
134,A040470,内府酒2000,20210129,2275
135,A040470,内府酒2000,20210128,2275
136,A040470,内府酒2000,20210127,2275
137,A040470,内府酒2000,20210126,2275
138,A040470,内府酒2000,20210125,2275
139,A040470,内府酒2000,20210122,2275
140,A040470,内府酒2000,20210121,2275
141,A040470,内府酒2000,20210120,2275
142,A040470,内府酒2000,20210119,2275
143,A040470,内府酒2000,20210118,2275
144,A040470,内府酒2000,20210115,2275
145,A040470,内府酒2000,20210114,2275
146,A040470,内府酒2000,20210113,3250
147,A040470,内府酒2000,20210112,2500
148,A040470,内府酒2000,20210111,2500
149,A040470,内府酒2000,20210108,2580
150,A040470,内府酒2000,20210107,2585
151,A040470,内府酒2000,20210106,1990
152,A040470,内府酒2000,20210105,1990
153,A040470,内府酒2000,20210104,2000
154,A040470,内府酒2000,20201230,2000
155,A040470,内府酒2000,20201229,2050
156,A040470,内府酒2000,20201228,2500
157,A040470,内府酒2000,20201224,2135
158,A040470,内府酒2000,20201223,2085
159,A040470,内府酒2000,20201222,2480
160,A040470,内府酒2000,20201221,1510
161,A040470,内府酒2000,20201218,1830
162,A040470,内府酒2000,20201217,2600
163,A040470,内府酒2000,20201216,2400
164,A040470,内府酒2000,20201215,2240
165,A040470,内府酒2000,20201214,1725
166,A040470,内府酒2000,20201211,1500
167,A040470,内府酒2000,20201210,2105
168,A040470,内府酒2000,20201209,2355
169,A040470,内府酒2000,20201208,1815
170,A040470,内府酒2000,20201207,2590
171,A040470,内府酒2000,20201204,2020
172,A040470,内府酒2000,20201203,2360
173,A040470,内府酒2000,20201202,2200
174,A040470,内府酒2000,20201201,2605
175,A040470,内府酒2000,20201130,2000
176,A040470,内府酒2000,20201127,2450
177,A040470,内府酒2000,20201126,1915
178,A040470,内府酒2000,20201125,2200
179,A040470,内府酒2000,20201124,2200
180,A040470,内府酒2000,20201123,2200
181,A040470,内府酒2000,20201120,1710
182,A040470,内府酒2000,20201119,1950
183,A040470,内府酒2000,20201118,2540
184,A040470,内府酒2000,20201117,2540
185,A040470,内府酒2000,20201116,2490
186,A040470,内府酒2000,20201113,2590
187,A040470,内府酒2000,20201112,2100
188,A040470,内府酒2000,20201111,1950
189,A040470,内府酒2000,20201110,1935
190,A040470,内府酒2000,20201109,1935
191,A040470,内府酒2000,20201106,1935
192,A040470,内府酒2000,20201105,1950
193,A040470,内府酒2000,20201104,1700
194,A040470,内府酒2000,20201103,1150
195,A040470,内府酒2000,20201102,1500
196,A040470,内府酒2000,20201030,1900
197,A040470,内府酒2000,20201029,1900
198,A040470,内府酒2000,20201028,1900
199,A040470,内府酒2000,20201027,1900
