,종목코드,종목명,날짜,종가
0,A123410,코리아에프티,20210812,4175
1,A123410,코리아에프티,20210811,4035
2,A123410,코리아에프티,20210810,4025
3,A123410,코리아에프티,20210809,4125
4,A123410,코리아에프티,20210806,4050
5,A123410,코리아에프티,20210805,4055
6,A123410,코리아에프티,20210804,3950
7,A123410,코리아에프티,20210803,3900
8,A123410,코리아에프티,20210802,3945
9,A123410,코리아에프티,20210730,3950
10,A123410,코리아에프티,20210729,4060
11,A123410,코리아에프티,20210728,4020
12,A123410,코리아에프티,20210727,4055
13,A123410,코리아에프티,20210726,4060
14,A123410,코리아에프티,20210723,4115
15,A123410,코리아에프티,20210722,4260
16,A123410,코리아에프티,20210721,4215
17,A123410,코리아에프티,20210720,4115
18,A123410,코리아에프티,20210719,4160
19,A123410,코리아에프티,20210716,4185
20,A123410,코리아에프티,20210715,4180
21,A123410,코리아에프티,20210714,4150
22,A123410,코리아에프티,20210713,4235
23,A123410,코리아에프티,20210712,4180
24,A123410,코리아에프티,20210709,4205
25,A123410,코리아에프티,20210708,4335
26,A123410,코리아에프티,20210707,4465
27,A123410,코리아에프티,20210706,4465
28,A123410,코리아에프티,20210705,4235
29,A123410,코리아에프티,20210702,4070
30,A123410,코리아에프티,20210701,4170
31,A123410,코리아에프티,20210630,4310
32,A123410,코리아에프티,20210629,4140
33,A123410,코리아에프티,20210628,4140
34,A123410,코리아에프티,20210625,4230
35,A123410,코리아에프티,20210624,4280
36,A123410,코리아에프티,20210623,4320
37,A123410,코리아에프티,20210622,4540
38,A123410,코리아에프티,20210621,4460
39,A123410,코리아에프티,20210618,4625
40,A123410,코리아에프티,20210617,4305
41,A123410,코리아에프티,20210616,4290
42,A123410,코리아에프티,20210615,4345
43,A123410,코리아에프티,20210614,4430
44,A123410,코리아에프티,20210611,4465
45,A123410,코리아에프티,20210610,4245
46,A123410,코리아에프티,20210609,4345
47,A123410,코리아에프티,20210608,4520
48,A123410,코리아에프티,20210607,4500
49,A123410,코리아에프티,20210604,4740
50,A123410,코리아에프티,20210603,4600
51,A123410,코리아에프티,20210602,4650
52,A123410,코리아에프티,20210601,4330
53,A123410,코리아에프티,20210531,4235
54,A123410,코리아에프티,20210528,3900
55,A123410,코리아에프티,20210527,3700
56,A123410,코리아에프티,20210526,3740
57,A123410,코리아에프티,20210525,3680
58,A123410,코리아에프티,20210524,3580
59,A123410,코리아에프티,20210521,3690
60,A123410,코리아에프티,20210520,3800
61,A123410,코리아에프티,20210518,3750
62,A123410,코리아에프티,20210517,3710
63,A123410,코리아에프티,20210514,3555
64,A123410,코리아에프티,20210513,3450
65,A123410,코리아에프티,20210512,3505
66,A123410,코리아에프티,20210511,3585
67,A123410,코리아에프티,20210510,3610
68,A123410,코리아에프티,20210507,3655
69,A123410,코리아에프티,20210506,3685
70,A123410,코리아에프티,20210504,3690
71,A123410,코리아에프티,20210503,3580
72,A123410,코리아에프티,20210430,3545
73,A123410,코리아에프티,20210429,3570
74,A123410,코리아에프티,20210428,3600
75,A123410,코리아에프티,20210427,3670
76,A123410,코리아에프티,20210426,3675
77,A123410,코리아에프티,20210423,3715
78,A123410,코리아에프티,20210422,3600
79,A123410,코리아에프티,20210421,3430
80,A123410,코리아에프티,20210420,3495
81,A123410,코리아에프티,20210419,3450
82,A123410,코리아에프티,20210416,3485
83,A123410,코리아에프티,20210415,3330
84,A123410,코리아에프티,20210414,3390
85,A123410,코리아에프티,20210413,3400
86,A123410,코리아에프티,20210412,3385
87,A123410,코리아에프티,20210409,3370
88,A123410,코리아에프티,20210408,3330
89,A123410,코리아에프티,20210407,3310
90,A123410,코리아에프티,20210406,3350
91,A123410,코리아에프티,20210405,3420
92,A123410,코리아에프티,20210402,3475
93,A123410,코리아에프티,20210401,3340
94,A123410,코리아에프티,20210331,3300
95,A123410,코리아에프티,20210330,3310
96,A123410,코리아에프티,20210329,3280
97,A123410,코리아에프티,20210326,3180
98,A123410,코리아에프티,20210325,3190
99,A123410,코리아에프티,20210324,3225
100,A123410,코리아에프티,20210323,3210
101,A123410,코리아에프티,20210322,3305
102,A123410,코리아에프티,20210319,3315
103,A123410,코리아에프티,20210318,3310
104,A123410,코리아에프티,20210317,3030
105,A123410,코리아에프티,20210316,3050
106,A123410,코리아에프티,20210315,3095
107,A123410,코리아에프티,20210312,3075
108,A123410,코리아에프티,20210311,3025
109,A123410,코리아에프티,20210310,2880
110,A123410,코리아에프티,20210309,2930
111,A123410,코리아에프티,20210308,3000
112,A123410,코리아에프티,20210305,3135
113,A123410,코리아에프티,20210304,3190
114,A123410,코리아에프티,20210303,3245
115,A123410,코리아에프티,20210302,3380
116,A123410,코리아에프티,20210226,3370
117,A123410,코리아에프티,20210225,3445
118,A123410,코리아에프티,20210224,3500
119,A123410,코리아에프티,20210223,3670
120,A123410,코리아에프티,20210222,3750
121,A123410,코리아에프티,20210219,3760
122,A123410,코리아에프티,20210218,3900
123,A123410,코리아에프티,20210217,4000
124,A123410,코리아에프티,20210216,4080
125,A123410,코리아에프티,20210215,3990
126,A123410,코리아에프티,20210210,3900
127,A123410,코리아에프티,20210209,3785
128,A123410,코리아에프티,20210208,3910
129,A123410,코리아에프티,20210205,3565
130,A123410,코리아에프티,20210204,3470
131,A123410,코리아에프티,20210203,3205
132,A123410,코리아에프티,20210202,3065
133,A123410,코리아에프티,20210201,3005
134,A123410,코리아에프티,20210129,2905
135,A123410,코리아에프티,20210128,3110
136,A123410,코리아에프티,20210127,3370
137,A123410,코리아에프티,20210126,3355
138,A123410,코리아에프티,20210125,3360
139,A123410,코리아에프티,20210122,3360
140,A123410,코리아에프티,20210121,3495
141,A123410,코리아에프티,20210120,3260
142,A123410,코리아에프티,20210119,3285
143,A123410,코리아에프티,20210118,3105
144,A123410,코리아에프티,20210115,3125
145,A123410,코리아에프티,20210114,3225
146,A123410,코리아에프티,20210113,3280
147,A123410,코리아에프티,20210112,3100
148,A123410,코리아에프티,20210111,3245
149,A123410,코리아에프티,20210108,3355
150,A123410,코리아에프티,20210107,3200
151,A123410,코리아에프티,20210106,3040
152,A123410,코리아에프티,20210105,3035
153,A123410,코리아에프티,20210104,3095
154,A123410,코리아에프티,20201230,2910
155,A123410,코리아에프티,20201229,2880
156,A123410,코리아에프티,20201228,2780
157,A123410,코리아에프티,20201224,2895
158,A123410,코리아에프티,20201223,3000
159,A123410,코리아에프티,20201222,2820
160,A123410,코리아에프티,20201221,2785
161,A123410,코리아에프티,20201218,2755
162,A123410,코리아에프티,20201217,2780
163,A123410,코리아에프티,20201216,2800
164,A123410,코리아에프티,20201215,2800
165,A123410,코리아에프티,20201214,2795
