,종목코드,종목명,날짜,종가
0,A062760,코스텍시스,20210812,5130
1,A062760,코스텍시스,20210811,5140
2,A062760,코스텍시스,20210810,7000
3,A062760,코스텍시스,20210809,7000
4,A062760,코스텍시스,20210806,7000
5,A062760,코스텍시스,20210805,7000
6,A062760,코스텍시스,20210804,7000
7,A062760,코스텍시스,20210803,7000
8,A062760,코스텍시스,20210802,7000
9,A062760,코스텍시스,20210730,7000
10,A062760,코스텍시스,20210729,5950
11,A062760,코스텍시스,20210728,5200
12,A062760,코스텍시스,20210727,7090
13,A062760,코스텍시스,20210726,5250
14,A062760,코스텍시스,20210723,6230
15,A062760,코스텍시스,20210722,6230
16,A062760,코스텍시스,20210721,6230
17,A062760,코스텍시스,20210720,7250
18,A062760,코스텍시스,20210719,7250
19,A062760,코스텍시스,20210716,7250
20,A062760,코스텍시스,20210715,7250
21,A062760,코스텍시스,20210714,7250
22,A062760,코스텍시스,20210713,7250
23,A062760,코스텍시스,20210712,7250
24,A062760,코스텍시스,20210709,7250
25,A062760,코스텍시스,20210708,7250
26,A062760,코스텍시스,20210707,7250
27,A062760,코스텍시스,20210706,7250
28,A062760,코스텍시스,20210705,7250
29,A062760,코스텍시스,20210702,7250
30,A062760,코스텍시스,20210701,7250
31,A062760,코스텍시스,20210630,7250
32,A062760,코스텍시스,20210629,7250
33,A062760,코스텍시스,20210628,7250
34,A062760,코스텍시스,20210625,7250
35,A062760,코스텍시스,20210624,7300
36,A062760,코스텍시스,20210623,7300
37,A062760,코스텍시스,20210622,7300
38,A062760,코스텍시스,20210621,7300
39,A062760,코스텍시스,20210618,7300
40,A062760,코스텍시스,20210617,7300
41,A062760,코스텍시스,20210616,7300
42,A062760,코스텍시스,20210615,7500
43,A062760,코스텍시스,20210614,7500
44,A062760,코스텍시스,20210611,6880
45,A062760,코스텍시스,20210610,6880
46,A062760,코스텍시스,20210609,6880
47,A062760,코스텍시스,20210608,6880
48,A062760,코스텍시스,20210607,6880
49,A062760,코스텍시스,20210604,7000
50,A062760,코스텍시스,20210603,6510
51,A062760,코스텍시스,20210602,6510
52,A062760,코스텍시스,20210601,6510
53,A062760,코스텍시스,20210531,6500
54,A062760,코스텍시스,20210528,6800
55,A062760,코스텍시스,20210527,5500
56,A062760,코스텍시스,20210526,10000
57,A062760,코스텍시스,20210525,10200
58,A062760,코스텍시스,20210524,10200
59,A062760,코스텍시스,20210521,10200
60,A062760,코스텍시스,20210520,10200
61,A062760,코스텍시스,20210518,10200
62,A062760,코스텍시스,20210517,10200
63,A062760,코스텍시스,20210514,10200
64,A062760,코스텍시스,20210513,10200
65,A062760,코스텍시스,20210512,10000
66,A062760,코스텍시스,20210511,10050
67,A062760,코스텍시스,20210510,8860
68,A062760,코스텍시스,20210507,7490
69,A062760,코스텍시스,20210506,7000
70,A062760,코스텍시스,20210504,7000
71,A062760,코스텍시스,20210503,7000
72,A062760,코스텍시스,20210430,8000
73,A062760,코스텍시스,20210429,7000
74,A062760,코스텍시스,20210428,7100
75,A062760,코스텍시스,20210427,7100
76,A062760,코스텍시스,20210426,7010
77,A062760,코스텍시스,20210423,6500
78,A062760,코스텍시스,20210422,7000
79,A062760,코스텍시스,20210421,8000
80,A062760,코스텍시스,20210420,8000
81,A062760,코스텍시스,20210419,8000
82,A062760,코스텍시스,20210416,7000
83,A062760,코스텍시스,20210415,7000
84,A062760,코스텍시스,20210414,7070
85,A062760,코스텍시스,20210413,7000
86,A062760,코스텍시스,20210412,7500
87,A062760,코스텍시스,20210409,7060
88,A062760,코스텍시스,20210408,7060
89,A062760,코스텍시스,20210407,6020
90,A062760,코스텍시스,20210406,6000
91,A062760,코스텍시스,20210405,7000
92,A062760,코스텍시스,20210402,5090
93,A062760,코스텍시스,20210401,6300
94,A062760,코스텍시스,20210331,6300
95,A062760,코스텍시스,20210330,6300
96,A062760,코스텍시스,20210329,6310
97,A062760,코스텍시스,20210326,10000
98,A062760,코스텍시스,20210325,8500
99,A062760,코스텍시스,20210324,8500
100,A062760,코스텍시스,20210323,8500
101,A062760,코스텍시스,20210322,8500
102,A062760,코스텍시스,20210319,7000
103,A062760,코스텍시스,20210318,8000
104,A062760,코스텍시스,20210317,7000
105,A062760,코스텍시스,20210316,7950
106,A062760,코스텍시스,20210315,7850
107,A062760,코스텍시스,20210312,7850
108,A062760,코스텍시스,20210311,6130
109,A062760,코스텍시스,20210310,4720
110,A062760,코스텍시스,20210309,5400
111,A062760,코스텍시스,20210308,6000
112,A062760,코스텍시스,20210305,6000
113,A062760,코스텍시스,20210304,6000
114,A062760,코스텍시스,20210303,6000
115,A062760,코스텍시스,20210302,6000
116,A062760,코스텍시스,20210226,5000
117,A062760,코스텍시스,20210225,5590
118,A062760,코스텍시스,20210224,5010
119,A062760,코스텍시스,20210223,4820
120,A062760,코스텍시스,20210222,6770
121,A062760,코스텍시스,20210219,5870
122,A062760,코스텍시스,20210218,4755
123,A062760,코스텍시스,20210217,5000
124,A062760,코스텍시스,20210216,4895
125,A062760,코스텍시스,20210215,4500
126,A062760,코스텍시스,20210210,4860
127,A062760,코스텍시스,20210209,4000
128,A062760,코스텍시스,20210208,3860
129,A062760,코스텍시스,20210205,4005
130,A062760,코스텍시스,20210204,4305
