,辆格内靛,辆格疙,朝楼,辆啊
0,A052330,内咆,20210812,10500
1,A052330,内咆,20210811,10500
2,A052330,内咆,20210810,10700
3,A052330,内咆,20210809,10800
4,A052330,内咆,20210806,10700
5,A052330,内咆,20210805,10550
6,A052330,内咆,20210804,10600
7,A052330,内咆,20210803,10500
8,A052330,内咆,20210802,10300
9,A052330,内咆,20210730,10300
10,A052330,内咆,20210729,10450
11,A052330,内咆,20210728,10550
12,A052330,内咆,20210727,10600
13,A052330,内咆,20210726,10550
14,A052330,内咆,20210723,10750
15,A052330,内咆,20210722,10800
16,A052330,内咆,20210721,10750
17,A052330,内咆,20210720,10850
18,A052330,内咆,20210719,11000
19,A052330,内咆,20210716,10950
20,A052330,内咆,20210715,11000
21,A052330,内咆,20210714,10850
22,A052330,内咆,20210713,10700
23,A052330,内咆,20210712,10550
24,A052330,内咆,20210709,10400
25,A052330,内咆,20210708,10650
26,A052330,内咆,20210707,10950
27,A052330,内咆,20210706,11200
28,A052330,内咆,20210705,11200
29,A052330,内咆,20210702,11000
30,A052330,内咆,20210701,11000
31,A052330,内咆,20210630,11100
32,A052330,内咆,20210629,11100
33,A052330,内咆,20210628,11050
34,A052330,内咆,20210625,10950
35,A052330,内咆,20210624,10950
36,A052330,内咆,20210623,11200
37,A052330,内咆,20210622,11300
38,A052330,内咆,20210621,11450
39,A052330,内咆,20210618,11600
40,A052330,内咆,20210617,11550
41,A052330,内咆,20210616,11500
42,A052330,内咆,20210615,11500
43,A052330,内咆,20210614,11650
44,A052330,内咆,20210611,11700
45,A052330,内咆,20210610,11750
46,A052330,内咆,20210609,11800
47,A052330,内咆,20210608,12050
48,A052330,内咆,20210607,12150
49,A052330,内咆,20210604,11950
50,A052330,内咆,20210603,12200
51,A052330,内咆,20210602,12250
52,A052330,内咆,20210601,12550
53,A052330,内咆,20210531,12550
54,A052330,内咆,20210528,12000
55,A052330,内咆,20210527,12100
56,A052330,内咆,20210526,11850
57,A052330,内咆,20210525,11700
58,A052330,内咆,20210524,11550
59,A052330,内咆,20210521,11600
60,A052330,内咆,20210520,11950
61,A052330,内咆,20210518,11500
62,A052330,内咆,20210517,11300
63,A052330,内咆,20210514,11650
64,A052330,内咆,20210513,11650
65,A052330,内咆,20210512,11500
66,A052330,内咆,20210511,11600
67,A052330,内咆,20210510,11500
68,A052330,内咆,20210507,11350
69,A052330,内咆,20210506,11350
70,A052330,内咆,20210504,10850
71,A052330,内咆,20210503,10850
72,A052330,内咆,20210430,10850
73,A052330,内咆,20210429,10750
74,A052330,内咆,20210428,10850
75,A052330,内咆,20210427,11000
76,A052330,内咆,20210426,11000
77,A052330,内咆,20210423,10700
78,A052330,内咆,20210422,10900
79,A052330,内咆,20210421,10950
80,A052330,内咆,20210420,11000
81,A052330,内咆,20210419,10950
82,A052330,内咆,20210416,10450
83,A052330,内咆,20210415,10450
84,A052330,内咆,20210414,10500
85,A052330,内咆,20210413,10550
86,A052330,内咆,20210412,10350
87,A052330,内咆,20210409,10400
88,A052330,内咆,20210408,10450
89,A052330,内咆,20210407,10400
90,A052330,内咆,20210406,10250
91,A052330,内咆,20210405,10400
92,A052330,内咆,20210402,10500
93,A052330,内咆,20210401,10500
94,A052330,内咆,20210331,10500
95,A052330,内咆,20210330,10550
96,A052330,内咆,20210329,10550
97,A052330,内咆,20210326,10550
98,A052330,内咆,20210325,10500
99,A052330,内咆,20210324,10400
100,A052330,内咆,20210323,10550
101,A052330,内咆,20210322,10850
102,A052330,内咆,20210319,10200
103,A052330,内咆,20210318,10250
104,A052330,内咆,20210317,10250
105,A052330,内咆,20210316,10200
106,A052330,内咆,20210315,10050
107,A052330,内咆,20210312,9990
108,A052330,内咆,20210311,9980
109,A052330,内咆,20210310,9970
110,A052330,内咆,20210309,10150
111,A052330,内咆,20210308,10150
112,A052330,内咆,20210305,10050
113,A052330,内咆,20210304,10000
114,A052330,内咆,20210303,9920
115,A052330,内咆,20210302,9900
116,A052330,内咆,20210226,9720
117,A052330,内咆,20210225,9940
118,A052330,内咆,20210224,9870
119,A052330,内咆,20210223,9970
120,A052330,内咆,20210222,9990
121,A052330,内咆,20210219,10050
122,A052330,内咆,20210218,10050
123,A052330,内咆,20210217,10100
124,A052330,内咆,20210216,10150
125,A052330,内咆,20210215,10100
126,A052330,内咆,20210210,9690
127,A052330,内咆,20210209,9730
128,A052330,内咆,20210208,9760
129,A052330,内咆,20210205,9810
130,A052330,内咆,20210204,9800
131,A052330,内咆,20210203,9820
132,A052330,内咆,20210202,9810
133,A052330,内咆,20210201,9640
134,A052330,内咆,20210129,9490
135,A052330,内咆,20210128,9750
136,A052330,内咆,20210127,10100
137,A052330,内咆,20210126,10100
138,A052330,内咆,20210125,10000
139,A052330,内咆,20210122,9810
140,A052330,内咆,20210121,9670
141,A052330,内咆,20210120,9670
142,A052330,内咆,20210119,9300
143,A052330,内咆,20210118,9210
144,A052330,内咆,20210115,9550
145,A052330,内咆,20210114,9500
146,A052330,内咆,20210113,9060
147,A052330,内咆,20210112,9060
148,A052330,内咆,20210111,9060
149,A052330,内咆,20210108,9090
150,A052330,内咆,20210107,9070
151,A052330,内咆,20210106,9230
152,A052330,内咆,20210105,9010
153,A052330,内咆,20210104,9000
154,A052330,内咆,20201230,8990
155,A052330,内咆,20201229,8920
156,A052330,内咆,20201228,8860
157,A052330,内咆,20201224,8880
158,A052330,内咆,20201223,8830
