,辆格内靛,辆格疙,朝楼,辆啊
0,A264900,农扼款力苞,20210812,11300
1,A264900,农扼款力苞,20210811,11350
2,A264900,农扼款力苞,20210810,11350
3,A264900,农扼款力苞,20210809,11600
4,A264900,农扼款力苞,20210806,11950
5,A264900,农扼款力苞,20210805,12050
6,A264900,农扼款力苞,20210804,11900
7,A264900,农扼款力苞,20210803,11950
8,A264900,农扼款力苞,20210802,12250
9,A264900,农扼款力苞,20210730,12500
10,A264900,农扼款力苞,20210729,12300
11,A264900,农扼款力苞,20210728,12150
12,A264900,农扼款力苞,20210727,12450
13,A264900,农扼款力苞,20210726,12350
14,A264900,农扼款力苞,20210723,12200
15,A264900,农扼款力苞,20210722,12000
16,A264900,农扼款力苞,20210721,11950
17,A264900,农扼款力苞,20210720,12150
18,A264900,农扼款力苞,20210719,12150
19,A264900,农扼款力苞,20210716,12300
20,A264900,农扼款力苞,20210715,12550
21,A264900,农扼款力苞,20210714,12700
22,A264900,农扼款力苞,20210713,12600
23,A264900,农扼款力苞,20210712,12300
24,A264900,农扼款力苞,20210709,12100
25,A264900,农扼款力苞,20210708,12400
26,A264900,农扼款力苞,20210707,12850
27,A264900,农扼款力苞,20210706,13050
28,A264900,农扼款力苞,20210705,12900
29,A264900,农扼款力苞,20210702,12900
30,A264900,农扼款力苞,20210701,13050
31,A264900,农扼款力苞,20210630,13250
32,A264900,农扼款力苞,20210629,13500
33,A264900,农扼款力苞,20210628,13900
34,A264900,农扼款力苞,20210625,13750
35,A264900,农扼款力苞,20210624,13850
36,A264900,农扼款力苞,20210623,13250
37,A264900,农扼款力苞,20210622,13550
38,A264900,农扼款力苞,20210621,13600
39,A264900,农扼款力苞,20210618,14150
40,A264900,农扼款力苞,20210617,14100
41,A264900,农扼款力苞,20210616,14050
42,A264900,农扼款力苞,20210615,13800
43,A264900,农扼款力苞,20210614,14000
44,A264900,农扼款力苞,20210611,13850
45,A264900,农扼款力苞,20210610,13900
46,A264900,农扼款力苞,20210609,14550
47,A264900,农扼款力苞,20210608,14300
48,A264900,农扼款力苞,20210607,14600
49,A264900,农扼款力苞,20210604,15000
50,A264900,农扼款力苞,20210603,15550
51,A264900,农扼款力苞,20210602,15500
52,A264900,农扼款力苞,20210601,14650
53,A264900,农扼款力苞,20210531,14200
54,A264900,农扼款力苞,20210528,13950
55,A264900,农扼款力苞,20210527,13850
56,A264900,农扼款力苞,20210526,14100
57,A264900,农扼款力苞,20210525,13700
58,A264900,农扼款力苞,20210524,13400
59,A264900,农扼款力苞,20210521,13950
60,A264900,农扼款力苞,20210520,14700
61,A264900,农扼款力苞,20210518,14350
62,A264900,农扼款力苞,20210517,14600
63,A264900,农扼款力苞,20210514,14300
64,A264900,农扼款力苞,20210513,14100
65,A264900,农扼款力苞,20210512,13900
66,A264900,农扼款力苞,20210511,14200
67,A264900,农扼款力苞,20210510,14500
68,A264900,农扼款力苞,20210507,14500
69,A264900,农扼款力苞,20210506,13900
70,A264900,农扼款力苞,20210504,13850
71,A264900,农扼款力苞,20210503,14200
72,A264900,农扼款力苞,20210430,14100
73,A264900,农扼款力苞,20210429,14250
74,A264900,农扼款力苞,20210428,14650
75,A264900,农扼款力苞,20210427,14500
76,A264900,农扼款力苞,20210426,14850
77,A264900,农扼款力苞,20210423,15650
78,A264900,农扼款力苞,20210422,15150
79,A264900,农扼款力苞,20210421,15450
80,A264900,农扼款力苞,20210420,16000
81,A264900,农扼款力苞,20210419,16800
82,A264900,农扼款力苞,20210416,14900
83,A264900,农扼款力苞,20210415,12950
84,A264900,农扼款力苞,20210414,13650
85,A264900,农扼款力苞,20210413,14200
86,A264900,农扼款力苞,20210412,14850
87,A264900,农扼款力苞,20210409,15600
88,A264900,农扼款力苞,20210408,15600
89,A264900,农扼款力苞,20210407,13700
90,A264900,农扼款力苞,20210406,10550
91,A264900,农扼款力苞,20210405,10400
92,A264900,农扼款力苞,20210402,10500
93,A264900,农扼款力苞,20210401,10200
94,A264900,农扼款力苞,20210331,10500
95,A264900,农扼款力苞,20210330,10300
96,A264900,农扼款力苞,20210329,10300
97,A264900,农扼款力苞,20210326,10000
98,A264900,农扼款力苞,20210325,9980
99,A264900,农扼款力苞,20210324,9930
100,A264900,农扼款力苞,20210323,9960
101,A264900,农扼款力苞,20210322,9970
102,A264900,农扼款力苞,20210319,9980
103,A264900,农扼款力苞,20210318,9980
104,A264900,农扼款力苞,20210317,10050
105,A264900,农扼款力苞,20210316,10050
106,A264900,农扼款力苞,20210315,9970
107,A264900,农扼款力苞,20210312,10150
108,A264900,农扼款力苞,20210311,10150
109,A264900,农扼款力苞,20210310,10200
110,A264900,农扼款力苞,20210309,10050
111,A264900,农扼款力苞,20210308,10000
112,A264900,农扼款力苞,20210305,9880
113,A264900,农扼款力苞,20210304,9900
114,A264900,农扼款力苞,20210303,10050
115,A264900,农扼款力苞,20210302,9850
116,A264900,农扼款力苞,20210226,9810
117,A264900,农扼款力苞,20210225,10200
118,A264900,农扼款力苞,20210224,9970
119,A264900,农扼款力苞,20210223,10550
120,A264900,农扼款力苞,20210222,10650
121,A264900,农扼款力苞,20210219,10850
122,A264900,农扼款力苞,20210218,10900
123,A264900,农扼款力苞,20210217,11000
124,A264900,农扼款力苞,20210216,11100
125,A264900,农扼款力苞,20210215,10600
126,A264900,农扼款力苞,20210210,10350
127,A264900,农扼款力苞,20210209,10350
128,A264900,农扼款力苞,20210208,10650
129,A264900,农扼款力苞,20210205,10500
130,A264900,农扼款力苞,20210204,10250
131,A264900,农扼款力苞,20210203,10950
132,A264900,农扼款力苞,20210202,11000
133,A264900,农扼款力苞,20210201,10650
134,A264900,农扼款力苞,20210129,10550
135,A264900,农扼款力苞,20210128,9880
136,A264900,农扼款力苞,20210127,10050
137,A264900,农扼款力苞,20210126,9360
138,A264900,农扼款力苞,20210125,9270
139,A264900,农扼款力苞,20210122,9260
140,A264900,农扼款力苞,20210121,9310
141,A264900,农扼款力苞,20210120,8840
142,A264900,农扼款力苞,20210119,8800
143,A264900,农扼款力苞,20210118,8760
144,A264900,农扼款力苞,20210115,8830
145,A264900,农扼款力苞,20210114,8850
146,A264900,农扼款力苞,20210113,8820
147,A264900,农扼款力苞,20210112,8780
148,A264900,农扼款力苞,20210111,8830
149,A264900,农扼款力苞,20210108,9050
150,A264900,农扼款力苞,20210107,8930
151,A264900,农扼款力苞,20210106,8830
152,A264900,农扼款力苞,20210105,8800
153,A264900,农扼款力苞,20210104,8800
154,A264900,农扼款力苞,20201230,8880
155,A264900,农扼款力苞,20201229,8920
156,A264900,农扼款力苞,20201228,8970
157,A264900,农扼款力苞,20201224,8880
158,A264900,农扼款力苞,20201223,8790
159,A264900,农扼款力苞,20201222,9010
160,A264900,农扼款力苞,20201221,9080
161,A264900,农扼款力苞,20201218,9060
162,A264900,农扼款力苞,20201217,9010
163,A264900,农扼款力苞,20201216,8990
164,A264900,农扼款力苞,20201215,8950
165,A264900,农扼款力苞,20201214,9070
166,A264900,农扼款力苞,20201211,8970
167,A264900,农扼款力苞,20201210,8860
168,A264900,农扼款力苞,20201209,8840
169,A264900,农扼款力苞,20201208,8790
170,A264900,农扼款力苞,20201207,8790
171,A264900,农扼款力苞,20201204,8790
172,A264900,农扼款力苞,20201203,8800
173,A264900,农扼款力苞,20201202,8780
174,A264900,农扼款力苞,20201201,8790
175,A264900,农扼款力苞,20201130,8790
176,A264900,农扼款力苞,20201127,8790
177,A264900,农扼款力苞,20201126,8740
178,A264900,农扼款力苞,20201125,8730
179,A264900,农扼款力苞,20201124,8850
180,A264900,农扼款力苞,20201123,8810
181,A264900,农扼款力苞,20201120,8780
182,A264900,农扼款力苞,20201119,8670
183,A264900,农扼款力苞,20201118,8660
184,A264900,农扼款力苞,20201117,8520
185,A264900,农扼款力苞,20201116,8560
186,A264900,农扼款力苞,20201113,8500
187,A264900,农扼款力苞,20201112,8560
188,A264900,农扼款力苞,20201111,8580
189,A264900,农扼款力苞,20201110,8500
190,A264900,农扼款力苞,20201109,8550
191,A264900,农扼款力苞,20201106,8530
192,A264900,农扼款力苞,20201105,8580
193,A264900,农扼款力苞,20201104,8520
194,A264900,农扼款力苞,20201103,8480
195,A264900,农扼款力苞,20201102,8310
196,A264900,农扼款力苞,20201030,8220
197,A264900,农扼款力苞,20201029,8400
198,A264900,农扼款力苞,20201028,8410
199,A264900,农扼款力苞,20201027,8440
200,A264900,农扼款力苞,20201026,8500
201,A264900,农扼款力苞,20201023,8590
202,A264900,农扼款力苞,20201022,8600
203,A264900,农扼款力苞,20201021,8590
204,A264900,农扼款力苞,20201020,8520
205,A264900,农扼款力苞,20201019,8610
206,A264900,农扼款力苞,20201016,8630
207,A264900,农扼款力苞,20201015,8620
208,A264900,农扼款力苞,20201014,8590
209,A264900,农扼款力苞,20201013,8630
210,A264900,农扼款力苞,20201012,8620
211,A264900,农扼款力苞,20201008,8600
212,A264900,农扼款力苞,20201007,8410
213,A264900,农扼款力苞,20201006,8410
214,A264900,农扼款力苞,20201005,8400
215,A264900,农扼款力苞,20200929,8290
216,A264900,农扼款力苞,20200928,8180
217,A264900,农扼款力苞,20200925,8020
218,A264900,农扼款力苞,20200924,8110
219,A264900,农扼款力苞,20200923,8350
220,A264900,农扼款力苞,20200922,8380
221,A264900,农扼款力苞,20200921,8620
222,A264900,农扼款力苞,20200918,8700
223,A264900,农扼款力苞,20200917,8800
224,A264900,农扼款力苞,20200916,8830
225,A264900,农扼款力苞,20200915,8880
226,A264900,农扼款力苞,20200914,8680
227,A264900,农扼款力苞,20200911,8620
228,A264900,农扼款力苞,20200910,8560
229,A264900,农扼款力苞,20200909,8620
230,A264900,农扼款力苞,20200908,8600
231,A264900,农扼款力苞,20200907,8700
