,종목코드,종목명,날짜,종가
0,A054780,키이스트,20210812,15150
1,A054780,키이스트,20210811,15150
2,A054780,키이스트,20210810,15300
3,A054780,키이스트,20210809,15850
4,A054780,키이스트,20210806,16650
5,A054780,키이스트,20210805,16700
6,A054780,키이스트,20210804,17500
7,A054780,키이스트,20210803,15150
8,A054780,키이스트,20210802,14250
9,A054780,키이스트,20210730,14450
10,A054780,키이스트,20210729,14850
11,A054780,키이스트,20210728,14650
12,A054780,키이스트,20210727,15000
13,A054780,키이스트,20210726,15500
14,A054780,키이스트,20210723,15900
15,A054780,키이스트,20210722,15850
16,A054780,키이스트,20210721,15350
17,A054780,키이스트,20210720,15200
18,A054780,키이스트,20210719,15600
19,A054780,키이스트,20210716,16600
20,A054780,키이스트,20210715,16300
21,A054780,키이스트,20210714,15400
22,A054780,키이스트,20210713,15300
23,A054780,키이스트,20210712,15050
24,A054780,키이스트,20210709,14800
25,A054780,키이스트,20210708,15100
26,A054780,키이스트,20210707,15000
27,A054780,키이스트,20210706,15100
28,A054780,키이스트,20210705,15300
29,A054780,키이스트,20210702,14650
30,A054780,키이스트,20210701,14750
31,A054780,키이스트,20210630,14850
32,A054780,키이스트,20210629,14750
33,A054780,키이스트,20210628,14600
34,A054780,키이스트,20210625,14850
35,A054780,키이스트,20210624,15000
36,A054780,키이스트,20210623,14950
37,A054780,키이스트,20210622,14700
38,A054780,키이스트,20210621,14750
39,A054780,키이스트,20210618,14850
40,A054780,키이스트,20210617,14450
41,A054780,키이스트,20210616,14500
42,A054780,키이스트,20210615,14700
43,A054780,키이스트,20210614,14650
44,A054780,키이스트,20210611,14800
45,A054780,키이스트,20210610,14200
46,A054780,키이스트,20210609,14300
47,A054780,키이스트,20210608,14450
48,A054780,키이스트,20210607,14750
49,A054780,키이스트,20210604,14650
50,A054780,키이스트,20210603,15000
51,A054780,키이스트,20210602,14950
52,A054780,키이스트,20210601,14950
53,A054780,키이스트,20210531,15450
54,A054780,키이스트,20210528,15650
55,A054780,키이스트,20210527,14850
56,A054780,키이스트,20210526,14600
57,A054780,키이스트,20210525,14650
58,A054780,키이스트,20210524,14250
59,A054780,키이스트,20210521,14200
60,A054780,키이스트,20210520,14350
61,A054780,키이스트,20210518,14100
62,A054780,키이스트,20210517,14000
63,A054780,키이스트,20210514,13600
64,A054780,키이스트,20210513,13450
65,A054780,키이스트,20210512,14000
66,A054780,키이스트,20210511,13800
67,A054780,키이스트,20210510,14550
68,A054780,키이스트,20210507,14600
69,A054780,키이스트,20210506,14550
70,A054780,키이스트,20210504,14900
71,A054780,키이스트,20210503,14550
72,A054780,키이스트,20210430,15000
73,A054780,키이스트,20210429,14950
74,A054780,키이스트,20210428,15100
75,A054780,키이스트,20210427,15500
76,A054780,키이스트,20210426,15700
77,A054780,키이스트,20210423,15500
78,A054780,키이스트,20210422,15350
79,A054780,키이스트,20210421,15400
80,A054780,키이스트,20210420,15800
81,A054780,키이스트,20210419,15700
82,A054780,키이스트,20210416,16550
83,A054780,키이스트,20210415,16900
84,A054780,키이스트,20210414,16600
85,A054780,키이스트,20210413,17050
86,A054780,키이스트,20210412,17250
87,A054780,키이스트,20210409,16650
88,A054780,키이스트,20210408,16500
89,A054780,키이스트,20210407,16650
90,A054780,키이스트,20210406,17300
91,A054780,키이스트,20210405,16800
92,A054780,키이스트,20210402,16650
93,A054780,키이스트,20210401,17150
94,A054780,키이스트,20210331,17900
95,A054780,키이스트,20210330,18100
96,A054780,키이스트,20210329,17950
97,A054780,키이스트,20210326,17450
98,A054780,키이스트,20210325,16850
99,A054780,키이스트,20210324,16550
100,A054780,키이스트,20210323,15700
101,A054780,키이스트,20210322,16500
102,A054780,키이스트,20210319,16200
103,A054780,키이스트,20210318,16250
104,A054780,키이스트,20210317,16400
105,A054780,키이스트,20210316,16050
106,A054780,키이스트,20210315,14800
107,A054780,키이스트,20210312,15300
108,A054780,키이스트,20210311,15300
109,A054780,키이스트,20210310,15800
110,A054780,키이스트,20210309,15700
111,A054780,키이스트,20210308,15200
112,A054780,키이스트,20210305,15350
113,A054780,키이스트,20210304,15100
114,A054780,키이스트,20210303,14350
115,A054780,키이스트,20210302,14100
116,A054780,키이스트,20210226,14300
117,A054780,키이스트,20210225,14750
118,A054780,키이스트,20210224,14050
119,A054780,키이스트,20210223,15250
120,A054780,키이스트,20210222,16050
121,A054780,키이스트,20210219,17000
122,A054780,키이스트,20210218,17000
123,A054780,키이스트,20210217,18350
124,A054780,키이스트,20210216,18750
125,A054780,키이스트,20210215,18000
126,A054780,키이스트,20210210,17150
127,A054780,키이스트,20210209,16300
128,A054780,키이스트,20210208,16100
129,A054780,키이스트,20210205,16900
130,A054780,키이스트,20210204,16950
131,A054780,키이스트,20210203,15950
132,A054780,키이스트,20210202,15600
133,A054780,키이스트,20210201,16100
134,A054780,키이스트,20210129,16100
135,A054780,키이스트,20210128,17550
136,A054780,키이스트,20210127,18800
137,A054780,키이스트,20210126,18200
138,A054780,키이스트,20210125,18600
139,A054780,키이스트,20210122,18400
140,A054780,키이스트,20210121,18200
141,A054780,키이스트,20210120,17800
142,A054780,키이스트,20210119,13700
143,A054780,키이스트,20210118,12800
144,A054780,키이스트,20210115,13650
145,A054780,키이스트,20210114,14700
146,A054780,키이스트,20210113,14500
147,A054780,키이스트,20210112,14300
148,A054780,키이스트,20210111,14300
149,A054780,키이스트,20210108,13800
150,A054780,키이스트,20210107,12050
151,A054780,키이스트,20210106,10850
152,A054780,키이스트,20210105,11000
153,A054780,키이스트,20210104,11300
154,A054780,키이스트,20201230,11600
155,A054780,키이스트,20201229,11300
156,A054780,키이스트,20201228,10350
157,A054780,키이스트,20201224,10500
158,A054780,키이스트,20201223,10350
159,A054780,키이스트,20201222,10450
160,A054780,키이스트,20201221,10800
161,A054780,키이스트,20201218,11050
162,A054780,키이스트,20201217,11200
163,A054780,키이스트,20201216,11300
164,A054780,키이스트,20201215,11250
165,A054780,키이스트,20201214,11300
166,A054780,키이스트,20201211,11850
167,A054780,키이스트,20201210,11600
168,A054780,키이스트,20201209,11550
169,A054780,키이스트,20201208,11700
170,A054780,키이스트,20201207,11300
171,A054780,키이스트,20201204,11500
172,A054780,키이스트,20201203,11650
173,A054780,키이스트,20201202,11600
174,A054780,키이스트,20201201,11300
175,A054780,키이스트,20201130,11200
176,A054780,키이스트,20201127,11400
177,A054780,키이스트,20201126,11600
178,A054780,키이스트,20201125,11700
179,A054780,키이스트,20201124,12000
180,A054780,키이스트,20201123,11850
181,A054780,키이스트,20201120,12000
182,A054780,키이스트,20201119,11600
183,A054780,키이스트,20201118,11700
184,A054780,키이스트,20201117,11750
185,A054780,키이스트,20201116,12100
186,A054780,키이스트,20201113,12100
187,A054780,키이스트,20201112,12100
188,A054780,키이스트,20201111,11700
189,A054780,키이스트,20201110,11650
190,A054780,키이스트,20201109,11500
191,A054780,키이스트,20201106,11400
192,A054780,키이스트,20201105,11700
193,A054780,키이스트,20201104,11400
194,A054780,키이스트,20201103,11500
195,A054780,키이스트,20201102,10850
196,A054780,키이스트,20201030,10600
197,A054780,키이스트,20201029,11000
198,A054780,키이스트,20201028,11200
199,A054780,키이스트,20201027,11000
200,A054780,키이스트,20201026,11050
201,A054780,키이스트,20201023,12000
202,A054780,키이스트,20201022,12100
203,A054780,키이스트,20201021,12650
204,A054780,키이스트,20201020,12450
205,A054780,키이스트,20201019,12650
206,A054780,키이스트,20201016,12500
207,A054780,키이스트,20201015,13150
208,A054780,키이스트,20201014,14250
209,A054780,키이스트,20201013,14500
210,A054780,키이스트,20201012,14450
211,A054780,키이스트,20201008,14300
212,A054780,키이스트,20201007,14400
213,A054780,키이스트,20201006,14650
214,A054780,키이스트,20201005,14850
215,A054780,키이스트,20200929,15250
216,A054780,키이스트,20200928,15600
217,A054780,키이스트,20200925,14750
218,A054780,키이스트,20200924,14800
219,A054780,키이스트,20200923,15250
220,A054780,키이스트,20200922,15500
221,A054780,키이스트,20200921,15300
222,A054780,키이스트,20200918,15300
223,A054780,키이스트,20200917,15300
224,A054780,키이스트,20200916,15600
