,а╬╦Ядз╣Е,а╬╦Я╦М,Ё╞б╔,а╬╟║
0,A003240,еб╠╓╩Й╬В,20210812,1099000
1,A003240,еб╠╓╩Й╬В,20210811,1109000
2,A003240,еб╠╓╩Й╬В,20210810,1099000
3,A003240,еб╠╓╩Й╬В,20210809,1106000
4,A003240,еб╠╓╩Й╬В,20210806,1110000
5,A003240,еб╠╓╩Й╬В,20210805,1104000
6,A003240,еб╠╓╩Й╬В,20210804,1097000
7,A003240,еб╠╓╩Й╬В,20210803,1088000
8,A003240,еб╠╓╩Й╬В,20210802,1106000
9,A003240,еб╠╓╩Й╬В,20210730,1122000
10,A003240,еб╠╓╩Й╬В,20210729,1114000
11,A003240,еб╠╓╩Й╬В,20210728,1107000
12,A003240,еб╠╓╩Й╬В,20210727,1099000
13,A003240,еб╠╓╩Й╬В,20210726,1094000
14,A003240,еб╠╓╩Й╬В,20210723,1081000
15,A003240,еб╠╓╩Й╬В,20210722,1064000
16,A003240,еб╠╓╩Й╬В,20210721,1055000
17,A003240,еб╠╓╩Й╬В,20210720,1077000
18,A003240,еб╠╓╩Й╬В,20210719,1076000
19,A003240,еб╠╓╩Й╬В,20210716,1089000
20,A003240,еб╠╓╩Й╬В,20210715,1110000
21,A003240,еб╠╓╩Й╬В,20210714,1115000
22,A003240,еб╠╓╩Й╬В,20210713,1113000
23,A003240,еб╠╓╩Й╬В,20210712,1107000
24,A003240,еб╠╓╩Й╬В,20210709,1081000
25,A003240,еб╠╓╩Й╬В,20210708,1109000
26,A003240,еб╠╓╩Й╬В,20210707,1138000
27,A003240,еб╠╓╩Й╬В,20210706,1151000
28,A003240,еб╠╓╩Й╬В,20210705,1152000
29,A003240,еб╠╓╩Й╬В,20210702,1156000
30,A003240,еб╠╓╩Й╬В,20210701,1167000
31,A003240,еб╠╓╩Й╬В,20210630,1166000
32,A003240,еб╠╓╩Й╬В,20210629,1171000
33,A003240,еб╠╓╩Й╬В,20210628,1178000
34,A003240,еб╠╓╩Й╬В,20210625,1175000
35,A003240,еб╠╓╩Й╬В,20210624,1166000
36,A003240,еб╠╓╩Й╬В,20210623,1183000
37,A003240,еб╠╓╩Й╬В,20210622,1198000
38,A003240,еб╠╓╩Й╬В,20210621,1180000
39,A003240,еб╠╓╩Й╬В,20210618,1207000
40,A003240,еб╠╓╩Й╬В,20210617,1224000
41,A003240,еб╠╓╩Й╬В,20210616,1250000
42,A003240,еб╠╓╩Й╬В,20210615,1269000
43,A003240,еб╠╓╩Й╬В,20210614,1277000
44,A003240,еб╠╓╩Й╬В,20210611,1291000
45,A003240,еб╠╓╩Й╬В,20210610,1299000
46,A003240,еб╠╓╩Й╬В,20210609,1296000
47,A003240,еб╠╓╩Й╬В,20210608,1299000
48,A003240,еб╠╓╩Й╬В,20210607,1300000
49,A003240,еб╠╓╩Й╬В,20210604,1290000
50,A003240,еб╠╓╩Й╬В,20210603,1272000
51,A003240,еб╠╓╩Й╬В,20210602,1251000
52,A003240,еб╠╓╩Й╬В,20210601,1239000
53,A003240,еб╠╓╩Й╬В,20210531,1249000
54,A003240,еб╠╓╩Й╬В,20210528,1252000
55,A003240,еб╠╓╩Й╬В,20210527,1190000
56,A003240,еб╠╓╩Й╬В,20210526,1215000
57,A003240,еб╠╓╩Й╬В,20210525,1169000
58,A003240,еб╠╓╩Й╬В,20210524,1168000
59,A003240,еб╠╓╩Й╬В,20210521,1174000
60,A003240,еб╠╓╩Й╬В,20210520,1164000
61,A003240,еб╠╓╩Й╬В,20210518,1198000
62,A003240,еб╠╓╩Й╬В,20210517,1207000
63,A003240,еб╠╓╩Й╬В,20210514,1208000
64,A003240,еб╠╓╩Й╬В,20210513,1200000
65,A003240,еб╠╓╩Й╬В,20210512,1165000
66,A003240,еб╠╓╩Й╬В,20210511,1175000
67,A003240,еб╠╓╩Й╬В,20210510,1148000
68,A003240,еб╠╓╩Й╬В,20210507,1090000
69,A003240,еб╠╓╩Й╬В,20210506,1110000
70,A003240,еб╠╓╩Й╬В,20210504,1055000
71,A003240,еб╠╓╩Й╬В,20210503,1044000
72,A003240,еб╠╓╩Й╬В,20210430,1043000
73,A003240,еб╠╓╩Й╬В,20210429,1078000
74,A003240,еб╠╓╩Й╬В,20210428,1055000
75,A003240,еб╠╓╩Й╬В,20210427,1096000
76,A003240,еб╠╓╩Й╬В,20210426,1143000
77,A003240,еб╠╓╩Й╬В,20210423,1124000
78,A003240,еб╠╓╩Й╬В,20210422,1074000
79,A003240,еб╠╓╩Й╬В,20210421,1082000
80,A003240,еб╠╓╩Й╬В,20210420,1055000
81,A003240,еб╠╓╩Й╬В,20210419,1011000
82,A003240,еб╠╓╩Й╬В,20210416,988000
83,A003240,еб╠╓╩Й╬В,20210415,977000
84,A003240,еб╠╓╩Й╬В,20210414,1000000
85,A003240,еб╠╓╩Й╬В,20210413,1037000
86,A003240,еб╠╓╩Й╬В,20210412,1015000
87,A003240,еб╠╓╩Й╬В,20210409,1004000
88,A003240,еб╠╓╩Й╬В,20210408,984000
89,A003240,еб╠╓╩Й╬В,20210407,982000
90,A003240,еб╠╓╩Й╬В,20210406,983000
91,A003240,еб╠╓╩Й╬В,20210405,983000
92,A003240,еб╠╓╩Й╬В,20210402,954000
93,A003240,еб╠╓╩Й╬В,20210401,924000
94,A003240,еб╠╓╩Й╬В,20210331,920000
95,A003240,еб╠╓╩Й╬В,20210330,917000
96,A003240,еб╠╓╩Й╬В,20210329,914000
97,A003240,еб╠╓╩Й╬В,20210326,931000
98,A003240,еб╠╓╩Й╬В,20210325,946000
99,A003240,еб╠╓╩Й╬В,20210324,949000
100,A003240,еб╠╓╩Й╬В,20210323,948000
101,A003240,еб╠╓╩Й╬В,20210322,948000
102,A003240,еб╠╓╩Й╬В,20210319,923000
103,A003240,еб╠╓╩Й╬В,20210318,921000
104,A003240,еб╠╓╩Й╬В,20210317,925000
