,종목코드,종목명,날짜,종가
0,A004100,태양금속,20210812,1555
1,A004100,태양금속,20210811,1550
2,A004100,태양금속,20210810,1535
3,A004100,태양금속,20210809,1570
4,A004100,태양금속,20210806,1610
5,A004100,태양금속,20210805,1615
6,A004100,태양금속,20210804,1610
7,A004100,태양금속,20210803,1580
8,A004100,태양금속,20210802,1595
9,A004100,태양금속,20210730,1620
10,A004100,태양금속,20210729,1630
11,A004100,태양금속,20210728,1615
12,A004100,태양금속,20210727,1640
13,A004100,태양금속,20210726,1650
14,A004100,태양금속,20210723,1625
15,A004100,태양금속,20210722,1600
16,A004100,태양금속,20210721,1610
17,A004100,태양금속,20210720,1645
18,A004100,태양금속,20210719,1675
19,A004100,태양금속,20210716,1710
20,A004100,태양금속,20210715,1705
21,A004100,태양금속,20210714,1660
22,A004100,태양금속,20210713,1690
23,A004100,태양금속,20210712,1680
24,A004100,태양금속,20210709,1680
25,A004100,태양금속,20210708,1650
26,A004100,태양금속,20210707,1705
27,A004100,태양금속,20210706,1730
28,A004100,태양금속,20210705,1710
29,A004100,태양금속,20210702,1725
30,A004100,태양금속,20210701,1765
31,A004100,태양금속,20210630,1795
32,A004100,태양금속,20210629,1795
33,A004100,태양금속,20210628,1800
34,A004100,태양금속,20210625,1750
35,A004100,태양금속,20210624,1775
36,A004100,태양금속,20210623,1760
37,A004100,태양금속,20210622,1835
38,A004100,태양금속,20210621,1780
39,A004100,태양금속,20210618,1845
40,A004100,태양금속,20210617,1885
41,A004100,태양금속,20210616,1800
42,A004100,태양금속,20210615,1730
43,A004100,태양금속,20210614,1725
44,A004100,태양금속,20210611,1760
45,A004100,태양금속,20210610,1725
46,A004100,태양금속,20210609,1785
47,A004100,태양금속,20210608,1735
48,A004100,태양금속,20210607,1745
49,A004100,태양금속,20210604,1730
50,A004100,태양금속,20210603,1770
51,A004100,태양금속,20210602,1785
52,A004100,태양금속,20210601,1795
53,A004100,태양금속,20210531,1795
54,A004100,태양금속,20210528,1765
55,A004100,태양금속,20210527,1750
56,A004100,태양금속,20210526,1750
57,A004100,태양금속,20210525,1660
58,A004100,태양금속,20210524,1610
59,A004100,태양금속,20210521,1700
60,A004100,태양금속,20210520,1675
61,A004100,태양금속,20210518,1585
62,A004100,태양금속,20210517,1585
63,A004100,태양금속,20210514,1595
64,A004100,태양금속,20210513,1650
65,A004100,태양금속,20210512,1600
66,A004100,태양금속,20210511,1650
67,A004100,태양금속,20210510,1590
68,A004100,태양금속,20210507,1590
69,A004100,태양금속,20210506,1610
70,A004100,태양금속,20210504,1540
71,A004100,태양금속,20210503,1525
72,A004100,태양금속,20210430,1515
73,A004100,태양금속,20210429,1525
74,A004100,태양금속,20210428,1555
75,A004100,태양금속,20210427,1570
76,A004100,태양금속,20210426,1540
77,A004100,태양금속,20210423,1565
78,A004100,태양금속,20210422,1590
79,A004100,태양금속,20210421,1570
80,A004100,태양금속,20210420,1590
81,A004100,태양금속,20210419,1585
82,A004100,태양금속,20210416,1560
83,A004100,태양금속,20210415,1550
84,A004100,태양금속,20210414,1555
85,A004100,태양금속,20210413,1590
86,A004100,태양금속,20210412,1620
87,A004100,태양금속,20210409,1605
88,A004100,태양금속,20210408,1605
89,A004100,태양금속,20210407,1645
90,A004100,태양금속,20210406,1720
91,A004100,태양금속,20210405,1715
92,A004100,태양금속,20210402,1815
93,A004100,태양금속,20210401,1710
94,A004100,태양금속,20210331,1615
95,A004100,태양금속,20210330,1670
96,A004100,태양금속,20210329,1575
97,A004100,태양금속,20210326,1545
98,A004100,태양금속,20210325,1625
99,A004100,태양금속,20210324,1560
100,A004100,태양금속,20210323,1515
101,A004100,태양금속,20210322,1575
102,A004100,태양금속,20210319,1585
103,A004100,태양금속,20210318,1560
104,A004100,태양금속,20210317,1585
105,A004100,태양금속,20210316,1595
106,A004100,태양금속,20210315,1635
107,A004100,태양금속,20210312,1625
108,A004100,태양금속,20210311,1680
109,A004100,태양금속,20210310,1475
110,A004100,태양금속,20210309,1545
111,A004100,태양금속,20210308,1315
112,A004100,태양금속,20210305,1290
113,A004100,태양금속,20210304,1445
114,A004100,태양금속,20210303,1255
115,A004100,태양금속,20210302,1205
116,A004100,태양금속,20210226,1200
117,A004100,태양금속,20210225,1225
118,A004100,태양금속,20210224,1205
119,A004100,태양금속,20210223,1250
120,A004100,태양금속,20210222,1230
121,A004100,태양금속,20210219,1250
122,A004100,태양금속,20210218,1265
123,A004100,태양금속,20210217,1320
124,A004100,태양금속,20210216,1280
125,A004100,태양금속,20210215,1310
126,A004100,태양금속,20210210,1325
127,A004100,태양금속,20210209,1320
128,A004100,태양금속,20210208,1210
129,A004100,태양금속,20210205,1250
130,A004100,태양금속,20210204,1240
131,A004100,태양금속,20210203,1265
132,A004100,태양금속,20210202,1195
133,A004100,태양금속,20210201,1175
134,A004100,태양금속,20210129,1170
135,A004100,태양금속,20210128,1220
136,A004100,태양금속,20210127,1260
137,A004100,태양금속,20210126,1290
138,A004100,태양금속,20210125,1285
139,A004100,태양금속,20210122,1290
140,A004100,태양금속,20210121,1265
141,A004100,태양금속,20210120,1235
142,A004100,태양금속,20210119,1210
143,A004100,태양금속,20210118,1190
144,A004100,태양금속,20210115,1210
145,A004100,태양금속,20210114,1210
146,A004100,태양금속,20210113,1170
147,A004100,태양금속,20210112,1145
148,A004100,태양금속,20210111,1120
149,A004100,태양금속,20210108,1180
150,A004100,태양금속,20210107,1200
151,A004100,태양금속,20210106,1135
152,A004100,태양금속,20210105,1150
153,A004100,태양금속,20210104,1140
154,A004100,태양금속,20201230,1110
155,A004100,태양금속,20201229,1095
156,A004100,태양금속,20201228,1080
157,A004100,태양금속,20201224,1070
158,A004100,태양금속,20201223,1060
159,A004100,태양금속,20201222,1080
160,A004100,태양금속,20201221,1120
161,A004100,태양금속,20201218,1130
162,A004100,태양금속,20201217,1135
163,A004100,태양금속,20201216,1155
164,A004100,태양금속,20201215,1160
165,A004100,태양금속,20201214,1145
166,A004100,태양금속,20201211,1170
167,A004100,태양금속,20201210,1140
168,A004100,태양금속,20201209,1165
169,A004100,태양금속,20201208,1170
170,A004100,태양금속,20201207,1210
171,A004100,태양금속,20201204,1135
172,A004100,태양금속,20201203,1170
173,A004100,태양금속,20201202,1140
174,A004100,태양금속,20201201,1085
175,A004100,태양금속,20201130,1080
176,A004100,태양금속,20201127,1080
177,A004100,태양금속,20201126,1065
178,A004100,태양금속,20201125,1070
179,A004100,태양금속,20201124,1075
180,A004100,태양금속,20201123,1075
181,A004100,태양금속,20201120,1080
182,A004100,태양금속,20201119,1090
183,A004100,태양금속,20201118,1080
184,A004100,태양금속,20201117,1065
185,A004100,태양금속,20201116,1060
186,A004100,태양금속,20201113,1055
187,A004100,태양금속,20201112,1065
188,A004100,태양금속,20201111,1060
189,A004100,태양금속,20201110,1035
190,A004100,태양금속,20201109,1040
191,A004100,태양금속,20201106,1035
192,A004100,태양금속,20201105,1045
193,A004100,태양금속,20201104,1035
194,A004100,태양금속,20201103,1035
195,A004100,태양금속,20201102,1030
196,A004100,태양금속,20201030,980
197,A004100,태양금속,20201029,995
198,A004100,태양금속,20201028,1010
199,A004100,태양금속,20201027,1000
200,A004100,태양금속,20201026,1000
201,A004100,태양금속,20201023,1015
202,A004100,태양금속,20201022,1010
203,A004100,태양금속,20201021,1015
204,A004100,태양금속,20201020,1010
205,A004100,태양금속,20201019,1010
206,A004100,태양금속,20201016,1015
207,A004100,태양금속,20201015,1010
208,A004100,태양금속,20201014,1025
209,A004100,태양금속,20201013,1040
210,A004100,태양금속,20201012,1045
211,A004100,태양금속,20201008,1035
212,A004100,태양금속,20201007,1030
213,A004100,태양금속,20201006,1035
214,A004100,태양금속,20201005,1035
215,A004100,태양금속,20200929,1010
216,A004100,태양금속,20200928,994
217,A004100,태양금속,20200925,971
218,A004100,태양금속,20200924,970
219,A004100,태양금속,20200923,983
220,A004100,태양금속,20200922,1020
221,A004100,태양금속,20200921,1095
222,A004100,태양금속,20200918,1070
223,A004100,태양금속,20200917,1050
224,A004100,태양금속,20200916,1060
225,A004100,태양금속,20200915,1045
226,A004100,태양금속,20200914,1045
227,A004100,태양금속,20200911,1030
228,A004100,태양금속,20200910,1035
229,A004100,태양금속,20200909,1015
230,A004100,태양금속,20200908,1015
231,A004100,태양금속,20200907,1025
232,A004100,태양금속,20200904,1010
233,A004100,태양금속,20200903,1040
234,A004100,태양금속,20200902,1025
235,A004100,태양금속,20200901,1030
236,A004100,태양금속,20200831,1005
237,A004100,태양금속,20200828,992
238,A004100,태양금속,20200827,988
239,A004100,태양금속,20200826,1000
240,A004100,태양금속,20200825,1000
241,A004100,태양금속,20200824,978
242,A004100,태양금속,20200821,986
243,A004100,태양금속,20200820,974
244,A004100,태양금속,20200819,1025
245,A004100,태양금속,20200818,1010
246,A004100,태양금속,20200814,1080
247,A004100,태양금속,20200813,1105
248,A004100,태양금속,20200812,1085
249,A004100,태양금속,20200811,1110
250,A004100,태양금속,20200810,1080
251,A004100,태양금속,20200807,1075
252,A004100,태양금속,20200806,1065
253,A004100,태양금속,20200805,1060
254,A004100,태양금속,20200804,1055
255,A004100,태양금속,20200803,1045
256,A004100,태양금속,20200731,1070
257,A004100,태양금속,20200730,1065
258,A004100,태양금속,20200729,1070
259,A004100,태양금속,20200728,1065
260,A004100,태양금속,20200727,1060
261,A004100,태양금속,20200724,1065
262,A004100,태양금속,20200723,1080
263,A004100,태양금속,20200722,1105
264,A004100,태양금속,20200721,1110
265,A004100,태양금속,20200720,1100
266,A004100,태양금속,20200717,1115
267,A004100,태양금속,20200716,1095
268,A004100,태양금속,20200715,1105
269,A004100,태양금속,20200714,1085
270,A004100,태양금속,20200713,1085
271,A004100,태양금속,20200710,1075
272,A004100,태양금속,20200709,1100
273,A004100,태양금속,20200708,1100
274,A004100,태양금속,20200707,1100
275,A004100,태양금속,20200706,1115
276,A004100,태양금속,20200703,1090
277,A004100,태양금속,20200702,1080
278,A004100,태양금속,20200701,1060
279,A004100,태양금속,20200630,1085
280,A004100,태양금속,20200629,1065
281,A004100,태양금속,20200626,1080
282,A004100,태양금속,20200625,1095
283,A004100,태양금속,20200624,1105
284,A004100,태양금속,20200623,1110
285,A004100,태양금속,20200622,1125
286,A004100,태양금속,20200619,1120
287,A004100,태양금속,20200618,1125
288,A004100,태양금속,20200617,1130
289,A004100,태양금속,20200616,1120
290,A004100,태양금속,20200615,1070
291,A004100,태양금속,20200612,1180
292,A004100,태양금속,20200611,1220
293,A004100,태양금속,20200610,1285
294,A004100,태양금속,20200609,1285
295,A004100,태양금속,20200608,1270
296,A004100,태양금속,20200605,1245
297,A004100,태양금속,20200604,1255
298,A004100,태양금속,20200603,1250
299,A004100,태양금속,20200602,1285
300,A004100,태양금속,20200601,1225
301,A004100,태양금속,20200529,1200
302,A004100,태양금속,20200528,1180
303,A004100,태양금속,20200527,1200
304,A004100,태양금속,20200526,1205
305,A004100,태양금속,20200525,1185
306,A004100,태양금속,20200522,1165
307,A004100,태양금속,20200521,1205
308,A004100,태양금속,20200520,1205
309,A004100,태양금속,20200519,1210
310,A004100,태양금속,20200518,1160
311,A004100,태양금속,20200515,1165
312,A004100,태양금속,20200514,1180
313,A004100,태양금속,20200513,1195
314,A004100,태양금속,20200512,1200
315,A004100,태양금속,20200511,1195
316,A004100,태양금속,20200508,1225
317,A004100,태양금속,20200507,1200
318,A004100,태양금속,20200506,1210
319,A004100,태양금속,20200504,1205
320,A004100,태양금속,20200429,1220
321,A004100,태양금속,20200428,1245
322,A004100,태양금속,20200427,1065
323,A004100,태양금속,20200424,1035
324,A004100,태양금속,20200423,1055
325,A004100,태양금속,20200422,1070
326,A004100,태양금속,20200421,1065
327,A004100,태양금속,20200420,1105
328,A004100,태양금속,20200417,1050
329,A004100,태양금속,20200416,1020
330,A004100,태양금속,20200414,1035
331,A004100,태양금속,20200413,1010
