,종목코드,종목명,날짜,종가
0,A191420,테고사이언스,20210812,29150
1,A191420,테고사이언스,20210811,28700
2,A191420,테고사이언스,20210810,28400
3,A191420,테고사이언스,20210809,28400
4,A191420,테고사이언스,20210806,28950
5,A191420,테고사이언스,20210805,29400
6,A191420,테고사이언스,20210804,28900
7,A191420,테고사이언스,20210803,28800
8,A191420,테고사이언스,20210802,28600
9,A191420,테고사이언스,20210730,27800
10,A191420,테고사이언스,20210729,28700
11,A191420,테고사이언스,20210728,28550
12,A191420,테고사이언스,20210727,29000
13,A191420,테고사이언스,20210726,29350
14,A191420,테고사이언스,20210723,29900
15,A191420,테고사이언스,20210722,28950
16,A191420,테고사이언스,20210721,29300
17,A191420,테고사이언스,20210720,28250
18,A191420,테고사이언스,20210719,28950
19,A191420,테고사이언스,20210716,27850
20,A191420,테고사이언스,20210715,28550
21,A191420,테고사이언스,20210714,28400
22,A191420,테고사이언스,20210713,26400
23,A191420,테고사이언스,20210712,26400
24,A191420,테고사이언스,20210709,26500
25,A191420,테고사이언스,20210708,26900
26,A191420,테고사이언스,20210707,27450
27,A191420,테고사이언스,20210706,27800
28,A191420,테고사이언스,20210705,28250
29,A191420,테고사이언스,20210702,27750
30,A191420,테고사이언스,20210701,28250
31,A191420,테고사이언스,20210630,27200
32,A191420,테고사이언스,20210629,27300
33,A191420,테고사이언스,20210628,26700
34,A191420,테고사이언스,20210625,26400
35,A191420,테고사이언스,20210624,26200
36,A191420,테고사이언스,20210623,26650
37,A191420,테고사이언스,20210622,26250
38,A191420,테고사이언스,20210621,26550
39,A191420,테고사이언스,20210618,26850
40,A191420,테고사이언스,20210617,26850
41,A191420,테고사이언스,20210616,27000
42,A191420,테고사이언스,20210615,26900
43,A191420,테고사이언스,20210614,27100
44,A191420,테고사이언스,20210611,27050
45,A191420,테고사이언스,20210610,26200
46,A191420,테고사이언스,20210609,26150
47,A191420,테고사이언스,20210608,26500
48,A191420,테고사이언스,20210607,25850
49,A191420,테고사이언스,20210604,25800
50,A191420,테고사이언스,20210603,26000
51,A191420,테고사이언스,20210602,25950
52,A191420,테고사이언스,20210601,26150
53,A191420,테고사이언스,20210531,26100
54,A191420,테고사이언스,20210528,26150
55,A191420,테고사이언스,20210527,26100
56,A191420,테고사이언스,20210526,26150
57,A191420,테고사이언스,20210525,25800
58,A191420,테고사이언스,20210524,25600
59,A191420,테고사이언스,20210521,26550
60,A191420,테고사이언스,20210520,26850
61,A191420,테고사이언스,20210518,26850
62,A191420,테고사이언스,20210517,27200
63,A191420,테고사이언스,20210514,27400
64,A191420,테고사이언스,20210513,27000
65,A191420,테고사이언스,20210512,27300
66,A191420,테고사이언스,20210511,28150
67,A191420,테고사이언스,20210510,28800
68,A191420,테고사이언스,20210507,28200
69,A191420,테고사이언스,20210506,27900
70,A191420,테고사이언스,20210504,27650
71,A191420,테고사이언스,20210503,27300
72,A191420,테고사이언스,20210430,28300
73,A191420,테고사이언스,20210429,28700
74,A191420,테고사이언스,20210428,27350
75,A191420,테고사이언스,20210427,29000
76,A191420,테고사이언스,20210426,28200
77,A191420,테고사이언스,20210423,26750
78,A191420,테고사이언스,20210422,26050
79,A191420,테고사이언스,20210421,26100
80,A191420,테고사이언스,20210420,26800
81,A191420,테고사이언스,20210419,26650
82,A191420,테고사이언스,20210416,26900
83,A191420,테고사이언스,20210415,26900
84,A191420,테고사이언스,20210414,26950
85,A191420,테고사이언스,20210413,26900
86,A191420,테고사이언스,20210412,26200
87,A191420,테고사이언스,20210409,26250
88,A191420,테고사이언스,20210408,26050
89,A191420,테고사이언스,20210407,25850
90,A191420,테고사이언스,20210406,25750
91,A191420,테고사이언스,20210405,25850
92,A191420,테고사이언스,20210402,26400
93,A191420,테고사이언스,20210401,26400
94,A191420,테고사이언스,20210331,26400
95,A191420,테고사이언스,20210330,26950
96,A191420,테고사이언스,20210329,26900
97,A191420,테고사이언스,20210326,27400
98,A191420,테고사이언스,20210325,27250
99,A191420,테고사이언스,20210324,27000
100,A191420,테고사이언스,20210323,26800
101,A191420,테고사이언스,20210322,27200
102,A191420,테고사이언스,20210319,26800
