,종목코드,종목명,날짜,종가
0,A095610,테스,20210812,29700
1,A095610,테스,20210811,30050
2,A095610,테스,20210810,31500
3,A095610,테스,20210809,32250
4,A095610,테스,20210806,32000
5,A095610,테스,20210805,30700
6,A095610,테스,20210804,30300
7,A095610,테스,20210803,30300
8,A095610,테스,20210802,29750
9,A095610,테스,20210730,29500
10,A095610,테스,20210729,29800
11,A095610,테스,20210728,29650
12,A095610,테스,20210727,30100
13,A095610,테스,20210726,30250
14,A095610,테스,20210723,30500
15,A095610,테스,20210722,30650
16,A095610,테스,20210721,30100
17,A095610,테스,20210720,30100
18,A095610,테스,20210719,30200
19,A095610,테스,20210716,30500
20,A095610,테스,20210715,31000
21,A095610,테스,20210714,30200
22,A095610,테스,20210713,30300
23,A095610,테스,20210712,30050
24,A095610,테스,20210709,29950
25,A095610,테스,20210708,30350
26,A095610,테스,20210707,31100
27,A095610,테스,20210706,31100
28,A095610,테스,20210705,31050
29,A095610,테스,20210702,30900
30,A095610,테스,20210701,31150
31,A095610,테스,20210630,31500
32,A095610,테스,20210629,30400
33,A095610,테스,20210628,30450
34,A095610,테스,20210625,30050
35,A095610,테스,20210624,30050
36,A095610,테스,20210623,29950
37,A095610,테스,20210622,29900
38,A095610,테스,20210621,30150
39,A095610,테스,20210618,30900
40,A095610,테스,20210617,31100
41,A095610,테스,20210616,30700
42,A095610,테스,20210615,30750
43,A095610,테스,20210614,30800
44,A095610,테스,20210611,30850
45,A095610,테스,20210610,30850
46,A095610,테스,20210609,30750
47,A095610,테스,20210608,31300
48,A095610,테스,20210607,31700
49,A095610,테스,20210604,31500
50,A095610,테스,20210603,31800
51,A095610,테스,20210602,30700
52,A095610,테스,20210601,30800
53,A095610,테스,20210531,30850
54,A095610,테스,20210528,31150
55,A095610,테스,20210527,31450
56,A095610,테스,20210526,31000
57,A095610,테스,20210525,31150
58,A095610,테스,20210524,31150
59,A095610,테스,20210521,32100
60,A095610,테스,20210520,32300
61,A095610,테스,20210518,32450
62,A095610,테스,20210517,32500
63,A095610,테스,20210514,32700
64,A095610,테스,20210513,30700
65,A095610,테스,20210512,31650
66,A095610,테스,20210511,32300
67,A095610,테스,20210510,33950
68,A095610,테스,20210507,34050
69,A095610,테스,20210506,33200
70,A095610,테스,20210504,33800
71,A095610,테스,20210503,32850
72,A095610,테스,20210430,34300
73,A095610,테스,20210429,33950
74,A095610,테스,20210428,34750
75,A095610,테스,20210427,36750
76,A095610,테스,20210426,37350
77,A095610,테스,20210423,37200
78,A095610,테스,20210422,36950
79,A095610,테스,20210421,37300
80,A095610,테스,20210420,36350
81,A095610,테스,20210419,35550
82,A095610,테스,20210416,34750
83,A095610,테스,20210415,34850
84,A095610,테스,20210414,34450
85,A095610,테스,20210413,34450
86,A095610,테스,20210412,35250
87,A095610,테스,20210409,34150
88,A095610,테스,20210408,34100
89,A095610,테스,20210407,34400
90,A095610,테스,20210406,34700
91,A095610,테스,20210405,35400
92,A095610,테스,20210402,34700
93,A095610,테스,20210401,34750
94,A095610,테스,20210331,34200
95,A095610,테스,20210330,33500
96,A095610,테스,20210329,33050
97,A095610,테스,20210326,32950
98,A095610,테스,20210325,32950
99,A095610,테스,20210324,33250
100,A095610,테스,20210323,33050
101,A095610,테스,20210322,34400
102,A095610,테스,20210319,34550
103,A095610,테스,20210318,34100
104,A095610,테스,20210317,32850
105,A095610,테스,20210316,32450
106,A095610,테스,20210315,31650
107,A095610,테스,20210312,31800
