,종목코드,종목명,날짜,종가
0,A131970,테스나,20210812,55500
1,A131970,테스나,20210811,54100
2,A131970,테스나,20210810,56000
3,A131970,테스나,20210809,55800
4,A131970,테스나,20210806,55100
5,A131970,테스나,20210805,55300
6,A131970,테스나,20210804,56000
7,A131970,테스나,20210803,55900
8,A131970,테스나,20210802,53100
9,A131970,테스나,20210730,50900
10,A131970,테스나,20210729,52000
11,A131970,테스나,20210728,51800
12,A131970,테스나,20210727,52800
13,A131970,테스나,20210726,52800
14,A131970,테스나,20210723,52900
15,A131970,테스나,20210722,52900
16,A131970,테스나,20210721,49750
17,A131970,테스나,20210720,50700
18,A131970,테스나,20210719,51400
19,A131970,테스나,20210716,51200
20,A131970,테스나,20210715,52700
21,A131970,테스나,20210714,53300
22,A131970,테스나,20210713,53700
23,A131970,테스나,20210712,52600
24,A131970,테스나,20210709,52400
25,A131970,테스나,20210708,51700
26,A131970,테스나,20210707,52000
27,A131970,테스나,20210706,50800
28,A131970,테스나,20210705,49750
29,A131970,테스나,20210702,45250
30,A131970,테스나,20210701,45300
31,A131970,테스나,20210630,46050
32,A131970,테스나,20210629,44800
33,A131970,테스나,20210628,45400
34,A131970,테스나,20210625,43800
35,A131970,테스나,20210624,43700
36,A131970,테스나,20210623,43650
37,A131970,테스나,20210622,44100
38,A131970,테스나,20210621,44350
39,A131970,테스나,20210618,45150
40,A131970,테스나,20210617,44550
41,A131970,테스나,20210616,44400
42,A131970,테스나,20210615,44900
43,A131970,테스나,20210614,44800
44,A131970,테스나,20210611,45450
45,A131970,테스나,20210610,45900
46,A131970,테스나,20210609,45450
47,A131970,테스나,20210608,45800
48,A131970,테스나,20210607,46250
49,A131970,테스나,20210604,46500
50,A131970,테스나,20210603,46700
51,A131970,테스나,20210602,45300
52,A131970,테스나,20210601,45050
53,A131970,테스나,20210531,44700
54,A131970,테스나,20210528,45000
55,A131970,테스나,20210527,44550
56,A131970,테스나,20210526,44350
57,A131970,테스나,20210525,44200
58,A131970,테스나,20210524,44100
59,A131970,테스나,20210521,45700
60,A131970,테스나,20210520,46450
61,A131970,테스나,20210518,45400
62,A131970,테스나,20210517,44900
63,A131970,테스나,20210514,45600
64,A131970,테스나,20210513,44050
65,A131970,테스나,20210512,44350
66,A131970,테스나,20210511,45700
67,A131970,테스나,20210510,47450
68,A131970,테스나,20210507,46550
69,A131970,테스나,20210506,46250
70,A131970,테스나,20210504,46950
71,A131970,테스나,20210503,46950
72,A131970,테스나,20210430,48850
73,A131970,테스나,20210429,48550
74,A131970,테스나,20210428,48250
75,A131970,테스나,20210427,51000
76,A131970,테스나,20210426,52300
77,A131970,테스나,20210423,52700
78,A131970,테스나,20210422,52600
79,A131970,테스나,20210421,53300
80,A131970,테스나,20210420,53200
81,A131970,테스나,20210419,52800
82,A131970,테스나,20210416,48750
83,A131970,테스나,20210415,48650
84,A131970,테스나,20210414,47900
85,A131970,테스나,20210413,48450
86,A131970,테스나,20210412,49800
87,A131970,테스나,20210409,49600
88,A131970,테스나,20210408,49500
89,A131970,테스나,20210407,49900
90,A131970,테스나,20210406,50500
91,A131970,테스나,20210405,50500
92,A131970,테스나,20210402,49250
93,A131970,테스나,20210401,49050
94,A131970,테스나,20210331,47250
95,A131970,테스나,20210330,47300
96,A131970,테스나,20210329,46900
97,A131970,테스나,20210326,47850
98,A131970,테스나,20210325,48650
99,A131970,테스나,20210324,49700
100,A131970,테스나,20210323,49350
101,A131970,테스나,20210322,49750
102,A131970,테스나,20210319,49700
103,A131970,테스나,20210318,49700
104,A131970,테스나,20210317,49100
105,A131970,테스나,20210316,48550
106,A131970,테스나,20210315,46050
107,A131970,테스나,20210312,45800
108,A131970,테스나,20210311,44700
109,A131970,테스나,20210310,42700
110,A131970,테스나,20210309,43400
