,종목코드,종목명,날짜,종가
0,A026150,특수건설,20210812,13000
1,A026150,특수건설,20210811,12800
2,A026150,특수건설,20210810,13100
3,A026150,특수건설,20210809,13450
4,A026150,특수건설,20210806,13750
5,A026150,특수건설,20210805,13550
6,A026150,특수건설,20210804,13350
7,A026150,특수건설,20210803,13250
8,A026150,특수건설,20210802,13200
9,A026150,특수건설,20210730,13500
10,A026150,특수건설,20210729,13400
11,A026150,특수건설,20210728,12850
12,A026150,특수건설,20210727,12900
13,A026150,특수건설,20210726,12250
14,A026150,특수건설,20210723,12350
15,A026150,특수건설,20210722,12200
16,A026150,특수건설,20210721,12400
17,A026150,특수건설,20210720,12700
18,A026150,특수건설,20210719,12200
19,A026150,특수건설,20210716,12400
20,A026150,특수건설,20210715,12600
21,A026150,특수건설,20210714,12550
22,A026150,특수건설,20210713,12900
23,A026150,특수건설,20210712,13050
24,A026150,특수건설,20210709,12750
25,A026150,특수건설,20210708,13050
26,A026150,특수건설,20210707,13700
27,A026150,특수건설,20210706,13700
28,A026150,특수건설,20210705,13600
29,A026150,특수건설,20210702,13850
30,A026150,특수건설,20210701,13500
31,A026150,특수건설,20210630,13597
32,A026150,특수건설,20210629,13548
33,A026150,특수건설,20210628,13695
34,A026150,특수건설,20210625,13206
35,A026150,특수건설,20210624,13157
36,A026150,특수건설,20210623,13059
37,A026150,특수건설,20210622,13402
38,A026150,특수건설,20210621,13744
39,A026150,특수건설,20210618,14086
40,A026150,특수건설,20210617,13891
41,A026150,특수건설,20210616,15211
42,A026150,특수건설,20210615,14820
43,A026150,특수건설,20210614,14820
44,A026150,특수건설,20210611,14967
45,A026150,특수건설,20210610,14967
46,A026150,특수건설,20210609,15114
47,A026150,특수건설,20210608,15505
48,A026150,특수건설,20210607,15114
49,A026150,특수건설,20210604,14918
50,A026150,특수건설,20210603,15065
51,A026150,특수건설,20210602,15211
52,A026150,특수건설,20210601,14820
53,A026150,특수건설,20210531,15163
54,A026150,특수건설,20210528,15114
55,A026150,특수건설,20210527,15945
56,A026150,특수건설,20210526,13891
57,A026150,특수건설,20210525,13451
58,A026150,특수건설,20210524,13108
59,A026150,특수건설,20210521,14576
60,A026150,특수건설,20210520,14282
61,A026150,특수건설,20210518,14331
62,A026150,특수건설,20210517,14282
63,A026150,특수건설,20210514,14184
64,A026150,특수건설,20210513,11934
65,A026150,특수건설,20210512,12961
66,A026150,특수건설,20210511,13255
67,A026150,특수건설,20210510,13010
68,A026150,특수건설,20210507,12766
69,A026150,특수건설,20210506,9831
70,A026150,특수건설,20210504,8784
71,A026150,특수건설,20210503,8872
72,A026150,특수건설,20210430,8804
73,A026150,특수건설,20210429,8677
74,A026150,특수건설,20210428,8882
75,A026150,특수건설,20210427,9048
76,A026150,특수건설,20210426,8911
77,A026150,특수건설,20210423,8902
78,A026150,특수건설,20210422,8921
79,A026150,특수건설,20210421,9068
80,A026150,특수건설,20210420,8804
81,A026150,특수건설,20210419,8696
82,A026150,특수건설,20210416,8745
83,A026150,특수건설,20210415,8755
84,A026150,특수건설,20210414,8735
85,A026150,특수건설,20210413,8833
86,A026150,특수건설,20210412,9029
87,A026150,특수건설,20210409,9019
88,A026150,특수건설,20210408,8902
89,A026150,특수건설,20210407,9156
90,A026150,특수건설,20210406,9146
91,A026150,특수건설,20210405,8814
92,A026150,특수건설,20210402,8647
93,A026150,특수건설,20210401,8960
94,A026150,특수건설,20210331,9048
95,A026150,특수건설,20210330,8422
96,A026150,특수건설,20210329,8432
97,A026150,특수건설,20210326,8657
98,A026150,특수건설,20210325,8129
99,A026150,특수건설,20210324,8002
100,A026150,특수건설,20210323,7601
101,A026150,특수건설,20210322,7493
102,A026150,특수건설,20210319,7513
103,A026150,특수건설,20210318,7513
104,A026150,특수건설,20210317,7366
105,A026150,특수건설,20210316,7376
106,A026150,특수건설,20210315,7268
107,A026150,특수건설,20210312,7160
108,A026150,특수건설,20210311,6975
109,A026150,특수건설,20210310,6935
110,A026150,특수건설,20210309,7082
111,A026150,특수건설,20210308,7219
112,A026150,특수건설,20210305,7200
113,A026150,특수건설,20210304,7229
114,A026150,특수건설,20210303,7278
115,A026150,특수건설,20210302,7043
116,A026150,특수건설,20210226,6935
117,A026150,특수건설,20210225,7121
118,A026150,특수건설,20210224,7004
119,A026150,특수건설,20210223,7493
120,A026150,특수건설,20210222,7689
121,A026150,특수건설,20210219,7601
122,A026150,특수건설,20210218,7434
123,A026150,특수건설,20210217,7728
124,A026150,특수건설,20210216,7786
125,A026150,특수건설,20210215,7747
126,A026150,특수건설,20210210,7698
127,A026150,특수건설,20210209,7698
128,A026150,특수건설,20210208,7728
129,A026150,특수건설,20210205,7532
130,A026150,특수건설,20210204,7669
131,A026150,특수건설,20210203,8109
132,A026150,특수건설,20210202,7698
133,A026150,특수건설,20210201,7669
134,A026150,특수건설,20210129,7190
135,A026150,특수건설,20210128,7561
136,A026150,특수건설,20210127,7542
137,A026150,특수건설,20210126,7601
138,A026150,특수건설,20210125,7865
139,A026150,특수건설,20210122,7933
140,A026150,특수건설,20210121,7806
141,A026150,특수건설,20210120,8002
142,A026150,특수건설,20210119,7875
143,A026150,특수건설,20210118,7268
144,A026150,특수건설,20210115,6945
145,A026150,특수건설,20210114,7121
146,A026150,특수건설,20210113,7102
147,A026150,특수건설,20210112,6975
148,A026150,특수건설,20210111,6994
149,A026150,특수건설,20210108,7043
150,A026150,특수건설,20210107,7239
151,A026150,특수건설,20210106,7160
152,A026150,특수건설,20210105,7239
153,A026150,특수건설,20210104,7033
154,A026150,특수건설,20201230,7023
155,A026150,특수건설,20201229,6750
156,A026150,특수건설,20201228,6681
157,A026150,특수건설,20201224,6818
158,A026150,특수건설,20201223,6613
159,A026150,특수건설,20201222,6603
160,A026150,특수건설,20201221,6847
161,A026150,특수건설,20201218,6818
162,A026150,특수건설,20201217,6632
163,A026150,특수건설,20201216,6681
164,A026150,특수건설,20201215,6622
165,A026150,특수건설,20201214,6750
166,A026150,특수건설,20201211,6877
167,A026150,특수건설,20201210,6945
168,A026150,특수건설,20201209,6681
169,A026150,특수건설,20201208,6554
170,A026150,특수건설,20201207,6613
171,A026150,특수건설,20201204,6720
172,A026150,특수건설,20201203,6818
173,A026150,특수건설,20201202,6838
174,A026150,특수건설,20201201,6779
175,A026150,특수건설,20201130,6750
176,A026150,특수건설,20201127,6828
177,A026150,특수건설,20201126,6828
178,A026150,특수건설,20201125,6847
179,A026150,특수건설,20201124,6945
180,A026150,특수건설,20201123,7004
181,A026150,특수건설,20201120,6965
182,A026150,특수건설,20201119,6965
183,A026150,특수건설,20201118,6935
184,A026150,특수건설,20201117,6857
185,A026150,특수건설,20201116,6671
186,A026150,특수건설,20201113,6798
187,A026150,특수건설,20201112,6926
188,A026150,특수건설,20201111,6896
189,A026150,특수건설,20201110,6945
190,A026150,특수건설,20201109,6847
191,A026150,특수건설,20201106,6544
192,A026150,특수건설,20201105,6593
193,A026150,특수건설,20201104,6691
194,A026150,특수건설,20201103,6573
195,A026150,특수건설,20201102,6319
196,A026150,특수건설,20201030,6231
197,A026150,특수건설,20201029,6407
198,A026150,특수건설,20201028,6260
199,A026150,특수건설,20201027,6231
