,종목코드,종목명,날짜,종가
0,A072610,티맥스소프트,20210812,29300
1,A072610,티맥스소프트,20210811,29000
2,A072610,티맥스소프트,20210810,29250
3,A072610,티맥스소프트,20210809,29000
4,A072610,티맥스소프트,20210806,29400
5,A072610,티맥스소프트,20210805,29050
6,A072610,티맥스소프트,20210804,29150
7,A072610,티맥스소프트,20210803,28750
8,A072610,티맥스소프트,20210802,26900
9,A072610,티맥스소프트,20210730,27300
10,A072610,티맥스소프트,20210729,27400
11,A072610,티맥스소프트,20210728,27100
12,A072610,티맥스소프트,20210727,27100
13,A072610,티맥스소프트,20210726,27400
14,A072610,티맥스소프트,20210723,27400
15,A072610,티맥스소프트,20210722,27400
16,A072610,티맥스소프트,20210721,27350
17,A072610,티맥스소프트,20210720,27350
18,A072610,티맥스소프트,20210719,27750
19,A072610,티맥스소프트,20210716,27950
20,A072610,티맥스소프트,20210715,28350
21,A072610,티맥스소프트,20210714,28550
22,A072610,티맥스소프트,20210713,28700
23,A072610,티맥스소프트,20210712,29000
24,A072610,티맥스소프트,20210709,28850
25,A072610,티맥스소프트,20210708,28900
26,A072610,티맥스소프트,20210707,29050
27,A072610,티맥스소프트,20210706,29000
28,A072610,티맥스소프트,20210705,29550
29,A072610,티맥스소프트,20210702,29900
30,A072610,티맥스소프트,20210701,30000
31,A072610,티맥스소프트,20210630,30000
32,A072610,티맥스소프트,20210629,29900
33,A072610,티맥스소프트,20210628,30000
34,A072610,티맥스소프트,20210625,29950
35,A072610,티맥스소프트,20210624,30050
36,A072610,티맥스소프트,20210623,30000
37,A072610,티맥스소프트,20210622,29950
38,A072610,티맥스소프트,20210621,29900
39,A072610,티맥스소프트,20210618,30300
40,A072610,티맥스소프트,20210617,30100
41,A072610,티맥스소프트,20210616,30500
42,A072610,티맥스소프트,20210615,30200
43,A072610,티맥스소프트,20210614,30450
44,A072610,티맥스소프트,20210611,30450
45,A072610,티맥스소프트,20210610,29950
46,A072610,티맥스소프트,20210609,30050
47,A072610,티맥스소프트,20210608,30000
48,A072610,티맥스소프트,20210607,30200
49,A072610,티맥스소프트,20210604,30200
50,A072610,티맥스소프트,20210603,30100
51,A072610,티맥스소프트,20210602,30000
52,A072610,티맥스소프트,20210601,30000
53,A072610,티맥스소프트,20210531,29900
54,A072610,티맥스소프트,20210528,30000
55,A072610,티맥스소프트,20210527,29950
56,A072610,티맥스소프트,20210526,29700
57,A072610,티맥스소프트,20210525,29750
58,A072610,티맥스소프트,20210524,29900
59,A072610,티맥스소프트,20210521,30050
60,A072610,티맥스소프트,20210520,30100
61,A072610,티맥스소프트,20210518,30150
62,A072610,티맥스소프트,20210517,30850
63,A072610,티맥스소프트,20210514,31350
64,A072610,티맥스소프트,20210513,30000
65,A072610,티맥스소프트,20210512,30100
66,A072610,티맥스소프트,20210511,30000
67,A072610,티맥스소프트,20210510,30300
68,A072610,티맥스소프트,20210507,30050
69,A072610,티맥스소프트,20210506,30650
70,A072610,티맥스소프트,20210504,29800
71,A072610,티맥스소프트,20210503,30000
72,A072610,티맥스소프트,20210430,30100
73,A072610,티맥스소프트,20210429,29800
74,A072610,티맥스소프트,20210428,29750
75,A072610,티맥스소프트,20210427,29650
76,A072610,티맥스소프트,20210426,29750
77,A072610,티맥스소프트,20210423,30000
78,A072610,티맥스소프트,20210422,30400
79,A072610,티맥스소프트,20210421,30400
80,A072610,티맥스소프트,20210420,29950
81,A072610,티맥스소프트,20210419,30900
82,A072610,티맥스소프트,20210416,29850
83,A072610,티맥스소프트,20210415,29300
84,A072610,티맥스소프트,20210414,29000
85,A072610,티맥스소프트,20210413,29550
86,A072610,티맥스소프트,20210412,29650
87,A072610,티맥스소프트,20210409,29950
88,A072610,티맥스소프트,20210408,29850
89,A072610,티맥스소프트,20210407,30100
90,A072610,티맥스소프트,20210406,30050
91,A072610,티맥스소프트,20210405,31300
92,A072610,티맥스소프트,20210402,31550
93,A072610,티맥스소프트,20210401,32400
94,A072610,티맥스소프트,20210331,31950
95,A072610,티맥스소프트,20210330,32000
96,A072610,티맥스소프트,20210329,32000
97,A072610,티맥스소프트,20210326,32800
98,A072610,티맥스소프트,20210325,32900
99,A072610,티맥스소프트,20210324,32800
100,A072610,티맥스소프트,20210323,32800
101,A072610,티맥스소프트,20210322,33000
102,A072610,티맥스소프트,20210319,33100
103,A072610,티맥스소프트,20210318,33000
104,A072610,티맥스소프트,20210317,33100
105,A072610,티맥스소프트,20210316,32900
106,A072610,티맥스소프트,20210315,33850
107,A072610,티맥스소프트,20210312,33350
108,A072610,티맥스소프트,20210311,32750
109,A072610,티맥스소프트,20210310,33000
110,A072610,티맥스소프트,20210309,32350
111,A072610,티맥스소프트,20210308,32500
112,A072610,티맥스소프트,20210305,32650
113,A072610,티맥스소프트,20210304,32750
114,A072610,티맥스소프트,20210303,31650
115,A072610,티맥스소프트,20210302,32000
116,A072610,티맥스소프트,20210226,32700
117,A072610,티맥스소프트,20210225,33450
118,A072610,티맥스소프트,20210224,33200
119,A072610,티맥스소프트,20210223,32950
120,A072610,티맥스소프트,20210222,33300
121,A072610,티맥스소프트,20210219,32100
122,A072610,티맥스소프트,20210218,33250
123,A072610,티맥스소프트,20210217,33300
124,A072610,티맥스소프트,20210216,33600
125,A072610,티맥스소프트,20210215,33800
126,A072610,티맥스소프트,20210210,33500
127,A072610,티맥스소프트,20210209,33450
128,A072610,티맥스소프트,20210208,34000
129,A072610,티맥스소프트,20210205,34000
130,A072610,티맥스소프트,20210204,33500
131,A072610,티맥스소프트,20210203,33700
132,A072610,티맥스소프트,20210202,33850
133,A072610,티맥스소프트,20210201,33800
134,A072610,티맥스소프트,20210129,33100
135,A072610,티맥스소프트,20210128,34000
136,A072610,티맥스소프트,20210127,33900
137,A072610,티맥스소프트,20210126,34000
138,A072610,티맥스소프트,20210125,34000
139,A072610,티맥스소프트,20210122,33950
140,A072610,티맥스소프트,20210121,34050
141,A072610,티맥스소프트,20210120,33550
142,A072610,티맥스소프트,20210119,33250
143,A072610,티맥스소프트,20210118,33500
144,A072610,티맥스소프트,20210115,33950
145,A072610,티맥스소프트,20210114,33400
146,A072610,티맥스소프트,20210113,34350
147,A072610,티맥스소프트,20210112,34400
148,A072610,티맥스소프트,20210111,35000
149,A072610,티맥스소프트,20210108,34400
150,A072610,티맥스소프트,20210107,34000
151,A072610,티맥스소프트,20210106,34500
152,A072610,티맥스소프트,20210105,35000
153,A072610,티맥스소프트,20210104,35000
154,A072610,티맥스소프트,20201230,28400
155,A072610,티맥스소프트,20201229,27250
156,A072610,티맥스소프트,20201228,27000
157,A072610,티맥스소프트,20201224,27000
158,A072610,티맥스소프트,20201223,26000
159,A072610,티맥스소프트,20201222,24000
160,A072610,티맥스소프트,20201221,26950
161,A072610,티맥스소프트,20201218,26950
162,A072610,티맥스소프트,20201217,27000
163,A072610,티맥스소프트,20201216,27000
164,A072610,티맥스소프트,20201215,27000
165,A072610,티맥스소프트,20201214,27800
166,A072610,티맥스소프트,20201211,27800
167,A072610,티맥스소프트,20201210,28150
168,A072610,티맥스소프트,20201209,28150
169,A072610,티맥스소프트,20201208,27900
170,A072610,티맥스소프트,20201207,27000
171,A072610,티맥스소프트,20201204,26100
172,A072610,티맥스소프트,20201203,26700
173,A072610,티맥스소프트,20201202,26600
174,A072610,티맥스소프트,20201201,26900
175,A072610,티맥스소프트,20201130,27000
176,A072610,티맥스소프트,20201127,26000
177,A072610,티맥스소프트,20201126,25200
178,A072610,티맥스소프트,20201125,25900
179,A072610,티맥스소프트,20201124,26400
180,A072610,티맥스소프트,20201123,26800
181,A072610,티맥스소프트,20201120,26950
182,A072610,티맥스소프트,20201119,25800
183,A072610,티맥스소프트,20201118,26300
