,종목코드,종목명,날짜,종가
0,A057680,티사이언티픽,20210812,3580
1,A057680,티사이언티픽,20210811,3580
2,A057680,티사이언티픽,20210810,3590
3,A057680,티사이언티픽,20210809,3530
4,A057680,티사이언티픽,20210806,3495
5,A057680,티사이언티픽,20210805,3535
6,A057680,티사이언티픽,20210804,3505
7,A057680,티사이언티픽,20210803,3550
8,A057680,티사이언티픽,20210802,3640
9,A057680,티사이언티픽,20210730,3745
10,A057680,티사이언티픽,20210729,3700
11,A057680,티사이언티픽,20210728,3420
12,A057680,티사이언티픽,20210727,3445
13,A057680,티사이언티픽,20210726,3450
14,A057680,티사이언티픽,20210723,3360
15,A057680,티사이언티픽,20210722,3370
16,A057680,티사이언티픽,20210721,3370
17,A057680,티사이언티픽,20210720,3220
18,A057680,티사이언티픽,20210719,3240
19,A057680,티사이언티픽,20210716,3320
20,A057680,티사이언티픽,20210715,3330
21,A057680,티사이언티픽,20210714,3295
22,A057680,티사이언티픽,20210713,3290
23,A057680,티사이언티픽,20210712,3290
24,A057680,티사이언티픽,20210709,3215
25,A057680,티사이언티픽,20210708,3310
26,A057680,티사이언티픽,20210707,3320
27,A057680,티사이언티픽,20210706,3085
28,A057680,티사이언티픽,20210705,3095
29,A057680,티사이언티픽,20210702,3090
30,A057680,티사이언티픽,20210701,3125
31,A057680,티사이언티픽,20210630,3165
32,A057680,티사이언티픽,20210629,3170
33,A057680,티사이언티픽,20210628,3165
34,A057680,티사이언티픽,20210625,3210
35,A057680,티사이언티픽,20210624,3210
36,A057680,티사이언티픽,20210623,3190
37,A057680,티사이언티픽,20210622,3215
38,A057680,티사이언티픽,20210621,3245
39,A057680,티사이언티픽,20210618,3250
40,A057680,티사이언티픽,20210617,3270
41,A057680,티사이언티픽,20210616,3290
42,A057680,티사이언티픽,20210615,3220
43,A057680,티사이언티픽,20210614,3215
44,A057680,티사이언티픽,20210611,3205
45,A057680,티사이언티픽,20210610,3190
46,A057680,티사이언티픽,20210609,3220
47,A057680,티사이언티픽,20210608,3200
48,A057680,티사이언티픽,20210607,3200
49,A057680,티사이언티픽,20210604,3255
50,A057680,티사이언티픽,20210603,3285
51,A057680,티사이언티픽,20210602,3295
52,A057680,티사이언티픽,20210601,3315
53,A057680,티사이언티픽,20210531,3285
54,A057680,티사이언티픽,20210528,3280
55,A057680,티사이언티픽,20210527,3200
56,A057680,티사이언티픽,20210526,3200
57,A057680,티사이언티픽,20210525,3225
58,A057680,티사이언티픽,20210524,3220
59,A057680,티사이언티픽,20210521,3210
60,A057680,티사이언티픽,20210520,3245
61,A057680,티사이언티픽,20210518,3285
62,A057680,티사이언티픽,20210517,3285
63,A057680,티사이언티픽,20210514,3300
64,A057680,티사이언티픽,20210513,3340
65,A057680,티사이언티픽,20210512,3350
66,A057680,티사이언티픽,20210511,3305
67,A057680,티사이언티픽,20210510,3340
68,A057680,티사이언티픽,20210507,3400
69,A057680,티사이언티픽,20210506,3480
70,A057680,티사이언티픽,20210504,3480
71,A057680,티사이언티픽,20210503,3400
72,A057680,티사이언티픽,20210430,3355
73,A057680,티사이언티픽,20210429,3350
74,A057680,티사이언티픽,20210428,3400
75,A057680,티사이언티픽,20210427,3410
76,A057680,티사이언티픽,20210426,3400
77,A057680,티사이언티픽,20210423,3390
78,A057680,티사이언티픽,20210422,3555
79,A057680,티사이언티픽,20210421,3700
80,A057680,티사이언티픽,20210420,3670
81,A057680,티사이언티픽,20210419,3725
82,A057680,티사이언티픽,20210416,3945
83,A057680,티사이언티픽,20210415,4045
84,A057680,티사이언티픽,20210414,4175
85,A057680,티사이언티픽,20210413,4025
86,A057680,티사이언티픽,20210412,4060
87,A057680,티사이언티픽,20210409,3885
88,A057680,티사이언티픽,20210408,3830
89,A057680,티사이언티픽,20210407,4030
90,A057680,티사이언티픽,20210406,4120
91,A057680,티사이언티픽,20210405,3750
92,A057680,티사이언티픽,20210402,3765
93,A057680,티사이언티픽,20210401,3575
94,A057680,티사이언티픽,20210331,3555
95,A057680,티사이언티픽,20210330,3575
96,A057680,티사이언티픽,20210329,3430
97,A057680,티사이언티픽,20210326,3500
98,A057680,티사이언티픽,20210325,3520
99,A057680,티사이언티픽,20210324,3460
100,A057680,티사이언티픽,20210323,3480
101,A057680,티사이언티픽,20210322,3775
102,A057680,티사이언티픽,20210319,3705
103,A057680,티사이언티픽,20210318,3755
104,A057680,티사이언티픽,20210317,3700
105,A057680,티사이언티픽,20210316,3465
106,A057680,티사이언티픽,20210315,3330
107,A057680,티사이언티픽,20210312,3410
108,A057680,티사이언티픽,20210311,3270
109,A057680,티사이언티픽,20210310,3180
110,A057680,티사이언티픽,20210309,3235
111,A057680,티사이언티픽,20210308,3125
112,A057680,티사이언티픽,20210305,3120
113,A057680,티사이언티픽,20210304,3110
114,A057680,티사이언티픽,20210303,3145
115,A057680,티사이언티픽,20210302,3140
116,A057680,티사이언티픽,20210226,3160
117,A057680,티사이언티픽,20210225,3220
118,A057680,티사이언티픽,20210224,3210
119,A057680,티사이언티픽,20210223,3285
120,A057680,티사이언티픽,20210222,3655
121,A057680,티사이언티픽,20210219,3220
122,A057680,티사이언티픽,20210218,3250
123,A057680,티사이언티픽,20210217,3245
124,A057680,티사이언티픽,20210216,3265
125,A057680,티사이언티픽,20210215,3235
126,A057680,티사이언티픽,20210210,3195
127,A057680,티사이언티픽,20210209,3190
128,A057680,티사이언티픽,20210208,3150
129,A057680,티사이언티픽,20210205,3120
130,A057680,티사이언티픽,20210204,3130
131,A057680,티사이언티픽,20210203,3125
132,A057680,티사이언티픽,20210202,3165
133,A057680,티사이언티픽,20210201,3120
134,A057680,티사이언티픽,20210129,3190
135,A057680,티사이언티픽,20210128,3280
136,A057680,티사이언티픽,20210127,3270
137,A057680,티사이언티픽,20210126,3290
138,A057680,티사이언티픽,20210125,3285
139,A057680,티사이언티픽,20210122,3230
140,A057680,티사이언티픽,20210121,3305
141,A057680,티사이언티픽,20210120,3235
142,A057680,티사이언티픽,20210119,3100
143,A057680,티사이언티픽,20210118,3230
144,A057680,티사이언티픽,20210115,3355
145,A057680,티사이언티픽,20210114,3445
146,A057680,티사이언티픽,20210113,3465
147,A057680,티사이언티픽,20210112,3355
148,A057680,티사이언티픽,20210111,3575
149,A057680,티사이언티픽,20210108,3865
150,A057680,티사이언티픽,20210107,3745
151,A057680,티사이언티픽,20210106,3760
152,A057680,티사이언티픽,20210105,3755
153,A057680,티사이언티픽,20210104,3810
154,A057680,티사이언티픽,20201230,3615
155,A057680,티사이언티픽,20201229,3165
156,A057680,티사이언티픽,20201228,2950
157,A057680,티사이언티픽,20201224,2980
158,A057680,티사이언티픽,20201223,3000
159,A057680,티사이언티픽,20201222,3040
160,A057680,티사이언티픽,20201221,3100
161,A057680,티사이언티픽,20201218,3220
162,A057680,티사이언티픽,20201217,3285
163,A057680,티사이언티픽,20201216,3050
164,A057680,티사이언티픽,20201215,2995
165,A057680,티사이언티픽,20201214,3055
166,A057680,티사이언티픽,20201211,3040
167,A057680,티사이언티픽,20201210,3020
168,A057680,티사이언티픽,20201209,3640
169,A057680,티사이언티픽,20201208,3885
170,A057680,티사이언티픽,20201207,4130
171,A057680,티사이언티픽,20201204,4205
172,A057680,티사이언티픽,20201203,4205
173,A057680,티사이언티픽,20201202,4300
174,A057680,티사이언티픽,20201201,4410
175,A057680,티사이언티픽,20201130,4455
176,A057680,티사이언티픽,20201127,4380
177,A057680,티사이언티픽,20201126,4480
178,A057680,티사이언티픽,20201125,4595
179,A057680,티사이언티픽,20201124,4805
180,A057680,티사이언티픽,20201123,4880
181,A057680,티사이언티픽,20201120,4630
182,A057680,티사이언티픽,20201119,4500
183,A057680,티사이언티픽,20201118,4500
184,A057680,티사이언티픽,20201117,4460
185,A057680,티사이언티픽,20201116,4460
186,A057680,티사이언티픽,20201113,4490
187,A057680,티사이언티픽,20201112,4560
188,A057680,티사이언티픽,20201111,4570
189,A057680,티사이언티픽,20201110,4600
190,A057680,티사이언티픽,20201109,4535
191,A057680,티사이언티픽,20201106,4380
192,A057680,티사이언티픽,20201105,4375
193,A057680,티사이언티픽,20201104,4370
194,A057680,티사이언티픽,20201103,4305
195,A057680,티사이언티픽,20201102,4300
196,A057680,티사이언티픽,20201030,4205
197,A057680,티사이언티픽,20201029,4305
198,A057680,티사이언티픽,20201028,4380
199,A057680,티사이언티픽,20201027,4400
200,A057680,티사이언티픽,20201026,4400
201,A057680,티사이언티픽,20201023,4530
202,A057680,티사이언티픽,20201022,4520
203,A057680,티사이언티픽,20201021,4420
204,A057680,티사이언티픽,20201020,4360
205,A057680,티사이언티픽,20201019,4440
206,A057680,티사이언티픽,20201016,4470
207,A057680,티사이언티픽,20201015,4460
208,A057680,티사이언티픽,20201014,4430
209,A057680,티사이언티픽,20201013,4270
210,A057680,티사이언티픽,20201012,4355
211,A057680,티사이언티픽,20201008,4765
212,A057680,티사이언티픽,20201007,4880
213,A057680,티사이언티픽,20201006,4870
214,A057680,티사이언티픽,20201005,4785
215,A057680,티사이언티픽,20200929,4570
216,A057680,티사이언티픽,20200928,4415
217,A057680,티사이언티픽,20200925,4450
218,A057680,티사이언티픽,20200924,4410
219,A057680,티사이언티픽,20200923,4475
220,A057680,티사이언티픽,20200922,4720
221,A057680,티사이언티픽,20200921,4625
222,A057680,티사이언티픽,20200918,4800
223,A057680,티사이언티픽,20200917,5070
224,A057680,티사이언티픽,20200916,5230
225,A057680,티사이언티픽,20200915,5240
226,A057680,티사이언티픽,20200914,5130
227,A057680,티사이언티픽,20200911,5250
228,A057680,티사이언티픽,20200910,5240
229,A057680,티사이언티픽,20200909,5190
230,A057680,티사이언티픽,20200908,5170
231,A057680,티사이언티픽,20200907,5150
232,A057680,티사이언티픽,20200904,5420
233,A057680,티사이언티픽,20200903,5570
234,A057680,티사이언티픽,20200902,5760
235,A057680,티사이언티픽,20200901,5720
236,A057680,티사이언티픽,20200831,5720
237,A057680,티사이언티픽,20200828,5200
238,A057680,티사이언티픽,20200827,5200
239,A057680,티사이언티픽,20200826,5200
240,A057680,티사이언티픽,20200825,4945
241,A057680,티사이언티픽,20200824,4360
242,A057680,티사이언티픽,20200821,4425
243,A057680,티사이언티픽,20200820,4220
244,A057680,티사이언티픽,20200819,4180
245,A057680,티사이언티픽,20200818,3850
246,A057680,티사이언티픽,20200814,4060
247,A057680,티사이언티픽,20200813,4115
248,A057680,티사이언티픽,20200812,4085
249,A057680,티사이언티픽,20200811,4270
250,A057680,티사이언티픽,20200810,4325
251,A057680,티사이언티픽,20200807,4420
252,A057680,티사이언티픽,20200806,4420
253,A057680,티사이언티픽,20200805,4535
254,A057680,티사이언티픽,20200804,4480
255,A057680,티사이언티픽,20200803,4530
256,A057680,티사이언티픽,20200731,4400
257,A057680,티사이언티픽,20200730,4390
258,A057680,티사이언티픽,20200729,4400
259,A057680,티사이언티픽,20200728,4360
260,A057680,티사이언티픽,20200727,4500
261,A057680,티사이언티픽,20200724,4290
262,A057680,티사이언티픽,20200723,4770
263,A057680,티사이언티픽,20200722,4920
264,A057680,티사이언티픽,20200721,5090
265,A057680,티사이언티픽,20200720,4535
266,A057680,티사이언티픽,20200717,4000
267,A057680,티사이언티픽,20200716,3955
268,A057680,티사이언티픽,20200715,3960
269,A057680,티사이언티픽,20200714,3915
270,A057680,티사이언티픽,20200713,3865
271,A057680,티사이언티픽,20200710,3785
272,A057680,티사이언티픽,20200709,3585
273,A057680,티사이언티픽,20200708,3735
274,A057680,티사이언티픽,20200707,3610
275,A057680,티사이언티픽,20200706,3470
276,A057680,티사이언티픽,20200703,3490
277,A057680,티사이언티픽,20200702,3200
278,A057680,티사이언티픽,20200701,2750
279,A057680,티사이언티픽,20200630,2670
280,A057680,티사이언티픽,20200629,2670
281,A057680,티사이언티픽,20200626,2465
282,A057680,티사이언티픽,20200625,2365
283,A057680,티사이언티픽,20200624,2470
284,A057680,티사이언티픽,20200623,2580
285,A057680,티사이언티픽,20200622,2500
286,A057680,티사이언티픽,20200619,2495
287,A057680,티사이언티픽,20200618,2265
288,A057680,티사이언티픽,20200617,1940
289,A057680,티사이언티픽,20200616,1795
290,A057680,티사이언티픽,20200615,1770
291,A057680,티사이언티픽,20200612,1905
292,A057680,티사이언티픽,20200611,1895
293,A057680,티사이언티픽,20200610,1980
294,A057680,티사이언티픽,20200609,1905
295,A057680,티사이언티픽,20200608,1900
296,A057680,티사이언티픽,20200605,1935
297,A057680,티사이언티픽,20200604,1915
298,A057680,티사이언티픽,20200603,2010
299,A057680,티사이언티픽,20200602,2025
300,A057680,티사이언티픽,20200601,2060
301,A057680,티사이언티픽,20200529,1980
302,A057680,티사이언티픽,20200528,1990
303,A057680,티사이언티픽,20200527,1830
304,A057680,티사이언티픽,20200526,1860
305,A057680,티사이언티픽,20200525,1680
306,A057680,티사이언티픽,20200522,1700
307,A057680,티사이언티픽,20200521,1770
308,A057680,티사이언티픽,20200520,1605
309,A057680,티사이언티픽,20200519,1575
310,A057680,티사이언티픽,20200518,1570
311,A057680,티사이언티픽,20200515,1645
312,A057680,티사이언티픽,20200514,1625
313,A057680,티사이언티픽,20200513,1655
