,종목코드,종목명,날짜,종가
0,A217880,틸론,20210812,17700
1,A217880,틸론,20210811,17900
2,A217880,틸론,20210810,17950
3,A217880,틸론,20210809,17750
4,A217880,틸론,20210806,17750
5,A217880,틸론,20210805,17450
6,A217880,틸론,20210804,17550
7,A217880,틸론,20210803,17400
8,A217880,틸론,20210802,17300
9,A217880,틸론,20210730,17400
10,A217880,틸론,20210729,17600
11,A217880,틸론,20210728,17000
12,A217880,틸론,20210727,17550
13,A217880,틸론,20210726,16850
14,A217880,틸론,20210723,17500
15,A217880,틸론,20210722,17500
16,A217880,틸론,20210721,17450
17,A217880,틸론,20210720,17350
18,A217880,틸론,20210719,17300
19,A217880,틸론,20210716,17350
20,A217880,틸론,20210715,17000
21,A217880,틸론,20210714,17400
22,A217880,틸론,20210713,17950
23,A217880,틸론,20210712,17750
24,A217880,틸론,20210709,17550
25,A217880,틸론,20210708,17750
26,A217880,틸론,20210707,18500
27,A217880,틸론,20210706,19600
28,A217880,틸론,20210705,18700
29,A217880,틸론,20210702,16700
30,A217880,틸론,20210701,15300
31,A217880,틸론,20210630,14900
32,A217880,틸론,20210629,14150
33,A217880,틸론,20210628,13500
34,A217880,틸론,20210625,12850
35,A217880,틸론,20210624,12500
36,A217880,틸론,20210623,12900
37,A217880,틸론,20210622,12250
38,A217880,틸론,20210621,11700
39,A217880,틸론,20210618,11700
40,A217880,틸론,20210617,11150
41,A217880,틸론,20210616,11750
42,A217880,틸론,20210615,11000
43,A217880,틸론,20210614,10450
44,A217880,틸론,20210611,10050
45,A217880,틸론,20210610,10300
46,A217880,틸론,20210609,10600
47,A217880,틸론,20210608,11250
48,A217880,틸론,20210607,11500
49,A217880,틸론,20210604,11750
50,A217880,틸론,20210603,11750
51,A217880,틸론,20210602,11700
52,A217880,틸론,20210601,11500
53,A217880,틸론,20210531,11450
54,A217880,틸론,20210528,11200
55,A217880,틸론,20210527,11000
56,A217880,틸론,20210526,11300
57,A217880,틸론,20210525,11500
58,A217880,틸론,20210524,11500
59,A217880,틸론,20210521,11100
60,A217880,틸론,20210520,11100
61,A217880,틸론,20210518,11350
62,A217880,틸론,20210517,11350
63,A217880,틸론,20210514,11400
64,A217880,틸론,20210513,11200
65,A217880,틸론,20210512,11350
66,A217880,틸론,20210511,11200
67,A217880,틸론,20210510,11000
68,A217880,틸론,20210507,10600
69,A217880,틸론,20210506,10500
70,A217880,틸론,20210504,10600
71,A217880,틸론,20210503,10550
72,A217880,틸론,20210430,10550
73,A217880,틸론,20210429,10300
74,A217880,틸론,20210428,10300
75,A217880,틸론,20210427,10500
76,A217880,틸론,20210426,10350
77,A217880,틸론,20210423,9930
78,A217880,틸론,20210422,9980
79,A217880,틸론,20210421,9350
80,A217880,틸론,20210420,8600
81,A217880,틸론,20210419,8230
82,A217880,틸론,20210416,8200
83,A217880,틸론,20210415,8200
84,A217880,틸론,20210414,8190
85,A217880,틸론,20210413,8120
86,A217880,틸론,20210412,7980
87,A217880,틸론,20210409,8570
88,A217880,틸론,20210408,8390
89,A217880,틸론,20210407,7660
90,A217880,틸론,20210406,7010
91,A217880,틸론,20210405,7390
92,A217880,틸론,20210402,7400
93,A217880,틸론,20210401,7340
94,A217880,틸론,20210331,7320
95,A217880,틸론,20210330,7350
96,A217880,틸론,20210329,7450
97,A217880,틸론,20210326,7390
98,A217880,틸론,20210325,7390
99,A217880,틸론,20210324,7290
100,A217880,틸론,20210323,7030
101,A217880,틸론,20210322,7400
102,A217880,틸론,20210319,7400
103,A217880,틸론,20210318,7570
104,A217880,틸론,20210317,7550
105,A217880,틸론,20210316,8000
106,A217880,틸론,20210315,9000
107,A217880,틸론,20210312,8700
108,A217880,틸론,20210311,8790
109,A217880,틸론,20210310,8300
110,A217880,틸론,20210309,9690
111,A217880,틸론,20210308,9430
